"ave.ave.branches","ave.branches","ave.max.branches","aveAreafine","avevoronoix","condAve","fineavennd","modelid"
2.96,1.16,3.19,2.07,2.36,0.94,2.44,"X-RF-001"
1.99,2.04,2.04,2.05,2.06,2.19,2.13,"X-RF-002"
2.79,1.78,2.96,1.86,2.12,0.73,2.64,"X-RF-003"
3.09,2,2.7,1.51,2.44,0.83,2.88,"X-RF-004"
2.1,2.19,2.13,2.11,2.21,2.23,2.13,"X-RF-005"
2.61,1.76,2.31,1.85,2.03,1.14,2.31,"X-RF-006"
2.59,1.83,2.06,2.17,2.33,1.44,1.94,"X-RF-007"
3.27,1.85,3.02,1.73,2.29,0.83,2.92,"X-RF-008"
2.98,1.9,2.81,1.73,2.17,0.76,2.64,"X-RF-009"
2.66,1.78,2.88,1.59,2.25,1.13,2.36,"X-RF-010"
2.65,1.87,2.54,1.53,2.16,1.12,2.33,"X-RF-011"
2.02,2.06,2.1,2.17,2.11,2.22,2.1,"X-RF-012"
3.08,1.79,2.96,1.85,2.27,0.72,2.72,"X-RF-013"
2.61,2,2.15,1.52,2.48,1.27,2.42,"X-RF-014"
3.2,1.9,2.78,1.96,2.42,0.76,2.3,"X-RF-015"
2.47,1.86,2.84,1.94,2.17,1.16,2.33,"X-RF-016"
2.26,2.25,2.09,1.95,2.08,2.06,2.04,"X-RF-017"
2.03,1.94,1.96,2,2.17,1.91,2.08,"X-RF-018"
1.84,2.21,2.19,1.66,1.98,2.36,2.35,"X-RF-019"
2.1,2.21,2,1.99,2.12,2.07,2.04,"X-RF-020"
2.94,1.71,2.94,1.81,2.23,0.87,2.49,"X-RF-021"
2.94,1.57,2.53,1.98,2.52,0.76,2.67,"X-RF-022"
2.36,1.82,2.53,1.79,2.25,1.13,2.43,"X-RF-023"
3,1.66,2.99,1.95,2.16,0.84,2.87,"X-RF-024"
2.92,1.93,3.11,1.94,2.4,0.65,2.74,"X-RF-025"
3.04,1.53,2.95,1.94,2.27,0.84,2.98,"X-RF-026"
2.03,2,2,2.24,2.05,1.88,2,"X-RF-027"
2.69,1.94,2.88,2.22,2.1,0.64,2.61,"X-RF-028"
2.12,2.37,2.05,1.94,2.21,2.19,2.19,"X-RF-029"
2.06,2.22,2.28,2.06,2.09,2.28,1.93,"X-RF-030"
2.2,2.13,2.2,1.97,2.17,2.24,2.03,"X-RF-031"
2.13,2.25,1.94,2.07,2.1,2.08,2.12,"X-RF-032"
2.56,1.96,2.7,1.94,1.96,1.36,2.34,"X-RF-033"
3.08,1.71,2.78,1.75,2.53,0.83,2.76,"X-RF-034"
2.55,1.79,2.37,1.74,2.18,1.29,2.17,"X-RF-035"
2.22,2.37,1.9,2.18,2,2.19,2.28,"X-RF-036"
2.18,2.13,2.09,2.26,2.05,2.16,2.19,"X-RF-037"
2.81,1.83,2.72,1.83,2.33,0.82,2.49,"X-RF-038"
3,1.77,2.46,1.54,1.77,1.46,1.69,"X-RF-039"
2.15,2.06,2.06,2.02,2.17,2.02,1.83,"X-RF-040"
2.8,1.68,2.77,1.98,2.33,0.71,2.57,"X-RF-041"
3.12,1.62,3.46,1.56,3.13,0.69,2.44,"X-RF-042"
2.07,1.99,2.03,1.89,2.06,1.8,2.24,"X-RF-043"
2.9,1.76,2.48,1.65,2.13,1.33,2.34,"X-RF-044"
2.44,1.77,2.44,1.85,2.32,1.13,2,"X-RF-045"
2.87,1.8,2.46,1.85,2.01,1.39,2.1,"X-RF-046"
2.05,1.96,2.13,2.35,2.13,2.16,2.09,"X-RF-047"
2.11,2.23,1.8,1.71,1.83,1.77,2.09,"X-RF-048"
2.15,2.2,2.15,2.35,2.03,2.12,2.13,"X-RF-049"
2.53,1.98,2.37,1.68,2.13,1.24,2.55,"X-RF-050"
2.07,1.92,1.88,2.1,2.13,2.03,2.1,"X-RF-051"
2.28,1.92,2.33,1.84,2.12,1.29,2.53,"X-RF-052"
2.86,2.14,3.29,1.41,2.19,0.85,2.5,"X-RF-053"
2.47,1.64,2.32,1.91,2.13,1.26,2.33,"X-RF-054"
2.13,2.24,2.19,2.24,1.85,2.02,2.07,"X-RF-055"
2.69,1.71,2.35,1.81,2.29,1.25,2.28,"X-RF-056"
2.22,1.5,2.17,1.62,2.11,0.88,2.61,"X-RF-057"
2.56,1.75,2.37,1.71,2.21,1.17,2.44,"X-RF-058"
3.17,1.76,3.03,2.11,2.26,0.76,2.93,"X-RF-059"
2.8,1.59,2.81,2.03,2.34,0.82,2.45,"X-RF-060"
2.62,1.87,2.04,1.56,2.01,1.34,2.16,"X-RF-061"
2.53,1.89,2.5,1.77,2.19,1.32,2.36,"X-RF-062"
3.11,1.79,3.79,1.79,2.95,0.63,2.53,"X-RF-063"
2.75,1.7,2.11,1.92,2,1.47,2.64,"X-RF-064"
2.04,1.99,2.17,1.86,2.01,1.97,2.03,"X-RF-065"
2.79,1.6,2.55,1.74,2.5,1.3,2.35,"X-RF-066"
3.32,1.89,3.06,1.83,2.47,0.88,2.38,"X-RF-067"
2.74,1.77,2.83,1.74,2.28,0.74,2.51,"X-RF-068"
2.09,2.15,2.01,2.39,2.3,2.07,2.07,"X-RF-069"
3.27,1.72,2.99,1.89,2.28,0.8,2.55,"X-RF-070"
2.52,1.49,2.53,2.14,1.84,1.12,2.12,"X-RF-071"
3.11,1.82,2.79,1.67,2.12,0.83,2.67,"X-RF-072"
2.58,1.83,2.58,1.71,2.04,0.83,2.54,"X-RF-073"
2.48,1.54,2.16,2.41,2.04,1.31,1.96,"X-RF-074"
2.95,1.78,2.45,1.52,2.42,1.15,2.36,"X-RF-075"
3.08,1.64,2.96,1.79,2.35,0.75,2.87,"X-RF-076"
2.94,1.59,3.06,1.78,2.28,0.78,2.34,"X-RF-077"
2.44,1.88,1.88,2.06,2,2.44,2.38,"X-RF-078"
2.65,1.63,2.72,1.87,2.33,0.86,2.58,"X-RF-079"
2.59,1.68,2.57,2.15,2.11,1.07,2.3,"X-RF-080"
1.91,1.98,2.05,1.97,1.94,2,2,"X-RF-081"
2.63,1.72,2.39,1.85,2.21,1.28,2.21,"X-RF-082"
2.38,2.05,2.47,1.48,1.96,1.22,2.34,"X-RF-083"
3.04,1.69,3.03,1.75,2.24,0.82,2.77,"X-RF-084"
1.97,2,2.04,2.01,1.97,2.03,2.05,"X-RF-085"
2.17,2.22,2.27,2.06,1.94,1.88,1.98,"X-RF-086"
2.31,2.01,2.02,1.91,2.05,2.27,2.02,"X-RF-087"
2.84,1.62,2.53,1.7,2.54,0.76,2.42,"X-RF-088"
2.26,2.15,1.72,2.26,2.18,2.18,1.92,"X-RF-089"
2.19,1.95,2.2,1.99,2.07,1.81,2.1,"X-RF-090"
2.77,2.06,3.01,1.88,2.36,0.81,2.37,"X-RF-091"
2,2.31,2.03,1.78,1.76,2.18,1.7,"X-RF-092"
2.72,1.97,2.72,1.91,2.24,0.87,2.94,"X-RF-093"
1.99,2.16,2.15,2.06,2.24,2.13,2.25,"X-RF-094"
2.68,1.95,2.69,1.73,2.07,1.29,2.35,"X-RF-095"
2.99,1.87,2.84,1.73,2.51,0.79,2.58,"X-RF-096"
2.03,2.11,1.93,2.02,1.96,1.88,2.09,"X-RF-097"
2.1,2.19,1.71,2.02,2.02,2.2,2.17,"X-RF-098"
2.28,2.26,2.17,2.47,1.81,2.45,1.85,"X-RF-099"
2.78,1.73,2.61,1.69,2.17,1.26,2.37,"X-RF-100"
2.43,1.92,2.39,1.61,2.33,1.16,2.15,"X-RF-101"
2.87,1.8,2.52,1.81,2.67,1.32,2.39,"X-RF-102"
2.66,1.74,2.37,2.02,2.13,1.07,2.36,"X-RF-103"
1.95,2.01,1.88,2.32,2.09,2.14,2.23,"X-RF-104"
2.88,1.66,2.65,1.77,2.35,0.94,2.8,"X-RF-105"
2.85,2.06,2.53,1.75,2.28,1.24,2.12,"X-RF-106"
2,2.27,2.82,1.73,2.27,1.18,2,"X-RF-107"
2.83,1.81,2.41,1.78,2.24,1.12,2.4,"X-RF-108"
3.01,1.89,3.11,1.73,2.37,0.78,2.41,"X-RF-109"
3.05,1.75,3.04,1.87,2.37,0.84,2.62,"X-RF-110"
1.83,1.91,1.87,2.04,1.98,2.1,2.07,"X-RF-111"
2.66,1.8,2.54,1.96,2.29,1.17,2.23,"X-RF-112"
2.83,1.63,3.05,1.74,2.61,0.76,3.13,"X-RF-113"
2.84,1.7,2.72,1.62,2.29,1.43,2.36,"X-RF-114"
1.89,1.44,2.78,1.83,2.06,2,2.17,"X-RF-115"
1.9,2.09,2.23,2.23,2.17,2.02,2.24,"X-RF-116"
2.24,1.86,2.45,2.08,2.64,1.23,2.44,"X-RF-117"
2.5,1.46,2.26,2.04,2.19,0.81,2.39,"X-RF-118"
2.64,2.02,2.35,1.83,2.13,1.22,2.35,"X-RF-119"
2.2,1.94,2.11,2.11,1.89,2.08,2.09,"X-RF-120"
2.08,2.01,2.15,1.97,2.14,2.11,1.9,"X-RF-121"
2.8,1.6,2.22,1.73,2.19,1,2.54,"X-RF-122"
2.6,1.74,2.42,1.79,2.02,1.17,2.31,"X-RF-123"
2.89,1.81,2.43,1.8,2.05,1.32,2.33,"X-RF-124"
2.32,1.6,2.42,1.83,2.37,0.85,2.27,"X-RF-125"
2.11,2.19,2.14,2.2,2.02,2.13,2.3,"X-RF-126"
2.02,2.08,1.95,2,2.12,2.15,2.14,"X-RF-127"
2.12,2.17,2.03,2.25,2.21,2.13,2.08,"X-RF-128"
2.02,2.07,1.91,2.27,2.2,2.39,2.05,"X-RF-129"
2.18,2.2,2.06,2.09,2.19,2.25,2.2,"X-RF-130"
3.19,2.19,3.12,1.69,2.12,0.69,2.56,"X-RF-131"
2.7,1.62,2.47,1.98,2.24,1.35,2.08,"X-RF-132"
1.76,1.76,1.82,2.03,2.24,2.11,2.21,"X-RF-133"
2.17,2.06,1.78,2.28,1.88,2.16,2.27,"X-RF-134"
2.33,1.9,2.16,2.28,2.05,1.92,1.94,"X-RF-135"
2.36,1.6,2.27,1.64,2.15,1.18,2.08,"X-RF-136"
2.01,2.25,2.08,2.19,1.95,2.08,2.07,"X-RF-137"
2.88,1.83,2.33,1.77,2.38,1.28,2.24,"X-RF-138"
2.54,1.69,2.3,1.81,2.25,1.09,2.16,"X-RF-139"
2.48,1.56,2.51,2.08,2.6,0.97,2.48,"X-RF-140"
2.87,1.87,3.07,1.4,2.67,0.93,2.4,"X-RF-141"
2.14,2.17,2.01,2.06,1.96,1.85,2.09,"X-RF-142"
2.72,1.79,2.51,1.83,2.19,1.16,2.33,"X-RF-143"
1.91,2.04,2.03,2.04,1.96,2.13,1.79,"X-RF-144"
1.84,2.01,1.8,1.86,2.03,2.21,1.79,"X-RF-145"
2.67,1.85,2.75,1.75,2.1,1.18,2.22,"X-RF-146"
2.06,2.16,2.03,2.15,2.03,2.26,2.14,"X-RF-147"
