"modelid","ntree.int","mtry.int","nodesize.int","trainfrac"
"X-RF-001",31,3,8,0.35
"X-RF-002",225,1,6,0.65
"X-RF-003",73,3,4,0.7
"X-RF-004",89,3,1,0.35
"X-RF-005",217,1,9,0.6
"X-RF-006",59,2,1,0.55
"X-RF-007",18,2,8,0.6
"X-RF-008",218,3,9,0.7
"X-RF-009",218,3,2,0.65
"X-RF-010",177,2,3,0.4
"X-RF-011",222,2,4,0.55
"X-RF-012",231,1,8,0.65
"X-RF-013",214,3,9,0.65
"X-RF-014",26,2,6,0.4
"X-RF-015",90,3,5,0.3
"X-RF-016",88,2,5,0.55
"X-RF-017",188,1,9,0.5
"X-RF-018",268,1,1,0.4
"X-RF-019",58,1,3,0.3
"X-RF-020",239,1,4,0.5
"X-RF-021",195,3,1,0.6
"X-RF-022",169,3,9,0.5
"X-RF-023",228,2,5,0.65
"X-RF-024",149,3,5,0.7
"X-RF-025",185,3,5,0.45
"X-RF-026",268,3,6,0.6
"X-RF-027",258,1,3,0.4
"X-RF-028",78,3,2,0.4
"X-RF-029",78,1,8,0.6
"X-RF-030",187,1,7,0.55
"X-RF-031",269,1,5,0.35
"X-RF-032",200,1,9,0.4
"X-RF-033",288,2,6,0.35
"X-RF-034",162,3,6,0.5
"X-RF-035",108,2,4,0.55
"X-RF-036",157,1,9,0.45
"X-RF-037",128,1,6,0.65
"X-RF-038",172,3,3,0.7
"X-RF-039",13,2,3,0.5
"X-RF-040",178,1,3,0.55
"X-RF-041",98,3,2,0.6
"X-RF-042",16,3,6,0.45
"X-RF-043",137,1,9,0.35
"X-RF-044",151,2,9,0.5
"X-RF-045",86,2,7,0.35
"X-RF-046",195,2,6,0.55
"X-RF-047",98,1,2,0.35
"X-RF-048",35,1,1,0.55
"X-RF-049",214,1,7,0.4
"X-RF-050",131,2,4,0.45
"X-RF-051",125,1,1,0.4
"X-RF-052",239,2,5,0.35
"X-RF-053",82,3,9,0.6
"X-RF-054",97,2,1,0.3
"X-RF-055",190,1,4,0.45
"X-RF-056",251,2,9,0.6
"X-RF-057",48,3,9,0.3
"X-RF-058",224,2,4,0.55
"X-RF-059",222,3,5,0.4
"X-RF-060",187,3,7,0.4
"X-RF-061",208,2,8,0.3
"X-RF-062",163,2,2,0.35
"X-RF-063",19,3,7,0.7
"X-RF-064",119,2,3,0.4
"X-RF-065",259,1,2,0.6
"X-RF-066",256,2,9,0.5
"X-RF-067",255,3,8,0.65
"X-RF-068",150,3,1,0.55
"X-RF-069",136,1,6,0.6
"X-RF-070",249,3,6,0.6
"X-RF-071",69,2,8,0.3
"X-RF-072",127,3,4,0.6
"X-RF-073",24,2,1,0.35
"X-RF-074",29,2,7,0.3
"X-RF-075",71,2,7,0.4
"X-RF-076",254,3,6,0.65
"X-RF-077",32,3,2,0.5
"X-RF-078",16,1,6,0.65
"X-RF-079",154,3,1,0.55
"X-RF-080",28,2,5,0.35
"X-RF-081",64,1,1,0.4
"X-RF-082",247,2,4,0.65
"X-RF-083",77,2,4,0.45
"X-RF-084",282,3,4,0.55
"X-RF-085",260,1,2,0.65
"X-RF-086",133,1,9,0.45
"X-RF-087",232,1,3,0.5
"X-RF-088",216,3,9,0.35
"X-RF-089",39,1,4,0.5
"X-RF-090",140,1,4,0.6
"X-RF-091",137,3,9,0.65
"X-RF-092",85,1,9,0.35
"X-RF-093",67,3,3,0.35
"X-RF-094",226,1,4,0.5
"X-RF-095",134,2,9,0.7
"X-RF-096",262,3,3,0.35
"X-RF-097",255,1,1,0.65
"X-RF-098",59,1,8,0.7
"X-RF-099",36,1,9,0.65
"X-RF-100",173,2,7,0.55
"X-RF-101",279,2,9,0.45
"X-RF-102",106,2,7,0.45
"X-RF-103",46,2,7,0.6
"X-RF-104",233,1,2,0.35
"X-RF-105",32,3,7,0.35
"X-RF-106",161,2,6,0.55
"X-RF-107",11,2,2,0.35
"X-RF-108",222,2,7,0.6
"X-RF-109",186,3,5,0.7
"X-RF-110",269,3,8,0.7
"X-RF-111",179,1,2,0.6
"X-RF-112",191,2,3,0.35
"X-RF-113",109,3,7,0.7
"X-RF-114",68,2,7,0.4
"X-RF-115",18,1,6,0.55
"X-RF-116",95,1,5,0.3
"X-RF-117",149,2,4,0.3
"X-RF-118",293,3,8,0.3
"X-RF-119",266,2,9,0.7
"X-RF-120",194,1,8,0.45
"X-RF-121",205,1,4,0.6
"X-RF-122",54,2,8,0.45
"X-RF-123",212,2,1,0.6
"X-RF-124",247,2,6,0.55
"X-RF-125",147,3,8,0.3
"X-RF-126",219,1,4,0.35
"X-RF-127",276,1,2,0.3
"X-RF-128",248,1,8,0.6
"X-RF-129",283,1,7,0.3
"X-RF-130",200,1,7,0.3
"X-RF-131",16,3,4,0.65
"X-RF-132",202,2,6,0.3
"X-RF-133",38,1,2,0.7
"X-RF-134",124,1,4,0.65
"X-RF-135",79,1,4,0.5
"X-RF-136",109,2,8,0.3
"X-RF-137",236,1,4,0.55
"X-RF-138",86,2,8,0.4
"X-RF-139",179,2,1,0.45
"X-RF-140",63,2,9,0.7
"X-RF-141",15,3,5,0.7
"X-RF-142",265,1,6,0.65
"X-RF-143",161,2,5,0.55
"X-RF-144",139,1,1,0.6
"X-RF-145",99,1,9,0.35
"X-RF-146",40,2,2,0.45
"X-RF-147",232,1,6,0.65
"X-RF-148",257,3,5,0.7
"X-RF-149",75,1,8,0.4
"X-RF-150",300,3,4,0.3
"X-RF-151",59,1,6,0.4
"X-RF-152",125,3,5,0.6
"X-RF-153",11,2,3,0.6
"X-RF-154",104,1,7,0.4
"X-RF-155",70,3,8,0.4
"X-RF-156",188,2,7,0.5
"X-RF-157",12,1,3,0.3
"X-RF-158",70,2,4,0.35
"X-RF-159",164,3,7,0.7
"X-RF-160",120,2,9,0.55
"X-RF-161",202,2,3,0.3
"X-RF-162",68,3,2,0.5
"X-RF-163",295,2,9,0.35
"X-RF-164",100,2,1,0.65
"X-RF-165",56,3,4,0.4
"X-RF-166",122,3,3,0.65
"X-RF-167",95,2,9,0.35
"X-RF-168",37,2,8,0.5
"X-RF-169",174,1,8,0.5
"X-RF-170",170,2,6,0.45
"X-RF-171",128,3,3,0.55
"X-RF-172",210,1,7,0.45
"X-RF-173",51,1,3,0.4
"X-RF-174",108,2,9,0.35
"X-RF-175",93,3,1,0.5
"X-RF-176",89,3,3,0.6
"X-RF-177",154,1,2,0.3
"X-RF-178",59,3,7,0.7
"X-RF-179",155,3,3,0.3
"X-RF-180",209,2,7,0.6
"X-RF-181",247,2,2,0.7
"X-RF-182",223,3,4,0.4
"X-RF-183",206,3,3,0.35
"X-RF-184",295,1,5,0.7
"X-RF-185",252,3,6,0.5
"X-RF-186",145,2,5,0.55
"X-RF-187",191,3,3,0.3
"X-RF-188",48,3,1,0.7
"X-RF-189",81,3,3,0.3
"X-RF-190",234,3,8,0.6
"X-RF-191",36,2,8,0.55
"X-RF-192",145,3,8,0.3
"X-RF-193",272,1,8,0.3
"X-RF-194",66,2,5,0.4
"X-RF-195",112,3,3,0.55
"X-RF-196",294,1,7,0.3
"X-RF-197",215,1,9,0.55
"X-RF-198",176,3,2,0.6
"X-RF-199",270,3,5,0.6
"X-RF-200",223,2,7,0.45
"X-RF-201",244,2,5,0.5
"X-RF-202",232,1,1,0.7
"X-RF-203",89,1,9,0.35
"X-RF-204",202,3,1,0.55
"X-RF-205",265,2,3,0.4
"X-RF-206",222,2,5,0.45
"X-RF-207",34,2,8,0.45
"X-RF-208",216,1,2,0.7
"X-RF-209",146,2,4,0.55
"X-RF-210",57,2,6,0.7
"X-RF-211",255,1,9,0.4
"X-RF-212",164,2,6,0.4
"X-RF-213",53,2,1,0.55
"X-RF-214",137,2,9,0.6
"X-RF-215",263,1,9,0.7
"X-RF-216",151,3,1,0.3
"X-RF-217",12,1,5,0.4
"X-RF-218",290,3,7,0.55
"X-RF-219",287,2,2,0.55
"X-RF-220",279,3,8,0.7
