"modelid","ntree.int","mtry.int","nodesize.int","trainfrac","traindur","rf_rmse","train_adj_r2","test_adj_r2"
"X-RF-001",31,3,8,0.35,0.00285196304321289,0.25,0.99,0.953
"X-RF-002",225,1,6,0.65,0.0164740085601807,0.39,0.977,0.849
"X-RF-003",73,3,4,0.7,0.0129458904266357,0.16,0.997,0.987
"X-RF-004",89,3,1,0.35,0.00743818283081055,0.2,0.996,0.94
"X-RF-005",217,1,9,0.6,0.0131731033325195,0.41,0.968,0.895
"X-RF-006",59,2,1,0.55,0.00862002372741699,0.25,0.994,0.955
"X-RF-007",18,2,8,0.6,0.00165605545043945,0.31,0.981,0.919
"X-RF-008",218,3,9,0.7,0.0280790328979492,0.17,0.994,0.976
"X-RF-009",218,3,2,0.65,0.0361330509185791,0.16,0.997,0.986
"X-RF-010",177,2,3,0.4,0.0119669437408447,0.25,0.994,0.947
"X-RF-011",222,2,4,0.55,0.0193769931793213,0.26,0.991,0.951
"X-RF-012",231,1,8,0.65,0.0161590576171875,0.39,0.974,0.911
"X-RF-013",214,3,9,0.65,0.0232429504394531,0.16,0.995,0.982
"X-RF-014",26,2,6,0.4,0.00163388252258301,0.3,0.982,0.941
"X-RF-015",90,3,5,0.3,0.00498700141906738,0.22,0.994,0.975
"X-RF-016",88,2,5,0.55,0.00964617729187012,0.25,0.992,0.957
"X-RF-017",188,1,9,0.5,0.00950479507446289,0.44,0.961,0.892
"X-RF-018",268,1,1,0.4,0.0175008773803711,0.37,0.99,0.846
"X-RF-019",58,1,3,0.3,0.00309205055236816,0.49,0.978,0.857
"X-RF-020",239,1,4,0.5,0.0139718055725098,0.39,0.982,0.877
"X-RF-021",195,3,1,0.6,0.0308849811553955,0.18,0.997,0.979
"X-RF-022",169,3,9,0.5,0.0124280452728271,0.2,0.991,0.962
"X-RF-023",228,2,5,0.65,0.025562047958374,0.22,0.993,0.963
"X-RF-024",149,3,5,0.7,0.0216810703277588,0.16,0.996,0.989
"X-RF-025",185,3,5,0.45,0.0150408744812012,0.19,0.995,0.975
"X-RF-026",268,3,6,0.6,0.0300102233886719,0.17,0.996,0.986
"X-RF-027",258,1,3,0.4,0.0114359855651855,0.39,0.986,0.856
"X-RF-028",78,3,2,0.4,0.00701785087585449,0.18,0.996,0.974
"X-RF-029",78,1,8,0.6,0.00462603569030762,0.41,0.97,0.839
"X-RF-030",187,1,7,0.55,0.00989484786987305,0.4,0.975,0.869
"X-RF-031",269,1,5,0.35,0.00897598266601562,0.42,0.974,0.845
"X-RF-032",200,1,9,0.4,0.00849509239196777,0.45,0.96,0.866
"X-RF-033",288,2,6,0.35,0.0120420455932617,0.31,0.987,0.94
"X-RF-034",162,3,6,0.5,0.0126278400421143,0.18,0.994,0.976
"X-RF-035",108,2,4,0.55,0.0119938850402832,0.25,0.992,0.958
"X-RF-036",157,1,9,0.45,0.0065162181854248,0.43,0.966,0.905
"X-RF-037",128,1,6,0.65,0.00899004936218262,0.37,0.979,0.927
"X-RF-038",172,3,3,0.7,0.0310449600219727,0.15,0.997,0.984
"X-RF-039",13,2,3,0.5,0.00135684013366699,0.36,0.985,0.911
"X-RF-040",178,1,3,0.55,0.0128278732299805,0.34,0.989,0.875
"X-RF-041",98,3,2,0.6,0.0144808292388916,0.17,0.997,0.971
"X-RF-042",16,3,6,0.45,0.00150394439697266,0.25,0.992,0.955
"X-RF-043",137,1,9,0.35,0.00350618362426758,0.4,0.97,0.807
"X-RF-044",151,2,9,0.5,0.0100140571594238,0.27,0.984,0.927
"X-RF-045",86,2,7,0.35,0.00369095802307129,0.28,0.988,0.939
"X-RF-046",195,2,6,0.55,0.0145161151885986,0.28,0.989,0.96
"X-RF-047",98,1,2,0.35,0.00475406646728516,0.45,0.982,0.845
"X-RF-048",35,1,1,0.55,0.00306487083435059,0.4,0.987,0.919
"X-RF-049",214,1,7,0.4,0.00810098648071289,0.43,0.969,0.877
"X-RF-050",131,2,4,0.45,0.0089271068572998,0.3,0.99,0.952
"X-RF-051",125,1,1,0.4,0.00824809074401855,0.43,0.986,0.893
"X-RF-052",239,2,5,0.35,0.0119199752807617,0.3,0.99,0.942
"X-RF-053",82,3,9,0.6,0.0088191032409668,0.2,0.993,0.982
"X-RF-054",97,2,1,0.3,0.00560498237609863,0.35,0.991,0.937
"X-RF-055",190,1,4,0.45,0.00961709022521973,0.42,0.982,0.921
"X-RF-056",251,2,9,0.6,0.0197029113769531,0.22,0.991,0.947
"X-RF-057",48,3,9,0.3,0.00203204154968262,0.32,0.983,0.947
"X-RF-058",224,2,4,0.55,0.0219922065734863,0.25,0.993,0.935
"X-RF-059",222,3,5,0.4,0.0162889957427979,0.25,0.991,0.972
"X-RF-060",187,3,7,0.4,0.0109870433807373,0.17,0.995,0.966
"X-RF-061",208,2,8,0.3,0.0063471794128418,0.33,0.982,0.881
"X-RF-062",163,2,2,0.35,0.0108959674835205,0.33,0.99,0.954
"X-RF-063",19,3,7,0.7,0.00282120704650879,0.21,0.994,0.972
"X-RF-064",119,2,3,0.4,0.00737810134887695,0.3,0.99,0.922
"X-RF-065",259,1,2,0.6,0.026947021484375,0.35,0.988,0.893
"X-RF-066",256,2,9,0.5,0.0168230533599854,0.3,0.983,0.947
"X-RF-067",255,3,8,0.65,0.0284919738769531,0.16,0.996,0.972
"X-RF-068",150,3,1,0.55,0.0219488143920898,0.15,0.998,0.961
"X-RF-069",136,1,6,0.6,0.00962018966674805,0.39,0.978,0.915
"X-RF-070",249,3,6,0.6,0.0284891128540039,0.17,0.996,0.97
"X-RF-071",69,2,8,0.3,0.00225114822387695,0.34,0.982,0.918
"X-RF-072",127,3,4,0.6,0.0162041187286377,0.17,0.997,0.984
"X-RF-073",24,2,1,0.35,0.00212001800537109,0.29,0.992,0.962
"X-RF-074",29,2,7,0.3,0.00135302543640137,0.41,0.975,0.952
"X-RF-075",71,2,7,0.4,0.00367403030395508,0.26,0.988,0.943
"X-RF-076",254,3,6,0.65,0.0288028717041016,0.15,0.997,0.97
"X-RF-077",32,3,2,0.5,0.00467395782470703,0.2,0.996,0.978
"X-RF-078",16,1,6,0.65,0.00139904022216797,0.46,0.962,0.79
"X-RF-079",154,3,1,0.55,0.0239429473876953,0.19,0.996,0.987
"X-RF-080",28,2,5,0.35,0.0018010139465332,0.35,0.988,0.944
"X-RF-081",64,1,1,0.4,0.00369501113891602,0.46,0.985,0.898
"X-RF-082",247,2,4,0.65,0.0256907939910889,0.24,0.994,0.949
"X-RF-083",77,2,4,0.45,0.00569701194763184,0.25,0.992,0.947
"X-RF-084",282,3,4,0.55,0.0308990478515625,0.16,0.997,0.975
"X-RF-085",260,1,2,0.65,0.0266430377960205,0.36,0.989,0.867
"X-RF-086",133,1,9,0.45,0.00472688674926758,0.41,0.971,0.855
"X-RF-087",232,1,3,0.5,0.0133709907531738,0.41,0.982,0.864
"X-RF-088",216,3,9,0.35,0.0105040073394775,0.24,0.989,0.971
"X-RF-089",39,1,4,0.5,0.00226879119873047,0.45,0.973,0.89
"X-RF-090",140,1,4,0.6,0.0107040405273438,0.33,0.986,0.874
"X-RF-091",137,3,9,0.65,0.015038013458252,0.18,0.994,0.974
"X-RF-092",85,1,9,0.35,0.00293302536010742,0.52,0.945,0.874
"X-RF-093",67,3,3,0.35,0.00635886192321777,0.22,0.995,0.965
"X-RF-094",226,1,4,0.5,0.0140998363494873,0.44,0.979,0.919
"X-RF-095",134,2,9,0.7,0.012692928314209,0.25,0.987,0.96
"X-RF-096",262,3,3,0.35,0.0176248550415039,0.24,0.994,0.97
"X-RF-097",255,1,1,0.65,0.0296010971069336,0.33,0.991,0.91
"X-RF-098",59,1,8,0.7,0.00394916534423828,0.41,0.965,0.83
