"modelid","ntree.int","mtry.int","nodesize.int","trainfrac","traindur","rf_rmse","train_adj_r2","test_adj_r2"
"PC-RF-001",288,12,1,0.3,0.0682668685913086,0.23,0.996,0.947
"PC-RF-002",271,11,6,0.5,0.0679399967193604,0.19,0.995,0.969
"PC-RF-003",243,12,4,0.5,0.0717520713806152,0.17,0.997,0.982
"PC-RF-004",147,9,4,0.35,0.0223820209503174,0.28,0.991,0.94
"PC-RF-005",168,5,9,0.65,0.0282669067382812,0.33,0.985,0.905
"PC-RF-006",111,5,8,0.35,0.00990891456604004,0.43,0.976,0.926
"PC-RF-007",99,4,2,0.5,0.0173838138580322,0.37,0.988,0.883
"PC-RF-008",73,10,8,0.6,0.0221929550170898,0.19,0.994,0.975
"PC-RF-009",224,5,8,0.5,0.0286049842834473,0.34,0.986,0.901
"PC-RF-010",101,12,1,0.65,0.0664219856262207,0.17,0.997,0.989
"PC-RF-011",16,7,1,0.3,0.00367498397827148,0.47,0.975,0.878
"PC-RF-012",229,10,5,0.5,0.0563681125640869,0.22,0.995,0.98
"PC-RF-013",98,11,7,0.7,0.0359368324279785,0.17,0.997,0.978
"PC-RF-014",143,9,4,0.4,0.0245311260223389,0.28,0.992,0.948
"PC-RF-015",271,12,7,0.6,0.0941529273986816,0.14,0.997,0.983
"PC-RF-016",94,10,6,0.4,0.0168249607086182,0.25,0.993,0.951
"PC-RF-017",231,12,4,0.3,0.0359280109405518,0.24,0.994,0.966
"PC-RF-018",286,11,4,0.6,0.0972070693969727,0.17,0.997,0.987
"PC-RF-019",50,7,9,0.55,0.0102488994598389,0.3,0.988,0.959
"PC-RF-020",19,11,6,0.5,0.00558209419250488,0.27,0.989,0.968
"PC-RF-021",278,4,9,0.7,0.0478711128234863,0.35,0.983,0.939
"PC-RF-022",73,10,9,0.35,0.00933122634887695,0.24,0.991,0.966
"PC-RF-023",67,5,5,0.45,0.00936007499694824,0.41,0.98,0.87
"PC-RF-024",78,11,8,0.35,0.0116720199584961,0.28,0.987,0.959
"PC-RF-025",208,12,9,0.5,0.0470118522644043,0.18,0.995,0.969
"PC-RF-026",122,6,8,0.65,0.0267050266265869,0.33,0.987,0.926
"PC-RF-027",93,10,3,0.65,0.0339438915252686,0.2,0.996,0.97
"PC-RF-028",285,12,9,0.65,0.0951888561248779,0.14,0.997,0.985
"PC-RF-029",134,6,1,0.35,0.0191149711608887,0.36,0.991,0.939
"PC-RF-030",165,9,2,0.4,0.0309000015258789,0.26,0.995,0.968
"PC-RF-031",136,6,1,0.55,0.0316329002380371,0.34,0.992,0.938
"PC-RF-032",101,7,1,0.4,0.0182089805603027,0.33,0.991,0.911
"PC-RF-033",143,5,4,0.35,0.0134320259094238,0.37,0.985,0.788
"PC-RF-034",50,6,2,0.5,0.012890100479126,0.37,0.987,0.916
"PC-RF-035",177,5,4,0.35,0.0174911022186279,0.41,0.985,0.889
"PC-RF-036",210,11,5,0.45,0.0453078746795654,0.18,0.996,0.977
"PC-RF-037",63,7,7,0.55,0.0128209590911865,0.27,0.991,0.965
"PC-RF-038",147,11,4,0.55,0.0442030429840088,0.18,0.996,0.982
"PC-RF-039",108,5,3,0.6,0.0215559005737305,0.32,0.99,0.845
"PC-RF-040",146,5,9,0.3,0.00995898246765137,0.39,0.979,0.925
"PC-RF-041",231,7,8,0.4,0.0261430740356445,0.33,0.985,0.933
"PC-RF-042",240,9,1,0.4,0.0508048534393311,0.25,0.995,0.909
"PC-RF-043",154,10,2,0.65,0.0676181316375732,0.19,0.997,0.976
"PC-RF-044",148,11,4,0.6,0.0612859725952148,0.18,0.996,0.966
"PC-RF-045",47,6,4,0.65,0.0181009769439697,0.29,0.991,0.94
"PC-RF-046",80,4,6,0.45,0.00899291038513184,0.46,0.979,0.924
"PC-RF-047",106,6,8,0.55,0.0188870429992676,0.31,0.988,0.94
"PC-RF-048",150,8,3,0.7,0.0609161853790283,0.23,0.995,0.958
"PC-RF-049",137,7,3,0.55,0.0317201614379883,0.27,0.994,0.956
"PC-RF-050",141,10,1,0.3,0.0220859050750732,0.24,0.995,0.965
"PC-RF-051",42,9,5,0.65,0.0144259929656982,0.25,0.993,0.95
"PC-RF-052",76,9,2,0.7,0.0312271118164062,0.19,0.997,0.979
"PC-RF-053",77,6,4,0.65,0.0207219123840332,0.3,0.99,0.936
"PC-RF-054",32,12,3,0.35,0.00979495048522949,0.24,0.994,0.956
"PC-RF-055",280,6,1,0.3,0.0372049808502197,0.4,0.991,0.939
"PC-RF-056",48,7,9,0.3,0.00548481941223145,0.34,0.98,0.934
"PC-RF-057",213,8,8,0.35,0.0236849784851074,0.31,0.988,0.949
"PC-RF-058",86,7,3,0.7,0.028778076171875,0.26,0.993,0.962
"PC-RF-059",258,4,8,0.3,0.0159721374511719,0.45,0.975,0.888
"PC-RF-060",214,8,8,0.4,0.0306210517883301,0.28,0.991,0.958
"PC-RF-061",32,7,9,0.6,0.00779581069946289,0.26,0.989,0.947
"PC-RF-062",172,5,9,0.35,0.0130398273468018,0.41,0.977,0.906
"PC-RF-063",116,4,9,0.3,0.00702309608459473,0.48,0.962,0.831
"PC-RF-064",299,7,6,0.65,0.17336106300354,0.27,0.992,0.943
"PC-RF-065",283,4,4,0.35,0.0237960815429688,0.39,0.987,0.855
"PC-RF-066",150,10,7,0.5,0.0307002067565918,0.2,0.994,0.983
"PC-RF-067",114,7,3,0.5,0.02590012550354,0.28,0.993,0.947
"PC-RF-068",214,9,1,0.4,0.0468959808349609,0.25,0.995,0.956
"PC-RF-069",23,9,3,0.65,0.00943398475646973,0.31,0.989,0.966
"PC-RF-070",202,4,7,0.7,0.0419378280639648,0.36,0.984,0.894
"PC-RF-071",188,11,2,0.65,0.0854401588439941,0.15,0.998,0.986
"PC-RF-072",268,7,7,0.45,0.0407540798187256,0.28,0.99,0.945
"PC-RF-073",217,12,7,0.3,0.0254929065704346,0.28,0.989,0.962
"PC-RF-074",76,10,2,0.4,0.0162918567657471,0.22,0.996,0.968
"PC-RF-075",273,4,8,0.55,0.0317809581756592,0.38,0.981,0.875
"PC-RF-076",75,6,3,0.65,0.0186171531677246,0.27,0.993,0.949
"PC-RF-077",245,10,7,0.45,0.0444560050964355,0.2,0.994,0.941
"PC-RF-078",15,11,2,0.4,0.00417995452880859,0.28,0.991,0.966
"PC-RF-079",151,9,2,0.35,0.0246310234069824,0.28,0.993,0.952
"PC-RF-080",132,4,3,0.6,0.0231308937072754,0.39,0.988,0.914
"PC-RF-081",103,8,2,0.65,0.0328459739685059,0.24,0.995,0.959
"PC-RF-082",300,11,4,0.55,0.0857059955596924,0.18,0.996,0.972
"PC-RF-083",99,8,9,0.7,0.0257251262664795,0.24,0.992,0.953
"PC-RF-084",35,9,9,0.6,0.00941205024719238,0.27,0.989,0.972
"PC-RF-085",61,8,3,0.5,0.0140860080718994,0.27,0.993,0.953
"PC-RF-086",104,11,1,0.55,0.039330005645752,0.22,0.996,0.973
"PC-RF-087",47,11,1,0.45,0.0141830444335938,0.25,0.994,0.957
"PC-RF-088",51,5,8,0.5,0.00681591033935547,0.35,0.984,0.913
"PC-RF-089",106,12,1,0.35,0.0226509571075439,0.23,0.995,0.976
"PC-RF-090",194,8,4,0.5,0.0390651226043701,0.26,0.994,0.965
"PC-RF-091",46,10,2,0.4,0.0106539726257324,0.29,0.991,0.947
"PC-RF-092",209,4,4,0.65,0.0367660522460938,0.35,0.989,0.899
"PC-RF-093",265,10,3,0.45,0.0581989288330078,0.21,0.997,0.967
"PC-RF-094",202,8,3,0.6,0.0550839900970459,0.23,0.995,0.917
"PC-RF-095",82,11,5,0.55,0.0236289501190186,0.18,0.996,0.979
"PC-RF-096",198,6,3,0.3,0.019150972366333,0.32,0.992,0.908
"PC-RF-097",108,10,4,0.45,0.0236198902130127,0.24,0.994,0.951
"PC-RF-098",25,5,1,0.55,0.0068199634552002,0.38,0.986,0.901
"PC-RF-099",284,7,5,0.7,0.0776770114898682,0.25,0.993,0.972
"PC-RF-100",56,5,6,0.4,0.00623202323913574,0.41,0.978,0.895
"PC-RF-101",64,5,8,0.4,0.0065150260925293,0.39,0.983,0.863
"PC-RF-102",175,12,1,0.4,0.0464169979095459,0.21,0.996,0.972
"PC-RF-103",14,12,8,0.45,0.00397515296936035,0.25,0.991,0.985
"PC-RF-104",13,12,2,0.5,0.00587105751037598,0.3,0.992,0.968
"PC-RF-105",107,9,9,0.7,0.0284688472747803,0.18,0.995,0.978
"PC-RF-106",108,5,5,0.6,0.0204410552978516,0.37,0.985,0.877
"PC-RF-107",69,9,5,0.45,0.0146169662475586,0.24,0.992,0.945
"PC-RF-108",192,4,4,0.45,0.0233590602874756,0.4,0.986,0.88
"PC-RF-109",206,8,2,0.35,0.0298440456390381,0.31,0.991,0.95
"PC-RF-110",171,10,3,0.3,0.0473170280456543,0.26,0.994,0.953
"PC-RF-111",140,8,8,0.7,0.0356760025024414,0.21,0.994,0.948
"PC-RF-112",233,8,2,0.45,0.0516579151153564,0.26,0.994,0.967
"PC-RF-113",250,10,8,0.55,0.0530180931091309,0.22,0.993,0.977
"PC-RF-114",61,10,1,0.35,0.0137219429016113,0.25,0.993,0.962
"PC-RF-115",300,6,4,0.65,0.0672650337219238,0.26,0.994,0.952
"PC-RF-116",107,5,5,0.3,0.00771594047546387,0.38,0.983,0.818
"PC-RF-117",221,10,2,0.35,0.0377531051635742,0.25,0.996,0.961
"PC-RF-118",291,8,3,0.7,0.0976090431213379,0.23,0.995,0.966
"PC-RF-119",228,6,7,0.65,0.048325777053833,0.28,0.991,0.938
"PC-RF-120",33,5,8,0.65,0.00700092315673828,0.34,0.982,0.914
"PC-RF-121",12,4,6,0.5,0.00290918350219727,0.51,0.966,0.879
"PC-RF-122",232,6,4,0.65,0.0533010959625244,0.27,0.993,0.94
"PC-RF-123",214,4,5,0.3,0.0133299827575684,0.48,0.981,0.878
"PC-RF-124",162,8,3,0.45,0.0310299396514893,0.29,0.993,0.951
"PC-RF-125",214,10,9,0.3,0.0196728706359863,0.31,0.986,0.955
"PC-RF-126",273,12,9,0.4,0.0419900417327881,0.2,0.994,0.966
"PC-RF-127",158,11,4,0.5,0.0395431518554688,0.17,0.997,0.96
"PC-RF-128",100,4,8,0.55,0.0126969814300537,0.4,0.98,0.894
"PC-RF-129",69,5,2,0.4,0.00906801223754883,0.43,0.984,0.934
"PC-RF-130",256,9,1,0.7,0.10745906829834,0.23,0.996,0.98
"PC-RF-131",261,7,3,0.65,0.0701889991760254,0.23,0.995,0.957
"PC-RF-132",208,11,4,0.65,0.0748870372772217,0.16,0.998,0.983
