 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,NTO-LC-800-4A-900-10H0003.tiff,0.299,14.265,0.427,14.265,0.427,2.358,0.675,0.759,100,14.059,0.748,71.878,0.585,1.363,0.733,0.898
2,NTO-LC-800-4A-900-10H0003.tiff,0.016,21.812,0.151,21.812,0.151,0.473,0.909,0.172,100,21.784,0.066,98.746,0.131,1.317,0.759,0.887
3,NTO-LC-800-4A-900-10H0003.tiff,0.090,4.566,0.266,4.566,0.266,1.151,0.854,0.412,100,4.446,0.446,59.349,0.315,1.310,0.764,0.924
4,NTO-LC-800-4A-900-10H0003.tiff,0.061,19.109,0.240,19.109,0.240,0.924,0.904,0.300,100,18.964,0.197,156.801,0.286,1.031,0.970,0.930
5,NTO-LC-800-4A-900-10H0003.tiff,0.111,19.558,0.284,19.558,0.284,1.273,0.864,0.426,100,19.384,0.157,146.310,0.346,1.248,0.801,0.940
6,NTO-LC-800-4A-900-10H0003.tiff,0.030,13.061,0.208,13.061,0.208,0.659,0.860,0.232,100,12.970,0.131,132.709,0.190,1.202,0.832,0.899
7,NTO-LC-800-4A-900-10H0003.tiff,0.058,24.155,0.240,24.155,0.240,0.897,0.899,0.300,100,24.013,0.302,23.199,0.274,1.088,0.919,0.927
8,NTO-LC-800-4A-900-10H0003.tiff,0.305,11.341,0.420,11.341,0.420,2.286,0.734,0.725,100,11.082,0.170,130.601,0.589,1.255,0.797,0.925
9,NTO-LC-800-4A-900-10H0003.tiff,0.045,17.596,0.239,17.596,0.239,0.794,0.892,0.267,100,17.469,0.223,168.690,0.223,1.170,0.855,0.930
10,NTO-LC-800-4A-900-10H0003.tiff,0.042,24.929,0.248,24.929,0.248,0.752,0.928,0.249,100,24.892,0.367,71.565,0.235,1.038,0.963,0.926
11,NTO-LC-800-4A-900-10H0003.tiff,0.030,16.181,0.259,16.181,0.259,0.641,0.916,0.232,100,16.131,0.157,106.390,0.170,1.274,0.785,0.943
12,NTO-LC-800-4A-900-10H0003.tiff,0.063,23.478,0.341,23.478,0.341,0.958,0.858,0.329,100,23.436,0.511,61.390,0.269,1.233,0.811,0.920
13,NTO-LC-800-4A-900-10H0003.tiff,0.007,16.884,0.258,16.884,0.258,0.298,0.924,0.113,100,16.852,0.302,54.462,0.092,1.148,0.871,0.884
14,NTO-LC-800-4A-900-10H0003.tiff,0.210,1.684,0.446,1.684,0.446,1.771,0.841,0.631,100,1.377,0.564,16.928,0.433,1.407,0.710,0.955
15,NTO-LC-800-4A-900-10H0003.tiff,0.068,0.313,0.404,0.313,0.404,0.987,0.876,0.322,100,0.289,0.249,101.768,0.299,1.035,0.966,0.927
16,NTO-LC-800-4A-900-10H0003.tiff,0.040,23.818,0.398,23.818,0.398,0.749,0.901,0.266,100,23.751,0.511,57.095,0.207,1.248,0.801,0.923
17,NTO-LC-800-4A-900-10H0003.tiff,0.069,16.612,0.505,16.612,0.505,1.015,0.845,0.361,100,16.446,0.577,19.093,0.260,1.342,0.745,0.912
18,NTO-LC-800-4A-900-10H0003.tiff,0.003,7.540,0.431,7.540,0.431,0.171,1.000,0.074,100,7.515,0.459,45.000,0.052,1.137,0.880,0.968
19,NTO-LC-800-4A-900-10H0003.tiff,0.044,6.321,0.559,6.321,0.559,0.819,0.829,0.310,100,6.203,0.656,36.384,0.196,1.637,0.611,0.899
20,NTO-LC-800-4A-900-10H0003.tiff,0.052,2.804,0.611,2.804,0.611,0.890,0.819,0.300,100,2.741,0.734,66.801,0.252,1.135,0.881,0.906
21,NTO-LC-800-4A-900-10H0003.tiff,0.047,14.866,0.573,14.866,0.573,0.786,0.951,0.270,100,14.741,0.630,29.055,0.236,1.098,0.911,0.943
22,NTO-LC-800-4A-900-10H0003.tiff,0.089,10.236,0.696,10.236,0.696,1.169,0.817,0.454,100,10.072,0.538,136.169,0.269,1.759,0.569,0.926
23,NTO-LC-800-4A-900-10H0003.tiff,0.003,9.707,0.538,9.707,0.538,0.193,0.985,0.083,100,9.666,0.551,18.435,0.052,1.448,0.691,0.829
24,NTO-LC-800-4A-900-10H0003.tiff,0.257,0.995,0.836,0.995,0.836,1.966,0.836,0.673,100,0.669,0.931,6.710,0.528,1.238,0.808,0.943
25,NTO-LC-800-4A-900-10H0003.tiff,0.014,4.983,0.634,4.983,0.634,0.436,0.900,0.160,100,4.944,0.564,124.992,0.130,1.201,0.832,0.893
26,NTO-LC-800-4A-900-10H0003.tiff,0.068,19.155,0.744,19.155,0.744,0.958,0.936,0.317,100,19.043,0.852,38.290,0.289,1.053,0.950,0.942
27,NTO-LC-800-4A-900-10H0003.tiff,0.408,21.977,1.230,21.975,1.231,3.523,0.413,1.171,97.934,21.862,1.757,77.053,0.524,2.550,0.392,0.833
28,NTO-LC-800-4A-900-10H0003.tiff,0.106,12.231,0.816,12.231,0.816,1.222,0.895,0.407,100,12.157,1.010,69.228,0.362,1.119,0.893,0.938
29,NTO-LC-800-4A-900-10H0003.tiff,0.010,23.721,0.702,23.721,0.702,0.372,0.936,0.135,100,23.685,0.643,119.055,0.116,1.132,0.883,0.882
30,NTO-LC-800-4A-900-10H0003.tiff,0.002,18.233,0.683,18.233,0.683,0.145,0.923,0.071,100,18.203,0.669,158.199,0.026,2.386,0.419,0.947
31,NTO-LC-800-4A-900-10H0003.tiff,0.005,15.543,0.759,15.543,0.759,0.283,0.838,0.112,100,15.515,0.708,110.556,0.079,1.306,0.766,0.838
32,NTO-LC-800-4A-900-10H0003.tiff,0.013,25.826,0.787,25.826,0.787,0.417,0.969,0.158,100,25.784,0.721,131.634,0.127,1.232,0.812,0.912
33,NTO-LC-800-4A-900-10H0003.tiff,0.044,9.894,0.855,9.894,0.855,0.797,0.878,0.290,100,9.757,0.813,161.565,0.223,1.293,0.774,0.925
34,NTO-LC-800-4A-900-10H0003.tiff,0.101,17.871,0.993,17.871,0.993,1.472,0.589,0.534,100,17.731,1.207,62.176,0.304,2.097,0.477,0.823
35,NTO-LC-800-4A-900-10H0003.tiff,0.008,16.234,0.790,16.234,0.790,0.335,0.943,0.130,100,16.184,0.748,135.000,0.092,1.290,0.775,0.899
36,NTO-LC-800-4A-900-10H0003.tiff,0.013,24.367,0.834,24.367,0.834,0.428,0.862,0.150,100,24.328,0.774,127.875,0.131,1.104,0.905,0.854
37,NTO-LC-800-4A-900-10H0003.tiff,0.205,25.200,1.025,25.200,1.025,1.802,0.792,0.587,100,24.892,1.036,10.305,0.507,1.152,0.868,0.921
38,NTO-LC-800-4A-900-10H0003.tiff,0.103,2.054,0.958,2.054,0.958,1.222,0.869,0.423,100,1.849,1.010,7.125,0.341,1.233,0.811,0.937
39,NTO-LC-800-4A-900-10H0003.tiff,0.013,6.934,0.856,6.933,0.857,0.465,0.780,0.160,94.872,6.846,0.852,170.538,0.131,1.086,0.921,0.848
40,NTO-LC-800-4A-900-10H0003.tiff,0.001,23.158,0.804,23.158,0.804,0.119,0.916,0.047,100,23.148,0.787,123.690,0.039,1.124,0.890,0.800
41,NTO-LC-800-4A-900-10H0003.tiff,0.061,4.302,0.933,4.302,0.933,1.084,0.647,0.382,100,4.144,1.010,22.166,0.254,1.854,0.540,0.813
42,NTO-LC-800-4A-900-10H0003.tiff,0.008,9.480,0.873,9.480,0.873,0.615,0.280,0.186,100,9.443,0.957,50.711,0.111,1.929,0.518,0.594
43,NTO-LC-800-4A-900-10H0003.tiff,0.045,15.396,0.947,15.396,0.947,0.805,0.871,0.270,100,15.357,1.075,75.964,0.235,1.150,0.870,0.913
44,NTO-LC-800-4A-900-10H0003.tiff,0.130,12.755,1.062,12.755,1.062,1.368,0.871,0.449,100,12.564,1.193,37.875,0.393,1.136,0.881,0.938
45,NTO-LC-800-4A-900-10H0003.tiff,0.094,14.672,1.116,14.672,1.116,1.174,0.860,0.427,100,14.636,0.905,100.620,0.289,1.455,0.687,0.948
