""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","800-5-28A.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

1.98,0.200,-0.04416,0.336,-0.001
1.96,0.300,-0.04416,0.333,-0.001
1.97,0.400,-0.04416,0.335,-0.001
1.99,0.500,-0.04416,0.337,-0.001
1.98,0.600,-0.04412,0.337,-0.001
1.97,0.700,-0.04412,0.334,-0.001
1.98,0.800,-0.04412,0.337,-0.001
1.97,0.900,-0.04408,0.334,-0.001
1.98,1.000,-0.04408,0.336,-0.001
1.99,1.100,-0.04408,0.337,-0.001
1.98,1.200,-0.04404,0.337,-0.001
1.98,1.300,-0.04404,0.336,-0.001
2.00,1.400,-0.04400,0.339,-0.001
2.00,1.500,-0.04400,0.340,-0.001
2.00,1.600,-0.04396,0.339,-0.001
2.01,1.700,-0.04396,0.341,-0.001
2.03,1.800,-0.04391,0.344,-0.001
2.05,1.900,-0.04391,0.348,-0.001
2.06,2.000,-0.04387,0.350,-0.001
2.13,2.100,-0.04379,0.362,-0.001
2.22,2.200,-0.04367,0.377,-0.001
2.30,2.300,-0.04354,0.391,-0.001
2.38,2.400,-0.04337,0.404,-0.001
2.44,2.500,-0.04325,0.414,-0.001
2.50,2.600,-0.04308,0.424,-0.001
2.56,2.700,-0.04296,0.434,-0.001
2.59,2.800,-0.04279,0.440,-0.001
2.64,2.900,-0.04267,0.447,-0.001
2.67,3.000,-0.04250,0.453,-0.001
2.70,3.100,-0.04238,0.459,-0.001
2.76,3.200,-0.04221,0.468,-0.001
2.80,3.300,-0.04209,0.474,-0.001
2.82,3.400,-0.04192,0.479,-0.001
2.88,3.500,-0.04175,0.488,-0.001
2.89,3.600,-0.04163,0.490,-0.001
2.93,3.700,-0.04146,0.497,-0.001
2.97,3.800,-0.04130,0.504,-0.001
3.02,3.900,-0.04113,0.513,-0.001
3.06,4.000,-0.04092,0.520,-0.001
3.10,4.100,-0.04076,0.526,-0.001
3.14,4.200,-0.04059,0.532,-0.001
3.17,4.300,-0.04038,0.537,-0.001
3.22,4.400,-0.04017,0.546,-0.001
3.26,4.500,-0.04001,0.552,-0.001
3.31,4.600,-0.03980,0.561,-0.001
3.35,4.700,-0.03959,0.568,-0.001
3.39,4.800,-0.03939,0.575,-0.001
3.44,4.900,-0.03918,0.584,-0.001
3.48,5.000,-0.03897,0.591,-0.001
3.51,5.100,-0.03880,0.596,-0.001
3.57,5.200,-0.03860,0.606,-0.001
3.61,5.300,-0.03839,0.612,-0.001
3.65,5.400,-0.03818,0.620,-0.001
3.69,5.500,-0.03801,0.626,-0.001
3.72,5.600,-0.03781,0.631,-0.001
3.77,5.700,-0.03764,0.640,-0.001
3.82,5.800,-0.03747,0.648,-0.001
3.85,5.900,-0.03731,0.653,-0.001
