""
"Test Method","Will_Huddleston_Load_Rate.msm"
"Sample I. D.","900-5-24C.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)"

-9.93,0.040,-0.00965
-9.93,0.060,-0.00965
-9.93,0.080,-0.00965
-9.93,0.100,-0.00965
-9.93,0.120,-0.00965
-9.93,0.140,-0.00965
-9.93,0.160,-0.00965
-9.94,0.180,-0.00965
-9.95,0.200,-0.00965
-9.95,0.220,-0.00965
-9.94,0.240,-0.00965
-9.93,0.260,-0.00965
-9.94,0.280,-0.00965
-9.94,0.300,-0.00965
-9.94,0.320,-0.00965
-9.94,0.340,-0.00965
-9.94,0.360,-0.00965
-9.94,0.380,-0.00965
-9.95,0.400,-0.00965
-9.95,0.420,-0.00965
-9.95,0.440,-0.00965
-9.94,0.460,-0.00965
-9.94,0.480,-0.00965
-9.94,0.500,-0.00965
-9.95,0.520,-0.00965
-9.95,0.540,-0.00965
-9.94,0.560,-0.00965
-9.94,0.580,-0.00965
-9.94,0.600,-0.00965
-9.94,0.620,-0.00965
-9.94,0.640,-0.00965
-9.95,0.660,-0.00965
-9.95,0.680,-0.00965
-9.94,0.700,-0.00965
-9.93,0.720,-0.00965
-9.92,0.740,-0.00965
-9.93,0.760,-0.00965
-9.94,0.780,-0.00965
-9.95,0.800,-0.00965
-9.95,0.820,-0.00965
-9.95,0.840,-0.00965
-9.95,0.860,-0.00965
-9.95,0.880,-0.00965
-9.94,0.900,-0.00965
-9.94,0.920,-0.00965
-9.94,0.940,-0.00965
-9.94,0.960,-0.00965
-9.94,0.980,-0.00965
-9.94,1.000,-0.00965
-9.95,1.020,-0.00965
-9.95,1.040,-0.00965
-9.94,1.060,-0.00965
-9.94,1.080,-0.00965
-9.94,1.100,-0.00965
-9.95,1.120,-0.00965
-9.95,1.140,-0.00965
-9.95,1.160,-0.00965
-9.95,1.180,-0.00965
-9.96,1.200,-0.00965
-9.96,1.220,-0.00965
-9.95,1.240,-0.00965
-9.94,1.260,-0.00965
-9.94,1.280,-0.00965
-9.94,1.300,-0.00965
-9.95,1.320,-0.00965
-9.95,1.340,-0.00965
-9.94,1.360,-0.00965
-9.93,1.380,-0.00965
-9.93,1.400,-0.00965
-9.94,1.420,-0.00965
-9.95,1.440,-0.00965
-9.95,1.460,-0.00965
-9.94,1.480,-0.00965
-9.94,1.500,-0.00965
-9.95,1.520,-0.00965
-9.95,1.540,-0.00965
-9.94,1.560,-0.00965
-9.94,1.580,-0.00965
-9.93,1.600,-0.00965
-9.93,1.620,-0.00965
-9.93,1.640,-0.00965
-9.94,1.660,-0.00965
-9.94,1.680,-0.00965
-9.94,1.700,-0.00965
-9.93,1.720,-0.00965
-9.93,1.740,-0.00965
-9.93,1.760,-0.00965
-9.94,1.780,-0.00965
-9.94,1.800,-0.00965
-9.94,1.820,-0.00965
-9.94,1.840,-0.00965
-9.94,1.860,-0.00965
-9.94,1.880,-0.00965
-9.93,1.900,-0.00965
-9.93,1.920,-0.00965
-9.95,1.940,-0.00965
-9.95,1.960,-0.00965
-9.94,1.980,-0.00965
-9.94,2.000,-0.00965
-9.94,2.020,-0.00965
-9.94,2.040,-0.00965
-9.94,2.060,-0.00965
-9.94,2.080,-0.00965
-9.94,2.100,-0.00965
-9.94,2.120,-0.00965
-9.94,2.140,-0.00965
-9.94,2.160,-0.00965
-9.94,2.180,-0.00965
-9.93,2.200,-0.00965
-9.93,2.220,-0.00965
-9.94,2.240,-0.00965
-9.95,2.260,-0.00965
-9.95,2.280,-0.00965
-9.95,2.300,-0.00965
-9.95,2.320,-0.00965
-9.95,2.340,-0.00965
-9.95,2.360,-0.00965
-9.95,2.380,-0.00965
-9.95,2.400,-0.00965
-9.94,2.420,-0.00965
-9.94,2.440,-0.00965
-9.94,2.460,-0.00965
-9.95,2.480,-0.00965
-9.95,2.500,-0.00965
-9.95,2.520,-0.00965
-9.95,2.540,-0.00965
-9.95,2.560,-0.00965
-9.94,2.580,-0.00965
-9.94,2.600,-0.00965
-9.95,2.620,-0.00965
-9.95,2.640,-0.00965
-9.94,2.660,-0.00965
-9.93,2.680,-0.00965
-9.93,2.700,-0.00965
-9.93,2.720,-0.00965
-9.94,2.740,-0.00965
-9.94,2.760,-0.00965
-9.94,2.780,-0.00965
-9.94,2.800,-0.00965
-9.94,2.820,-0.00965
-9.93,2.840,-0.00965
-9.93,2.860,-0.00965
-9.93,2.880,-0.00965
-9.94,2.900,-0.00965
-9.94,2.920,-0.00965
-9.94,2.940,-0.00965
-9.94,2.960,-0.00965
-9.94,2.980,-0.00965
-9.94,3.000,-0.00965
-9.94,3.020,-0.00965
-9.94,3.040,-0.00965
-9.95,3.060,-0.00965
-9.94,3.080,-0.00965
-9.94,3.100,-0.00965
-9.94,3.120,-0.00965
-9.95,3.140,-0.00965
-9.95,3.160,-0.00965
-9.95,3.180,-0.00965
-9.95,3.200,-0.00965
-9.95,3.220,-0.00965
-9.94,3.240,-0.00965
-9.94,3.260,-0.00965
-9.94,3.280,-0.00965
-9.94,3.300,-0.00965
-9.94,3.320,-0.00965
-9.94,3.340,-0.00965
-9.95,3.360,-0.00965
-9.95,3.380,-0.00965
-9.95,3.400,-0.00965
-9.95,3.420,-0.00965
-9.95,3.440,-0.00965
-9.95,3.460,-0.00965
-9.94,3.480,-0.00965
-9.94,3.500,-0.00965
-9.94,3.520,-0.00965
-9.94,3.540,-0.00965
-9.95,3.560,-0.00965
-9.95,3.580,-0.00965
-9.94,3.600,-0.00965
-9.95,3.620,-0.00965
-9.95,3.640,-0.00965
-9.95,3.660,-0.00965
-9.94,3.680,-0.00965
-9.93,3.700,-0.00965
-9.93,3.720,-0.00965
-9.94,3.740,-0.00965
-9.94,3.760,-0.00965
-9.94,3.780,-0.00965
-9.94,3.800,-0.00965
-9.95,3.820,-0.00965
-9.96,3.840,-0.00965
-9.96,3.860,-0.00965
-9.95,3.880,-0.00965
-9.95,3.900,-0.00965
-9.95,3.920,-0.00965
-9.95,3.940,-0.00965
-9.95,3.960,-0.00965
-9.95,3.980,-0.00965
-9.94,4.000,-0.00965
-9.94,4.020,-0.00965
-9.94,4.040,-0.00965
-9.94,4.060,-0.00965
-9.94,4.080,-0.00965
-9.93,4.100,-0.00965
-9.93,4.120,-0.00965
-9.94,4.140,-0.00965
-9.94,4.160,-0.00965
-9.94,4.180,-0.00965
-9.95,4.200,-0.00965
-9.95,4.220,-0.00965
-9.95,4.240,-0.00965
-9.94,4.260,-0.00965
-9.94,4.280,-0.00965
-9.96,4.300,-0.00965
-9.96,4.320,-0.00965
-9.96,4.340,-0.00965
-9.94,4.360,-0.00965
-9.94,4.380,-0.00965
-9.94,4.400,-0.00965
-9.94,4.420,-0.00965
-9.94,4.440,-0.00965
-9.94,4.460,-0.00965
-9.94,4.480,-0.00965
-9.95,4.500,-0.00965
-9.96,4.520,-0.00965
-9.95,4.540,-0.00965
-9.94,4.560,-0.00965
-9.94,4.580,-0.00965
-9.94,4.600,-0.00965
-9.94,4.620,-0.00965
-9.95,4.640,-0.00965
-9.95,4.660,-0.00965
-9.94,4.680,-0.00965
-9.94,4.700,-0.00965
-9.95,4.720,-0.00965
-9.95,4.740,-0.00965
-9.94,4.760,-0.00965
-9.94,4.780,-0.00965
-9.95,4.800,-0.00965
-9.94,4.820,-0.00965
-9.94,4.840,-0.00965
-9.94,4.860,-0.00965
-9.94,4.880,-0.00965
-9.94,4.900,-0.00965
-9.94,4.920,-0.00965
-9.94,4.940,-0.00965
-9.94,4.960,-0.00965
-9.94,4.980,-0.00965
-9.94,5.000,-0.00965
-9.94,5.020,-0.00965
-9.94,5.040,-0.00965
-9.94,5.060,-0.00965
-9.93,5.080,-0.00965
-9.93,5.100,-0.00965
-9.93,5.120,-0.00965
-9.93,5.140,-0.00965
-9.94,5.160,-0.00965
-9.94,5.180,-0.00965
-9.94,5.200,-0.00965
-9.93,5.220,-0.00965
-9.93,5.240,-0.00965
-9.93,5.260,-0.00965
-9.93,5.280,-0.00965
-9.94,5.300,-0.00965
-9.94,5.320,-0.00965
-9.93,5.340,-0.00965
-9.93,5.360,-0.00965
-9.94,5.380,-0.00965
-9.94,5.400,-0.00965
-9.95,5.420,-0.00965
-9.94,5.440,-0.00965
-9.93,5.460,-0.00965
-9.94,5.480,-0.00965
-9.95,5.500,-0.00965
-9.95,5.520,-0.00965
-9.94,5.540,-0.00965
-9.93,5.560,-0.00965
-9.93,5.580,-0.00965
-9.93,5.600,-0.00965
-9.93,5.620,-0.00965
-9.94,5.640,-0.00965
-9.94,5.660,-0.00965
-9.94,5.680,-0.00965
-9.94,5.700,-0.00965
-9.93,5.720,-0.00965
-9.93,5.740,-0.00965
-9.93,5.760,-0.00965
-9.92,5.780,-0.00965
-9.93,5.800,-0.00965
-9.94,5.820,-0.00965
-9.95,5.840,-0.00965
-9.96,5.860,-0.00965
-9.95,5.880,-0.00965
-9.94,5.900,-0.00965
-9.93,5.920,-0.00965
-9.93,5.940,-0.00965
-9.94,5.960,-0.00965
-9.94,5.980,-0.00965
-9.94,6.000,-0.00965
-9.94,6.020,-0.00965
-9.93,6.040,-0.00965
-9.93,6.060,-0.00965
-9.93,6.080,-0.00965
-9.93,6.100,-0.00965
-9.94,6.120,-0.00965
-9.94,6.140,-0.00965
-9.94,6.160,-0.00965
-9.93,6.180,-0.00965
-9.93,6.200,-0.00965
-9.93,6.220,-0.00965
-9.94,6.240,-0.00965
-9.93,6.260,-0.00965
-9.93,6.280,-0.00965
-9.92,6.300,-0.00965
-9.92,6.320,-0.00965
-9.94,6.340,-0.00965
-9.95,6.360,-0.00965
-9.95,6.380,-0.00965
-9.94,6.400,-0.00965
-9.93,6.420,-0.00965
-9.93,6.440,-0.00965
-9.94,6.460,-0.00965
-9.95,6.480,-0.00965
-9.95,6.500,-0.00965
-9.94,6.520,-0.00965
-9.94,6.540,-0.00965
-9.93,6.560,-0.00965
-9.93,6.580,-0.00965
-9.93,6.600,-0.00965
-9.93,6.620,-0.00965
-9.94,6.640,-0.00965
-9.94,6.660,-0.00965
-9.95,6.680,-0.00965
-9.94,6.700,-0.00965
-9.93,6.720,-0.00965
-9.93,6.740,-0.00965
-9.94,6.760,-0.00965
-9.94,6.780,-0.00965
-9.95,6.800,-0.00965
-9.95,6.820,-0.00965
-9.94,6.840,-0.00965
-9.94,6.860,-0.00965
-9.93,6.880,-0.00965
-9.92,6.900,-0.00965
-9.93,6.920,-0.00965
-9.93,6.940,-0.00965
-9.94,6.960,-0.00965
-9.94,6.980,-0.00965
-9.94,7.000,-0.00965
-9.94,7.020,-0.00965
-9.94,7.040,-0.00965
-9.95,7.060,-0.00965
-9.94,7.080,-0.00965
-9.94,7.100,-0.00965
-9.94,7.120,-0.00965
