""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","28w.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

3.46,0.200,-0.03547,0.465,-0.001
3.44,0.300,-0.03547,0.463,-0.001
3.46,0.400,-0.03547,0.465,-0.001
3.44,0.500,-0.03547,0.463,-0.001
3.47,0.600,-0.03547,0.467,-0.001
3.45,0.700,-0.03547,0.465,-0.001
3.48,0.800,-0.03547,0.468,-0.001
3.44,0.900,-0.03547,0.463,-0.001
3.47,1.000,-0.03547,0.466,-0.001
3.45,1.100,-0.03543,0.465,-0.001
3.47,1.200,-0.03543,0.467,-0.001
3.46,1.300,-0.03543,0.466,-0.001
3.48,1.400,-0.03543,0.468,-0.001
3.46,1.500,-0.03543,0.465,-0.001
3.47,1.600,-0.03543,0.467,-0.001
3.44,1.700,-0.03543,0.463,-0.001
3.46,1.800,-0.03539,0.465,-0.001
3.44,1.900,-0.03539,0.463,-0.001
3.46,2.000,-0.03539,0.466,-0.001
3.43,2.100,-0.03539,0.462,-0.001
3.45,2.200,-0.03539,0.465,-0.001
3.46,2.300,-0.03535,0.465,-0.001
3.47,2.400,-0.03535,0.466,-0.001
3.44,2.500,-0.03535,0.463,-0.001
3.45,2.600,-0.03535,0.465,-0.001
3.45,2.700,-0.03535,0.465,-0.001
3.45,2.800,-0.03535,0.465,-0.001
3.47,2.900,-0.03531,0.467,-0.001
3.45,3.000,-0.03531,0.464,-0.001
3.47,3.100,-0.03531,0.467,-0.001
3.47,3.200,-0.03531,0.467,-0.001
3.46,3.300,-0.03531,0.466,-0.001
3.45,3.400,-0.03527,0.465,-0.001
3.46,3.500,-0.03527,0.465,-0.001
3.46,3.600,-0.03527,0.466,-0.001
3.47,3.700,-0.03522,0.467,-0.001
3.46,3.800,-0.03522,0.466,-0.001
3.48,3.900,-0.03522,0.468,-0.001
3.48,4.000,-0.03522,0.468,-0.001
3.48,4.100,-0.03518,0.468,-0.001
3.48,4.200,-0.03518,0.468,-0.001
3.51,4.300,-0.03514,0.473,-0.001
3.49,4.400,-0.03514,0.469,-0.001
3.54,4.500,-0.03510,0.476,-0.001
3.52,4.600,-0.03506,0.474,-0.001
3.56,4.700,-0.03506,0.478,-0.001
3.55,4.800,-0.03502,0.478,-0.001
3.59,4.900,-0.03497,0.483,-0.001
3.61,5.000,-0.03493,0.486,-0.001
3.64,5.100,-0.03489,0.490,-0.001
3.67,5.200,-0.03481,0.493,-0.001
3.73,5.300,-0.03473,0.502,-0.001
3.75,5.400,-0.03464,0.505,-0.001
3.82,5.500,-0.03456,0.513,-0.001
3.84,5.600,-0.03452,0.516,-0.001
3.88,5.700,-0.03443,0.522,-0.001
3.91,5.800,-0.03435,0.526,-0.001
3.95,5.900,-0.03427,0.532,-0.001
3.95,6.000,-0.03419,0.532,-0.001
4.01,6.100,-0.03410,0.539,-0.001
4.01,6.200,-0.03402,0.540,-0.001
4.06,6.300,-0.03394,0.547,-0.001
4.07,6.400,-0.03385,0.547,-0.001
4.10,6.500,-0.03377,0.551,-0.001
4.12,6.600,-0.03369,0.554,-0.001
4.14,6.700,-0.03360,0.557,-0.001
4.16,6.800,-0.03348,0.559,-0.001
4.19,6.900,-0.03340,0.563,-0.001
4.21,7.000,-0.03331,0.566,-0.001
4.23,7.100,-0.03323,0.569,-0.001
4.25,7.200,-0.03315,0.572,-0.001
4.28,7.300,-0.03302,0.576,-0.001
4.29,7.400,-0.03294,0.578,-0.001
4.32,7.500,-0.03281,0.582,-0.001
4.35,7.600,-0.03273,0.585,-0.001
4.38,7.700,-0.03265,0.590,-0.001
4.39,7.800,-0.03252,0.591,-0.001
4.41,7.900,-0.03244,0.593,-0.001
4.43,8.000,-0.03232,0.596,-0.001
4.46,8.100,-0.03223,0.600,-0.001
4.47,8.200,-0.03211,0.602,-0.001
4.51,8.300,-0.03202,0.606,-0.001
4.51,8.400,-0.03194,0.607,-0.001
4.54,8.500,-0.03182,0.611,-0.001
4.56,8.600,-0.03173,0.613,-0.001
4.57,8.700,-0.03165,0.614,-0.001
4.60,8.800,-0.03153,0.619,-0.001
4.62,8.900,-0.03144,0.621,-0.001
4.63,9.000,-0.03136,0.624,-0.001
4.65,9.100,-0.03123,0.626,-0.001
4.68,9.200,-0.03115,0.629,-0.001
4.69,9.300,-0.03107,0.632,-0.001
4.71,9.400,-0.03099,0.633,-0.001
4.73,9.500,-0.03086,0.637,-0.001
4.75,9.600,-0.03078,0.639,-0.001
4.76,9.700,-0.03069,0.640,-0.001
4.78,9.800,-0.03061,0.643,-0.001
4.78,9.900,-0.03053,0.643,-0.001
4.81,10.000,-0.03045,0.648,-0.001
4.84,10.100,-0.03036,0.651,-0.001
4.84,10.200,-0.03028,0.650,-0.001
4.86,10.300,-0.03020,0.653,-0.001
4.87,10.400,-0.03011,0.656,-0.001
4.86,10.500,-0.03003,0.654,-0.001
4.89,10.600,-0.02995,0.657,-0.001
4.90,10.700,-0.02986,0.660,-0.001
4.93,10.800,-0.02978,0.663,-0.001
4.94,10.900,-0.02974,0.664,-0.001
4.96,11.000,-0.02966,0.667,-0.001
4.97,11.100,-0.02957,0.668,-0.001
4.98,11.200,-0.02949,0.670,-0.001
4.99,11.300,-0.02941,0.671,-0.001
5.00,11.400,-0.02936,0.672,-0.001
5.01,11.500,-0.02928,0.674,-0.001
5.03,11.600,-0.02920,0.676,-0.001
5.06,11.700,-0.02916,0.681,-0.001
5.07,11.800,-0.02907,0.682,-0.001
5.08,11.900,-0.02899,0.684,-0.001
5.09,12.000,-0.02895,0.684,-0.001
5.10,12.100,-0.02887,0.686,-0.001
5.11,12.200,-0.02878,0.687,-0.001
5.13,12.300,-0.02874,0.690,-0.001
5.14,12.400,-0.02866,0.691,-0.001
5.15,12.500,-0.02862,0.693,-0.001
5.16,12.600,-0.02853,0.695,-0.001
5.17,12.700,-0.02845,0.696,-0.001
5.21,12.800,-0.02841,0.701,-0.001
5.21,12.900,-0.02833,0.700,-0.001
5.21,13.000,-0.02828,0.701,-0.001
5.22,13.100,-0.02820,0.702,-0.001
5.25,13.200,-0.02812,0.706,-0.001
5.25,13.300,-0.02808,0.706,-0.001
5.28,13.400,-0.02799,0.710,-0.001
5.29,13.500,-0.02791,0.712,-0.001
5.31,13.600,-0.02787,0.714,-0.001
5.32,13.700,-0.02779,0.716,-0.001
5.32,13.800,-0.02770,0.716,-0.001
5.33,13.900,-0.02766,0.717,-0.001
5.35,14.000,-0.02758,0.720,-0.001
5.35,14.100,-0.02749,0.720,-0.001
5.38,14.200,-0.02741,0.724,-0.001
5.39,14.300,-0.02737,0.725,-0.001
5.40,14.400,-0.02729,0.727,-0.001
5.43,14.500,-0.02720,0.730,-0.001
5.43,14.600,-0.02712,0.731,-0.001
5.45,14.700,-0.02708,0.733,-0.001
