""
"Test Method","Will_Huddleston_Load_Rate.msm"
"Sample I. D.","Test_Setup.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

-0.03,0.080,0.00000,-0.003,0.000
-0.03,0.100,0.00000,-0.003,0.000
-0.04,0.120,0.00000,-0.004,0.000
-0.04,0.140,0.00000,-0.004,0.000
-0.04,0.160,0.00000,-0.004,0.000
-0.05,0.180,0.00000,-0.005,0.000
-0.04,0.200,0.00000,-0.004,0.000
-0.04,0.220,0.00000,-0.004,0.000
-0.04,0.240,0.00000,-0.004,0.000
-0.04,0.260,0.00000,-0.004,0.000
-0.05,0.280,0.00000,-0.005,0.000
-0.05,0.300,0.00000,-0.005,0.000
-0.04,0.320,0.00000,-0.004,0.000
-0.04,0.340,0.00000,-0.004,0.000
-0.04,0.360,0.00000,-0.004,0.000
-0.04,0.380,0.00000,-0.004,0.000
-0.04,0.400,0.00000,-0.004,0.000
-0.04,0.420,0.00000,-0.004,0.000
-0.04,0.440,0.00000,-0.004,0.000
-0.03,0.460,0.00000,-0.003,0.000
-0.04,0.480,0.00000,-0.004,0.000
-0.05,0.500,0.00000,-0.005,0.000
-0.05,0.520,0.00000,-0.005,0.000
-0.04,0.540,0.00000,-0.004,0.000
-0.04,0.560,0.00000,-0.004,0.000
-0.03,0.580,0.00000,-0.003,0.000
-0.03,0.600,0.00000,-0.003,0.000
-0.03,0.620,0.00000,-0.003,0.000
-0.03,0.640,0.00000,-0.003,0.000
-0.03,0.660,0.00000,-0.003,0.000
-0.03,0.680,0.00000,-0.003,0.000
-0.04,0.700,0.00000,-0.004,0.000
-0.04,0.720,0.00000,-0.004,0.000
-0.03,0.740,0.00000,-0.003,0.000
-0.03,0.760,0.00000,-0.003,0.000
-0.03,0.780,0.00000,-0.003,0.000
-0.04,0.800,0.00000,-0.004,0.000
-0.04,0.820,0.00000,-0.004,0.000
-0.04,0.840,0.00000,-0.004,0.000
-0.03,0.860,0.00000,-0.003,0.000
-0.03,0.880,0.00000,-0.003,0.000
-0.04,0.900,0.00000,-0.004,0.000
-0.04,0.920,0.00004,-0.004,0.000
-0.03,0.940,0.00004,-0.003,0.000
-0.04,0.960,0.00004,-0.004,0.000
-0.04,0.980,0.00004,-0.004,0.000
-0.04,1.000,0.00004,-0.004,0.000
-0.03,1.020,0.00004,-0.003,0.000
-0.03,1.040,0.00004,-0.003,0.000
-0.03,1.060,0.00004,-0.003,0.000
-0.03,1.080,0.00004,-0.003,0.000
