""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","900-5-35B.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

1.82,0.200,-0.09903,0.341,-0.002
1.81,0.300,-0.09903,0.340,-0.002
1.81,0.400,-0.09899,0.339,-0.002
1.82,0.500,-0.09899,0.341,-0.002
1.81,0.600,-0.09899,0.340,-0.002
1.81,0.700,-0.09895,0.339,-0.002
1.81,0.800,-0.09895,0.338,-0.002
1.82,0.900,-0.09891,0.341,-0.002
1.83,1.000,-0.09891,0.342,-0.002
1.82,1.100,-0.09887,0.341,-0.002
1.82,1.200,-0.09887,0.341,-0.002
1.82,1.300,-0.09883,0.342,-0.002
1.81,1.400,-0.09883,0.340,-0.002
1.81,1.500,-0.09878,0.340,-0.002
1.83,1.600,-0.09874,0.343,-0.002
1.84,1.700,-0.09866,0.345,-0.002
1.88,1.800,-0.09858,0.352,-0.002
1.90,1.900,-0.09845,0.356,-0.002
1.95,2.000,-0.09829,0.366,-0.002
2.01,2.100,-0.09812,0.376,-0.002
2.07,2.200,-0.09795,0.387,-0.002
2.11,2.300,-0.09779,0.395,-0.002
2.13,2.400,-0.09762,0.399,-0.002
2.15,2.500,-0.09750,0.403,-0.002
2.16,2.600,-0.09733,0.404,-0.002
2.17,2.700,-0.09721,0.406,-0.002
2.17,2.800,-0.09708,0.407,-0.002
2.19,2.900,-0.09696,0.411,-0.002
2.20,3.000,-0.09683,0.413,-0.002
2.21,3.100,-0.09671,0.415,-0.002
2.24,3.200,-0.09658,0.420,-0.002
2.25,3.300,-0.09642,0.422,-0.002
2.25,3.400,-0.09629,0.422,-0.002
2.25,3.500,-0.09617,0.421,-0.002
2.27,3.600,-0.09604,0.425,-0.002
2.27,3.700,-0.09592,0.425,-0.002
2.29,3.800,-0.09579,0.429,-0.002
2.30,3.900,-0.09567,0.430,-0.002
2.29,4.000,-0.09554,0.429,-0.002
2.30,4.100,-0.09542,0.432,-0.002
2.32,4.200,-0.09525,0.435,-0.002
2.33,4.300,-0.09513,0.436,-0.002
2.34,4.400,-0.09496,0.438,-0.002
2.36,4.500,-0.09484,0.442,-0.002
2.38,4.600,-0.09467,0.446,-0.002
2.38,4.700,-0.09455,0.446,-0.002
2.40,4.800,-0.09438,0.449,-0.002
2.40,4.900,-0.09425,0.449,-0.002
2.41,5.000,-0.09409,0.452,-0.002
2.44,5.100,-0.09396,0.457,-0.002
2.44,5.200,-0.09380,0.457,-0.002
2.46,5.300,-0.09367,0.461,-0.002
2.48,5.400,-0.09351,0.465,-0.002
2.48,5.500,-0.09334,0.465,-0.002
2.51,5.600,-0.09322,0.470,-0.002
2.53,5.700,-0.09305,0.474,-0.002
2.55,5.800,-0.09288,0.477,-0.002
2.55,5.900,-0.09272,0.478,-0.002
2.58,6.000,-0.09255,0.483,-0.002
2.60,6.100,-0.09238,0.486,-0.002
2.61,6.200,-0.09222,0.489,-0.002
2.62,6.300,-0.09205,0.491,-0.002
2.65,6.400,-0.09184,0.497,-0.002
2.68,6.500,-0.09168,0.501,-0.002
2.69,6.600,-0.09147,0.504,-0.002
2.71,6.700,-0.09126,0.507,-0.002
2.74,6.800,-0.09106,0.513,-0.002
2.77,6.900,-0.09085,0.518,-0.002
2.78,7.000,-0.09064,0.520,-0.002
2.81,7.100,-0.09043,0.527,-0.002
2.82,7.200,-0.09022,0.528,-0.002
2.84,7.300,-0.09002,0.531,-0.002
2.85,7.400,-0.08981,0.534,-0.002
2.87,7.500,-0.08960,0.537,-0.002
2.88,7.600,-0.08939,0.540,-0.002
2.90,7.700,-0.08923,0.544,-0.002
2.91,7.800,-0.08902,0.545,-0.002
2.93,7.900,-0.08885,0.550,-0.002
2.95,8.000,-0.08864,0.553,-0.002
2.96,8.100,-0.08848,0.555,-0.002
2.96,8.200,-0.08831,0.555,-0.002
2.98,8.300,-0.08815,0.559,-0.002
3.00,8.400,-0.08802,0.563,-0.002
3.01,8.500,-0.08786,0.564,-0.002
3.02,8.600,-0.08769,0.566,-0.002
3.04,8.700,-0.08756,0.569,-0.002
3.05,8.800,-0.08740,0.572,-0.002
3.04,8.900,-0.08727,0.569,-0.002
3.06,9.000,-0.08715,0.573,-0.002
3.06,9.100,-0.08698,0.574,-0.002
3.07,9.200,-0.08686,0.575,-0.002
3.10,9.300,-0.08673,0.581,-0.002
3.10,9.400,-0.08661,0.581,-0.002
3.11,9.500,-0.08644,0.583,-0.002
3.13,9.600,-0.08632,0.586,-0.002
3.15,9.700,-0.08615,0.590,-0.002
3.15,9.800,-0.08603,0.589,-0.002
3.16,9.900,-0.08590,0.591,-0.002
3.18,10.000,-0.08574,0.595,-0.002
3.18,10.100,-0.08557,0.596,-0.002
3.19,10.200,-0.08544,0.597,-0.002
3.20,10.300,-0.08528,0.600,-0.002
3.22,10.400,-0.08511,0.603,-0.002
3.25,10.500,-0.08499,0.608,-0.002
3.25,10.600,-0.08482,0.609,-0.002
3.25,10.700,-0.08466,0.608,-0.002
3.26,10.800,-0.08449,0.610,-0.002
3.26,10.900,-0.08436,0.612,-0.002
3.29,11.000,-0.08420,0.616,-0.002
3.30,11.100,-0.08403,0.618,-0.002
3.31,11.200,-0.08387,0.619,-0.002
3.31,11.300,-0.08370,0.621,-0.002
3.33,11.400,-0.08357,0.623,-0.002
3.33,11.500,-0.08341,0.624,-0.002
3.36,11.600,-0.08324,0.629,-0.002
3.36,11.700,-0.08308,0.630,-0.002
3.37,11.800,-0.08291,0.632,-0.002
3.37,11.900,-0.08270,0.632,-0.002
