""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","900-5-50C.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

106.04,0.200,-0.00012,14.205,0.000
106.02,0.300,-0.00012,14.202,0.000
106.03,0.400,-0.00012,14.205,0.000
106.01,0.500,-0.00012,14.201,0.000
106.02,0.600,-0.00012,14.203,0.000
106.00,0.700,-0.00012,14.200,0.000
106.00,0.800,-0.00012,14.201,0.000
106.00,0.900,-0.00012,14.201,0.000
106.01,1.000,-0.00012,14.201,0.000
106.01,1.100,-0.00012,14.201,0.000
106.00,1.200,-0.00012,14.200,0.000
105.99,1.300,-0.00012,14.199,0.000
105.99,1.400,-0.00008,14.199,0.000
106.01,1.500,-0.00008,14.201,0.000
105.98,1.600,-0.00008,14.198,0.000
105.98,1.700,-0.00008,14.198,0.000
105.99,1.800,-0.00008,14.198,0.000
105.99,1.900,-0.00008,14.199,0.000
105.98,2.000,-0.00008,14.197,0.000
106.00,2.100,-0.00008,14.201,0.000
105.97,2.200,-0.00008,14.196,0.000
105.99,2.300,-0.00004,14.199,0.000
105.98,2.400,-0.00004,14.197,0.000
105.98,2.500,-0.00004,14.197,0.000
105.95,2.600,-0.00004,14.194,0.000
105.99,2.700,-0.00004,14.199,0.000
105.94,2.800,-0.00004,14.192,0.000
105.97,2.900,-0.00004,14.197,0.000
105.95,3.000,-0.00004,14.194,0.000
105.97,3.100,0.00000,14.197,0.000
105.95,3.200,0.00000,14.193,0.000
105.97,3.300,0.00000,14.197,0.000
105.95,3.400,0.00000,14.193,0.000
105.97,3.500,0.00000,14.196,0.000
105.94,3.600,0.00000,14.193,0.000
105.97,3.700,0.00000,14.196,0.000
105.93,3.800,0.00000,14.191,0.000
105.97,3.900,0.00004,14.197,0.000
105.94,4.000,0.00004,14.193,0.000
105.97,4.100,0.00004,14.196,0.000
105.94,4.200,0.00004,14.192,0.000
105.97,4.300,0.00004,14.196,0.000
105.94,4.400,0.00004,14.193,0.000
105.95,4.500,0.00008,14.194,0.000
105.94,4.600,0.00008,14.192,0.000
105.95,4.700,0.00008,14.194,0.000
105.94,4.800,0.00008,14.192,0.000
105.95,4.900,0.00008,14.193,0.000
105.95,5.000,0.00008,14.194,0.000
105.95,5.100,0.00008,14.194,0.000
105.95,5.200,0.00012,14.194,0.000
105.96,5.300,0.00012,14.196,0.000
105.96,5.400,0.00012,14.195,0.000
105.97,5.500,0.00012,14.196,0.000
105.99,5.600,0.00017,14.199,0.000
106.02,5.700,0.00017,14.203,0.000
106.17,5.800,0.00025,14.223,0.000
106.39,5.900,0.00033,14.253,0.000
106.77,6.000,0.00042,14.303,0.000
107.14,6.100,0.00054,14.353,0.000
107.46,6.200,0.00062,14.397,0.000
107.74,6.300,0.00071,14.433,0.000
108.01,6.400,0.00079,14.470,0.000
108.24,6.500,0.00087,14.501,0.000
108.48,6.600,0.00096,14.533,0.000
108.69,6.700,0.00100,14.561,0.000
108.94,6.800,0.00108,14.594,0.000
109.14,6.900,0.00116,14.621,0.000
109.36,7.000,0.00125,14.651,0.000
109.57,7.100,0.00133,14.679,0.000
109.78,7.200,0.00141,14.707,0.000
109.98,7.300,0.00150,14.733,0.000
110.20,7.400,0.00158,14.763,0.000
110.38,7.500,0.00166,14.787,0.000
110.56,7.600,0.00175,14.811,0.000
110.74,7.700,0.00183,14.836,0.000
110.91,7.800,0.00187,14.858,0.000
111.09,7.900,0.00195,14.882,0.000
111.25,8.000,0.00204,14.904,0.000
111.42,8.100,0.00212,14.926,0.000
111.58,8.200,0.00220,14.948,0.000
111.76,8.300,0.00233,14.972,0.000
111.89,8.400,0.00241,14.989,0.000
112.03,8.500,0.00245,15.009,0.000
112.15,8.600,0.00253,15.025,0.000
112.32,8.700,0.00262,15.047,0.000
112.44,8.800,0.00270,15.063,0.000
112.62,8.900,0.00283,15.087,0.000
112.75,9.000,0.00291,15.104,0.000
112.91,9.100,0.00299,15.126,0.000
113.03,9.200,0.00308,15.143,0.000
113.19,9.300,0.00316,15.163,0.000
113.30,9.400,0.00324,15.178,0.000
113.45,9.500,0.00332,15.198,0.000
113.57,9.600,0.00341,15.214,0.000
113.71,9.700,0.00353,15.234,0.000
113.83,9.800,0.00362,15.250,0.000
114.01,9.900,0.00370,15.274,0.000
114.13,10.000,0.00378,15.289,0.000
