""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","900-5-50D.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

2.93,0.200,-0.22653,0.252,-0.004
2.94,0.300,-0.22653,0.253,-0.004
2.93,0.400,-0.22653,0.253,-0.004
2.93,0.500,-0.22653,0.253,-0.004
2.93,0.600,-0.22653,0.252,-0.004
2.93,0.700,-0.22653,0.253,-0.004
2.93,0.800,-0.22653,0.253,-0.004
2.92,0.900,-0.22653,0.251,-0.004
2.93,1.000,-0.22653,0.252,-0.004
2.92,1.100,-0.22653,0.252,-0.004
2.93,1.200,-0.22649,0.253,-0.004
2.92,1.300,-0.22649,0.252,-0.004
2.92,1.400,-0.22649,0.252,-0.004
2.92,1.500,-0.22649,0.252,-0.004
2.92,1.600,-0.22649,0.252,-0.004
2.92,1.700,-0.22649,0.252,-0.004
2.93,1.800,-0.22645,0.253,-0.004
2.91,1.900,-0.22645,0.251,-0.004
2.93,2.000,-0.22645,0.253,-0.004
2.92,2.100,-0.22645,0.252,-0.004
2.93,2.200,-0.22645,0.253,-0.004
2.93,2.300,-0.22645,0.253,-0.004
2.93,2.400,-0.22645,0.252,-0.004
2.93,2.500,-0.22641,0.252,-0.004
2.93,2.600,-0.22641,0.253,-0.004
2.93,2.700,-0.22641,0.253,-0.004
2.93,2.800,-0.22641,0.253,-0.004
2.92,2.900,-0.22641,0.252,-0.004
2.94,3.000,-0.22636,0.254,-0.004
2.92,3.100,-0.22636,0.252,-0.004
2.93,3.200,-0.22636,0.253,-0.004
2.92,3.300,-0.22636,0.252,-0.004
2.95,3.400,-0.22636,0.254,-0.004
2.93,3.500,-0.22632,0.253,-0.004
2.95,3.600,-0.22632,0.254,-0.004
2.95,3.700,-0.22632,0.254,-0.004
2.95,3.800,-0.22632,0.255,-0.004
2.96,3.900,-0.22628,0.255,-0.004
2.97,4.000,-0.22628,0.256,-0.004
2.97,4.100,-0.22628,0.256,-0.004
2.97,4.200,-0.22624,0.257,-0.004
2.99,4.300,-0.22624,0.258,-0.004
2.99,4.400,-0.22620,0.258,-0.004
3.02,4.500,-0.22616,0.261,-0.004
3.03,4.600,-0.22616,0.262,-0.004
3.06,4.700,-0.22612,0.264,-0.004
3.08,4.800,-0.22607,0.266,-0.004
3.10,4.900,-0.22603,0.268,-0.004
3.11,5.000,-0.22599,0.268,-0.004
3.14,5.100,-0.22595,0.271,-0.004
3.18,5.200,-0.22591,0.275,-0.004
3.22,5.300,-0.22582,0.277,-0.004
3.24,5.400,-0.22574,0.280,-0.004
3.29,5.500,-0.22570,0.283,-0.004
3.31,5.600,-0.22562,0.286,-0.004
3.34,5.700,-0.22553,0.288,-0.004
3.37,5.800,-0.22545,0.290,-0.004
3.41,5.900,-0.22537,0.294,-0.004
3.44,6.000,-0.22528,0.297,-0.004
3.46,6.100,-0.22524,0.298,-0.004
3.49,6.200,-0.22516,0.301,-0.004
3.52,6.300,-0.22508,0.303,-0.004
3.53,6.400,-0.22499,0.305,-0.004
3.57,6.500,-0.22491,0.308,-0.004
3.59,6.600,-0.22487,0.310,-0.004
3.60,6.700,-0.22479,0.311,-0.004
3.62,6.800,-0.22470,0.312,-0.004
3.65,6.900,-0.22462,0.315,-0.004
3.67,7.000,-0.22454,0.316,-0.004
3.69,7.100,-0.22445,0.318,-0.004
3.73,7.200,-0.22437,0.322,-0.004
3.74,7.300,-0.22429,0.323,-0.004
3.77,7.400,-0.22420,0.325,-0.004
3.78,7.500,-0.22412,0.326,-0.004
3.80,7.600,-0.22404,0.328,-0.004
3.82,7.700,-0.22395,0.329,-0.004
3.83,7.800,-0.22383,0.331,-0.004
3.87,7.900,-0.22375,0.334,-0.004
3.87,8.000,-0.22366,0.334,-0.004
3.91,8.100,-0.22354,0.337,-0.004
3.92,8.200,-0.22346,0.338,-0.004
3.94,8.300,-0.22337,0.340,-0.004
3.96,8.400,-0.22325,0.342,-0.004
3.97,8.500,-0.22316,0.343,-0.004
4.00,8.600,-0.22308,0.345,-0.004
4.02,8.700,-0.22296,0.347,-0.004
4.04,8.800,-0.22287,0.349,-0.004
4.06,8.900,-0.22275,0.350,-0.004
4.07,9.000,-0.22267,0.351,-0.004
4.10,9.100,-0.22258,0.353,-0.004
4.11,9.200,-0.22246,0.354,-0.004
4.13,9.300,-0.22238,0.356,-0.004
4.15,9.400,-0.22229,0.358,-0.004
4.16,9.500,-0.22217,0.359,-0.004
4.19,9.600,-0.22208,0.361,-0.004
4.22,9.700,-0.22196,0.364,-0.004
4.22,9.800,-0.22188,0.364,-0.004
4.23,9.900,-0.22179,0.365,-0.004
4.24,10.000,-0.22167,0.366,-0.004
4.27,10.100,-0.22159,0.369,-0.004
4.29,10.200,-0.22150,0.370,-0.004
4.31,10.300,-0.22142,0.372,-0.004
4.33,10.400,-0.22134,0.373,-0.004
4.31,10.500,-0.22121,0.372,-0.004
4.35,10.600,-0.22113,0.375,-0.004
4.36,10.700,-0.22105,0.377,-0.004
4.37,10.800,-0.22096,0.377,-0.004
4.38,10.900,-0.22088,0.378,-0.004
4.40,11.000,-0.22080,0.379,-0.004
4.40,11.100,-0.22071,0.380,-0.004
4.42,11.200,-0.22063,0.381,-0.004
4.42,11.300,-0.22055,0.382,-0.004
4.44,11.400,-0.22051,0.383,-0.004
4.43,11.500,-0.22042,0.382,-0.004
4.45,11.600,-0.22034,0.384,-0.004
4.46,11.700,-0.22026,0.385,-0.004
4.47,11.800,-0.22017,0.385,-0.004
4.47,11.900,-0.22013,0.385,-0.004
4.49,12.000,-0.22005,0.388,-0.004
4.50,12.100,-0.21997,0.388,-0.004
4.50,12.200,-0.21988,0.388,-0.004
4.52,12.300,-0.21984,0.390,-0.004
4.51,12.400,-0.21976,0.389,-0.004
4.53,12.500,-0.21967,0.391,-0.004
4.53,12.600,-0.21963,0.391,-0.004
4.54,12.700,-0.21955,0.392,-0.004
4.54,12.800,-0.21947,0.392,-0.004
4.55,12.900,-0.21942,0.392,-0.004
4.55,13.000,-0.21934,0.393,-0.004
4.58,13.100,-0.21930,0.395,-0.004
4.59,13.200,-0.21922,0.396,-0.004
4.59,13.300,-0.21913,0.396,-0.004
4.60,13.400,-0.21909,0.397,-0.004
4.63,13.500,-0.21901,0.399,-0.004
4.61,13.600,-0.21893,0.398,-0.004
4.62,13.700,-0.21888,0.398,-0.004
4.63,13.800,-0.21880,0.399,-0.004
4.65,13.900,-0.21876,0.401,-0.004
4.65,14.000,-0.21868,0.401,-0.004
4.68,14.100,-0.21859,0.403,-0.004
4.68,14.200,-0.21855,0.404,-0.004
4.69,14.300,-0.21847,0.404,-0.004
4.71,14.400,-0.21839,0.406,-0.004
4.71,14.500,-0.21834,0.406,-0.004
4.74,14.600,-0.21826,0.409,-0.004
4.74,14.700,-0.21818,0.409,-0.004
4.76,14.800,-0.21814,0.410,-0.004
4.78,14.900,-0.21805,0.412,-0.004
4.77,15.000,-0.21797,0.412,-0.004
4.79,15.100,-0.21793,0.413,-0.004
4.80,15.200,-0.21785,0.414,-0.004
4.81,15.300,-0.21776,0.415,-0.004
4.83,15.400,-0.21768,0.417,-0.004
4.83,15.500,-0.21764,0.417,-0.004
4.85,15.600,-0.21755,0.418,-0.004
4.86,15.700,-0.21747,0.419,-0.004
4.88,15.800,-0.21739,0.421,-0.004
4.90,15.900,-0.21731,0.422,-0.004
