""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","100-5-35C.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

2.16,0.200,-0.06441,0.408,-0.001
2.16,0.300,-0.06441,0.408,-0.001
2.17,0.400,-0.06441,0.409,-0.001
2.17,0.500,-0.06441,0.409,-0.001
2.16,0.600,-0.06437,0.408,-0.001
2.17,0.700,-0.06437,0.410,-0.001
2.15,0.800,-0.06437,0.407,-0.001
2.16,0.900,-0.06433,0.407,-0.001
2.16,1.000,-0.06433,0.408,-0.001
2.16,1.100,-0.06433,0.409,-0.001
2.15,1.200,-0.06429,0.406,-0.001
2.18,1.300,-0.06429,0.412,-0.001
2.20,1.400,-0.06429,0.415,-0.001
2.17,1.500,-0.06425,0.409,-0.001
2.18,1.600,-0.06425,0.411,-0.001
2.19,1.700,-0.06420,0.414,-0.001
2.20,1.800,-0.06416,0.415,-0.001
2.20,1.900,-0.06412,0.416,-0.001
2.25,2.000,-0.06404,0.425,-0.001
2.27,2.100,-0.06391,0.430,-0.001
2.29,2.200,-0.06379,0.433,-0.001
2.30,2.300,-0.06362,0.435,-0.001
2.32,2.400,-0.06346,0.439,-0.001
2.31,2.500,-0.06333,0.437,-0.001
2.31,2.600,-0.06317,0.437,-0.001
2.34,2.700,-0.06304,0.442,-0.001
2.33,2.800,-0.06287,0.440,-0.001
2.32,2.900,-0.06271,0.438,-0.001
2.34,3.000,-0.06258,0.443,-0.001
2.34,3.100,-0.06242,0.442,-0.001
2.33,3.200,-0.06225,0.440,-0.001
2.34,3.300,-0.06208,0.442,-0.001
2.33,3.400,-0.06192,0.441,-0.001
2.34,3.500,-0.06175,0.441,-0.001
2.36,3.600,-0.06154,0.445,-0.001
2.36,3.700,-0.06138,0.445,-0.001
2.36,3.800,-0.06117,0.446,-0.001
2.37,3.900,-0.06100,0.448,-0.001
2.37,4.000,-0.06080,0.448,-0.001
2.38,4.100,-0.06059,0.449,-0.001
2.39,4.200,-0.06038,0.451,-0.001
2.38,4.300,-0.06017,0.450,-0.001
2.38,4.400,-0.05997,0.449,-0.001
2.39,4.500,-0.05976,0.452,-0.001
2.40,4.600,-0.05959,0.453,-0.001
2.41,4.700,-0.05938,0.455,-0.001
2.40,4.800,-0.05918,0.454,-0.001
2.39,4.900,-0.05901,0.452,-0.001
2.40,5.000,-0.05884,0.452,-0.001
2.42,5.100,-0.05864,0.457,-0.001
2.38,5.200,-0.05847,0.450,-0.001
2.39,5.300,-0.05830,0.452,-0.001
2.40,5.400,-0.05814,0.454,-0.001
2.41,5.500,-0.05801,0.455,-0.001
2.40,5.600,-0.05785,0.453,-0.001
2.42,5.700,-0.05768,0.458,-0.001
2.40,5.800,-0.05756,0.453,-0.001
2.40,5.900,-0.05739,0.454,-0.001
2.42,6.000,-0.05726,0.458,-0.001
2.42,6.100,-0.05714,0.456,-0.001
2.42,6.200,-0.05697,0.457,-0.001
2.42,6.300,-0.05685,0.458,-0.001
2.43,6.400,-0.05672,0.459,-0.001
2.43,6.500,-0.05660,0.459,-0.001
2.42,6.600,-0.05643,0.456,-0.001
2.42,6.700,-0.05631,0.458,-0.001
2.42,6.800,-0.05618,0.458,-0.001
2.43,6.900,-0.05602,0.459,-0.001
2.43,7.000,-0.05589,0.459,-0.001
2.43,7.100,-0.05577,0.458,-0.001
2.44,7.200,-0.05560,0.460,-0.001
2.45,7.300,-0.05548,0.463,-0.001
2.45,7.400,-0.05531,0.463,-0.001
2.44,7.500,-0.05519,0.460,-0.001
2.45,7.600,-0.05502,0.462,-0.001
2.45,7.700,-0.05490,0.463,-0.001
2.44,7.800,-0.05473,0.462,-0.001
2.45,7.900,-0.05460,0.462,-0.001
2.45,8.000,-0.05444,0.464,-0.001
2.43,8.100,-0.05427,0.460,-0.001
2.44,8.200,-0.05411,0.462,-0.001
2.46,8.300,-0.05398,0.464,-0.001
2.45,8.400,-0.05382,0.462,-0.001
2.45,8.500,-0.05365,0.462,-0.001
2.47,8.600,-0.05352,0.467,-0.001
2.48,8.700,-0.05332,0.468,-0.001
2.47,8.800,-0.05319,0.466,-0.001
2.49,8.900,-0.05298,0.471,-0.001
2.48,9.000,-0.05282,0.469,-0.001
2.49,9.100,-0.05265,0.471,-0.001
2.49,9.200,-0.05244,0.470,-0.001
2.50,9.300,-0.05228,0.472,-0.001
2.49,9.400,-0.05211,0.470,-0.001
2.49,9.500,-0.05190,0.471,-0.001
2.50,9.600,-0.05170,0.472,-0.001
2.50,9.700,-0.05149,0.472,-0.001
2.50,9.800,-0.05128,0.472,-0.001
2.51,9.900,-0.05107,0.474,-0.001
2.50,10.000,-0.05086,0.473,-0.001
2.50,10.100,-0.05062,0.473,-0.001
2.52,10.200,-0.05041,0.476,-0.001
2.52,10.300,-0.05020,0.476,-0.001
2.51,10.400,-0.04999,0.475,-0.001
2.53,10.500,-0.04978,0.477,-0.001
2.52,10.600,-0.04962,0.476,-0.001
2.53,10.700,-0.04941,0.478,-0.001
2.51,10.800,-0.04924,0.474,-0.001
2.52,10.900,-0.04904,0.476,-0.001
2.52,11.000,-0.04887,0.476,-0.001
2.52,11.100,-0.04870,0.477,-0.001
2.53,11.200,-0.04858,0.478,-0.001
2.53,11.300,-0.04841,0.479,-0.001
2.53,11.400,-0.04829,0.478,-0.001
2.54,11.500,-0.04812,0.479,-0.001
2.54,11.600,-0.04800,0.480,-0.001
2.55,11.700,-0.04783,0.481,-0.001
2.55,11.800,-0.04771,0.483,-0.001
2.55,11.900,-0.04754,0.482,-0.001
2.57,12.000,-0.04742,0.486,-0.001
2.56,12.100,-0.04729,0.484,-0.001
2.56,12.200,-0.04717,0.484,-0.001
2.56,12.300,-0.04704,0.484,-0.001
2.58,12.400,-0.04688,0.487,-0.001
2.59,12.500,-0.04675,0.489,-0.001
2.60,12.600,-0.04663,0.492,-0.001
2.60,12.700,-0.04646,0.492,-0.001
2.60,12.800,-0.04634,0.490,-0.001
2.63,12.900,-0.04617,0.496,-0.001
2.63,13.000,-0.04604,0.496,-0.001
2.64,13.100,-0.04588,0.499,-0.001
2.63,13.200,-0.04575,0.497,-0.001
2.65,13.300,-0.04559,0.500,-0.001
2.66,13.400,-0.04542,0.503,-0.001
2.66,13.500,-0.04530,0.503,-0.001
2.67,13.600,-0.04513,0.504,-0.001
2.68,13.700,-0.04496,0.506,-0.001
2.70,13.800,-0.04484,0.510,-0.001
2.73,13.900,-0.04467,0.515,-0.001
2.72,14.000,-0.04451,0.514,-0.001
2.74,14.100,-0.04434,0.517,-0.001
2.76,14.200,-0.04417,0.520,-0.001
2.76,14.300,-0.04401,0.521,-0.001
2.79,14.400,-0.04384,0.527,-0.001
2.80,14.500,-0.04368,0.529,-0.001
2.82,14.600,-0.04351,0.533,-0.001
2.83,14.700,-0.04334,0.535,-0.001
2.86,14.800,-0.04314,0.539,-0.001
2.86,14.900,-0.04297,0.540,-0.001
2.88,15.000,-0.04276,0.544,-0.001
2.89,15.100,-0.04260,0.547,-0.001
2.91,15.200,-0.04239,0.550,-0.001
2.93,15.300,-0.04218,0.554,-0.001
2.94,15.400,-0.04197,0.554,-0.001
2.96,15.500,-0.04176,0.560,-0.001
2.98,15.600,-0.04156,0.563,-0.001
3.01,15.700,-0.04135,0.568,-0.001
3.01,15.800,-0.04114,0.569,-0.001
3.01,15.900,-0.04093,0.569,-0.001
3.05,16.000,-0.04073,0.575,-0.001
3.07,16.100,-0.04052,0.581,-0.001
3.07,16.200,-0.04031,0.580,-0.001
3.09,16.300,-0.04010,0.584,-0.001
3.10,16.400,-0.03994,0.586,-0.001
3.11,16.500,-0.03973,0.587,-0.001
3.15,16.600,-0.03956,0.595,-0.001
3.15,16.700,-0.03940,0.594,-0.001
3.15,16.800,-0.03923,0.596,-0.001
3.18,16.900,-0.03906,0.601,-0.001
3.18,17.000,-0.03894,0.601,-0.001
3.18,17.100,-0.03877,0.600,-0.001
3.23,17.200,-0.03861,0.609,-0.001
3.23,17.300,-0.03848,0.609,-0.001
3.23,17.400,-0.03831,0.610,-0.001
3.25,17.500,-0.03819,0.614,-0.001
3.27,17.600,-0.03807,0.617,-0.001
3.26,17.700,-0.03790,0.616,-0.001
3.28,17.800,-0.03777,0.619,-0.001
3.30,17.900,-0.03765,0.624,-0.001
3.33,18.000,-0.03748,0.628,-0.001
3.33,18.100,-0.03736,0.629,-0.001
3.34,18.200,-0.03723,0.631,-0.001
3.35,18.300,-0.03707,0.633,-0.001
3.36,18.400,-0.03694,0.635,-0.001
3.38,18.500,-0.03678,0.638,-0.001
3.40,18.600,-0.03665,0.642,-0.001
3.41,18.700,-0.03649,0.643,-0.001
3.40,18.800,-0.03636,0.642,-0.001
3.43,18.900,-0.03620,0.648,-0.001
3.44,19.000,-0.03603,0.650,-0.001
3.47,19.100,-0.03590,0.655,-0.001
3.48,19.200,-0.03574,0.658,-0.001
3.50,19.300,-0.03557,0.662,-0.001
3.50,19.400,-0.03541,0.661,-0.001
3.52,19.500,-0.03528,0.665,-0.001
3.53,19.600,-0.03512,0.667,-0.001
3.55,19.700,-0.03495,0.670,-0.001
3.55,19.800,-0.03478,0.671,-0.001
3.59,19.900,-0.03462,0.678,-0.001
3.60,20.000,-0.03449,0.679,-0.001
3.61,20.100,-0.03433,0.682,-0.001
3.64,20.200,-0.03416,0.688,-0.001
3.64,20.300,-0.03395,0.688,-0.001
3.66,20.400,-0.03379,0.692,-0.001
3.69,20.500,-0.03362,0.697,-0.001
3.72,20.600,-0.03341,0.703,-0.001
3.73,20.700,-0.03325,0.704,-0.001
3.75,20.800,-0.03304,0.708,-0.001
3.78,20.900,-0.03283,0.713,-0.001
3.80,21.000,-0.03262,0.718,-0.001
3.82,21.100,-0.03241,0.721,-0.001
3.86,21.200,-0.03221,0.728,-0.001
3.87,21.300,-0.03200,0.731,-0.001
3.88,21.400,-0.03179,0.733,-0.001
3.92,21.500,-0.03158,0.740,-0.001
3.93,21.600,-0.03138,0.742,-0.001
3.94,21.700,-0.03117,0.745,-0.001
3.97,21.800,-0.03096,0.750,-0.001
3.99,21.900,-0.03075,0.753,-0.001
3.99,22.000,-0.03059,0.754,-0.001
4.03,22.100,-0.03038,0.761,-0.001
4.04,22.200,-0.03021,0.763,-0.001
4.06,22.300,-0.03005,0.767,-0.001
4.07,22.400,-0.02988,0.768,-0.001
4.10,22.500,-0.02971,0.775,-0.001
4.11,22.600,-0.02955,0.777,-0.001
4.11,22.700,-0.02938,0.777,-0.001
4.14,22.800,-0.02926,0.782,-0.001
4.14,22.900,-0.02909,0.782,-0.001
4.16,23.000,-0.02896,0.785,-0.001
4.18,23.100,-0.02880,0.789,-0.001
4.21,23.200,-0.02867,0.794,-0.001
4.20,23.300,-0.02855,0.794,-0.001
4.22,23.400,-0.02838,0.798,-0.001
4.23,23.500,-0.02826,0.800,-0.001
4.23,23.600,-0.02813,0.799,-0.001
4.26,23.700,-0.02797,0.804,-0.001
4.27,23.800,-0.02784,0.807,-0.001
4.29,23.900,-0.02772,0.811,-0.001
4.32,24.000,-0.02755,0.816,-0.001
4.33,24.100,-0.02743,0.818,-0.001
4.34,24.200,-0.02726,0.819,-0.001
4.35,24.300,-0.02714,0.822,-0.001
4.36,24.400,-0.02697,0.824,-0.001
4.39,24.500,-0.02685,0.829,-0.001
4.41,24.600,-0.02668,0.834,-0.001
4.42,24.700,-0.02655,0.835,-0.001
4.44,24.800,-0.02639,0.839,-0.001
4.47,24.900,-0.02622,0.845,-0.001
4.48,25.000,-0.02610,0.846,-0.001
4.48,25.100,-0.02593,0.846,-0.001
4.51,25.200,-0.02577,0.852,-0.001
4.52,25.300,-0.02564,0.854,-0.001
4.54,25.400,-0.02547,0.857,-0.001
4.56,25.500,-0.02531,0.861,0.000
4.59,25.600,-0.02514,0.867,0.000
4.61,25.700,-0.02498,0.870,0.000
4.62,25.800,-0.02481,0.873,0.000
4.63,25.900,-0.02464,0.875,0.000
4.66,26.000,-0.02448,0.881,0.000
4.68,26.100,-0.02431,0.884,0.000
4.73,26.200,-0.02414,0.893,0.000
4.75,26.300,-0.02394,0.896,0.000
4.78,26.400,-0.02373,0.903,0.000
4.80,26.500,-0.02352,0.907,0.000
4.82,26.600,-0.02331,0.910,0.000
4.85,26.700,-0.02311,0.916,0.000
4.90,26.800,-0.02290,0.926,0.000
4.91,26.900,-0.02269,0.928,0.000
4.93,27.000,-0.02248,0.931,0.000
4.95,27.100,-0.02227,0.936,0.000
4.98,27.200,-0.02207,0.941,0.000
5.01,27.300,-0.02186,0.946,0.000
5.04,27.400,-0.02165,0.952,0.000
5.06,27.500,-0.02144,0.955,0.000
5.08,27.600,-0.02128,0.959,0.000
5.10,27.700,-0.02107,0.963,0.000
5.12,27.800,-0.02090,0.967,0.000
5.13,27.900,-0.02074,0.969,0.000
5.14,28.000,-0.02057,0.971,0.000
5.18,28.100,-0.02040,0.978,0.000
5.19,28.200,-0.02024,0.980,0.000
5.20,28.300,-0.02011,0.982,0.000
5.20,28.400,-0.01995,0.982,0.000
5.23,28.500,-0.01982,0.987,0.000
5.24,28.600,-0.01966,0.990,0.000
5.26,28.700,-0.01953,0.993,0.000
5.28,28.800,-0.01941,0.997,0.000
5.31,28.900,-0.01924,1.002,0.000
5.33,29.000,-0.01912,1.007,0.000
5.33,29.100,-0.01899,1.006,0.000
5.35,29.200,-0.01887,1.011,0.000
5.38,29.300,-0.01874,1.016,0.000
5.40,29.400,-0.01858,1.020,0.000
5.44,29.500,-0.01845,1.028,0.000
5.46,29.600,-0.01833,1.031,0.000
5.48,29.700,-0.01816,1.035,0.000
5.50,29.800,-0.01804,1.039,0.000
5.53,29.900,-0.01787,1.044,0.000
5.55,30.000,-0.01774,1.048,0.000
5.58,30.100,-0.01758,1.055,0.000
5.62,30.200,-0.01741,1.062,0.000
5.63,30.300,-0.01729,1.064,0.000
5.67,30.400,-0.01712,1.071,0.000
5.69,30.500,-0.01696,1.075,0.000
5.72,30.600,-0.01683,1.081,0.000
5.75,30.700,-0.01666,1.086,0.000
5.78,30.800,-0.01650,1.092,0.000
5.81,30.900,-0.01637,1.097,0.000
5.84,31.000,-0.01621,1.102,0.000
5.87,31.100,-0.01604,1.109,0.000
5.90,31.200,-0.01587,1.114,0.000
5.93,31.300,-0.01575,1.121,0.000
5.97,31.400,-0.01558,1.127,0.000
6.00,31.500,-0.01542,1.133,0.000
6.03,31.600,-0.01525,1.140,0.000
6.06,31.700,-0.01509,1.145,0.000
6.10,31.800,-0.01488,1.152,0.000
6.14,31.900,-0.01471,1.159,0.000
6.18,32.000,-0.01450,1.167,0.000
6.21,32.100,-0.01430,1.173,0.000
6.26,32.200,-0.01409,1.182,0.000
6.30,32.300,-0.01388,1.191,0.000
6.35,32.400,-0.01367,1.199,0.000
6.38,32.500,-0.01346,1.206,0.000
6.42,32.600,-0.01326,1.213,0.000
6.45,32.700,-0.01305,1.219,0.000
6.50,32.800,-0.01284,1.228,0.000
6.54,32.900,-0.01263,1.235,0.000
6.57,33.000,-0.01243,1.240,0.000
6.60,33.100,-0.01222,1.247,0.000
6.65,33.200,-0.01201,1.255,0.000
6.68,33.300,-0.01184,1.262,0.000
6.72,33.400,-0.01164,1.269,0.000
6.74,33.500,-0.01147,1.273,0.000
6.77,33.600,-0.01130,1.279,0.000
6.80,33.700,-0.01114,1.284,0.000
6.84,33.800,-0.01097,1.293,0.000
6.87,33.900,-0.01080,1.298,0.000
6.89,34.000,-0.01068,1.302,0.000
6.91,34.100,-0.01051,1.305,0.000
6.94,34.200,-0.01035,1.311,0.000
6.98,34.300,-0.01022,1.318,0.000
7.01,34.400,-0.01006,1.324,0.000
7.02,34.500,-0.00993,1.325,0.000
7.06,34.600,-0.00981,1.333,0.000
7.08,34.700,-0.00964,1.338,0.000
7.11,34.800,-0.00952,1.344,0.000
7.13,34.900,-0.00939,1.346,0.000
7.16,35.000,-0.00927,1.352,0.000
7.20,35.100,-0.00910,1.359,0.000
7.21,35.200,-0.00898,1.362,0.000
7.23,35.300,-0.00885,1.365,0.000
7.26,35.400,-0.00869,1.372,0.000
7.30,35.500,-0.00856,1.378,0.000
7.32,35.600,-0.00839,1.383,0.000
7.36,35.700,-0.00827,1.391,0.000
7.40,35.800,-0.00810,1.397,0.000
7.41,35.900,-0.00798,1.400,0.000
7.45,36.000,-0.00781,1.407,0.000
7.48,36.100,-0.00769,1.413,0.000
7.51,36.200,-0.00752,1.418,0.000
7.54,36.300,-0.00736,1.423,0.000
7.57,36.400,-0.00723,1.429,0.000
7.59,36.500,-0.00706,1.434,0.000
7.62,36.600,-0.00690,1.439,0.000
7.65,36.700,-0.00677,1.444,0.000
7.71,36.800,-0.00661,1.455,0.000
7.74,36.900,-0.00644,1.462,0.000
7.79,37.000,-0.00632,1.472,0.000
7.81,37.100,-0.00615,1.475,0.000
7.83,37.200,-0.00598,1.480,0.000
7.87,37.300,-0.00582,1.486,0.000
7.91,37.400,-0.00565,1.495,0.000
7.96,37.500,-0.00549,1.503,0.000
7.98,37.600,-0.00528,1.508,0.000
8.04,37.700,-0.00511,1.518,0.000
8.07,37.800,-0.00490,1.525,0.000
8.12,37.900,-0.00474,1.534,0.000
8.17,38.000,-0.00453,1.542,0.000
8.22,38.100,-0.00432,1.552,0.000
8.27,38.200,-0.00411,1.562,0.000
8.32,38.300,-0.00391,1.572,0.000
8.36,38.400,-0.00370,1.580,0.000
8.40,38.500,-0.00349,1.586,0.000
8.45,38.600,-0.00332,1.595,0.000
8.49,38.700,-0.00312,1.603,0.000
8.53,38.800,-0.00291,1.611,0.000
8.57,38.900,-0.00270,1.618,0.000
8.61,39.000,-0.00249,1.626,0.000
8.65,39.100,-0.00233,1.633,0.000
8.69,39.200,-0.00212,1.641,0.000
8.73,39.300,-0.00195,1.649,0.000
8.76,39.400,-0.00179,1.654,0.000
8.80,39.500,-0.00162,1.662,0.000
8.83,39.600,-0.00145,1.668,0.000
8.87,39.700,-0.00129,1.675,0.000
8.91,39.800,-0.00116,1.682,0.000
8.94,39.900,-0.00100,1.689,0.000
8.97,40.000,-0.00083,1.694,0.000
9.01,40.100,-0.00071,1.702,0.000
9.05,40.200,-0.00054,1.709,0.000
9.07,40.300,-0.00042,1.714,0.000
9.10,40.400,-0.00029,1.718,0.000
9.14,40.500,-0.00013,1.726,0.000
9.16,40.600,0.00000,1.731,0.000
9.18,40.700,0.00012,1.733,0.000
9.22,40.800,0.00025,1.741,0.000
9.26,40.900,0.00042,1.749,0.000
9.30,41.000,0.00054,1.756,0.000
9.33,41.100,0.00066,1.761,0.000
9.35,41.200,0.00083,1.766,0.000
9.39,41.300,0.00096,1.773,0.000
9.43,41.400,0.00108,1.782,0.000
9.45,41.500,0.00125,1.786,0.000
9.49,41.600,0.00137,1.793,0.000
9.53,41.700,0.00154,1.800,0.000
9.57,41.800,0.00166,1.808,0.000
9.61,41.900,0.00183,1.815,0.000
9.64,42.000,0.00195,1.821,0.000
9.68,42.100,0.00212,1.828,0.000
9.72,42.200,0.00229,1.835,0.000
9.75,42.300,0.00241,1.842,0.000
9.78,42.400,0.00258,1.847,0.000
9.81,42.500,0.00274,1.854,0.000
9.86,42.600,0.00287,1.863,0.000
9.90,42.700,0.00303,1.869,0.000
