Temp,hrs,Ni.Vol.Corrected,Th.Density,Label
900,5,0,90.49685461,WH07A
900,5,0,89.02053712,WH07B
900,5,0.05,94.15912642,WH08A
900,5,0.05,93.65190559,WH08B
900,5,0.28,89.14227635,WH10A
900,5,0.28,89.7807997,WH10B
900,5,0.2,90.70082352,WH11A
900,5,0.2,90.0242277,WH11B
900,5,0.24,89.44365899,WH12A
900,5,0.24,89.60609103,WH12B
900,5,0.5,92.97173394,WH15A
900,5,0.5,94.84233332,WH15B
900,5,0.1,95.13940451,WH09A
900,5,0.1,94.27080596,WH09B
900,5,0.1,96.22556707,WH09C
900,5,0.1,95.90904846,WH09D
900,5,0.35,92.84697739,WH13A
900,5,0.35,94.14006616,WH13B
900,5,0.35,94.18757708,WH13C
900,5,0.35,95.43529023,WH13D
900,5,0.4,93.39210326,WH14A
900,5,0.4,94.97479345,WH14B
900,5,0.4,94.49730236,WH14C
900,5,0.4,95.59147512,WH14D
700,5,0.24,53.19541646,WH19A
700,5,0.24,53.22126049,WH19B
700,5,0.24,53.01476748,WH19C
700,5,0.35,55.16284412,WH20A
700,5,0.35,54.98801916,WH20B
700,5,0.35,54.63237629,WH20C
700,5,0.4,57.42445703,WH21A
700,5,0.4,55.00354108,WH21B
700,5,0.4,53.66085208,WH21C
800,5,0.24,77.98766032,WH16A
800,5,0.24,77.25813654,WH16B
800,5,0.24,79.60164369,WH16C
800,5,0.35,79.41020516,WH17A
800,5,0.35,81.68697681,WH17B
800,5,0.35,80.68990655,WH17C
800,5,0.4,81.18315934,WH18A
800,5,0.4,80.01193474,WH18B
800,5,0.4,82.87408776,WH18C
800,10,0.1,79.25205231,WH25A
800,10,0.1,79.9778112,WH25B
800,10,0.1,80.50117735,WH25C
800,10,0.2,81.79126837,WH26A
800,10,0.2,80.30325702,WH26B
800,10,0.2,79.89767421,WH26C
800,10,0.4,85.3721513,WH27A
800,10,0.4,84.80993757,WH27B
800,10,0.4,84.56923846,WH27C
900,10,0.1,97.31391142,WH22A
900,10,0.1,96.49167235,WH22B
900,10,0.1,96.18111028,WH22C
900,10,0.2,94.37425183,WH23A
900,10,0.2,93.69876011,WH23B
900,10,0.2,93.98306869,WH23C
900,10,0.4,98.08060539,WH24A
900,10,0.4,97.97961914,WH24B
900,10,0.4,97.30754661,WH24C
700,10,0.1,56.66692135,WH28A
700,10,0.1,55.28404485,WH28B
700,10,0.1,56.12529962,WH28C
700,10,0.2,52.79288681,WH29A
700,10,0.2,53.41645958,WH29B
700,10,0.2,52.91411043,WH29C
1000,5,0.28,97.3877503,WH04A
1000,5,0.28,100.1986657,WH04B
1000,5,0.28,99.09877849,WH04C
1000,5,0.24,100.2238119,WH05A
1000,5,0.24,97.16088453,WH05B
1000,5,0.24,99.07943176,WH05C
1000,5,0.35,94.42997954,WH06A
1000,5,0.35,95.24323357,WH06B
1000,5,0.35,93.61973839,WH06C
1100,5,0.28,102.2108794,WH01A
1100,5,0.28,103.7130081,WH01B
1100,5,0.28,102.0730592,WH01C
1100,5,0.24,104.1562082,WH02A
1100,5,0.24,103.2742079,WH02B
1100,5,0.24,99.20877203,WH02C
1100,5,0.35,99.71774418,WH03A
1100,5,0.35,98.79853085,WH03B
1100,5,0.35,98.02451363,WH03C
900,5,0.28,89.46153802,WH10C
900,5,0.28,89.46153802,WH10D
900,5,0.2,92.14817488,WH11C
900,5,0.2,91.69185312,WH11D
900,5,0.2,90.83669643,WH11E
900,5,0.24,96.26242408,WH12C
900,5,0.24,94.37215918,WH12D
900,5,0,90.90188,WH07C
900,5,0,87.7133,WH07D
900,5,0,91.24477,WH07E
900,50,0.2,92.59969325,WH30A
900,50,0.2,91.42265295,WH30B
900,50,0.2,92.45745102,WH30C
900,50,0.24,97.18038822,WH31A
900,50,0.24,98.97052945,WH31B
900,50,0.24,97.85856743,WH31C
900,50,0.35,97.15040152,WH32A
900,50,0.35,98.39924529,WH32B
900,50,0.35,98.47465035,WH32C
900,150,0.28,99.030567,WH33A
900,150,0.28,99.272102,WH33B
900,150,0.28,100.36748,WH33C
900,150,0.24,97.70729744,WH34A
900,150,0.24,99.10841083,WH34B
900,150,0.24,98.4386263,WH34C
900,150,0.35,99.05773397,WH35A
900,150,0.35,99.28251911,WH35B
900,150,0.35,100.6421791,WH35C
900,10,0.28,91.31577402,WH36A
900,10,0.28,93.90963973,WH36B
900,10,0.24,91.09024445,WH37A
900,10,0.24,92.83453257,WH37B
900,10,0.35,96.38684858,WH38A
900,10,0.35,95.70857355,WH38B
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
900,5,0,84.32903467,
900,5,0,83.6541242,
900,5,0,84.56321839,
,,,,
900,5,0.05,94.90917365,
900,5,0.05,93.65512606,
900,5,0.05,,
900,5,0.05,96.37093266,
900,5,0.05,95.58753681,
,,,,
900,5,0.2,,
900,5,0.2,90.42150196,
900,5,0.2,92.93641941,
900,5,0.2,97.23826787,
900,5,0.2,90.42451062,
900,5,0.2,,
900,5,0.2,89.27275816,
,,,,
900,5,0.24,92.07485627,
900,5,0.24,93.92658942,
900,5,0.24,95.86043276,
900,5,0.24,98.43398384,
900,5,0.24,,
900,5,0.24,88.98576145,
900,5,0.24,89.17123895,
,,,,
900,5,0.28,79.87867467,
900,5,0.28,83.84004228,
900,5,0.28,82.0487584,
900,5,0.28,86.40631329,
900,5,0.28,87.39356704,
900,5,0.28,88.50645256,
900,5,0.28,,
,,,,
900,5,0.5,,
900,5,0.5,96.46203554,
900,5,0.5,95.52201131,
900,5,0.5,92.52598315,
900,5,0.5,97.26313789,
900,5,0.5,94.17065804,
