 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,WH39P,0.021,17.701,0.267,17.701,0.267,0.574,0.786,0.258,100,17.652,0.393,66.038,0.105,2.418,0.413,0.923
2,WH39P,0.009,9.157,0.239,9.157,0.239,0.312,1.000,0.131,100,9.128,0.184,126.870,0.105,1.159,0.863,0.897
3,WH39P,0.159,13.549,0.504,13.549,0.504,1.498,0.890,0.531,100,13.430,0.734,69.775,0.420,1.223,0.818,0.924
4,WH39P,0.198,9.054,0.665,9.054,0.665,1.851,0.727,0.684,100,8.892,0.393,122.471,0.408,1.839,0.544,0.874
5,WH39P,0.040,2.729,0.561,2.729,0.561,0.930,0.580,0.415,100,2.597,0.393,124.695,0.147,3.432,0.291,0.811
6,WH39P,0.076,7.654,0.658,7.654,0.658,1.297,0.570,0.561,100,7.370,0.577,169.216,0.204,3.163,0.316,0.819
7,WH39P,0.097,18.947,0.835,18.947,0.835,1.245,0.787,0.490,100,18.885,1.075,74.476,0.286,1.871,0.534,0.898
8,WH39P,0.012,23.769,0.704,23.769,0.704,0.402,0.911,0.166,100,23.738,0.630,108.435,0.105,1.454,0.688,0.850
9,WH39P,0.027,14.673,0.983,14.673,0.983,0.581,1.000,0.226,100,14.610,1.075,54.462,0.184,1.185,0.844,0.907
10,WH39P,0.193,14.453,1.531,14.453,1.531,2.144,0.529,0.682,100,14.269,1.862,67.380,0.472,1.533,0.652,0.820
11,WH39P,0.039,2.739,1.695,2.739,1.695,0.701,1.000,0.270,100,2.675,1.574,119.055,0.184,1.283,0.779,0.958
12,WH39P,0.076,24.616,1.795,24.616,1.795,1.057,0.860,0.376,100,24.603,1.600,102.095,0.289,1.322,0.756,0.899
13,WH39P,0.026,2.421,1.833,2.421,1.833,0.633,0.819,0.274,100,2.387,1.967,73.301,0.131,2.205,0.454,0.884
14,WH39P,0.009,16.239,1.754,16.239,1.754,0.312,1.000,0.131,100,16.184,1.784,36.870,0.105,1.159,0.863,0.897
15,WH39P,0.030,19.061,1.858,19.061,1.858,0.633,0.949,0.235,100,19.016,1.757,116.565,0.184,1.206,0.829,0.898
16,WH39P,0.009,2.017,2.049,2.017,2.049,0.312,1.000,0.131,100,1.967,2.098,36.870,0.105,1.159,0.863,0.897
17,WH39P,0.003,9.671,2.127,9.671,2.127,0.201,1.000,0.095,100,9.626,2.151,33.690,0.052,1.553,0.644,0.909
18,WH39P,0.033,7.074,3.065,7.074,3.065,0.736,0.767,0.320,100,6.977,2.938,124.992,0.148,2.326,0.430,0.850
19,WH39P,0.004,0.962,3.222,0.962,3.222,0.238,0.916,0.095,100,0.944,3.174,123.690,0.079,1.124,0.890,0.800
20,WH39P,0.008,17.207,3.462,17.207,3.462,0.297,1.000,0.117,100,17.180,3.410,116.565,0.105,1.000,1.000,0.857
21,WH39P,0.019,11.504,3.919,11.504,3.919,0.491,1.000,0.211,100,11.462,4.013,60.255,0.131,1.524,0.656,0.918
22,WH39P,0.036,10.527,4.168,10.527,4.168,0.707,0.916,0.274,100,10.492,4.039,106.699,0.184,1.517,0.659,0.898
23,WH39P,0.007,13.810,4.380,13.810,4.380,0.275,1.000,0.131,100,13.770,4.433,53.130,0.079,1.551,0.645,0.909
24,WH39P,0.008,13.528,4.461,13.528,4.461,0.312,1.000,0.131,100,13.482,4.511,36.870,0.105,1.281,0.780,0.857
25,WH39P,0.022,6.942,4.751,6.942,4.751,0.513,1.000,0.200,100,6.846,4.721,156.801,0.157,1.177,0.850,0.901
26,WH39P,0.030,19.901,5.158,19.901,5.158,0.698,0.762,0.283,100,19.856,5.298,68.199,0.160,1.854,0.539,0.827
27,WH39P,0.060,15.107,5.332,15.107,5.332,0.908,0.912,0.376,100,15.030,5.167,114.775,0.236,1.629,0.614,0.921
28,WH39P,0.006,5.504,5.230,5.504,5.230,0.260,1.000,0.117,100,5.456,5.193,153.435,0.079,1.340,0.746,0.857
29,WH39P,0.006,11.580,5.233,11.580,5.233,0.253,1.000,0.111,100,11.541,5.193,135.000,0.079,1.000,1.000,1.000
30,WH39P,0.002,19.851,5.346,19.851,5.346,0.148,1.000,0.074,100,19.830,5.377,45.000,0.052,1.464,0.683,0.857
31,WH39P,0.002,3.580,5.521,3.580,5.521,0.179,0.809,0.083,100,3.567,5.482,108.435,0.026,3.000,0.333,1.000
32,WH39P,0.153,3.113,5.792,3.113,5.792,1.622,0.729,0.595,100,2.911,6.007,41.424,0.357,1.884,0.531,0.844
33,WH39P,0.011,11.628,5.928,11.628,5.928,0.349,1.000,0.153,100,11.567,5.875,149.036,0.105,1.371,0.729,0.889
34,WH39P,0.028,4.221,6.190,4.221,6.190,0.633,0.862,0.258,100,4.092,6.164,156.038,0.157,1.535,0.651,0.899
35,WH39P,0.001,12.459,6.203,12.459,6.203,0.111,1.000,0.059,100,12.433,6.190,153.435,0.026,2.000,0.500,1.000
36,WH39P,0.009,7.519,6.542,7.519,6.542,0.386,0.753,0.185,100,7.449,6.479,135.000,0.087,2.583,0.387,0.765
37,WH39P,0.052,6.636,6.627,6.636,6.627,0.834,0.932,0.320,100,6.531,6.505,124.992,0.240,1.331,0.751,0.909
38,WH39P,0.021,22.466,6.883,22.466,6.883,0.624,0.688,0.284,100,22.400,7.003,56.310,0.111,2.773,0.361,0.838
39,WH39P,0.033,17.666,7.303,17.666,7.303,0.655,0.967,0.270,100,17.600,7.423,60.945,0.184,1.477,0.677,0.914
40,WH39P,0.012,7.053,7.308,7.053,7.308,0.365,1.000,0.153,100,7.003,7.370,59.036,0.105,1.263,0.792,0.919
41,WH39P,0.010,18.820,7.449,18.820,7.449,0.380,0.838,0.160,100,18.807,7.370,99.462,0.079,1.768,0.565,0.875
42,WH39P,0.015,6.172,7.604,6.172,7.604,0.439,0.988,0.189,100,6.111,7.528,123.690,0.129,1.582,0.632,0.880
43,WH39P,0.008,14.225,7.565,14.225,7.565,0.312,1.000,0.141,100,14.164,7.528,158.199,0.079,1.579,0.633,0.889
44,WH39P,0.002,19.414,7.628,19.414,7.628,0.148,1.000,0.074,100,19.384,7.607,135.000,0.052,1.464,0.683,0.857
45,WH39P,0.013,20.808,7.751,20.808,7.751,0.402,1.000,0.153,100,20.774,7.685,120.964,0.131,1.121,0.892,0.864
46,WH39P,0.010,10.461,8.041,10.461,8.041,0.365,0.976,0.166,100,10.387,8.079,18.435,0.079,1.869,0.535,0.909
47,WH39P,0.036,19.152,8.272,19.152,8.272,0.714,0.882,0.299,100,19.043,8.367,37.875,0.167,1.818,0.550,0.889
48,WH39P,0.039,0.785,8.304,0.785,8.304,0.692,1.000,0.258,100,0.734,8.184,113.962,0.210,1.152,0.868,0.903
49,WH39P,0.003,20.951,8.466,20.951,8.466,0.201,0.857,0.095,100,20.931,8.420,123.690,0.052,2.000,0.500,0.800
50,WH39P,0.006,5.298,8.616,5.298,8.616,0.260,1.000,0.108,100,5.246,8.603,165.964,0.079,1.195,0.837,0.800
51,WH39P,0.099,21.928,8.872,21.928,8.872,1.322,0.713,0.556,100,21.849,8.603,109.290,0.235,2.536,0.394,0.926
52,WH39P,0.004,6.225,8.717,6.225,8.717,0.223,1.000,0.095,100,6.190,8.682,123.690,0.074,1.291,0.775,0.800
53,WH39P,0.010,6.535,8.926,6.535,8.926,0.349,0.993,0.141,100,6.505,8.866,111.801,0.105,1.264,0.791,0.848
54,WH39P,0.008,10.334,8.970,10.334,8.970,0.297,1.000,0.117,100,10.308,8.918,116.565,0.105,1.000,1.000,0.857
55,WH39P,0.044,0.916,9.204,0.916,9.204,0.745,0.998,0.283,100,0.866,9.338,68.199,0.210,1.220,0.820,0.928
56,WH39P,0.049,26.573,9.409,26.573,9.409,0.834,0.882,0.332,100,26.544,9.574,71.565,0.210,1.554,0.644,0.899
57,WH39P,0.010,0.408,9.405,0.408,9.405,0.439,0.674,0.205,100,0.315,9.469,39.806,0.093,2.508,0.399,0.789
58,WH39P,0.098,5.705,9.671,5.705,9.671,1.251,0.790,0.509,100,5.482,9.810,34.509,0.293,1.868,0.535,0.899
59,WH39P,0.056,3.414,9.828,3.414,9.828,1.279,0.428,0.423,100,3.200,9.889,29.745,0.253,2.126,0.470,0.659
60,WH39P,0.001,16.643,9.941,16.643,9.941,0.127,1.000,0.059,100,16.630,9.915,116.565,0.026,2.000,0.500,1.000
61,WH39P,0.015,12.248,10.010,12.248,10.010,0.439,0.988,0.168,100,12.170,10.046,38.660,0.131,1.156,0.865,0.863
62,WH39P,0.012,10.662,10.138,10.662,10.138,0.371,1.000,0.153,100,10.623,10.072,120.964,0.111,1.385,0.722,0.850
63,WH39P,0.017,12.567,10.165,12.567,10.165,0.498,0.873,0.191,100,12.538,10.256,74.055,0.148,1.241,0.806,0.820
64,WH39P,0.105,8.083,10.387,8.083,10.387,1.251,0.845,0.465,100,7.974,10.597,73.610,0.315,1.424,0.702,0.933
65,WH39P,0.014,6.389,10.395,6.389,10.395,0.439,0.943,0.166,100,6.374,10.308,108.435,0.131,1.183,0.846,0.857
66,WH39P,0.064,12.250,10.466,12.250,10.466,0.982,0.833,0.410,100,12.092,10.597,39.806,0.223,1.956,0.511,0.907
67,WH39P,0.007,0.163,10.618,0.163,10.618,0.297,0.982,0.117,100,0.131,10.570,116.565,0.093,1.241,0.806,0.800
68,WH39P,0.017,16.897,10.654,16.897,10.654,0.460,1.000,0.189,100,16.813,10.702,33.690,0.130,1.475,0.678,0.877
69,WH39P,0.014,2.295,10.747,2.295,10.747,0.513,0.690,0.205,100,2.230,10.649,129.806,0.130,1.529,0.654,0.808
