Ni.Vol.Corrected,totNifrac-Ave,Sample,Indent,IndentDiam1,IndentDiam2,crackImageID,crackLengthum,Loadg,aveD1D2,caratio,Eest,PloadN,Kcest1,Kcest2,Kccurved
10,0.1086,WH09C,7,43.48,43.54,3,32.52,500,21.755,1.494828775,29,4.905,0.022775429,0.031619881,0.021695885
40,0.4517,WH14B,2,57.8,53.9,1,8.11,500,27.925,0.29042077,29,4.905,0.223310103,0.325903365,0.319292241
40,0.4517,WH14B,2,57.8,53.9,4,4.29,500,27.925,0.153625783,29,4.905,0.580435163,0.847099036,0.472022375
40,0.4517,WH14B,2,57.8,53.9,9,5.48,500,27.925,0.196239928,29,4.905,0.402039584,0.586744852,0.383014315
0,0,WH07B,1,50.01,50.03,1,55.14,500,25.01,2.204718113,29,4.905,0.011532831,0.016464195,0.010897451
0,0,WH07B,1,50.01,50.03,4,23.18,500,25.01,0.926829268,29,4.905,0.04231223,0.060404666,0.041216562
0,0,WH07B,1,50.01,50.03,5,8.78,500,25.01,0.351059576,29,4.905,0.181507379,0.259118763,0.181197728
0,0,WH07B,2,26.84,26.74,2,16.41,200,13.395,1.225083987,29,1.962,0.024875534,0.034350794,0.023185601
0,0,WH07B,2,26.84,26.74,3,10.72,200,13.395,0.800298619,29,1.962,0.047113254,0.065059014,0.043400328
0,0,WH07B,2,26.84,26.74,5,8.34,200,13.395,0.622620381,29,1.962,0.068657218,0.094809222,0.07008938
10,0.1418,WH10D,1,60.21,60.75,3,7.07,500,30.24,0.233796296,29,4.905,0.292402725,0.433590352,0.22744639
10,0.1418,WH10D,1,60.21,60.75,5,7.58,500,30.24,0.250661376,29,4.905,0.263394516,0.390575432,0.133314351
10,0.1418,WH10D,2,42.66,43.81,4,10.55,300,21.6175,0.488030531,29,2.943,0.090261291,0.131713214,0.092114777
10,0.1418,WH10D,3,32.31,30.76,3,3.09,200,15.7675,0.195972729,29,1.962,0.346859548,0.494859669,0.064455607
24,0.2806,WH12B,1,39.64,40.07,1,14.52,300,19.9275,0.728641325,29,2.943,0.052377913,0.075197857,0.041105553
24,0.2806,WH12B,1,39.64,40.07,8,15.88,300,19.9275,0.796888722,29,2.943,0.045795454,0.06574756,0.036750305
24,0.2806,WH12B,1,39.64,40.07,9,12.67,300,19.9275,0.635804792,29,2.943,0.064258886,0.092255117,0.059492476
24,0.2806,WH12B,1,39.64,40.07,11,14.28,300,19.9275,0.716597667,29,2.943,0.053703897,0.077101544,0.046038769
24,0.2806,WH12B,2,53.16,52.57,2,26.34,500,26.4325,0.99650052,29,4.905,0.036511699,0.052703751,0.032785065
24,0.2806,WH12B,2,53.16,52.57,5,25.41,500,26.4325,0.961316561,29,4.905,0.038534409,0.055623484,0.037574372
24,0.2806,WH12B,2,53.16,52.57,8,24.19,500,26.4325,0.91516126,29,4.905,0.041486032,0.05988408,0.039058933
35,0.3785,WH06C,1,46.86,46.55,1,11.57,500,23.3525,0.495450166,29,4.905,0.113582591,0.159941176,0.084815035
35,0.3779,WH13B,1,43.44,41.28,3,9.59,300,23.3525,0.41066267,29,2.943,0.11078339,0.164175383,0.099253571
35,0.3779,WH13B,2,51.68,53.49,1,11.94,500,23.3525,0.511294294,29,4.905,0.108344114,0.152564621,0.090087889
35,0.3779,WH13B,2,51.68,53.49,4,18.62,500,23.3525,0.797345038,29,4.905,0.055634258,0.078341306,0.054105966
35,0.3779,WH13B,2,51.68,53.49,6,19.82,500,23.3525,0.848731399,29,4.905,0.050658968,0.071335359,0.046837239
35,0.3779,WH13B,2,51.68,53.49,9,13.52,500,23.3525,0.578953003,29,4.905,0.089918028,0.126617953,0.081361675
50,0.5726,WH15B,1,54.03,59.62,1,4.5,500,23.3525,0.192698855,29,4.905,0.468266448,0.659388782,0.252252748
