""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13T.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

4.56,0.200,-0.05251,0.842,-0.001
4.58,0.300,-0.05251,0.846,-0.001
4.57,0.400,-0.05251,0.844,-0.001
4.57,0.500,-0.05251,0.845,-0.001
4.56,0.600,-0.05247,0.843,-0.001
4.55,0.700,-0.05247,0.841,-0.001
4.54,0.800,-0.05247,0.838,-0.001
4.57,0.900,-0.05243,0.845,-0.001
4.56,1.000,-0.05243,0.842,-0.001
4.55,1.100,-0.05238,0.842,-0.001
4.55,1.200,-0.05238,0.841,-0.001
4.58,1.300,-0.05238,0.847,-0.001
4.58,1.400,-0.05234,0.846,-0.001
4.58,1.500,-0.05234,0.845,-0.001
4.59,1.600,-0.05230,0.849,-0.001
4.57,1.700,-0.05226,0.844,-0.001
4.57,1.800,-0.05222,0.844,-0.001
4.60,1.900,-0.05218,0.849,-0.001
4.66,2.000,-0.05209,0.861,-0.001
4.68,2.100,-0.05197,0.864,-0.001
4.74,2.200,-0.05176,0.876,-0.001
4.83,2.300,-0.05155,0.893,-0.001
4.90,2.400,-0.05135,0.905,-0.001
4.95,2.500,-0.05114,0.915,-0.001
5.06,2.600,-0.05093,0.936,-0.001
5.06,2.700,-0.05076,0.936,-0.001
5.11,2.800,-0.05056,0.944,-0.001
5.16,2.900,-0.05039,0.953,-0.001
5.19,3.000,-0.05018,0.959,-0.001
5.24,3.100,-0.05002,0.968,-0.001
5.30,3.200,-0.04981,0.980,-0.001
5.30,3.300,-0.04964,0.980,-0.001
5.34,3.400,-0.04948,0.986,-0.001
5.37,3.500,-0.04931,0.992,-0.001
5.41,3.600,-0.04918,0.999,-0.001
5.45,3.700,-0.04902,1.008,-0.001
5.46,3.800,-0.04885,1.009,-0.001
5.51,3.900,-0.04873,1.018,-0.001
5.51,4.000,-0.04860,1.018,-0.001
5.52,4.100,-0.04844,1.020,-0.001
5.58,4.200,-0.04831,1.031,-0.001
5.59,4.300,-0.04815,1.032,-0.001
5.59,4.400,-0.04802,1.032,-0.001
5.66,4.500,-0.04790,1.045,-0.001
5.67,4.600,-0.04777,1.047,-0.001
5.70,4.700,-0.04765,1.053,-0.001
5.74,4.800,-0.04748,1.060,-0.001
5.75,4.900,-0.04736,1.063,-0.001
5.80,5.000,-0.04723,1.071,-0.001
5.83,5.100,-0.04706,1.077,-0.001
5.82,5.200,-0.04694,1.075,-0.001
5.85,5.300,-0.04682,1.082,-0.001
5.93,5.400,-0.04665,1.096,-0.001
5.91,5.500,-0.04652,1.092,-0.001
5.95,5.600,-0.04640,1.099,-0.001
5.97,5.700,-0.04623,1.103,-0.001
6.00,5.800,-0.04611,1.108,-0.001
6.05,5.900,-0.04594,1.118,-0.001
6.08,6.000,-0.04582,1.123,-0.001
6.14,6.100,-0.04565,1.134,-0.001
6.15,6.200,-0.04549,1.137,-0.001
6.19,6.300,-0.04536,1.144,-0.001
6.21,6.400,-0.04519,1.147,-0.001
6.23,6.500,-0.04503,1.152,-0.001
6.27,6.600,-0.04490,1.158,-0.001
6.25,6.700,-0.04474,1.155,-0.001
6.31,6.800,-0.04457,1.167,-0.001
6.33,6.900,-0.04441,1.170,-0.001
6.42,7.000,-0.04424,1.187,-0.001
6.44,7.100,-0.04407,1.189,-0.001
6.46,7.200,-0.04391,1.193,-0.001
6.49,7.300,-0.04374,1.199,-0.001
6.54,7.400,-0.04357,1.209,-0.001
6.60,7.500,-0.04337,1.219,-0.001
6.62,7.600,-0.04320,1.223,-0.001
6.67,7.700,-0.04299,1.232,-0.001
6.72,7.800,-0.04278,1.241,-0.001
6.77,7.900,-0.04258,1.251,-0.001
6.79,8.000,-0.04237,1.255,-0.001
6.81,8.100,-0.04216,1.258,-0.001
6.85,8.200,-0.04191,1.266,-0.001
6.92,8.300,-0.04170,1.279,-0.001
6.97,8.400,-0.04150,1.288,-0.001
6.99,8.500,-0.04129,1.292,-0.001
7.03,8.600,-0.04108,1.299,-0.001
7.08,8.700,-0.04087,1.308,-0.001
7.11,8.800,-0.04067,1.314,-0.001
7.19,8.900,-0.04050,1.328,-0.001
7.20,9.000,-0.04029,1.331,-0.001
7.25,9.100,-0.04013,1.339,-0.001
7.26,9.200,-0.03996,1.342,-0.001
7.32,9.300,-0.03979,1.352,-0.001
7.33,9.400,-0.03963,1.355,-0.001
7.33,9.500,-0.03946,1.355,-0.001
7.41,9.600,-0.03929,1.370,-0.001
7.40,9.700,-0.03917,1.368,-0.001
7.44,9.800,-0.03900,1.375,-0.001
7.47,9.900,-0.03888,1.379,-0.001
7.49,10.000,-0.03871,1.384,-0.001
7.54,10.100,-0.03859,1.393,-0.001
7.56,10.200,-0.03846,1.398,-0.001
7.58,10.300,-0.03830,1.401,-0.001
7.62,10.400,-0.03817,1.408,-0.001
7.64,10.500,-0.03805,1.413,-0.001
7.67,10.600,-0.03788,1.417,-0.001
7.72,10.700,-0.03776,1.427,-0.001
7.74,10.800,-0.03759,1.431,-0.001
7.76,10.900,-0.03747,1.434,-0.001
7.79,11.000,-0.03730,1.439,-0.001
7.82,11.100,-0.03717,1.445,-0.001
7.87,11.200,-0.03701,1.454,-0.001
7.88,11.300,-0.03688,1.457,-0.001
7.93,11.400,-0.03672,1.465,-0.001
7.93,11.500,-0.03655,1.466,-0.001
8.01,11.600,-0.03643,1.480,-0.001
8.04,11.700,-0.03626,1.485,-0.001
8.06,11.800,-0.03609,1.489,-0.001
8.10,11.900,-0.03593,1.496,-0.001
8.13,12.000,-0.03580,1.502,-0.001
8.15,12.100,-0.03564,1.506,-0.001
8.20,12.200,-0.03547,1.515,-0.001
8.23,12.300,-0.03535,1.520,-0.001
8.29,12.400,-0.03518,1.531,-0.001
8.27,12.500,-0.03501,1.529,-0.001
8.33,12.600,-0.03485,1.538,-0.001
8.37,12.700,-0.03468,1.546,-0.001
8.39,12.800,-0.03452,1.550,-0.001
8.43,12.900,-0.03435,1.558,-0.001
8.44,13.000,-0.03414,1.560,-0.001
8.48,13.100,-0.03397,1.566,-0.001
8.55,13.200,-0.03377,1.580,-0.001
8.59,13.300,-0.03356,1.587,-0.001
8.61,13.400,-0.03339,1.591,-0.001
8.67,13.500,-0.03319,1.602,-0.001
8.74,13.600,-0.03298,1.615,-0.001
8.78,13.700,-0.03273,1.622,-0.001
8.83,13.800,-0.03252,1.631,-0.001
8.86,13.900,-0.03231,1.637,-0.001
8.91,14.000,-0.03210,1.646,-0.001
8.95,14.100,-0.03190,1.655,-0.001
8.99,14.200,-0.03169,1.661,-0.001
9.02,14.300,-0.03148,1.667,-0.001
9.08,14.400,-0.03127,1.678,-0.001
9.12,14.500,-0.03107,1.684,-0.001
9.15,14.600,-0.03090,1.691,-0.001
9.21,14.700,-0.03069,1.701,-0.001
9.25,14.800,-0.03053,1.708,-0.001
9.28,14.900,-0.03036,1.715,-0.001
9.32,15.000,-0.03019,1.722,-0.001
9.34,15.100,-0.03003,1.725,-0.001
