""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13U.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

5.05,0.200,-0.02650,0.921,-0.001
5.06,0.300,-0.02650,0.923,-0.001
5.05,0.400,-0.02650,0.922,-0.001
5.05,0.500,-0.02646,0.922,-0.001
5.06,0.600,-0.02646,0.924,-0.001
5.06,0.700,-0.02646,0.925,-0.001
5.06,0.800,-0.02642,0.923,-0.001
5.07,0.900,-0.02642,0.926,-0.001
5.05,1.000,-0.02638,0.922,-0.001
5.07,1.100,-0.02638,0.925,-0.001
5.05,1.200,-0.02638,0.922,-0.001
5.07,1.300,-0.02633,0.925,-0.001
5.05,1.400,-0.02633,0.921,-0.001
5.06,1.500,-0.02629,0.923,-0.001
5.05,1.600,-0.02629,0.922,-0.001
5.06,1.700,-0.02625,0.923,-0.001
5.07,1.800,-0.02625,0.925,-0.001
5.07,1.900,-0.02621,0.926,-0.001
5.08,2.000,-0.02617,0.927,-0.001
5.09,2.100,-0.02613,0.929,-0.001
5.14,2.200,-0.02604,0.939,-0.001
5.19,2.300,-0.02588,0.947,-0.001
5.28,2.400,-0.02571,0.963,-0.001
5.34,2.500,-0.02554,0.975,-0.001
5.38,2.600,-0.02542,0.981,-0.001
5.42,2.700,-0.02525,0.990,0.000
5.48,2.800,-0.02513,1.000,0.000
5.50,2.900,-0.02496,1.004,0.000
5.55,3.000,-0.02484,1.013,0.000
5.57,3.100,-0.02467,1.016,0.000
5.62,3.200,-0.02455,1.026,0.000
5.64,3.300,-0.02438,1.030,0.000
5.68,3.400,-0.02426,1.037,0.000
5.69,3.500,-0.02409,1.039,0.000
5.73,3.600,-0.02397,1.047,0.000
5.78,3.700,-0.02380,1.056,0.000
5.80,3.800,-0.02363,1.059,0.000
5.85,3.900,-0.02347,1.067,0.000
5.90,4.000,-0.02330,1.078,0.000
5.92,4.100,-0.02313,1.080,0.000
5.95,4.200,-0.02297,1.087,0.000
5.99,4.300,-0.02280,1.094,0.000
6.02,4.400,-0.02259,1.099,0.000
6.05,4.500,-0.02243,1.105,0.000
6.12,4.600,-0.02222,1.118,0.000
6.13,4.700,-0.02201,1.120,0.000
6.21,4.800,-0.02180,1.134,0.000
6.24,4.900,-0.02160,1.139,0.000
6.25,5.000,-0.02139,1.140,0.000
6.29,5.100,-0.02118,1.148,0.000
6.34,5.200,-0.02102,1.157,0.000
6.36,5.300,-0.02081,1.162,0.000
6.39,5.400,-0.02060,1.167,0.000
6.43,5.500,-0.02039,1.174,0.000
6.44,5.600,-0.02023,1.177,0.000
6.50,5.700,-0.02002,1.187,0.000
6.50,5.800,-0.01985,1.187,0.000
6.53,5.900,-0.01969,1.193,0.000
6.56,6.000,-0.01952,1.197,0.000
6.61,6.100,-0.01935,1.207,0.000
6.62,6.200,-0.01919,1.209,0.000
6.65,6.300,-0.01902,1.214,0.000
6.68,6.400,-0.01885,1.220,0.000
6.70,6.500,-0.01873,1.223,0.000
6.71,6.600,-0.01856,1.226,0.000
6.73,6.700,-0.01844,1.228,0.000
6.74,6.800,-0.01827,1.231,0.000
6.77,6.900,-0.01815,1.236,0.000
6.79,7.000,-0.01802,1.240,0.000
6.82,7.100,-0.01786,1.246,0.000
6.84,7.200,-0.01773,1.249,0.000
6.86,7.300,-0.01761,1.252,0.000
6.89,7.400,-0.01744,1.257,0.000
6.90,7.500,-0.01732,1.259,0.000
6.92,7.600,-0.01719,1.264,0.000
6.95,7.700,-0.01707,1.268,0.000
6.98,7.800,-0.01690,1.274,0.000
7.00,7.900,-0.01678,1.279,0.000
7.01,8.000,-0.01661,1.280,0.000
7.04,8.100,-0.01649,1.286,0.000
7.07,8.200,-0.01632,1.292,0.000
7.09,8.300,-0.01615,1.295,0.000
7.10,8.400,-0.01603,1.296,0.000
7.15,8.500,-0.01586,1.305,0.000
7.17,8.600,-0.01570,1.308,0.000
7.20,8.700,-0.01557,1.314,0.000
7.22,8.800,-0.01541,1.318,0.000
7.26,8.900,-0.01524,1.325,0.000
7.27,9.000,-0.01511,1.328,0.000
7.29,9.100,-0.01495,1.330,0.000
7.33,9.200,-0.01478,1.338,0.000
7.33,9.300,-0.01462,1.338,0.000
7.38,9.400,-0.01449,1.347,0.000
7.39,9.500,-0.01432,1.349,0.000
7.42,9.600,-0.01416,1.356,0.000
7.45,9.700,-0.01399,1.361,0.000
7.49,9.800,-0.01378,1.367,0.000
7.54,9.900,-0.01362,1.377,0.000
7.57,10.000,-0.01341,1.381,0.000
7.60,10.100,-0.01324,1.388,0.000
7.64,10.200,-0.01304,1.395,0.000
7.66,10.300,-0.01283,1.399,0.000
7.71,10.400,-0.01262,1.408,0.000
7.74,10.500,-0.01237,1.413,0.000
7.77,10.600,-0.01216,1.419,0.000
7.81,10.700,-0.01196,1.426,0.000
7.84,10.800,-0.01175,1.431,0.000
7.87,10.900,-0.01150,1.438,0.000
7.93,11.000,-0.01129,1.447,0.000
7.96,11.100,-0.01108,1.452,0.000
7.96,11.200,-0.01088,1.454,0.000
8.00,11.300,-0.01071,1.461,0.000
8.03,11.400,-0.01050,1.466,0.000
8.07,11.500,-0.01029,1.473,0.000
8.09,11.600,-0.01013,1.477,0.000
8.10,11.700,-0.00996,1.479,0.000
8.14,11.800,-0.00980,1.487,0.000
8.16,11.900,-0.00963,1.489,0.000
8.19,12.000,-0.00946,1.495,0.000
8.19,12.100,-0.00934,1.495,0.000
8.22,12.200,-0.00917,1.501,0.000
8.23,12.300,-0.00905,1.502,0.000
8.26,12.400,-0.00888,1.509,0.000
8.29,12.500,-0.00876,1.514,0.000
8.30,12.600,-0.00863,1.516,0.000
8.33,12.700,-0.00847,1.520,0.000
8.35,12.800,-0.00834,1.525,0.000
8.35,12.900,-0.00822,1.525,0.000
8.41,13.000,-0.00809,1.535,0.000
8.43,13.100,-0.00797,1.540,0.000
8.44,13.200,-0.00780,1.541,0.000
8.48,13.300,-0.00768,1.548,0.000
8.49,13.400,-0.00751,1.550,0.000
8.54,13.500,-0.00738,1.558,0.000
