""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13V.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

4.52,0.200,-0.10494,0.695,-0.002
4.52,0.300,-0.10490,0.694,-0.002
4.52,0.400,-0.10490,0.695,-0.002
4.54,0.500,-0.10490,0.697,-0.002
4.54,0.600,-0.10485,0.698,-0.002
4.53,0.700,-0.10485,0.697,-0.002
4.53,0.800,-0.10485,0.696,-0.002
4.53,0.900,-0.10481,0.697,-0.002
4.54,1.000,-0.10481,0.698,-0.002
4.56,1.100,-0.10481,0.701,-0.002
4.55,1.200,-0.10477,0.699,-0.002
4.55,1.300,-0.10477,0.699,-0.002
4.55,1.400,-0.10473,0.699,-0.002
4.55,1.500,-0.10473,0.699,-0.002
4.57,1.600,-0.10473,0.702,-0.002
4.57,1.700,-0.10469,0.703,-0.002
4.61,1.800,-0.10465,0.708,-0.002
4.60,1.900,-0.10465,0.706,-0.002
4.62,2.000,-0.10460,0.709,-0.002
4.67,2.100,-0.10452,0.718,-0.002
4.80,2.200,-0.10440,0.737,-0.002
4.87,2.300,-0.10427,0.748,-0.002
5.00,2.400,-0.10406,0.769,-0.002
5.08,2.500,-0.10386,0.780,-0.002
5.20,2.600,-0.10365,0.799,-0.002
5.26,2.700,-0.10344,0.809,-0.002
5.34,2.800,-0.10327,0.821,-0.002
5.37,2.900,-0.10307,0.825,-0.002
5.43,3.000,-0.10286,0.834,-0.002
5.47,3.100,-0.10269,0.841,-0.002
5.53,3.200,-0.10248,0.849,-0.002
5.56,3.300,-0.10232,0.854,-0.002
5.62,3.400,-0.10211,0.863,-0.002
5.67,3.500,-0.10194,0.872,-0.002
5.73,3.600,-0.10174,0.880,-0.002
5.75,3.700,-0.10157,0.883,-0.002
5.77,3.800,-0.10140,0.886,-0.002
5.82,3.900,-0.10124,0.894,-0.002
5.86,4.000,-0.10107,0.901,-0.002
5.88,4.100,-0.10095,0.904,-0.002
5.92,4.200,-0.10078,0.910,-0.002
5.93,4.300,-0.10066,0.911,-0.002
5.96,4.400,-0.10049,0.916,-0.002
6.01,4.500,-0.10037,0.924,-0.002
6.04,4.600,-0.10020,0.929,-0.002
6.09,4.700,-0.10007,0.936,-0.002
6.11,4.800,-0.09991,0.939,-0.002
6.17,4.900,-0.09978,0.949,-0.002
6.18,5.000,-0.09966,0.950,-0.002
6.21,5.100,-0.09953,0.955,-0.002
6.23,5.200,-0.09941,0.957,-0.002
6.27,5.300,-0.09924,0.963,-0.002
6.30,5.400,-0.09912,0.967,-0.002
6.33,5.500,-0.09899,0.972,-0.002
6.35,5.600,-0.09887,0.976,-0.002
6.40,5.700,-0.09870,0.983,-0.002
6.42,5.800,-0.09858,0.987,-0.002
6.46,5.900,-0.09841,0.993,-0.002
6.48,6.000,-0.09829,0.996,-0.002
6.51,6.100,-0.09812,1.000,-0.002
6.54,6.200,-0.09800,1.006,-0.002
6.59,6.300,-0.09783,1.012,-0.002
6.60,6.400,-0.09771,1.014,-0.002
6.67,6.500,-0.09754,1.026,-0.002
6.67,6.600,-0.09737,1.025,-0.002
6.72,6.700,-0.09725,1.033,-0.002
6.77,6.800,-0.09708,1.040,-0.002
6.80,6.900,-0.09692,1.045,-0.002
6.83,7.000,-0.09679,1.049,-0.002
6.89,7.100,-0.09663,1.058,-0.002
6.92,7.200,-0.09646,1.063,-0.002
6.96,7.300,-0.09633,1.069,-0.002
6.98,7.400,-0.09617,1.073,-0.002
7.02,7.500,-0.09600,1.078,-0.002
7.06,7.600,-0.09584,1.085,-0.002
7.12,7.700,-0.09567,1.095,-0.002
7.16,7.800,-0.09546,1.100,-0.002
7.20,7.900,-0.09530,1.106,-0.002
7.26,8.000,-0.09509,1.116,-0.002
7.30,8.100,-0.09488,1.121,-0.002
7.36,8.200,-0.09467,1.131,-0.002
7.40,8.300,-0.09446,1.138,-0.002
7.46,8.400,-0.09426,1.147,-0.002
7.53,8.500,-0.09405,1.157,-0.002
7.58,8.600,-0.09384,1.165,-0.002
7.63,8.700,-0.09359,1.173,-0.002
7.69,8.800,-0.09338,1.182,-0.002
7.73,8.900,-0.09318,1.188,-0.002
7.78,9.000,-0.09297,1.195,-0.002
7.85,9.100,-0.09276,1.207,-0.002
7.88,9.200,-0.09259,1.211,-0.002
7.94,9.300,-0.09239,1.220,-0.002
7.99,9.400,-0.09218,1.228,-0.002
8.00,9.500,-0.09201,1.229,-0.002
8.05,9.600,-0.09185,1.237,-0.002
8.10,9.700,-0.09168,1.245,-0.002
8.14,9.800,-0.09151,1.251,-0.002
8.18,9.900,-0.09135,1.257,-0.002
8.23,10.000,-0.09122,1.265,-0.002
8.25,10.100,-0.09106,1.268,-0.002
8.30,10.200,-0.09093,1.275,-0.002
8.32,10.300,-0.09077,1.279,-0.002
8.35,10.400,-0.09064,1.283,-0.002
8.38,10.500,-0.09052,1.288,-0.002
8.42,10.600,-0.09035,1.294,-0.002
8.47,10.700,-0.09023,1.301,-0.002
8.49,10.800,-0.09010,1.305,-0.002
8.53,10.900,-0.08998,1.310,-0.002
8.57,11.000,-0.08981,1.317,-0.002
8.61,11.100,-0.08969,1.323,-0.002
8.64,11.200,-0.08956,1.328,-0.002
8.70,11.300,-0.08944,1.336,-0.002
8.74,11.400,-0.08927,1.342,-0.002
8.76,11.500,-0.08915,1.346,-0.002
