""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13W.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

5.42,0.200,-0.01838,0.998,0.000
5.42,0.300,-0.01838,0.998,0.000
5.44,0.400,-0.01834,1.002,0.000
5.45,0.500,-0.01834,1.004,0.000
5.42,0.600,-0.01834,0.998,0.000
5.44,0.700,-0.01829,1.003,0.000
5.45,0.800,-0.01829,1.004,0.000
5.44,0.900,-0.01829,1.001,0.000
5.47,1.000,-0.01825,1.007,0.000
5.48,1.100,-0.01825,1.010,0.000
5.44,1.200,-0.01821,1.003,0.000
5.45,1.300,-0.01821,1.003,0.000
5.45,1.400,-0.01821,1.003,0.000
5.46,1.500,-0.01817,1.007,0.000
5.45,1.600,-0.01817,1.005,0.000
5.43,1.700,-0.01813,1.001,0.000
5.49,1.800,-0.01809,1.010,0.000
5.50,1.900,-0.01804,1.013,0.000
5.52,2.000,-0.01796,1.018,0.000
5.58,2.100,-0.01788,1.028,0.000
5.66,2.200,-0.01775,1.042,0.000
5.71,2.300,-0.01763,1.053,0.000
5.80,2.400,-0.01746,1.068,0.000
5.87,2.500,-0.01734,1.082,0.000
5.93,2.600,-0.01717,1.093,0.000
5.97,2.700,-0.01705,1.100,0.000
6.05,2.800,-0.01688,1.115,0.000
6.09,2.900,-0.01676,1.121,0.000
6.13,3.000,-0.01659,1.129,0.000
6.18,3.100,-0.01647,1.139,0.000
6.26,3.200,-0.01630,1.152,0.000
6.28,3.300,-0.01617,1.157,0.000
6.35,3.400,-0.01601,1.169,0.000
6.38,3.500,-0.01584,1.175,0.000
6.43,3.600,-0.01568,1.185,0.000
6.51,3.700,-0.01551,1.199,0.000
6.54,3.800,-0.01534,1.205,0.000
6.60,3.900,-0.01518,1.215,0.000
6.67,4.000,-0.01501,1.228,0.000
6.72,4.100,-0.01480,1.238,0.000
6.77,4.200,-0.01464,1.246,0.000
6.83,4.300,-0.01443,1.258,0.000
6.87,4.400,-0.01422,1.265,0.000
6.98,4.500,-0.01401,1.286,0.000
7.04,4.600,-0.01385,1.296,0.000
7.06,4.700,-0.01364,1.301,0.000
7.14,4.800,-0.01343,1.315,0.000
7.20,4.900,-0.01322,1.326,0.000
7.26,5.000,-0.01302,1.338,0.000
7.31,5.100,-0.01285,1.347,0.000
7.34,5.200,-0.01264,1.352,0.000
7.42,5.300,-0.01248,1.367,0.000
7.48,5.400,-0.01227,1.378,0.000
7.53,5.500,-0.01210,1.386,0.000
7.53,5.600,-0.01189,1.388,0.000
7.66,5.700,-0.01173,1.410,0.000
7.69,5.800,-0.01156,1.416,0.000
7.73,5.900,-0.01144,1.424,0.000
7.76,6.000,-0.01127,1.430,0.000
7.80,6.100,-0.01110,1.437,0.000
