""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13X.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

4.79,0.200,-0.03225,0.874,-0.001
4.78,0.300,-0.03225,0.871,-0.001
4.81,0.400,-0.03225,0.878,-0.001
4.79,0.500,-0.03225,0.873,-0.001
4.82,0.600,-0.03225,0.880,-0.001
4.78,0.700,-0.03221,0.872,-0.001
4.82,0.800,-0.03221,0.879,-0.001
4.80,0.900,-0.03221,0.875,-0.001
4.80,1.000,-0.03221,0.876,-0.001
4.79,1.100,-0.03217,0.873,-0.001
4.81,1.200,-0.03217,0.876,-0.001
4.79,1.300,-0.03217,0.873,-0.001
4.80,1.400,-0.03213,0.876,-0.001
4.79,1.500,-0.03213,0.874,-0.001
4.83,1.600,-0.03209,0.881,-0.001
4.85,1.700,-0.03200,0.885,-0.001
4.87,1.800,-0.03192,0.889,-0.001
4.92,1.900,-0.03184,0.896,-0.001
4.96,2.000,-0.03171,0.905,-0.001
5.02,2.100,-0.03155,0.916,-0.001
5.08,2.200,-0.03142,0.926,-0.001
5.11,2.300,-0.03130,0.933,-0.001
5.16,2.400,-0.03113,0.942,-0.001
5.19,2.500,-0.03101,0.946,-0.001
5.20,2.600,-0.03088,0.949,-0.001
5.25,2.700,-0.03072,0.957,-0.001
5.27,2.800,-0.03059,0.961,-0.001
5.30,2.900,-0.03047,0.966,-0.001
5.32,3.000,-0.03030,0.970,-0.001
5.35,3.100,-0.03018,0.975,-0.001
5.39,3.200,-0.03001,0.983,-0.001
5.39,3.300,-0.02988,0.984,-0.001
5.42,3.400,-0.02972,0.989,-0.001
5.43,3.500,-0.02959,0.991,-0.001
5.50,3.600,-0.02943,1.002,-0.001
5.53,3.700,-0.02926,1.009,-0.001
5.52,3.800,-0.02910,1.006,-0.001
5.53,3.900,-0.02893,1.009,-0.001
5.56,4.000,-0.02876,1.014,-0.001
5.59,4.100,-0.02860,1.020,-0.001
5.58,4.200,-0.02839,1.018,-0.001
5.62,4.300,-0.02822,1.025,-0.001
5.64,4.400,-0.02801,1.029,-0.001
5.65,4.500,-0.02781,1.031,-0.001
5.70,4.600,-0.02760,1.040,-0.001
5.74,4.700,-0.02739,1.046,-0.001
5.76,4.800,-0.02722,1.050,-0.001
5.78,4.900,-0.02702,1.055,-0.001
5.80,5.000,-0.02681,1.058,-0.001
5.83,5.100,-0.02660,1.064,-0.001
5.87,5.200,-0.02639,1.070,-0.001
5.90,5.300,-0.02619,1.077,-0.001
5.89,5.400,-0.02602,1.075,-0.001
5.93,5.500,-0.02581,1.082,-0.001
5.95,5.600,-0.02565,1.085,-0.001
5.93,5.700,-0.02548,1.081,-0.001
5.96,5.800,-0.02531,1.087,0.000
6.00,5.900,-0.02515,1.094,0.000
6.01,6.000,-0.02498,1.096,0.000
6.04,6.100,-0.02486,1.102,0.000
6.03,6.200,-0.02469,1.100,0.000
6.10,6.300,-0.02457,1.112,0.000
6.07,6.400,-0.02440,1.107,0.000
6.09,6.500,-0.02427,1.112,0.000
6.10,6.600,-0.02411,1.113,0.000
6.14,6.700,-0.02398,1.120,0.000
6.13,6.800,-0.02386,1.117,0.000
6.13,6.900,-0.02373,1.118,0.000
6.16,7.000,-0.02361,1.124,0.000
6.17,7.100,-0.02348,1.125,0.000
6.19,7.200,-0.02332,1.128,0.000
6.20,7.300,-0.02319,1.131,0.000
6.24,7.400,-0.02307,1.137,0.000
6.24,7.500,-0.02294,1.139,0.000
6.24,7.600,-0.02278,1.138,0.000
6.27,7.700,-0.02265,1.144,0.000
6.26,7.800,-0.02249,1.142,0.000
6.34,7.900,-0.02236,1.157,0.000
6.29,8.000,-0.02220,1.148,0.000
6.34,8.100,-0.02207,1.156,0.000
6.36,8.200,-0.02191,1.160,0.000
6.33,8.300,-0.02174,1.154,0.000
6.41,8.400,-0.02161,1.169,0.000
6.39,8.500,-0.02145,1.165,0.000
6.42,8.600,-0.02132,1.171,0.000
6.45,8.700,-0.02116,1.176,0.000
6.45,8.800,-0.02099,1.177,0.000
6.48,8.900,-0.02087,1.183,0.000
6.51,9.000,-0.02070,1.187,0.000
6.50,9.100,-0.02053,1.185,0.000
6.55,9.200,-0.02037,1.194,0.000
6.56,9.300,-0.02020,1.195,0.000
6.59,9.400,-0.02004,1.201,0.000
6.62,9.500,-0.01987,1.207,0.000
6.63,9.600,-0.01970,1.208,0.000
6.60,9.700,-0.01954,1.204,0.000
6.69,9.800,-0.01937,1.220,0.000
6.68,9.900,-0.01916,1.218,0.000
6.69,10.000,-0.01900,1.221,0.000
6.76,10.100,-0.01879,1.233,0.000
6.80,10.200,-0.01858,1.240,0.000
6.81,10.300,-0.01837,1.242,0.000
6.81,10.400,-0.01812,1.243,0.000
6.84,10.500,-0.01792,1.248,0.000
6.87,10.600,-0.01771,1.253,0.000
6.89,10.700,-0.01750,1.256,0.000
6.94,10.800,-0.01729,1.266,0.000
6.96,10.900,-0.01709,1.269,0.000
6.99,11.000,-0.01688,1.274,0.000
7.00,11.100,-0.01671,1.277,0.000
7.05,11.200,-0.01650,1.285,0.000
7.04,11.300,-0.01634,1.284,0.000
7.09,11.400,-0.01613,1.293,0.000
7.13,11.500,-0.01596,1.300,0.000
7.11,11.600,-0.01580,1.296,0.000
7.12,11.700,-0.01563,1.299,0.000
7.13,11.800,-0.01546,1.300,0.000
7.18,11.900,-0.01530,1.310,0.000
7.19,12.000,-0.01513,1.311,0.000
7.20,12.100,-0.01501,1.313,0.000
7.25,12.200,-0.01484,1.322,0.000
7.25,12.300,-0.01472,1.322,0.000
7.25,12.400,-0.01459,1.321,0.000
7.31,12.500,-0.01443,1.333,0.000
7.29,12.600,-0.01430,1.330,0.000
7.34,12.700,-0.01418,1.338,0.000
7.36,12.800,-0.01405,1.342,0.000
7.37,12.900,-0.01389,1.344,0.000
7.38,13.000,-0.01376,1.346,0.000
7.39,13.100,-0.01364,1.347,0.000
7.43,13.200,-0.01347,1.355,0.000
7.44,13.300,-0.01335,1.356,0.000
7.47,13.400,-0.01318,1.363,0.000
7.48,13.500,-0.01305,1.365,0.000
7.52,13.600,-0.01289,1.371,0.000
7.54,13.700,-0.01276,1.375,0.000
7.55,13.800,-0.01260,1.376,0.000
7.54,13.900,-0.01247,1.376,0.000
7.58,14.000,-0.01231,1.383,0.000
7.63,14.100,-0.01214,1.391,0.000
7.66,14.200,-0.01202,1.396,0.000
7.66,14.300,-0.01185,1.397,0.000
7.70,14.400,-0.01168,1.403,0.000
7.70,14.500,-0.01156,1.404,0.000
7.73,14.600,-0.01139,1.409,0.000
7.75,14.700,-0.01123,1.414,0.000
7.76,14.800,-0.01106,1.416,0.000
7.77,14.900,-0.01094,1.416,0.000
7.78,15.000,-0.01077,1.419,0.000
7.83,15.100,-0.01060,1.428,0.000
7.80,15.200,-0.01044,1.422,0.000
7.86,15.300,-0.01027,1.433,0.000
7.91,15.400,-0.01006,1.442,0.000
7.92,15.500,-0.00990,1.444,0.000
8.00,15.600,-0.00973,1.458,0.000
8.01,15.700,-0.00952,1.460,0.000
8.01,15.800,-0.00931,1.461,0.000
8.06,15.900,-0.00911,1.469,0.000
8.08,16.000,-0.00890,1.474,0.000
8.10,16.100,-0.00869,1.478,0.000
8.13,16.200,-0.00848,1.483,0.000
8.17,16.300,-0.00832,1.490,0.000
8.19,16.400,-0.00811,1.494,0.000
8.21,16.500,-0.00790,1.497,0.000
8.26,16.600,-0.00769,1.507,0.000
8.26,16.700,-0.00749,1.506,0.000
8.30,16.800,-0.00728,1.513,0.000
8.31,16.900,-0.00711,1.516,0.000
8.36,17.000,-0.00690,1.524,0.000
8.39,17.100,-0.00674,1.529,0.000
8.42,17.200,-0.00657,1.536,0.000
8.43,17.300,-0.00641,1.538,0.000
8.45,17.400,-0.00624,1.541,0.000
8.48,17.500,-0.00607,1.546,0.000
8.51,17.600,-0.00591,1.551,0.000
8.53,17.700,-0.00578,1.556,0.000
8.54,17.800,-0.00562,1.557,0.000
8.55,17.900,-0.00545,1.559,0.000
8.59,18.000,-0.00533,1.566,0.000
8.60,18.100,-0.00520,1.569,0.000
8.62,18.200,-0.00503,1.572,0.000
8.62,18.300,-0.00491,1.573,0.000
8.66,18.400,-0.00478,1.579,0.000
8.70,18.500,-0.00462,1.587,0.000
8.74,18.600,-0.00449,1.593,0.000
8.70,18.700,-0.00437,1.586,0.000
8.74,18.800,-0.00424,1.594,0.000
8.79,18.900,-0.00408,1.602,0.000
8.79,19.000,-0.00395,1.603,0.000
8.86,19.100,-0.00383,1.616,0.000
8.83,19.200,-0.00366,1.611,0.000
8.85,19.300,-0.00354,1.615,0.000
8.88,19.400,-0.00337,1.619,0.000
8.89,19.500,-0.00325,1.622,0.000
8.92,19.600,-0.00308,1.627,0.000
8.99,19.700,-0.00296,1.639,0.000
8.98,19.800,-0.00279,1.637,0.000
8.99,19.900,-0.00262,1.639,0.000
9.08,20.000,-0.00250,1.656,0.000
9.08,20.100,-0.00233,1.656,0.000
9.11,20.200,-0.00221,1.662,0.000
9.09,20.300,-0.00204,1.658,0.000
9.13,20.400,-0.00188,1.666,0.000
9.16,20.500,-0.00175,1.671,0.000
9.20,20.600,-0.00159,1.678,0.000
9.19,20.700,-0.00142,1.675,0.000
9.25,20.800,-0.00125,1.687,0.000
9.28,20.900,-0.00109,1.693,0.000
9.28,21.000,-0.00092,1.692,0.000
9.34,21.100,-0.00075,1.704,0.000
9.37,21.200,-0.00059,1.709,0.000
9.39,21.300,-0.00038,1.713,0.000
9.43,21.400,-0.00017,1.720,0.000
9.45,21.500,-0.00001,1.724,0.000
9.52,21.600,0.00020,1.736,0.000
9.55,21.700,0.00041,1.741,0.000
9.58,21.800,0.00066,1.747,0.000
9.67,21.900,0.00087,1.764,0.000
9.67,22.000,0.00107,1.763,0.000
9.70,22.100,0.00128,1.768,0.000
