""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH13Z.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

13.43,0.200,-0.01566,1.790,0.000
13.39,0.300,-0.01566,1.784,0.000
13.41,0.400,-0.01562,1.787,0.000
13.40,0.500,-0.01562,1.786,0.000
13.42,0.600,-0.01562,1.788,0.000
13.42,0.700,-0.01562,1.788,0.000
13.41,0.800,-0.01557,1.787,0.000
13.41,0.900,-0.01557,1.787,0.000
13.45,1.000,-0.01557,1.792,0.000
13.43,1.100,-0.01553,1.789,0.000
13.42,1.200,-0.01553,1.789,0.000
13.43,1.300,-0.01553,1.790,0.000
13.42,1.400,-0.01549,1.788,0.000
13.43,1.500,-0.01549,1.790,0.000
13.44,1.600,-0.01549,1.791,0.000
13.46,1.700,-0.01545,1.794,0.000
13.45,1.800,-0.01545,1.793,0.000
13.46,1.900,-0.01541,1.794,0.000
13.47,2.000,-0.01541,1.795,0.000
13.49,2.100,-0.01537,1.798,0.000
13.53,2.200,-0.01532,1.803,0.000
13.64,2.300,-0.01520,1.818,0.000
13.78,2.400,-0.01503,1.837,0.000
14.01,2.500,-0.01478,1.867,0.000
14.18,2.600,-0.01462,1.890,0.000
14.34,2.700,-0.01441,1.911,0.000
14.46,2.800,-0.01420,1.927,0.000
14.57,2.900,-0.01404,1.941,0.000
14.63,3.000,-0.01383,1.950,0.000
14.74,3.100,-0.01366,1.965,0.000
14.85,3.200,-0.01345,1.978,0.000
14.95,3.300,-0.01325,1.992,0.000
15.05,3.400,-0.01308,2.006,0.000
15.08,3.500,-0.01291,2.010,0.000
15.16,3.600,-0.01271,2.021,0.000
15.23,3.700,-0.01254,2.030,0.000
15.30,3.800,-0.01242,2.039,0.000
15.36,3.900,-0.01225,2.047,0.000
15.43,4.000,-0.01208,2.057,0.000
15.49,4.100,-0.01196,2.064,0.000
15.56,4.200,-0.01179,2.073,0.000
15.60,4.300,-0.01167,2.079,0.000
15.65,4.400,-0.01150,2.086,0.000
15.73,4.500,-0.01138,2.096,0.000
15.80,4.600,-0.01121,2.105,0.000
15.85,4.700,-0.01109,2.112,0.000
15.89,4.800,-0.01096,2.118,0.000
15.96,4.900,-0.01079,2.127,0.000
16.01,5.000,-0.01067,2.133,0.000
16.05,5.100,-0.01055,2.139,0.000
16.08,5.200,-0.01042,2.143,0.000
16.16,5.300,-0.01030,2.153,0.000
16.21,5.400,-0.01013,2.161,0.000
