""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH15Y.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

6.81,0.200,-0.00740,1.258,0.000
6.77,0.300,-0.00740,1.251,0.000
6.81,0.400,-0.00735,1.259,0.000
6.80,0.500,-0.00735,1.256,0.000
6.80,0.600,-0.00735,1.256,0.000
6.81,0.700,-0.00731,1.259,0.000
6.79,0.800,-0.00731,1.255,0.000
6.82,0.900,-0.00731,1.260,0.000
6.83,1.000,-0.00727,1.262,0.000
6.84,1.100,-0.00727,1.264,0.000
6.83,1.200,-0.00727,1.262,0.000
6.84,1.300,-0.00723,1.264,0.000
6.84,1.400,-0.00723,1.263,0.000
6.87,1.500,-0.00719,1.269,0.000
6.88,1.600,-0.00719,1.271,0.000
6.84,1.700,-0.00715,1.264,0.000
6.81,1.800,-0.00710,1.258,0.000
6.86,1.900,-0.00702,1.269,0.000
6.88,2.000,-0.00690,1.272,0.000
6.94,2.100,-0.00677,1.282,0.000
7.03,2.200,-0.00661,1.299,0.000
7.08,2.300,-0.00644,1.309,0.000
7.12,2.400,-0.00627,1.317,0.000
7.17,2.500,-0.00611,1.325,0.000
7.22,2.600,-0.00598,1.334,0.000
7.26,2.700,-0.00582,1.341,0.000
7.28,2.800,-0.00569,1.345,0.000
7.30,2.900,-0.00557,1.350,0.000
7.32,3.000,-0.00544,1.352,0.000
7.35,3.100,-0.00528,1.359,0.000
7.36,3.200,-0.00515,1.360,0.000
7.40,3.300,-0.00503,1.367,0.000
7.42,3.400,-0.00490,1.371,0.000
7.47,3.500,-0.00478,1.380,0.000
7.46,3.600,-0.00465,1.378,0.000
7.47,3.700,-0.00453,1.381,0.000
7.50,3.800,-0.00440,1.386,0.000
7.51,3.900,-0.00428,1.388,0.000
7.53,4.000,-0.00415,1.392,0.000
7.55,4.100,-0.00399,1.395,0.000
7.63,4.200,-0.00386,1.410,0.000
7.61,4.300,-0.00374,1.407,0.000
7.65,4.400,-0.00361,1.414,0.000
