""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH38Z.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

4.07,0.200,-0.01345,0.765,0.000
4.04,0.300,-0.01345,0.758,0.000
4.06,0.400,-0.01345,0.763,0.000
4.04,0.500,-0.01341,0.758,0.000
4.06,0.600,-0.01341,0.762,0.000
4.04,0.700,-0.01341,0.760,0.000
4.07,0.800,-0.01337,0.764,0.000
4.05,0.900,-0.01337,0.761,0.000
4.07,1.000,-0.01333,0.764,0.000
4.05,1.100,-0.01333,0.761,0.000
4.09,1.200,-0.01333,0.768,0.000
4.05,1.300,-0.01328,0.761,0.000
4.08,1.400,-0.01328,0.766,0.000
4.07,1.500,-0.01324,0.765,0.000
4.09,1.600,-0.01324,0.768,0.000
4.06,1.700,-0.01320,0.763,0.000
4.09,1.800,-0.01320,0.769,0.000
4.07,1.900,-0.01316,0.766,0.000
4.11,2.000,-0.01312,0.772,0.000
4.12,2.100,-0.01303,0.775,0.000
4.21,2.200,-0.01295,0.790,0.000
4.26,2.300,-0.01283,0.800,0.000
4.37,2.400,-0.01262,0.822,0.000
4.46,2.500,-0.01241,0.838,0.000
4.57,2.600,-0.01220,0.859,0.000
4.62,2.700,-0.01204,0.869,0.000
4.70,2.800,-0.01187,0.882,0.000
4.76,2.900,-0.01166,0.894,0.000
4.81,3.000,-0.01154,0.904,0.000
4.84,3.100,-0.01137,0.910,0.000
4.88,3.200,-0.01121,0.918,0.000
4.91,3.300,-0.01104,0.923,0.000
4.96,3.400,-0.01091,0.932,0.000
4.96,3.500,-0.01075,0.933,0.000
5.00,3.600,-0.01062,0.940,0.000
5.02,3.700,-0.01050,0.943,0.000
5.05,3.800,-0.01033,0.950,0.000
5.07,3.900,-0.01021,0.953,0.000
5.11,4.000,-0.01008,0.960,0.000
5.14,4.100,-0.00996,0.966,0.000
5.17,4.200,-0.00983,0.971,0.000
5.19,4.300,-0.00971,0.975,0.000
5.22,4.400,-0.00954,0.980,0.000
5.22,4.500,-0.00942,0.981,0.000
5.26,4.600,-0.00929,0.989,0.000
5.27,4.700,-0.00917,0.989,0.000
5.30,4.800,-0.00904,0.996,0.000
5.33,4.900,-0.00892,1.002,0.000
5.34,5.000,-0.00880,1.004,0.000
5.37,5.100,-0.00863,1.010,0.000
5.40,5.200,-0.00850,1.014,0.000
5.43,5.300,-0.00838,1.020,0.000
5.45,5.400,-0.00821,1.025,0.000
5.47,5.500,-0.00809,1.028,0.000
5.50,5.600,-0.00792,1.033,0.000
5.52,5.700,-0.00780,1.037,0.000
5.56,5.800,-0.00763,1.044,0.000
5.57,5.900,-0.00751,1.047,0.000
5.59,6.000,-0.00734,1.051,0.000
5.61,6.100,-0.00722,1.054,0.000
5.64,6.200,-0.00705,1.060,0.000
5.68,6.300,-0.00688,1.067,0.000
5.70,6.400,-0.00676,1.071,0.000
5.72,6.500,-0.00659,1.075,0.000
5.74,6.600,-0.00643,1.079,0.000
5.77,6.700,-0.00630,1.084,0.000
5.79,6.800,-0.00614,1.088,0.000
5.80,6.900,-0.00597,1.089,0.000
5.84,7.000,-0.00580,1.096,0.000
5.85,7.100,-0.00564,1.100,0.000
5.86,7.200,-0.00547,1.102,0.000
5.89,7.300,-0.00526,1.106,0.000
5.94,7.400,-0.00510,1.116,0.000
5.98,7.500,-0.00489,1.123,0.000
6.00,7.600,-0.00468,1.128,0.000
6.06,7.700,-0.00447,1.139,0.000
6.07,7.800,-0.00422,1.141,0.000
6.09,7.900,-0.00402,1.144,0.000
6.15,8.000,-0.00381,1.155,0.000
6.16,8.100,-0.00356,1.157,0.000
6.18,8.200,-0.00335,1.162,0.000
6.23,8.300,-0.00314,1.170,0.000
6.27,8.400,-0.00294,1.177,0.000
6.28,8.500,-0.00273,1.180,0.000
6.33,8.600,-0.00252,1.190,0.000
6.34,8.700,-0.00235,1.191,0.000
6.37,8.800,-0.00215,1.197,0.000
6.39,8.900,-0.00198,1.200,0.000
6.40,9.000,-0.00181,1.203,0.000
6.41,9.100,-0.00165,1.205,0.000
6.43,9.200,-0.00148,1.209,0.000
6.43,9.300,-0.00136,1.208,0.000
6.45,9.400,-0.00119,1.212,0.000
6.47,9.500,-0.00107,1.216,0.000
6.48,9.600,-0.00090,1.218,0.000
6.52,9.700,-0.00078,1.225,0.000
6.53,9.800,-0.00065,1.227,0.000
6.55,9.900,-0.00048,1.232,0.000
6.55,10.000,-0.00036,1.230,0.000
6.57,10.100,-0.00024,1.235,0.000
6.59,10.200,-0.00011,1.238,0.000
6.58,10.300,0.00001,1.237,0.000
6.62,10.400,0.00014,1.244,0.000
6.64,10.500,0.00031,1.247,0.000
6.67,10.600,0.00043,1.253,0.000
6.68,10.700,0.00055,1.255,0.000
6.71,10.800,0.00072,1.261,0.000
6.73,10.900,0.00085,1.265,0.000
6.75,11.000,0.00101,1.269,0.000
6.78,11.100,0.00114,1.273,0.000
6.79,11.200,0.00130,1.276,0.000
6.82,11.300,0.00143,1.282,0.000
6.84,11.400,0.00159,1.285,0.000
6.87,11.500,0.00176,1.291,0.000
6.88,11.600,0.00188,1.292,0.000
6.89,11.700,0.00205,1.295,0.000
6.92,11.800,0.00222,1.301,0.000
6.94,11.900,0.00238,1.304,0.000
6.97,12.000,0.00251,1.310,0.000
7.00,12.100,0.00267,1.316,0.000
7.02,12.200,0.00284,1.319,0.000
7.04,12.300,0.00301,1.323,0.000
7.06,12.400,0.00317,1.327,0.000
7.08,12.500,0.00334,1.330,0.000
7.10,12.600,0.00350,1.334,0.000
7.12,12.700,0.00367,1.337,0.000
7.15,12.800,0.00384,1.344,0.000
7.17,12.900,0.00400,1.347,0.000
7.21,13.000,0.00421,1.355,0.000
7.24,13.100,0.00438,1.361,0.000
7.26,13.200,0.00459,1.365,0.000
7.31,13.300,0.00479,1.373,0.000
7.34,13.400,0.00500,1.380,0.000
7.36,13.500,0.00525,1.382,0.000
7.40,13.600,0.00546,1.390,0.000
7.43,13.700,0.00571,1.397,0.000
7.45,13.800,0.00592,1.399,0.000
7.49,13.900,0.00612,1.407,0.000
7.51,14.000,0.00637,1.412,0.000
7.53,14.100,0.00658,1.415,0.000
7.57,14.200,0.00679,1.422,0.000
7.58,14.300,0.00695,1.424,0.000
7.61,14.400,0.00716,1.431,0.000
7.62,14.500,0.00733,1.432,0.000
7.65,14.600,0.00749,1.437,0.000
7.66,14.700,0.00766,1.439,0.000
7.68,14.800,0.00783,1.442,0.000
7.68,14.900,0.00799,1.443,0.000
7.68,15.000,0.00812,1.444,0.000
7.71,15.100,0.00828,1.448,0.000
7.72,15.200,0.00841,1.450,0.000
7.74,15.300,0.00857,1.455,0.000
7.77,15.400,0.00870,1.460,0.000
7.78,15.500,0.00882,1.461,0.000
7.81,15.600,0.00899,1.467,0.000
7.81,15.700,0.00912,1.467,0.000
7.79,15.800,0.00924,1.464,0.000
7.78,15.900,0.00936,1.461,0.000
7.77,16.000,0.00949,1.460,0.000
7.78,16.100,0.00966,1.461,0.000
7.77,16.200,0.00978,1.460,0.000
7.80,16.300,0.00990,1.465,0.000
7.82,16.400,0.01007,1.469,0.000
