Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.655,0.236,2.570,0,0.708,2.203,0,0.598,0.622,255,255
1,0.605,0.708,2.203,0,1.259,2.072,0,0.566,0.517,255,255
1,0.576,1.705,2.387,0,1.259,2.072,0,0.546,0.539,255,255
1,0.565,0.813,1.626,0,1.259,1.915,0,0.531,0.542,255,255
1,0.402,1.469,1.600,0,1.259,1.915,0,0.378,0.331,255,255
1,0.327,0.551,1.941,0,0.708,2.203,0,0.306,0.258,255,255
1,0.157,1.259,1.915,0,1.259,2.072,0,0.157,0.105,255,255
2,2.325,2.230,2.282,0,2.230,4.433,0,2.151,2.221,255,255
2,1.561,1.128,5.193,0,2.230,4.433,0,1.339,1.453,255,255
2,0.640,2.230,4.433,0,2.728,4.774,0,0.604,0.533,255,255
2,0.544,2.544,5.220,0,2.728,4.774,0,0.482,0.510,255,255
2,0.478,3.541,4.905,0,3.095,4.931,0,0.447,0.477,255,255
2,0.432,2.728,4.774,0,3.095,4.931,0,0.400,0.335,255,255
2,0.153,3.043,5.062,0,3.095,4.931,0,0.141,0.150,255,255
3,0.884,2.466,12.643,0,1.862,12.039,0,0.853,0.849,255,255
3,0.856,1.390,11.016,0,1.757,11.698,0,0.775,0.820,255,255
3,0.806,2.570,11.830,0,1.862,11.751,0,0.713,0.758,255,255
3,0.640,2.098,12.695,0,1.731,12.223,0,0.598,0.614,255,255
3,0.629,1.233,12.538,0,1.731,12.223,0,0.589,0.593,255,255
3,0.413,1.154,11.934,0,1.443,11.672,0,0.390,0.393,255,255
3,0.326,1.443,11.672,0,1.757,11.698,0,0.316,0.262,255,255
3,0.321,1.154,11.593,0,1.443,11.672,0,0.299,0.295,255,255
3,0.310,1.862,11.751,0,1.862,12.039,0,0.289,0.247,255,255
3,0.238,1.731,12.223,0,1.862,12.039,0,0.226,0.164,255,255
3,0.127,1.757,11.698,0,1.862,11.751,0,0.117,0.056,255,255
4,3.581,5.587,13.954,0,7.554,16.551,0,3.258,3.344,255,255
4,2.124,6.295,18.361,0,7.318,16.682,0,1.966,1.992,255,255
4,2.110,4.931,11.934,0,5.718,13.718,0,1.949,1.944,255,255
4,1.547,6.164,15.554,0,7.213,16.630,0,1.502,1.526,255,255
4,1.426,7.003,13.587,0,5.718,13.718,0,1.292,1.357,255,255
4,1.412,8.367,19.410,0,9.443,18.597,0,1.348,1.368,255,255
4,1.386,11.252,17.600,0,10.387,18.597,0,1.320,1.334,255,255
4,1.356,9.521,19.226,0,10.098,20.328,0,1.244,1.235,255,255
4,1.324,10.938,20.170,0,10.885,18.911,0,1.260,1.285,255,255
4,1.239,9.862,16.892,0,8.970,17.731,0,1.225,1.220,255,255
4,1.169,8.551,16.813,0,8.970,17.731,0,1.009,1.005,255,255
4,1.105,7.554,16.551,0,8.551,16.813,0,1.031,0.994,255,255
4,1.075,8.970,17.731,0,9.443,18.597,0,0.986,0.992,255,255
4,1.074,8.944,20.039,0,9.521,19.226,0,0.997,1.040,255,255
4,1.033,6.584,19.200,0,6.295,18.361,0,0.888,0.957,255,255
4,1.019,9.443,18.597,0,10.387,18.597,0,0.944,0.884,255,255
4,0.969,8.551,16.813,0,9.259,16.184,0,0.948,0.914,255,255
4,0.910,3.410,9.390,0,4.092,9.941,0,0.877,0.877,255,255
4,0.906,4.800,13.823,0,5.587,13.954,0,0.798,0.848,255,255
4,0.879,5.954,16.000,0,6.584,16.603,0,0.872,0.858,255,255
4,0.856,4.118,10.570,0,4.616,11.174,0,0.783,0.740,255,255
4,0.848,4.616,11.174,0,4.774,11.934,0,0.777,0.754,255,255
4,0.845,9.941,16.525,0,9.259,16.184,0,0.762,0.797,255,255
4,0.738,3.672,11.279,0,3.830,10.649,0,0.649,0.704,255,255
4,0.725,9.941,16.079,0,9.259,16.184,0,0.690,0.701,255,255
