Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2.365,4.643,5.482,0,5.010,7.528,0,2.079,2.279,255,255
1,2.210,3.830,13.220,0,5.141,11.882,0,1.873,1.989,255,255
1,1.923,4.852,9.364,0,5.010,7.528,0,1.843,1.843,255,255
1,1.552,3.830,10.308,0,4.852,9.364,0,1.392,1.447,255,255
1,1.440,3.803,11.856,0,3.830,13.220,0,1.364,1.409,255,255
1,1.404,5.561,9.836,0,6.111,10.990,0,1.279,1.279,255,255
1,1.264,5.298,11.856,0,6.111,10.990,0,1.188,1.153,255,255
1,1.234,4.092,11.856,0,5.141,11.882,0,1.050,1.184,255,255
1,1.219,6.584,10.125,0,6.243,11.016,0,0.955,1.086,255,255
1,1.100,2.098,13.928,0,2.938,13.561,0,0.916,1.062,255,255
1,0.969,2.833,12.800,0,3.541,13.377,0,0.914,0.945,255,255
1,0.883,6.400,9.836,0,5.561,9.836,0,0.839,0.854,255,255
1,0.860,3.987,14.033,0,4.590,14.348,0,0.680,0.737,255,255
1,0.819,4.826,10.413,0,5.167,9.757,0,0.739,0.770,255,255
1,0.799,5.298,11.856,0,5.692,12.433,0,0.698,0.737,255,255
1,0.797,3.698,13.377,0,3.987,14.033,0,0.716,0.712,255,255
1,0.773,2.230,13.508,0,2.938,13.561,0,0.710,0.708,255,255
1,0.679,2.938,13.561,0,3.541,13.377,0,0.631,0.568,255,255
1,0.583,5.902,8.026,0,5.482,7.633,0,0.575,0.561,255,255
1,0.561,4.852,9.364,0,5.167,9.757,0,0.504,0.466,255,255
1,0.516,5.587,12.905,0,5.692,12.433,0,0.484,0.487,255,255
1,0.516,5.010,7.528,0,5.482,7.633,0,0.484,0.404,255,255
1,0.498,6.610,11.331,0,6.243,11.016,0,0.484,0.476,255,255
1,0.452,5.902,7.711,0,5.482,7.633,0,0.427,0.441,255,255
1,0.426,5.167,9.757,0,5.561,9.836,0,0.401,0.324,255,255
1,0.422,4.564,14.715,0,4.590,14.348,0,0.368,0.388,255,255
1,0.386,3.725,14.295,0,3.987,14.033,0,0.371,0.353,255,255
1,0.301,5.902,12.616,0,5.692,12.433,0,0.279,0.280,255,255
1,0.253,4.800,14.243,0,4.590,14.348,0,0.235,0.252,255,255
1,0.242,3.698,13.377,0,3.830,13.220,0,0.205,0.167,255,255
1,0.168,5.141,11.882,0,5.298,11.856,0,0.160,0.137,255,255
1,0.157,3.541,13.377,0,3.698,13.377,0,0.157,0.131,255,255
1,0.142,6.111,10.990,0,6.243,11.016,0,0.134,0.079,255,255
2,3.220,8.813,4.170,0,11.751,4.800,0,3.004,3.070,255,255
2,2.222,11.069,6.662,0,11.751,4.800,0,1.983,2.090,255,255
2,2.149,6.452,3.803,0,8.341,4.223,0,1.935,2.012,255,255
2,1.758,8.105,2.623,0,8.656,4.066,0,1.544,1.636,255,255
2,1.460,4.852,3.515,0,6.269,3.410,0,1.420,1.374,255,255
2,1.344,9.521,5.351,0,8.630,4.407,0,1.299,1.312,255,255
2,1.280,8.603,8.866,0,9.731,8.656,0,1.147,1.168,255,255
2,1.275,8.052,5.797,0,8.472,4.695,0,1.179,1.121,255,255
2,1.206,7.974,7.528,0,7.869,8.603,0,1.081,1.150,255,255
2,1.181,9.259,5.534,0,8.472,4.695,0,1.151,1.149,255,255
2,1.029,11.751,4.800,0,12.380,4.170,0,0.890,0.914,255,255
2,1.017,7.633,4.931,0,8.341,4.223,0,1.002,0.996,255,255
2,1.014,10.020,8.131,0,10.125,7.161,0,0.976,0.954,255,255
2,0.996,10.256,7.030,0,11.069,6.662,0,0.892,0.881,255,255
2,0.941,7.056,3.698,0,6.269,3.410,0,0.838,0.913,255,255
2,0.917,7.790,6.164,0,8.105,6.951,0,0.848,0.788,255,255
2,0.883,7.056,8.630,0,7.869,8.603,0,0.814,0.850,255,255
2,0.876,8.892,9.731,0,8.656,8.997,0,0.771,0.854,255,255
2,0.871,8.603,7.921,0,8.210,8.630,0,0.810,0.837,255,255
2,0.840,5.980,2.728,0,6.269,3.410,0,0.740,0.789,255,255
2,0.775,9.443,9.311,0,9.731,8.656,0,0.716,0.730,255,255
2,0.766,8.656,6.190,0,8.052,5.797,0,0.720,0.733,255,255
2,0.683,10.518,8.577,0,10.020,8.131,0,0.669,0.655,255,255
2,0.666,7.266,5.823,0,7.790,6.164,0,0.626,0.562,255,255
2,0.659,9.731,8.656,0,10.020,8.131,0,0.599,0.603,255,255
2,0.655,4.538,4.039,0,4.852,3.515,0,0.612,0.558,255,255
2,0.649,6.374,4.354,0,6.452,3.803,0,0.556,0.625,255,255
2,0.572,6.269,3.410,0,6.636,2.990,0,0.558,0.434,255,255
2,0.553,8.603,7.082,0,8.105,6.951,0,0.515,0.531,255,255
2,0.513,10.780,6.269,0,11.069,6.662,0,0.488,0.476,255,255
2,0.511,9.102,9.154,0,8.656,8.997,0,0.473,0.481,255,255
2,0.507,7.790,6.164,0,8.052,5.797,0,0.451,0.421,255,255
2,0.491,8.210,8.630,0,8.603,8.866,0,0.459,0.408,255,255
2,0.469,6.269,3.410,0,6.452,3.803,0,0.434,0.394,255,255
2,0.452,12.459,3.751,0,12.380,4.170,0,0.427,0.446,255,255
2,0.450,9.993,6.689,0,10.256,7.030,0,0.430,0.419,255,255
2,0.417,8.341,4.223,0,8.656,4.066,0,0.352,0.338,255,255
2,0.417,6.951,6.033,0,7.266,5.823,0,0.378,0.385,255,255
2,0.415,4.590,4.433,0,4.538,4.039,0,0.397,0.407,255,255
2,0.415,12.774,4.223,0,12.380,4.170,0,0.397,0.407,255,255
2,0.411,4.852,3.043,0,4.748,3.410,0,0.382,0.397,255,255
2,0.408,6.925,2.754,0,6.636,2.990,0,0.373,0.408,255,255
2,0.391,9.810,6.977,0,10.125,7.161,0,0.364,0.363,255,255
2,0.365,6.977,5.639,0,7.266,5.823,0,0.342,0.332,255,255
2,0.354,8.472,4.695,0,8.630,4.407,0,0.329,0.258,255,255
2,0.352,6.610,2.649,0,6.636,2.990,0,0.342,0.347,255,255
2,0.352,7.869,8.603,0,8.210,8.630,0,0.342,0.289,255,255
2,0.312,8.630,4.407,0,8.813,4.170,0,0.299,0.235,255,255
2,0.306,8.210,2.361,0,8.105,2.623,0,0.283,0.303,255,255
2,0.290,8.105,6.951,0,8.236,7.187,0,0.270,0.195,255,255
2,0.286,4.538,3.226,0,4.748,3.410,0,0.279,0.265,255,255
2,0.249,8.420,7.344,0,8.236,7.187,0,0.242,0.228,255,255
2,0.242,8.315,2.702,0,8.105,2.623,0,0.224,0.222,255,255
2,0.201,8.656,4.066,0,8.813,4.170,0,0.189,0.087,255,255
2,0.201,10.125,7.161,0,10.256,7.030,0,0.185,0.138,255,255
2,0.153,8.184,7.318,0,8.236,7.187,0,0.141,0.150,255,255
2,0.153,8.603,8.866,0,8.656,8.997,0,0.141,0.094,255,255
2,0.148,4.748,3.410,0,4.852,3.515,0,0.148,0.074,255,255
