Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.120,2.859,24.052,0,3.384,24.918,0,1.012,1.056,255,255
1,0.703,4.485,25.259,0,3.934,24.892,0,0.662,0.662,255,255
1,0.598,4.302,24.446,0,3.934,24.892,0,0.578,0.567,255,255
1,0.454,3.593,25.311,0,3.751,24.944,0,0.400,0.430,255,255
1,0.378,3.384,24.918,0,3.751,24.944,0,0.368,0.344,255,255
1,0.349,3.069,24.708,0,3.305,24.944,0,0.334,0.321,255,255
1,0.260,3.121,25.128,0,3.305,24.944,0,0.260,0.148,255,255
1,0.205,3.751,24.944,0,3.934,24.892,0,0.191,0.113,255,255
1,0.090,3.305,24.944,0,3.384,24.918,0,0.083,0.026,255,255
1,0.037,3.095,25.154,0,3.121,25.128,0,0.037,0.037,255,255
1,0.026,3.121,25.128,0,3.121,25.128,0,0.000,0.000,0,0
2,0.865,5.220,22.138,0,4.485,21.823,0,0.799,0.845,255,255
2,0.511,3.646,22.138,0,4.092,22.033,0,0.458,0.500,255,255
2,0.480,4.092,22.033,0,4.485,21.823,0,0.446,0.392,255,255
2,0.310,4.144,22.321,0,4.092,22.033,0,0.293,0.306,255,255
2,0.190,4.459,21.666,0,4.485,21.823,0,0.160,0.182,255,255
3,0.574,4.800,3.698,0,4.826,4.197,0,0.499,0.530,255,255
3,0.557,5.325,4.039,0,4.826,4.197,0,0.523,0.532,255,255
3,0.537,4.354,4.039,0,4.826,4.197,0,0.498,0.501,255,255
3,0.463,4.984,4.564,0,4.826,4.197,0,0.400,0.435,255,255
4,1.417,6.662,12.564,0,7.108,13.797,0,1.311,1.270,255,255
4,1.345,6.951,11.200,0,6.426,12.328,0,1.244,1.262,255,255
4,1.286,5.062,14.479,0,6.138,14.951,0,1.174,1.177,255,255
4,0.922,6.348,14.689,0,7.161,14.951,0,0.854,0.846,255,255
4,0.897,6.348,14.689,0,7.030,14.243,0,0.815,0.786,255,255
4,0.843,5.797,13.325,0,5.797,12.590,0,0.734,0.756,255,255
4,0.810,7.685,15.266,0,7.266,14.872,0,0.575,0.764,255,255
4,0.738,5.797,12.590,0,6.426,12.328,0,0.682,0.660,255,255
4,0.681,5.272,12.249,0,5.797,12.590,0,0.626,0.635,255,255
4,0.675,7.213,12.826,0,6.662,12.564,0,0.610,0.662,255,255
4,0.594,6.138,14.951,0,6.190,15.502,0,0.553,0.531,255,255
4,0.500,7.580,15.449,0,7.134,15.370,0,0.453,0.457,255,255
4,0.478,7.030,14.243,0,7.108,13.797,0,0.453,0.412,255,255
4,0.474,7.134,15.370,0,7.161,14.951,0,0.420,0.384,255,255
4,0.434,5.875,15.790,0,6.190,15.502,0,0.427,0.420,255,255
4,0.422,7.397,14.269,0,7.030,14.243,0,0.368,0.387,255,255
4,0.420,4.643,14.479,0,5.062,14.479,0,0.420,0.420,255,255
4,0.415,7.318,14.479,0,7.266,14.872,0,0.397,0.421,255,255
4,0.400,6.846,15.607,0,6.479,15.685,0,0.376,0.361,255,255
4,0.380,6.190,15.502,0,6.479,15.685,0,0.342,0.291,255,255
4,0.380,6.138,14.951,0,6.348,14.689,0,0.336,0.299,255,255
4,0.334,6.426,12.328,0,6.662,12.564,0,0.334,0.260,255,255
4,0.332,6.584,15.974,0,6.479,15.685,0,0.307,0.306,255,255
4,0.253,6.925,15.475,0,7.134,15.370,0,0.235,0.228,255,255
4,0.205,7.292,13.849,0,7.108,13.797,0,0.191,0.201,255,255
4,0.190,5.141,14.321,0,5.062,14.479,0,0.176,0.193,255,255
4,0.138,7.161,14.951,0,7.266,14.872,0,0.131,0.074,255,255
5,0.998,5.744,9.915,0,5.770,9.154,0,0.761,0.932,255,255
5,0.698,5.298,9.626,0,5.770,9.154,0,0.668,0.681,255,255
5,0.546,5.508,8.341,0,5.902,8.708,0,0.538,0.524,255,255
5,0.522,5.902,8.708,0,6.269,8.446,0,0.451,0.435,255,255
5,0.500,5.770,9.154,0,5.902,8.708,0,0.465,0.417,255,255
5,0.221,6.243,8.236,0,6.269,8.446,0,0.211,0.216,255,255
5,0.063,6.321,8.472,0,6.269,8.446,0,0.059,0.063,255,255
6,1.038,5.692,22.059,0,6.610,22.138,0,0.921,0.963,255,255
6,0.950,6.820,22.033,0,7.607,22.374,0,0.858,0.887,255,255
6,0.874,6.846,22.898,0,6.610,22.138,0,0.796,0.840,255,255
6,0.766,7.502,21.325,0,6.951,21.718,0,0.677,0.729,255,255
6,0.474,7.790,22.741,0,7.607,22.374,0,0.411,0.453,255,255
6,0.369,6.820,22.033,0,6.951,21.718,0,0.341,0.294,255,255
6,0.332,6.846,21.430,0,6.951,21.718,0,0.307,0.310,255,255
6,0.280,7.607,22.138,0,7.607,22.374,0,0.236,0.255,255,255
6,0.253,6.610,22.138,0,6.820,22.033,0,0.235,0.174,255,255
7,0.848,7.239,8.472,0,8.000,8.682,0,0.789,0.803,255,255
7,0.450,8.315,8.393,0,8.000,8.682,0,0.427,0.439,255,255
7,0.432,7.843,9.049,0,8.000,8.682,0,0.400,0.394,255,255
8,0.943,9.128,18.885,0,9.311,19.357,0,0.507,0.880,255,255
8,0.817,8.577,20.643,0,9.180,20.275,0,0.706,0.719,255,255
8,0.664,9.023,19.698,0,9.180,20.275,0,0.598,0.574,255,255
8,0.647,8.420,19.593,0,9.023,19.698,0,0.612,0.625,255,255
8,0.585,8.079,21.141,0,8.551,20.905,0,0.528,0.565,255,255
8,0.522,9.023,19.698,0,9.311,19.357,0,0.447,0.425,255,255
8,0.428,8.892,21.115,0,8.551,20.905,0,0.400,0.401,255,255
8,0.422,8.210,20.616,0,8.577,20.643,0,0.368,0.392,255,255
8,0.323,9.075,19.148,0,9.311,19.357,0,0.316,0.302,255,255
8,0.273,8.551,20.905,0,8.577,20.643,0,0.264,0.184,255,255
8,0.258,9.416,20.328,0,9.180,20.275,0,0.242,0.240,255,255
9,1.474,11.803,21.036,0,10.518,20.879,0,1.295,1.388,255,255
9,0.613,9.941,21.351,0,10.282,20.879,0,0.582,0.582,255,255
9,0.457,10.544,21.325,0,10.518,20.879,0,0.447,0.457,255,255
9,0.365,10.098,20.590,0,10.282,20.879,0,0.342,0.272,255,255
9,0.236,10.282,20.879,0,10.518,20.879,0,0.236,0.210,255,255
9,0.212,9.941,20.459,0,10.098,20.590,0,0.205,0.191,255,255
9,0.148,10.203,20.485,0,10.098,20.590,0,0.148,0.111,255,255
10,1.132,10.466,25.416,0,10.728,24.393,0,1.056,1.096,255,255
10,0.612,10.413,24.026,0,10.728,24.393,0,0.484,0.566,255,255
10,0.249,10.911,24.551,0,10.728,24.393,0,0.242,0.228,255,255
11,1.133,12.144,3.698,0,11.672,4.433,0,0.873,1.039,255,255
11,0.642,11.777,5.010,0,11.672,4.433,0,0.587,0.610,255,255
11,0.576,10.833,4.774,0,11.252,4.433,0,0.541,0.536,255,255
11,0.420,11.252,4.433,0,11.672,4.433,0,0.420,0.315,255,255
11,0.306,11.279,4.695,0,11.252,4.433,0,0.264,0.301,255,255
11,0.290,11.016,4.302,0,11.252,4.433,0,0.270,0.172,255,255
11,0.216,10.833,4.380,0,11.016,4.302,0,0.200,0.197,255,255
11,0.205,11.069,4.118,0,11.016,4.302,0,0.191,0.211,255,255
12,1.118,14.085,20.013,0,14.977,20.485,0,1.009,0.946,255,255
12,1.099,15.134,20.485,0,16.157,20.511,0,1.023,0.987,255,255
12,0.380,15.292,20.800,0,15.134,20.485,0,0.352,0.351,255,255
12,0.352,16.498,20.485,0,16.157,20.511,0,0.342,0.358,255,255
12,0.327,14.793,20.721,0,14.977,20.485,0,0.299,0.293,255,255
12,0.269,16.131,20.275,0,16.157,20.511,0,0.238,0.263,255,255
12,0.194,13.823,19.830,0,14.007,19.856,0,0.185,0.185,255,255
12,0.194,14.111,20.197,0,14.085,20.013,0,0.185,0.186,255,255
12,0.190,14.007,19.856,0,14.085,20.013,0,0.176,0.110,255,255
12,0.164,14.085,19.725,0,14.007,19.856,0,0.153,0.160,255,255
12,0.157,14.977,20.485,0,15.134,20.485,0,0.157,0.131,255,255
13,0.565,15.292,15.423,0,15.711,15.738,0,0.525,0.466,255,255
13,0.432,16.079,15.843,0,15.711,15.738,0,0.382,0.405,255,255
13,0.423,15.003,15.711,0,15.292,15.423,0,0.408,0.410,255,255
13,0.336,15.318,15.134,0,15.292,15.423,0,0.290,0.322,255,255
13,0.258,15.711,15.974,0,15.711,15.738,0,0.236,0.264,255,255
13,0.190,15.134,15.344,0,15.292,15.423,0,0.176,0.169,255,255
