Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.963,1.102,4.354,0,1.941,4.459,0,0.846,0.885,255,255
1,0.574,2.439,4.643,0,1.941,4.459,0,0.531,0.536,255,255
1,0.448,2.072,4.066,0,1.941,4.459,0,0.415,0.416,255,255
1,0.074,1.075,4.380,0,1.102,4.354,0,0.037,0.000,0,0
1,0.063,1.049,4.328,0,1.102,4.354,0,0.059,0.056,255,255
2,1.805,2.570,20.039,0,2.833,21.692,0,1.673,1.712,255,255
2,1.382,1.390,22.479,0,2.518,21.902,0,1.267,1.211,255,255
2,1.016,3.069,21.928,0,3.987,22.164,0,0.948,0.890,255,255
2,0.677,3.384,22.452,0,3.069,21.928,0,0.612,0.653,255,255
2,0.557,1.469,23.003,0,1.390,22.479,0,0.530,0.568,255,255
2,0.402,2.518,21.902,0,2.833,21.692,0,0.378,0.295,255,255
2,0.334,2.833,21.692,0,3.069,21.928,0,0.334,0.297,255,255
2,0.264,4.118,21.954,0,3.987,22.164,0,0.247,0.245,255,255
2,0.258,1.154,22.531,0,1.390,22.479,0,0.242,0.244,255,255
2,0.253,4.170,22.295,0,3.987,22.164,0,0.226,0.235,255,255
2,0.164,2.623,22.007,0,2.518,21.902,0,0.148,0.146,255,255
3,1.081,2.151,14.715,0,2.623,15.554,0,0.963,0.971,255,255
3,0.468,3.226,15.948,0,2.780,15.948,0,0.446,0.449,255,255
3,0.459,2.623,15.554,0,2.780,15.948,0,0.424,0.362,255,255
3,0.352,2.754,16.289,0,2.780,15.948,0,0.342,0.358,255,255
3,0.321,2.911,15.475,0,2.623,15.554,0,0.299,0.295,255,255
3,0.221,1.941,14.741,0,2.151,14.715,0,0.211,0.213,255,255
3,0.216,2.230,14.531,0,2.151,14.715,0,0.200,0.213,255,255
4,1.812,3.357,19.410,0,3.016,18.256,0,1.203,1.717,255,255
4,1.401,1.993,17.469,0,3.016,18.256,0,1.291,1.336,255,255
4,1.268,2.361,19.252,0,3.016,18.256,0,1.193,1.208,255,255
4,1.146,3.934,17.705,0,3.016,18.256,0,1.071,0.984,255,255
5,0.821,4.538,15.685,0,3.934,15.161,0,0.799,0.818,255,255
5,0.754,3.593,15.869,0,3.725,15.213,0,0.669,0.705,255,255
5,0.384,4.039,14.820,0,3.934,15.161,0,0.357,0.375,255,255
5,0.317,3.462,15.082,0,3.725,15.213,0,0.293,0.291,255,255
5,0.232,3.725,15.213,0,3.934,15.161,0,0.216,0.138,255,255
6,1.706,4.197,5.954,0,4.721,4.774,0,1.292,1.566,255,255
6,0.454,4.354,4.564,0,4.721,4.774,0,0.423,0.419,255,255
6,0.397,5.010,4.511,0,4.721,4.774,0,0.390,0.397,255,255
6,0.194,4.170,5.770,0,4.197,5.954,0,0.185,0.185,255,255
6,0.116,4.118,6.007,0,4.197,5.954,0,0.095,0.106,255,255
7,1.151,5.954,3.646,0,6.584,4.459,0,1.028,1.021,255,255
7,0.924,5.561,2.649,0,5.954,3.410,0,0.856,0.868,255,255
7,0.913,7.082,5.089,0,6.584,4.459,0,0.803,0.866,255,255
7,0.858,6.715,3.226,0,5.954,3.410,0,0.783,0.800,255,255
7,0.823,5.272,3.987,0,5.954,3.646,0,0.762,0.770,255,255
7,0.697,7.134,4.144,0,6.584,4.459,0,0.634,0.657,255,255
7,0.258,5.954,3.410,0,5.954,3.646,0,0.236,0.194,255,255
8,1.133,7.475,1.338,0,6.505,1.469,0,0.979,1.060,255,255
8,1.080,5.797,0.682,0,6.505,1.469,0,1.059,1.053,255,255
8,0.459,6.216,1.731,0,6.505,1.469,0,0.390,0.430,255,255
9,1.731,8.682,5.508,0,7.292,5.718,0,1.406,1.617,255,255
9,0.463,6.872,5.613,0,7.292,5.718,0,0.433,0.434,255,255
9,0.391,7.475,6.033,0,7.292,5.718,0,0.364,0.378,255,255
10,1.228,7.607,20.092,0,8.498,20.643,0,1.048,1.142,255,255
10,1.164,10.518,20.433,0,9.495,20.511,0,1.026,1.085,255,255
10,0.931,9.600,21.456,0,9.443,20.643,0,0.828,0.882,255,255
10,0.688,9.364,19.620,0,9.338,20.275,0,0.656,0.686,255,255
10,0.658,8.498,20.643,0,9.102,20.774,0,0.617,0.576,255,255
10,0.539,8.813,21.193,0,9.102,20.774,0,0.509,0.506,255,255
10,0.535,9.049,19.882,0,9.338,20.275,0,0.488,0.500,255,255
10,0.417,9.102,20.774,0,9.443,20.643,0,0.365,0.328,255,255
10,0.413,9.862,19.856,0,9.626,20.118,0,0.353,0.382,255,255
10,0.363,9.574,19.777,0,9.626,20.118,0,0.345,0.361,255,255
10,0.338,9.443,20.380,0,9.626,20.118,0,0.320,0.309,255,255
10,0.221,8.472,20.852,0,8.498,20.643,0,0.211,0.214,255,255
10,0.153,9.443,20.380,0,9.495,20.511,0,0.141,0.113,255,255
10,0.153,9.443,20.643,0,9.495,20.511,0,0.141,0.079,255,255
10,0.148,9.338,20.275,0,9.443,20.380,0,0.148,0.074,255,255
11,1.055,8.551,11.698,0,7.921,11.043,0,0.909,0.991,255,255
11,0.633,7.764,10.518,0,7.921,11.043,0,0.548,0.606,255,255
11,0.306,7.659,10.990,0,7.921,11.043,0,0.267,0.276,255,255
12,0.485,8.367,3.016,0,8.787,2.859,0,0.448,0.391,255,255
12,0.439,7.948,1.836,0,8.184,2.177,0,0.415,0.447,255,255
12,0.439,8.472,2.308,0,8.787,2.570,0,0.410,0.353,255,255
12,0.439,8.656,1.967,0,8.472,2.308,0,0.387,0.404,255,255
12,0.343,9.075,2.439,0,8.787,2.570,0,0.317,0.311,255,255
12,0.343,8.184,2.177,0,8.472,2.308,0,0.317,0.271,255,255
12,0.327,9.023,3.043,0,8.787,2.859,0,0.299,0.300,255,255
12,0.310,8.787,2.570,0,8.787,2.859,0,0.289,0.247,255,255
12,0.190,8.052,2.282,0,8.184,2.177,0,0.168,0.169,255,255
12,0.142,8.393,3.148,0,8.367,3.016,0,0.134,0.136,255,255
12,0.063,8.315,2.990,0,8.367,3.016,0,0.059,0.056,255,255
13,1.064,9.049,15.423,0,8.761,14.479,0,0.987,1.007,255,255
13,0.612,8.052,14.767,0,8.472,14.452,0,0.525,0.567,255,255
13,0.500,8.603,14.007,0,8.472,14.452,0,0.465,0.483,255,255
13,0.431,8.761,14.479,0,9.180,14.452,0,0.420,0.367,255,255
13,0.395,9.311,14.793,0,9.180,14.452,0,0.365,0.365,255,255
13,0.358,9.574,14.479,0,9.259,14.374,0,0.332,0.339,255,255
13,0.299,8.472,14.452,0,8.761,14.479,0,0.290,0.236,255,255
13,0.127,9.180,14.452,0,9.259,14.374,0,0.111,0.063,255,255
13,0.063,9.285,14.321,0,9.259,14.374,0,0.059,0.056,255,255
14,0.791,8.603,9.128,0,9.285,8.866,0,0.731,0.662,255,255
14,0.767,8.682,9.862,0,8.603,9.128,0,0.739,0.751,255,255
14,0.415,9.679,8.918,0,9.285,8.866,0,0.397,0.401,255,255
14,0.284,9.285,8.603,0,9.285,8.866,0,0.262,0.277,255,255
14,0.100,8.525,9.075,0,8.603,9.128,0,0.095,0.087,255,255
15,0.965,10.623,1.390,0,9.810,1.023,0,0.892,0.926,255,255
15,0.871,10.203,1.731,0,9.810,1.023,0,0.810,0.837,255,255
15,0.596,9.311,0.787,0,9.810,1.023,0,0.551,0.496,255,255
15,0.443,9.180,0.420,0,9.311,0.787,0,0.390,0.414,255,255
