Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.965,0.761,1.023,0,1.390,0.577,0,0.771,0.875,255,255
1,0.775,1.679,1.233,0,1.390,0.577,0,0.716,0.743,255,255
1,0.555,1.784,0.262,0,1.390,0.577,0,0.504,0.517,255,255
1,0.369,1.075,1.154,0,0.761,1.023,0,0.341,0.340,255,255
1,0.290,0.630,1.259,0,0.761,1.023,0,0.270,0.267,255,255
2,0.519,2.177,2.308,0,1.810,2.675,0,0.519,0.519,255,255
2,0.517,1.102,2.387,0,1.495,2.177,0,0.446,0.484,255,255
2,0.496,0.970,1.469,0,1.285,1.757,0,0.427,0.445,255,255
2,0.459,1.495,2.177,0,1.600,2.570,0,0.407,0.361,255,255
2,0.422,2.046,1.889,0,1.705,1.993,0,0.357,0.418,255,255
2,0.402,1.941,1.705,0,1.705,1.993,0,0.373,0.374,255,255
2,0.378,2.177,2.702,0,1.810,2.675,0,0.368,0.370,255,255
2,0.349,1.338,2.780,0,1.600,2.570,0,0.336,0.322,255,255
2,0.321,1.285,1.757,0,1.311,2.046,0,0.290,0.251,255,255
2,0.301,1.495,2.177,0,1.705,1.993,0,0.279,0.212,255,255
2,0.269,1.311,2.046,0,1.495,2.177,0,0.226,0.161,255,255
2,0.253,1.495,1.652,0,1.285,1.757,0,0.235,0.224,255,255
2,0.253,1.600,2.570,0,1.810,2.675,0,0.235,0.172,255,255
2,0.212,1.154,2.177,0,1.311,2.046,0,0.205,0.191,255,255
2,0.164,1.889,2.807,0,1.810,2.675,0,0.153,0.146,255,255
3,0.812,1.784,21.639,0,2.098,20.957,0,0.751,0.772,255,255
3,0.672,2.597,21.377,0,2.098,20.957,0,0.652,0.645,255,255
3,0.641,2.702,20.957,0,2.098,20.957,0,0.603,0.629,255,255
3,0.539,1.521,20.328,0,1.784,20.721,0,0.473,0.471,255,255
3,0.535,1.416,21.089,0,1.784,20.721,0,0.519,0.521,255,255
3,0.489,1.784,20.721,0,2.098,20.957,0,0.393,0.426,255,255
3,0.392,2.308,20.643,0,2.098,20.957,0,0.378,0.376,255,255
4,0.998,1.784,25.338,0,2.544,25.207,0,0.772,0.896,255,255
4,0.745,2.964,25.233,0,3.384,25.757,0,0.672,0.690,255,255
4,0.681,2.020,25.495,0,2.544,25.207,0,0.599,0.640,255,255
4,0.629,2.649,24.734,0,2.964,25.233,0,0.589,0.582,255,255
4,0.590,3.908,25.915,0,3.384,25.757,0,0.548,0.567,255,255
4,0.480,1.574,25.731,0,1.784,25.338,0,0.446,0.453,255,255
4,0.452,2.544,25.207,0,2.964,25.233,0,0.420,0.344,255,255
4,0.391,3.567,26.072,0,3.384,25.757,0,0.364,0.370,255,255
4,0.175,1.915,25.443,0,1.784,25.338,0,0.168,0.120,255,255
5,1.238,3.226,14.846,0,3.567,15.921,0,1.128,1.064,255,255
5,0.812,2.151,14.925,0,2.833,14.610,0,0.751,0.716,255,255
5,0.706,3.226,14.846,0,3.856,14.662,0,0.656,0.602,255,255
5,0.607,3.043,14.111,0,2.833,14.610,0,0.541,0.568,255,255
5,0.537,3.961,14.190,0,3.856,14.662,0,0.484,0.497,255,255
5,0.491,2.833,14.610,0,3.226,14.846,0,0.459,0.399,255,255
5,0.426,3.646,15.921,0,4.039,16.000,0,0.401,0.330,255,255
5,0.380,2.308,15.239,0,2.151,14.925,0,0.352,0.363,255,255
5,0.380,3.252,16.079,0,3.567,15.921,0,0.352,0.353,255,255
5,0.380,4.144,14.846,0,3.856,14.662,0,0.342,0.343,255,255
5,0.306,1.993,14.715,0,2.151,14.925,0,0.262,0.271,255,255
5,0.127,3.698,15.816,0,3.646,15.921,0,0.117,0.131,255,255
5,0.100,4.092,16.079,0,4.039,16.000,0,0.095,0.093,255,255
5,0.100,4.118,15.948,0,4.039,16.000,0,0.095,0.100,255,255
5,0.079,3.567,15.921,0,3.646,15.921,0,0.079,0.052,255,255
6,1.642,4.669,4.774,0,5.115,6.085,0,1.385,1.520,255,255
6,1.338,2.466,5.718,0,3.489,4.957,0,1.275,1.285,255,255
6,1.085,4.590,5.849,0,3.777,5.298,0,0.982,1.045,255,255
6,1.084,3.672,4.984,0,4.669,4.774,0,1.019,0.992,255,255
6,0.924,3.384,6.059,0,3.777,5.298,0,0.856,0.807,255,255
6,0.897,2.649,4.407,0,3.384,4.800,0,0.833,0.775,255,255
6,0.871,3.777,4.092,0,3.384,4.800,0,0.810,0.829,255,255
6,0.684,5.430,4.721,0,4.800,4.695,0,0.630,0.662,255,255
6,0.658,2.361,3.672,0,2.413,4.249,0,0.579,0.573,255,255
