Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.815,1.416,4.380,0,1.652,2.728,0,1.669,1.727,255,255
1,1.465,0.708,1.784,0,1.652,2.597,0,1.246,1.352,255,255
1,0.666,1.993,2.072,0,1.652,2.597,0,0.626,0.637,255,255
1,0.659,2.203,2.990,0,1.652,2.728,0,0.610,0.618,255,255
1,0.463,2.098,2.597,0,1.652,2.597,0,0.446,0.458,255,255
1,0.148,1.652,2.597,0,1.652,2.728,0,0.131,0.063,255,255
2,1.002,1.731,21.849,0,2.439,22.164,0,0.775,0.928,255,255
2,0.664,0.761,21.508,0,1.338,21.298,0,0.614,0.627,255,255
2,0.655,1.338,21.298,0,1.652,21.823,0,0.612,0.539,255,255
2,0.491,3.121,21.954,0,2.754,22.216,0,0.451,0.439,255,255
2,0.480,1.731,21.193,0,1.338,21.298,0,0.407,0.433,255,255
2,0.404,1.679,22.216,0,1.652,21.823,0,0.394,0.400,255,255
2,0.336,2.439,22.164,0,2.754,22.216,0,0.319,0.232,255,255
2,0.290,2.308,22.400,0,2.439,22.164,0,0.270,0.268,255,255
2,0.238,1.862,22.033,0,1.731,21.849,0,0.226,0.211,255,255
2,0.190,2.833,22.374,0,2.754,22.216,0,0.176,0.175,255,255
2,0.090,1.652,21.823,0,1.731,21.849,0,0.083,0.000,0,0
3,1.664,2.282,12.380,0,3.331,13.456,0,1.502,1.490,255,255
3,0.682,1.915,11.882,0,2.282,12.380,0,0.619,0.541,255,255
3,0.358,2.203,11.751,0,1.915,11.882,0,0.317,0.339,255,255
3,0.323,2.046,12.590,0,2.282,12.380,0,0.316,0.316,255,255
3,0.321,3.620,13.377,0,3.331,13.456,0,0.299,0.298,255,255
3,0.238,1.757,12.039,0,1.915,11.882,0,0.223,0.242,255,255
3,0.175,3.436,13.587,0,3.331,13.456,0,0.168,0.157,255,255
3,0.100,1.862,11.803,0,1.915,11.882,0,0.095,0.087,255,255
4,0.815,2.334,15.266,0,3.095,15.344,0,0.765,0.729,255,255
4,0.690,2.098,15.843,0,2.334,15.266,0,0.623,0.624,255,255
