Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.856,2.125,17.941,0,2.885,16.472,0,1.654,1.711,255,255
1,1.824,1.495,19.489,0,2.125,17.941,0,1.671,1.610,255,255
1,1.461,3.987,15.449,0,4.616,16.551,0,1.269,1.320,255,255
1,1.361,5.692,13.770,0,6.321,14.793,0,1.201,1.176,255,255
1,1.266,2.230,21.666,0,2.990,20.852,0,1.113,1.094,255,255
1,1.264,7.554,14.190,0,6.793,15.108,0,1.192,1.215,255,255
1,1.256,5.744,16.525,0,6.243,15.475,0,1.162,1.131,255,255
1,1.103,3.069,15.895,0,3.987,15.449,0,1.021,0.994,255,255
1,1.099,0.472,19.305,0,1.495,19.489,0,1.039,0.986,255,255
1,1.018,2.911,20.013,0,2.990,20.852,0,0.843,0.906,255,255
1,1.014,4.774,16.630,0,5.744,16.525,0,0.976,0.904,255,255
1,0.996,6.085,17.364,0,5.744,16.525,0,0.906,0.946,255,255
1,0.954,7.003,14.138,0,6.321,14.793,0,0.946,0.932,255,255
1,0.840,1.495,19.489,0,2.098,19.987,0,0.783,0.739,255,255
1,0.824,2.098,19.987,0,2.911,20.013,0,0.814,0.734,255,255
1,0.791,3.777,14.610,0,4.013,15.266,0,0.697,0.767,255,255
1,0.737,2.859,19.357,0,2.911,20.013,0,0.658,0.731,255,255
1,0.727,3.725,16.498,0,3.095,16.682,0,0.656,0.712,255,255
1,0.644,5.718,15.239,0,6.243,15.475,0,0.575,0.621,255,255
1,0.633,4.092,16.813,0,4.616,16.551,0,0.587,0.617,255,255
1,0.609,2.466,15.790,0,2.911,16.184,0,0.595,0.536,255,255
1,0.581,3.410,21.167,0,2.990,20.852,0,0.525,0.534,255,255
1,0.553,2.623,18.020,0,2.125,17.941,0,0.505,0.536,255,255
1,0.550,4.433,14.951,0,4.013,15.266,0,0.525,0.519,255,255
1,0.526,7.266,15.239,0,6.793,15.108,0,0.490,0.494,255,255
