Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.870,2.754,17.679,0,3.252,17.102,0,0.762,0.736,255,255
1,0.668,2.282,17.495,0,2.754,17.679,0,0.507,0.548,255,255
1,0.522,2.911,16.866,0,3.252,17.102,0,0.415,0.485,255,255
1,0.423,2.466,17.967,0,2.754,17.679,0,0.408,0.402,255,255
1,0.402,3.567,16.944,0,3.252,17.102,0,0.352,0.384,255,255
1,0.338,2.990,17.889,0,2.754,17.679,0,0.316,0.317,255,255
1,0.242,2.308,17.705,0,2.282,17.495,0,0.211,0.226,255,255
1,0.074,2.230,17.443,0,2.282,17.495,0,0.074,0.074,255,255
2,1.066,4.092,10.020,0,3.252,10.072,0,0.841,0.970,255,255
2,0.817,2.597,10.597,0,2.675,9.915,0,0.686,0.779,255,255
2,0.699,2.675,9.259,0,2.675,9.915,0,0.656,0.623,255,255
2,0.652,2.675,9.915,0,3.252,10.072,0,0.598,0.539,255,255
2,0.238,3.384,10.256,0,3.252,10.072,0,0.226,0.211,255,255
2,0.190,2.518,9.836,0,2.675,9.915,0,0.176,0.181,255,255
2,0.175,2.570,9.128,0,2.675,9.259,0,0.168,0.153,255,255
2,0.127,2.780,9.207,0,2.675,9.259,0,0.117,0.127,255,255
3,1.334,4.590,23.187,0,5.298,24.052,0,1.118,1.183,255,255
3,1.081,5.298,24.052,0,6.138,24.525,0,0.963,0.932,255,255
3,0.849,3.830,23.292,0,4.511,23.134,0,0.700,0.775,255,255
3,0.764,6.793,24.262,0,6.138,24.525,0,0.706,0.720,255,255
3,0.723,5.954,25.967,0,6.348,25.469,0,0.635,0.681,255,255
3,0.684,4.328,21.980,0,4.354,22.610,0,0.630,0.583,255,255
3,0.677,5.115,22.820,0,4.590,23.187,0,0.640,0.647,255,255
3,0.629,6.007,24.997,0,6.348,25.469,0,0.582,0.564,255,255
3,0.618,6.767,25.889,0,6.348,25.469,0,0.594,0.598,255,255
3,0.612,4.354,22.610,0,4.511,23.134,0,0.548,0.519,255,255
3,0.548,6.007,24.997,0,6.138,24.525,0,0.490,0.484,255,255
3,0.417,5.115,24.393,0,5.298,24.052,0,0.387,0.386,255,255
3,0.400,5.639,24.970,0,6.007,24.997,0,0.368,0.347,255,255
3,0.341,6.689,25.469,0,6.348,25.469,0,0.341,0.341,255,255
3,0.323,5.430,25.207,0,5.639,24.970,0,0.316,0.309,255,255
3,0.253,4.564,22.505,0,4.354,22.610,0,0.235,0.234,255,255
3,0.212,5.482,24.839,0,5.639,24.970,0,0.205,0.153,255,255
3,0.138,4.433,21.902,0,4.328,21.980,0,0.131,0.138,255,255
