Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.336,2.177,21.797,0,1.390,22.662,0,1.170,1.241,255,255
1,0.869,1.338,23.423,0,0.866,23.082,0,0.582,0.809,255,255
1,0.760,0.866,23.082,0,1.390,22.662,0,0.672,0.680,255,255
1,0.280,0.630,23.187,0,0.866,23.082,0,0.258,0.262,255,255
1,0.179,1.469,22.793,0,1.390,22.662,0,0.153,0.165,255,255
2,1.336,3.751,8.184,0,3.069,9.207,0,1.229,1.274,255,255
2,1.024,3.987,8.787,0,3.148,9.233,0,0.950,0.967,255,255
2,0.922,2.780,9.993,0,3.069,9.207,0,0.838,0.842,255,255
2,0.773,3.725,9.705,0,3.148,9.233,0,0.746,0.737,255,255
2,0.718,2.597,10.570,0,2.780,9.993,0,0.606,0.667,255,255
2,0.539,2.990,10.413,0,2.780,9.993,0,0.469,0.505,255,255
2,0.389,2.413,9.941,0,2.780,9.993,0,0.371,0.378,255,255
2,0.090,3.069,9.207,0,3.148,9.233,0,0.083,0.026,255,255
3,0.698,2.964,21.167,0,3.462,21.613,0,0.669,0.592,255,255
3,0.573,3.410,22.164,0,3.462,21.613,0,0.553,0.560,255,255
3,0.533,2.518,21.377,0,2.964,21.167,0,0.493,0.429,255,255
3,0.526,3.462,21.613,0,3.934,21.482,0,0.490,0.409,255,255
3,0.386,2.754,20.905,0,2.964,21.167,0,0.336,0.366,255,255
3,0.242,2.544,21.587,0,2.518,21.377,0,0.211,0.235,255,255
3,0.223,4.092,21.325,0,3.934,21.482,0,0.223,0.185,255,255
3,0.175,4.066,21.587,0,3.934,21.482,0,0.168,0.153,255,255
3,0.127,2.413,21.325,0,2.518,21.377,0,0.117,0.109,255,255
4,1.422,3.121,16.787,0,4.407,16.498,0,1.317,1.273,255,255
4,1.260,4.275,15.423,0,4.407,16.289,0,0.875,1.184,255,255
4,0.675,2.570,17.049,0,3.121,16.787,0,0.610,0.632,255,255
4,0.537,4.643,16.892,0,4.407,16.498,0,0.459,0.502,255,255
4,0.535,3.646,17.338,0,3.252,16.997,0,0.521,0.515,255,255
4,0.434,2.833,16.262,0,3.121,16.577,0,0.427,0.413,255,255
4,0.423,4.144,15.974,0,4.407,16.289,0,0.410,0.396,255,255
4,0.338,3.331,16.341,0,3.121,16.577,0,0.316,0.319,255,255
4,0.284,3.305,17.259,0,3.252,16.997,0,0.267,0.273,255,255
4,0.259,3.121,16.787,0,3.252,16.997,0,0.247,0.164,255,255
4,0.232,3.121,16.577,0,3.121,16.787,0,0.210,0.174,255,255
4,0.232,4.407,16.289,0,4.407,16.498,0,0.210,0.168,255,255
5,2.534,6.741,21.325,0,6.295,23.528,0,2.248,2.410,255,255
5,1.781,7.764,23.948,0,6.374,23.790,0,1.399,1.750,255,255
5,1.703,4.852,22.898,0,6.295,23.528,0,1.574,1.585,255,255
5,1.305,5.508,25.416,0,6.190,24.393,0,1.229,1.243,255,255
5,1.063,5.325,24.734,0,6.138,24.184,0,0.982,0.967,255,255
5,0.734,4.380,24.315,0,4.721,24.892,0,0.670,0.689,255,255
5,0.646,6.190,24.393,0,6.662,24.813,0,0.632,0.556,255,255
5,0.633,4.328,22.636,0,4.852,22.898,0,0.587,0.578,255,255
5,0.609,7.082,25.233,0,6.662,24.813,0,0.594,0.595,255,255
5,0.507,4.931,24.970,0,5.325,24.734,0,0.459,0.408,255,255
5,0.491,6.138,24.184,0,6.374,23.790,0,0.459,0.363,255,255
5,0.480,5.141,25.364,0,4.931,24.970,0,0.446,0.461,255,255
5,0.468,6.610,25.259,0,6.662,24.813,0,0.449,0.468,255,255
5,0.423,5.062,24.420,0,5.325,24.734,0,0.410,0.396,255,255
5,0.295,6.295,23.528,0,6.374,23.790,0,0.274,0.185,255,255
5,0.269,6.138,24.184,0,6.190,24.393,0,0.216,0.198,255,255
5,0.242,4.721,24.892,0,4.931,24.970,0,0.224,0.194,255,255
5,0.185,4.590,25.023,0,4.721,24.892,0,0.185,0.148,255,255
5,0.090,4.826,22.977,0,4.852,22.898,0,0.083,0.093,255,255
6,2.088,4.669,19.489,0,6.400,18.859,0,1.842,1.875,255,255
6,1.526,5.430,17.626,0,6.452,18.439,0,1.307,1.443,255,255
6,1.316,7.502,19.593,0,6.531,19.252,0,1.029,1.264,255,255
6,1.210,5.456,18.151,0,6.426,18.623,0,1.079,1.165,255,255
6,0.958,6.452,18.439,0,7.161,17.836,0,0.930,0.880,255,255
6,0.782,6.426,18.623,0,7.056,18.990,0,0.729,0.663,255,255
6,0.633,5.115,19.830,0,4.669,19.489,0,0.561,0.579,255,255
6,0.621,7.633,18.990,0,7.056,18.990,0,0.577,0.561,255,255
6,0.548,4.354,19.148,0,4.669,19.489,0,0.464,0.508,255,255
6,0.494,6.348,20.066,0,6.348,19.593,0,0.472,0.487,255,255
6,0.485,6.400,18.859,0,6.531,19.252,0,0.415,0.409,255,255
6,0.434,7.370,19.279,0,7.056,18.990,0,0.427,0.413,255,255
6,0.417,6.348,19.593,0,6.531,19.252,0,0.387,0.326,255,255
6,0.386,4.433,19.777,0,4.669,19.489,0,0.373,0.367,255,255
6,0.247,6.400,18.859,0,6.426,18.623,0,0.238,0.184,255,255
6,0.227,6.426,18.623,0,6.452,18.439,0,0.185,0.142,255,255
6,0.201,7.266,17.679,0,7.161,17.836,0,0.189,0.198,255,255
6,0.194,7.344,17.862,0,7.161,17.836,0,0.185,0.189,255,255
6,0.026,6.321,19.593,0,6.348,19.593,0,0.026,0.026,255,255
7,1.084,7.685,7.502,0,7.580,6.505,0,1.002,1.040,255,255
7,1.039,6.715,6.715,0,7.580,6.505,0,0.891,0.999,255,255
7,0.930,8.184,4.826,0,8.079,5.561,0,0.742,0.872,255,255
7,0.916,7.003,5.351,0,7.659,5.980,0,0.909,0.895,255,255
7,0.899,8.944,6.059,0,8.262,5.534,0,0.860,0.867,255,255
7,0.840,8.787,4.774,0,8.420,5.403,0,0.729,0.800,255,255
7,0.670,7.659,5.980,0,8.079,5.561,0,0.594,0.522,255,255
7,0.668,9.023,5.561,0,8.420,5.403,0,0.623,0.642,255,255
7,0.557,7.580,6.505,0,7.659,5.980,0,0.530,0.481,255,255
7,0.212,8.262,5.534,0,8.420,5.403,0,0.205,0.182,255,255
7,0.194,8.079,5.561,0,8.262,5.534,0,0.185,0.137,255,255
8,1.620,9.836,11.331,0,8.498,11.803,0,1.419,1.551,255,255
8,1.295,8.498,11.803,0,8.839,12.957,0,1.203,1.159,255,255
8,1.217,8.498,14.033,0,8.839,12.957,0,1.128,1.154,255,255
8,1.065,9.600,13.692,0,8.839,12.957,0,1.057,1.044,255,255
8,0.858,8.262,11.043,0,8.498,11.803,0,0.796,0.748,255,255
8,0.830,8.262,11.043,0,8.289,10.282,0,0.761,0.719,255,255
8,0.738,8.341,9.810,0,8.970,9.548,0,0.682,0.673,255,255
8,0.650,7.790,9.967,0,8.289,10.282,0,0.589,0.609,255,255
8,0.494,8.289,10.282,0,8.341,9.810,0,0.475,0.463,255,255
8,0.452,7.843,11.121,0,8.262,11.043,0,0.427,0.443,255,255
8,0.380,9.285,9.705,0,8.970,9.548,0,0.352,0.351,255,255
8,0.212,9.128,9.416,0,8.970,9.548,0,0.205,0.191,255,255
8,0.063,8.315,9.757,0,8.341,9.810,0,0.059,0.056,255,255
9,1.100,8.420,16.839,0,9.233,16.184,0,1.045,0.978,255,255
9,0.896,8.420,16.052,0,8.420,16.839,0,0.787,0.755,255,255
9,0.642,7.816,16.813,0,8.393,16.918,0,0.587,0.611,255,255
9,0.624,8.052,17.757,0,8.498,17.364,0,0.595,0.591,255,255
9,0.616,9.180,15.633,0,9.233,16.184,0,0.553,0.585,255,255
9,0.489,8.393,16.918,0,8.498,17.364,0,0.458,0.404,255,255
9,0.391,8.892,17.626,0,8.577,17.443,0,0.364,0.360,255,255
9,0.380,8.420,18.072,0,8.525,17.757,0,0.332,0.357,255,255
9,0.336,8.525,17.757,0,8.577,17.443,0,0.319,0.269,255,255
9,0.321,8.761,15.895,0,8.498,15.790,0,0.283,0.290,255,255
9,0.295,8.420,16.052,0,8.498,15.790,0,0.274,0.212,255,255
9,0.259,8.682,15.633,0,8.498,15.790,0,0.242,0.242,255,255
9,0.127,8.393,16.918,0,8.420,16.839,0,0.083,0.063,255,255
9,0.111,8.498,17.364,0,8.577,17.443,0,0.111,0.037,255,255
9,0.063,8.446,15.764,0,8.498,15.790,0,0.059,0.056,255,255
9,0.063,8.472,16.079,0,8.420,16.052,0,0.059,0.063,255,255
9,0.026,8.498,17.757,0,8.525,17.757,0,0.026,0.026,255,255
9,0.026,9.233,16.184,0,9.233,16.184,0,0.000,0.000,0,0
10,1.694,9.259,20.905,0,10.072,22.216,0,1.543,1.622,255,255
10,1.273,12.170,22.820,0,11.148,22.321,0,1.138,1.179,255,255
10,1.109,9.416,23.161,0,9.941,22.269,0,1.035,1.058,255,255
10,1.037,10.308,22.321,0,10.807,23.108,0,0.931,0.966,255,255
10,1.011,8.866,22.033,0,9.757,22.164,0,0.901,0.955,255,255
10,0.967,8.997,22.610,0,9.757,22.164,0,0.882,0.898,255,255
10,0.905,10.308,22.321,0,11.148,22.321,0,0.839,0.780,255,255
10,0.640,11.646,22.085,0,11.148,22.321,0,0.551,0.605,255,255
10,0.310,10.859,23.397,0,10.807,23.108,0,0.293,0.302,255,255
10,0.280,10.072,22.216,0,10.308,22.321,0,0.258,0.209,255,255
10,0.227,9.757,22.164,0,9.941,22.269,0,0.211,0.174,255,255
10,0.190,9.941,22.269,0,10.072,22.216,0,0.141,0.124,255,255
10,0.026,10.780,23.108,0,10.807,23.108,0,0.026,0.026,255,255
11,1.079,9.731,25.154,0,10.702,25.207,0,0.972,1.039,255,255
11,1.031,10.544,26.151,0,10.702,25.207,0,0.957,1.012,255,255
11,0.848,11.751,24.498,0,10.990,24.708,0,0.789,0.833,255,255
11,0.847,11.646,24.079,0,11.016,24.603,0,0.819,0.822,255,255
11,0.686,11.305,23.948,0,10.938,24.472,0,0.640,0.657,255,255
11,0.664,10.702,25.207,0,10.990,24.708,0,0.576,0.568,255,255
11,0.604,11.016,23.895,0,10.938,24.472,0,0.582,0.599,255,255
11,0.471,10.623,24.131,0,10.938,24.472,0,0.464,0.408,255,255
11,0.360,10.361,23.895,0,10.623,24.131,0,0.353,0.339,255,255
11,0.295,10.702,23.869,0,10.623,24.131,0,0.274,0.293,255,255
11,0.164,10.938,24.472,0,11.016,24.603,0,0.153,0.087,255,255
11,0.116,10.990,24.708,0,11.016,24.603,0,0.108,0.052,255,255
12,0.526,9.967,2.597,0,10.439,2.518,0,0.479,0.501,255,255
12,0.395,10.361,2.859,0,10.439,2.518,0,0.350,0.384,255,255
12,0.380,10.570,2.230,0,10.439,2.518,0,0.317,0.337,255,255
13,0.876,11.856,11.620,0,11.148,11.462,0,0.725,0.817,255,255
13,0.854,11.148,11.095,0,11.305,10.387,0,0.725,0.784,255,255
13,0.585,10.570,11.751,0,11.069,11.541,0,0.541,0.550,255,255
13,0.487,10.780,10.807,0,11.148,11.095,0,0.467,0.463,255,255
13,0.389,11.148,11.095,0,11.148,11.462,0,0.367,0.358,255,255
13,0.212,11.462,10.256,0,11.305,10.387,0,0.205,0.201,255,255
13,0.168,11.095,11.698,0,11.069,11.541,0,0.160,0.168,255,255
13,0.127,11.069,11.541,0,11.148,11.462,0,0.111,0.056,255,255
13,0.063,11.252,10.413,0,11.305,10.387,0,0.059,0.066,255,255
14,1.036,13.272,17.600,0,14.085,17.390,0,0.840,0.925,255,255
14,0.889,13.298,16.787,0,13.272,17.600,0,0.814,0.846,255,255
14,0.880,12.590,17.967,0,13.272,17.600,0,0.775,0.775,255,255
14,0.649,12.092,18.256,0,12.590,17.967,0,0.576,0.565,255,255
14,0.528,11.357,18.125,0,11.777,18.387,0,0.495,0.518,255,255
14,0.402,11.567,18.702,0,11.777,18.387,0,0.378,0.389,255,255
14,0.400,11.777,18.387,0,12.092,18.256,0,0.341,0.321,255,255
14,0.258,14.321,17.443,0,14.085,17.390,0,0.242,0.253,255,255
14,0.253,12.092,18.046,0,12.092,18.256,0,0.210,0.231,255,255
14,0.179,12.538,17.810,0,12.590,17.967,0,0.166,0.160,255,255
14,0.153,14.033,17.259,0,14.085,17.390,0,0.141,0.138,255,255
15,0.922,12.066,8.787,0,12.879,8.787,0,0.813,0.875,255,255
15,0.834,13.770,8.970,0,13.089,8.866,0,0.690,0.785,255,255
15,0.721,13.141,9.521,0,12.984,8.866,0,0.674,0.681,255,255
15,0.618,12.643,7.843,0,12.669,8.341,0,0.499,0.539,255,255
15,0.598,13.534,8.498,0,13.089,8.866,0,0.578,0.579,255,255
15,0.555,12.669,8.341,0,12.879,8.787,0,0.493,0.496,255,255
15,0.365,12.380,8.157,0,12.669,8.341,0,0.342,0.331,255,255
15,0.138,12.879,8.787,0,12.984,8.866,0,0.131,0.074,255,255
15,0.105,12.984,8.866,0,13.089,8.866,0,0.105,0.052,255,255
16,0.516,12.118,22.085,0,12.590,22.085,0,0.472,0.483,255,255
16,0.513,12.354,22.584,0,12.590,22.190,0,0.459,0.502,255,255
16,0.406,12.800,21.797,0,12.590,22.085,0,0.357,0.401,255,255
16,0.375,12.879,22.400,0,12.590,22.190,0,0.357,0.354,255,255
16,0.127,12.590,22.085,0,12.590,22.190,0,0.105,0.063,255,255
16,0.026,12.564,22.190,0,12.590,22.190,0,0.026,0.026,255,255
17,0.922,13.115,12.538,0,13.928,12.433,0,0.820,0.867,255,255
17,0.843,13.823,11.672,0,13.928,12.433,0,0.768,0.727,255,255
17,0.524,14.295,12.774,0,13.928,12.433,0,0.501,0.491,255,255
17,0.428,14.059,11.357,0,13.823,11.672,0,0.393,0.403,255,255
17,0.332,14.216,12.380,0,13.928,12.433,0,0.293,0.317,255,255
17,0.201,13.770,11.515,0,13.823,11.672,0,0.166,0.164,255,255
18,0.893,13.587,6.505,0,14.295,6.059,0,0.837,0.788,255,255
18,0.885,14.479,5.272,0,14.295,6.059,0,0.808,0.838,255,255
18,0.695,14.662,6.977,0,14.715,6.348,0,0.632,0.659,255,255
18,0.692,15.213,6.951,0,14.872,6.400,0,0.648,0.653,255,255
18,0.653,14.295,6.059,0,14.715,6.348,0,0.509,0.548,255,255
18,0.441,15.292,6.400,0,14.872,6.400,0,0.420,0.396,255,255
18,0.354,13.430,6.741,0,13.587,6.505,0,0.284,0.329,255,255
18,0.179,14.715,6.348,0,14.872,6.400,0,0.166,0.066,255,255
18,0.157,13.430,6.505,0,13.587,6.505,0,0.157,0.157,255,255
19,1.337,16.026,17.941,0,17.233,17.626,0,1.247,1.180,255,255
19,1.130,17.574,15.948,0,17.600,17.023,0,1.076,1.032,255,255
19,1.011,17.600,17.023,0,18.492,16.734,0,0.937,0.898,255,255
19,0.883,16.026,17.941,0,16.026,18.780,0,0.839,0.807,255,255
