Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.577,0.787,19.725,0,2.125,19.148,0,1.457,1.435,255,255
1,1.505,3.305,22.348,0,3.489,20.984,0,1.376,1.443,255,255
1,1.451,5.010,21.089,0,3.646,20.984,0,1.368,1.393,255,255
1,1.111,3.489,19.357,0,2.938,18.518,0,1.004,1.082,255,255
1,1.084,3.934,18.570,0,2.938,18.518,0,0.998,1.030,255,255
1,1.081,3.357,19.908,0,3.698,20.826,0,0.979,1.031,255,255
1,1.077,2.439,20.511,0,3.331,20.957,0,0.997,0.942,255,255
1,0.952,0.813,17.757,0,1.679,17.600,0,0.880,0.923,255,255
1,0.936,2.623,21.508,0,3.331,20.957,0,0.897,0.839,255,255
1,0.928,2.020,17.652,0,2.361,18.439,0,0.858,0.825,255,255
1,0.894,2.361,19.672,0,2.439,20.511,0,0.843,0.809,255,255
1,0.806,2.125,19.148,0,2.361,18.439,0,0.747,0.709,255,255
1,0.771,1.390,16.970,0,1.679,17.600,0,0.692,0.734,255,255
1,0.746,1.705,20.066,0,2.256,19.593,0,0.725,0.724,255,255
1,0.610,2.361,18.439,0,2.938,18.518,0,0.582,0.531,255,255
1,0.579,2.230,21.561,0,2.623,21.508,0,0.397,0.528,255,255
1,0.568,1.915,20.459,0,2.439,20.511,0,0.527,0.537,255,255
1,0.553,2.125,19.148,0,2.256,19.593,0,0.465,0.472,255,255
1,0.548,2.177,17.207,0,2.020,17.652,0,0.473,0.514,255,255
1,0.524,3.698,20.826,0,4.039,20.459,0,0.501,0.460,255,255
1,0.431,2.780,19.646,0,2.361,19.672,0,0.420,0.436,255,255
1,0.363,1.679,17.600,0,2.020,17.652,0,0.345,0.268,255,255
1,0.363,0.787,19.725,0,0.787,20.066,0,0.341,0.299,255,255
1,0.317,2.492,21.770,0,2.623,21.508,0,0.293,0.252,255,255
1,0.315,4.039,20.144,0,4.039,20.459,0,0.315,0.236,255,255
