Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2.738,2.964,21.220,0,1.075,22.505,0,2.284,2.542,255,255
1,0.778,1.311,23.790,0,1.259,23.056,0,0.736,0.760,255,255
1,0.738,0.446,22.767,0,1.075,22.505,0,0.682,0.715,255,255
1,0.627,1.075,22.505,0,1.259,23.056,0,0.581,0.550,255,255
1,0.354,1.548,23.213,0,1.259,23.056,0,0.329,0.331,255,255
2,1.044,0.918,7.607,0,1.810,7.292,0,0.946,1.023,255,255
2,0.905,1.967,8.420,0,2.072,7.580,0,0.846,0.868,255,255
2,0.730,2.780,7.633,0,2.072,7.580,0,0.710,0.717,255,255
2,0.400,1.836,6.925,0,1.810,7.292,0,0.368,0.386,255,255
2,0.397,1.810,7.292,0,2.072,7.580,0,0.390,0.313,255,255
3,2.386,0.997,14.662,0,3.252,14.400,0,2.271,2.300,255,255
3,2.232,4.302,12.669,0,6.164,13.561,0,2.065,2.132,255,255
3,2.227,3.252,14.400,0,4.302,12.669,0,2.024,2.017,255,255
3,2.102,4.984,11.777,0,6.662,12.328,0,1.767,1.940,255,255
3,1.658,2.072,15.711,0,3.252,14.557,0,1.651,1.637,255,255
3,1.607,3.908,10.020,0,4.380,11.410,0,1.468,1.483,255,255
3,1.508,5.508,10.544,0,4.380,11.410,0,1.422,1.471,255,255
3,1.181,3.646,15.397,0,4.407,16.262,0,1.152,1.108,255,255
3,1.096,3.961,16.420,0,3.174,15.711,0,1.059,1.058,255,255
3,1.025,3.646,15.397,0,4.616,15.266,0,0.979,0.924,255,255
3,0.906,5.770,11.593,0,4.984,11.777,0,0.808,0.862,255,255
3,0.806,3.252,14.557,0,3.462,15.239,0,0.714,0.713,255,255
3,0.780,2.938,16.393,0,3.174,15.711,0,0.722,0.660,255,255
3,0.777,2.466,16.944,0,2.938,16.393,0,0.725,0.733,255,255
3,0.767,4.302,12.669,0,4.380,11.934,0,0.739,0.701,255,255
3,0.746,3.489,16.866,0,2.938,16.393,0,0.725,0.733,255,255
3,0.745,5.167,15.134,0,4.616,15.266,0,0.566,0.687,255,255
3,0.738,5.325,17.652,0,5.062,17.023,0,0.682,0.716,255,255
3,0.723,3.725,9.416,0,3.908,10.020,0,0.631,0.679,255,255
3,0.668,4.380,11.934,0,4.984,11.777,0,0.623,0.619,255,255
3,0.592,3.174,15.711,0,3.462,15.239,0,0.553,0.489,255,255
3,0.581,4.774,16.577,0,5.062,17.023,0,0.531,0.474,255,255
3,0.574,4.039,9.521,0,3.908,10.020,0,0.515,0.500,255,255
3,0.565,5.089,16.157,0,4.774,16.577,0,0.525,0.536,255,255
3,0.546,4.380,11.410,0,4.380,11.934,0,0.525,0.475,255,255
3,0.544,6.374,13.534,0,6.610,13.089,0,0.505,0.444,255,255
3,0.526,6.846,13.561,0,6.374,13.534,0,0.473,0.485,255,255
3,0.498,4.407,16.262,0,4.774,16.577,0,0.484,0.422,255,255
3,0.432,6.557,12.695,0,6.662,12.328,0,0.382,0.433,255,255
3,0.373,6.846,13.325,0,6.610,13.089,0,0.334,0.331,255,255
3,0.338,4.170,16.472,0,4.407,16.262,0,0.316,0.311,255,255
3,0.338,6.872,12.092,0,6.662,12.328,0,0.316,0.326,255,255
3,0.317,6.584,12.826,0,6.610,13.089,0,0.264,0.290,255,255
3,0.286,4.800,15.475,0,4.616,15.266,0,0.279,0.265,255,255
3,0.253,6.898,13.272,0,6.793,13.062,0,0.235,0.223,255,255
3,0.249,3.462,15.239,0,3.646,15.397,0,0.242,0.185,255,255
3,0.221,6.164,13.561,0,6.374,13.534,0,0.211,0.132,255,255
3,0.205,6.164,13.744,0,6.164,13.561,0,0.184,0.211,255,255
3,0.194,6.610,13.089,0,6.793,13.062,0,0.185,0.105,255,255
3,0.185,6.925,12.931,0,6.793,13.062,0,0.185,0.148,255,255
3,0.179,3.252,14.400,0,3.252,14.557,0,0.157,0.116,255,255
3,0.142,5.193,16.997,0,5.062,17.023,0,0.134,0.136,255,255
4,1.594,5.508,0.708,0,6.348,1.705,0,1.303,1.457,255,255
4,0.961,6.348,1.705,0,6.452,2.623,0,0.924,0.903,255,255
4,0.954,7.266,2.334,0,6.452,2.623,0,0.863,0.928,255,255
4,0.786,5.823,2.859,0,6.452,2.623,0,0.672,0.731,255,255
4,0.736,6.348,1.705,0,6.872,1.233,0,0.706,0.659,255,255
4,0.437,5.902,0.813,0,5.508,0.708,0,0.407,0.403,255,255
4,0.242,5.587,0.498,0,5.508,0.708,0,0.224,0.240,255,255
4,0.063,6.925,1.259,0,6.872,1.233,0,0.059,0.026,255,255
4,0.037,6.898,1.207,0,6.872,1.233,0,0.037,0.037,255,255
5,1.954,8.498,15.239,0,8.551,17.128,0,1.889,1.856,255,255
5,1.703,10.413,17.810,0,9.259,17.574,0,1.178,1.611,255,255
