Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.582,2.570,13.246,0,2.780,11.751,0,1.510,1.469,255,255
1,1.580,4.275,13.613,0,4.721,12.407,0,1.286,1.464,255,255
1,1.564,1.285,13.377,0,2.675,13.325,0,1.391,1.478,255,255
1,1.508,6.479,12.485,0,5.561,11.593,0,1.280,1.444,255,255
1,1.485,2.570,14.662,0,3.331,13.508,0,1.382,1.393,255,255
1,1.370,5.167,10.098,0,5.456,11.305,0,1.241,1.287,255,255
1,1.365,3.934,11.751,0,2.780,11.751,0,1.154,1.327,255,255
1,1.341,5.849,14.059,0,4.748,13.954,0,1.107,1.295,255,255
1,1.214,1.705,11.095,0,2.675,11.646,0,1.116,1.121,255,255
1,1.201,5.613,13.193,0,4.695,13.875,0,1.144,1.160,255,255
1,1.200,5.351,12.616,0,5.561,11.593,0,1.044,1.169,255,255
1,1.192,4.721,12.407,0,5.561,11.593,0,1.169,1.098,255,255
1,1.188,3.856,12.538,0,3.331,13.508,0,1.103,1.145,255,255
1,1.018,4.590,11.620,0,5.456,11.305,0,0.921,0.987,255,255
1,0.997,3.331,13.508,0,4.275,13.613,0,0.950,0.882,255,255
1,0.825,1.941,12.826,0,2.570,13.246,0,0.757,0.802,255,255
1,0.821,5.613,14.872,0,5.010,14.348,0,0.799,0.798,255,255
1,0.732,2.675,13.325,0,3.331,13.508,0,0.681,0.680,255,255
1,0.539,2.439,11.226,0,2.675,11.646,0,0.482,0.498,255,255
1,0.528,4.275,13.613,0,4.695,13.875,0,0.495,0.446,255,255
1,0.502,4.748,13.954,0,5.010,14.348,0,0.473,0.417,255,255
1,0.471,5.403,14.977,0,5.089,14.636,0,0.464,0.462,255,255
1,0.354,5.456,11.305,0,5.561,11.593,0,0.307,0.267,255,255
1,0.321,5.010,14.348,0,5.089,14.636,0,0.299,0.217,255,255
1,0.315,5.089,14.951,0,5.089,14.636,0,0.315,0.315,255,255
1,0.232,4.511,12.354,0,4.721,12.407,0,0.216,0.220,255,255
1,0.179,2.675,11.646,0,2.780,11.751,0,0.148,0.083,255,255
1,0.138,2.570,13.246,0,2.675,13.325,0,0.131,0.037,255,255
1,0.100,4.695,13.875,0,4.748,13.954,0,0.095,0.037,255,255
1,0.074,1.757,11.043,0,1.705,11.095,0,0.074,0.074,255,255
1,0.026,1.679,11.095,0,1.705,11.095,0,0.026,0.026,255,255
