Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.229,1.233,7.764,0,1.836,8.420,0,0.891,1.157,255,255
1,0.797,1.469,9.049,0,1.836,8.420,0,0.729,0.741,255,255
1,0.795,1.836,8.420,0,2.544,8.577,0,0.725,0.715,255,255
1,0.411,2.911,8.525,0,2.544,8.577,0,0.371,0.402,255,255
1,0.264,2.754,8.446,0,2.544,8.577,0,0.247,0.235,255,255
2,1.046,1.259,6.689,0,1.810,5.902,0,0.961,0.975,255,255
2,0.718,2.361,6.269,0,1.810,5.902,0,0.662,0.694,255,255
2,0.487,1.521,5.534,0,1.810,5.902,0,0.467,0.458,255,255
2,0.411,1.810,5.902,0,2.177,5.797,0,0.382,0.300,255,255
2,0.327,2.754,5.692,0,2.544,5.902,0,0.297,0.312,255,255
2,0.280,2.544,6.138,0,2.544,5.902,0,0.236,0.257,255,255
2,0.273,2.413,6.164,0,2.387,5.902,0,0.264,0.273,255,255
2,0.264,2.308,5.587,0,2.177,5.797,0,0.247,0.248,255,255
2,0.253,2.177,5.797,0,2.387,5.902,0,0.235,0.182,255,255
2,0.157,2.387,5.902,0,2.544,5.902,0,0.157,0.079,255,255
3,1.133,1.810,21.036,0,2.282,21.823,0,0.918,1.029,255,255
3,0.792,1.784,20.511,0,1.810,21.036,0,0.525,0.738,255,255
3,0.507,2.282,21.823,0,2.623,22.111,0,0.447,0.390,255,255
3,0.469,1.443,21.246,0,1.810,21.036,0,0.423,0.395,255,255
3,0.391,1.705,21.482,0,1.443,21.246,0,0.353,0.351,255,255
3,0.384,1.679,21.849,0,2.020,21.744,0,0.357,0.352,255,255
3,0.301,1.259,21.456,0,1.443,21.246,0,0.279,0.280,255,255
3,0.295,2.020,21.744,0,2.282,21.823,0,0.274,0.245,255,255
3,0.212,1.862,21.613,0,2.020,21.744,0,0.205,0.153,255,255
3,0.194,2.597,22.295,0,2.623,22.111,0,0.185,0.185,255,255
3,0.127,2.728,22.164,0,2.623,22.111,0,0.117,0.120,255,255
4,0.928,3.279,19.961,0,2.754,20.564,0,0.799,0.884,255,255
4,0.889,2.754,20.564,0,2.938,21.377,0,0.834,0.790,255,255
4,0.871,3.436,21.980,0,2.938,21.377,0,0.783,0.822,255,255
4,0.448,2.361,20.433,0,2.754,20.564,0,0.415,0.416,255,255
4,0.238,2.780,21.534,0,2.938,21.377,0,0.223,0.217,255,255
5,1.794,6.374,22.374,0,4.800,22.820,0,1.636,1.711,255,255
5,1.057,5.849,21.797,0,4.879,21.849,0,0.972,1.017,255,255
5,1.047,4.800,22.820,0,4.879,21.849,0,0.974,0.966,255,255
5,0.991,3.803,22.610,0,4.564,23.003,0,0.856,0.961,255,255
5,0.856,4.800,22.820,0,5.325,23.449,0,0.819,0.710,255,255
5,0.616,4.643,23.528,0,4.564,23.003,0,0.530,0.582,255,255
5,0.583,4.197,22.505,0,4.616,22.898,0,0.575,0.561,255,255
5,0.327,5.482,23.711,0,5.325,23.449,0,0.306,0.296,255,255
5,0.232,4.616,22.898,0,4.800,22.820,0,0.200,0.184,255,255
5,0.227,4.748,21.849,0,4.879,21.849,0,0.131,0.205,255,255
5,0.190,5.193,23.554,0,5.325,23.449,0,0.168,0.166,255,255
5,0.127,4.564,23.003,0,4.616,22.898,0,0.117,0.026,255,255
6,0.893,4.459,2.911,0,5.167,2.623,0,0.765,0.848,255,255
6,0.766,5.193,2.361,0,5.797,1.967,0,0.720,0.685,255,255
6,0.743,6.059,3.489,0,5.534,3.200,0,0.599,0.690,255,255
6,0.709,4.800,3.515,0,5.298,3.043,0,0.686,0.674,255,255
6,0.688,5.613,3.856,0,5.534,3.200,0,0.660,0.673,255,255
6,0.688,4.249,2.466,0,4.774,2.125,0,0.626,0.654,255,255
6,0.526,5.167,2.623,0,5.298,3.043,0,0.440,0.421,255,255
6,0.509,6.295,1.993,0,5.797,1.967,0,0.499,0.505,255,255
6,0.360,4.931,2.125,0,5.193,2.361,0,0.353,0.278,255,255
6,0.301,5.298,3.043,0,5.534,3.200,0,0.284,0.206,255,255
6,0.273,5.167,2.623,0,5.193,2.361,0,0.264,0.210,255,255
6,0.264,5.875,1.757,0,5.797,1.967,0,0.224,0.232,255,255
6,0.232,5.010,1.810,0,5.010,2.020,0,0.210,0.214,255,255
6,0.175,4.643,2.020,0,4.774,2.125,0,0.168,0.120,255,255
6,0.157,4.774,2.125,0,4.931,2.125,0,0.157,0.131,255,255
6,0.138,4.931,2.125,0,5.010,2.020,0,0.131,0.063,255,255
6,0.063,5.062,2.046,0,5.010,2.020,0,0.059,0.063,255,255
7,1.323,6.610,8.079,0,5.797,7.108,0,1.266,1.259,255,255
7,0.795,5.508,6.400,0,5.666,7.108,0,0.725,0.770,255,255
7,0.659,4.957,7.816,0,4.984,7.292,0,0.525,0.614,255,255
7,0.653,4.984,7.292,0,5.561,7.108,0,0.606,0.526,255,255
