Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.339,0.866,10.885,0,1.784,10.308,0,1.084,1.191,255,255
1,0.996,1.102,11.725,0,0.708,11.148,0,0.698,0.911,255,255
1,0.965,2.492,10.780,0,1.784,10.308,0,0.851,0.904,255,255
1,0.887,2.203,9.626,0,1.784,10.308,0,0.801,0.866,255,255
1,0.491,0.577,10.754,0,0.708,11.148,0,0.415,0.462,255,255
1,0.327,0.708,11.148,0,0.866,10.885,0,0.306,0.296,255,255
1,0.052,0.866,10.833,0,0.866,10.885,0,0.052,0.052,255,255
2,1.162,1.574,14.138,0,2.282,14.898,0,1.039,1.099,255,255
2,1.127,1.731,16.892,0,1.626,15.895,0,1.002,1.068,255,255
2,0.930,2.046,15.685,0,2.702,16.184,0,0.824,0.882,255,255
2,0.905,0.787,15.738,0,1.626,15.895,0,0.854,0.871,255,255
2,0.886,3.043,14.636,0,2.282,14.898,0,0.805,0.747,255,255
2,0.885,2.046,15.685,0,2.282,14.898,0,0.822,0.810,255,255
2,0.753,2.807,15.423,0,2.282,14.898,0,0.742,0.731,255,255
2,0.729,1.233,15.370,0,1.810,15.738,0,0.684,0.700,255,255
2,0.280,2.702,16.184,0,2.938,16.289,0,0.258,0.209,255,255
2,0.264,1.626,15.895,0,1.810,15.738,0,0.242,0.120,255,255
2,0.258,1.810,15.738,0,2.046,15.685,0,0.242,0.214,255,255
2,0.227,2.885,16.079,0,2.702,16.184,0,0.211,0.211,255,255
2,0.138,3.016,16.184,0,2.938,16.289,0,0.131,0.135,255,255
2,0.063,2.990,16.315,0,2.938,16.289,0,0.059,0.063,255,255
3,0.769,1.941,11.777,0,2.098,12.459,0,0.700,0.713,255,255
3,0.690,2.098,12.459,0,2.675,12.695,0,0.623,0.609,255,255
3,0.559,1.679,12.721,0,2.098,12.459,0,0.495,0.451,255,255
3,0.517,1.443,12.302,0,1.679,12.721,0,0.482,0.385,255,255
3,0.507,2.885,13.115,0,2.675,12.695,0,0.469,0.513,255,255
3,0.505,1.207,12.695,0,1.679,12.721,0,0.473,0.480,255,255
3,0.216,2.859,12.774,0,2.675,12.695,0,0.200,0.199,255,255
3,0.190,1.600,12.223,0,1.443,12.302,0,0.176,0.169,255,255
3,0.063,1.390,12.275,0,1.443,12.302,0,0.059,0.056,255,255
4,0.817,2.597,18.125,0,2.623,17.443,0,0.682,0.769,255,255
4,0.601,3.148,17.416,0,2.623,17.443,0,0.525,0.565,255,255
4,0.583,1.941,17.128,0,2.492,17.154,0,0.551,0.536,255,255
4,0.526,2.413,16.682,0,2.492,17.154,0,0.479,0.497,255,255
4,0.343,2.492,17.154,0,2.623,17.443,0,0.317,0.242,255,255
4,0.216,1.915,17.311,0,1.941,17.128,0,0.185,0.163,255,255
4,0.100,1.862,17.075,0,1.941,17.128,0,0.095,0.087,255,255
5,1.035,2.466,23.475,0,3.121,22.820,0,0.927,0.884,255,255
5,0.439,3.410,23.108,0,3.121,22.820,0,0.408,0.412,255,255
5,0.434,2.833,22.374,0,3.148,22.662,0,0.427,0.413,255,255
5,0.395,2.387,23.816,0,2.466,23.475,0,0.350,0.380,255,255
5,0.386,2.125,23.161,0,2.256,23.449,0,0.317,0.360,255,255
5,0.332,3.148,22.662,0,3.252,22.374,0,0.307,0.303,255,255
5,0.284,1.993,23.449,0,2.256,23.449,0,0.262,0.271,255,255
5,0.264,3.121,22.164,0,3.252,22.374,0,0.247,0.238,255,255
5,0.221,2.256,23.449,0,2.466,23.475,0,0.211,0.134,255,255
5,0.175,3.384,22.269,0,3.252,22.374,0,0.168,0.175,255,255
5,0.168,3.121,22.820,0,3.148,22.662,0,0.160,0.079,255,255
6,1.224,2.728,19.567,0,2.728,20.748,0,1.180,1.140,255,255
6,1.036,2.570,21.718,0,2.728,20.748,0,0.983,0.990,255,255
6,1.027,2.728,20.748,0,3.646,21.010,0,0.955,0.904,255,255
6,0.622,3.882,21.482,0,3.646,21.010,0,0.528,0.562,255,255
6,0.592,2.466,19.121,0,2.728,19.567,0,0.517,0.547,255,255
6,0.548,4.118,20.826,0,3.646,21.010,0,0.507,0.512,255,255
6,0.439,3.069,19.384,0,2.728,19.567,0,0.387,0.398,255,255
7,1.468,3.121,4.485,0,4.459,4.538,0,1.339,1.393,255,255
7,0.661,5.010,4.170,0,4.538,4.538,0,0.598,0.632,255,255
7,0.550,4.118,4.931,0,4.459,4.538,0,0.521,0.511,255,255
7,0.138,4.643,4.616,0,4.538,4.538,0,0.131,0.124,255,255
7,0.079,4.459,4.538,0,4.538,4.538,0,0.079,0.026,255,255
8,1.763,5.220,12.511,0,5.561,14.111,0,1.636,1.665,255,255
8,1.585,3.620,17.967,0,4.433,16.734,0,1.477,1.430,255,255
8,1.322,4.669,15.187,0,5.377,14.374,0,1.078,1.178,255,255
8,1.229,8.472,12.223,0,7.633,11.357,0,1.206,1.216,255,255
8,1.186,7.607,9.652,0,8.000,10.675,0,1.096,1.062,255,255
8,1.111,5.377,14.374,0,6.085,15.161,0,1.059,1.027,255,255
8,1.106,5.351,16.341,0,4.538,15.633,0,1.078,1.079,255,255
8,1.026,6.872,10.518,0,7.659,11.095,0,0.976,0.997,255,255
8,0.998,4.433,12.039,0,5.220,12.511,0,0.918,0.888,255,255
8,0.978,6.872,12.328,0,7.344,11.567,0,0.895,0.865,255,255
8,0.958,6.715,13.351,0,6.033,13.980,0,0.928,0.939,255,255
8,0.956,3.777,11.462,0,4.433,12.039,0,0.873,0.850,255,255
8,0.951,6.426,11.541,0,7.344,11.567,0,0.918,0.930,255,255
8,0.931,3.567,16.315,0,4.433,16.472,0,0.880,0.908,255,255
8,0.928,9.180,10.361,0,8.393,10.544,0,0.808,0.821,255,255
8,0.916,5.062,11.384,0,4.433,12.039,0,0.909,0.909,255,255
8,0.883,4.433,16.472,0,4.538,15.633,0,0.846,0.793,255,255
8,0.858,5.062,17.285,0,4.433,16.734,0,0.836,0.837,255,255
8,0.847,4.669,15.187,0,5.298,15.711,0,0.819,0.797,255,255
8,0.769,5.849,13.403,0,5.692,14.085,0,0.700,0.735,255,255
8,0.730,5.220,12.511,0,5.928,12.459,0,0.710,0.658,255,255
8,0.675,3.856,10.885,0,3.777,11.462,0,0.582,0.633,255,255
8,0.635,8.866,10.938,0,8.393,10.544,0,0.615,0.618,255,255
8,0.599,5.928,12.459,0,6.505,12.459,0,0.577,0.527,255,255
8,0.576,7.659,11.095,0,8.000,10.675,0,0.541,0.497,255,255
8,0.565,6.793,12.905,0,6.505,12.459,0,0.531,0.521,255,255
8,0.500,4.538,15.633,0,4.669,15.187,0,0.465,0.406,255,255
8,0.469,8.000,10.675,0,8.393,10.544,0,0.415,0.343,255,255
8,0.441,3.357,11.410,0,3.777,11.462,0,0.423,0.430,255,255
8,0.439,5.639,15.475,0,5.298,15.711,0,0.415,0.407,255,255
8,0.439,6.164,12.118,0,5.928,12.459,0,0.415,0.415,255,255
8,0.437,5.692,15.711,0,5.298,15.711,0,0.393,0.430,255,255
8,0.422,6.505,12.459,0,6.872,12.328,0,0.390,0.354,255,255
8,0.406,5.692,14.085,0,6.033,13.980,0,0.357,0.315,255,255
8,0.391,7.344,11.567,0,7.633,11.357,0,0.357,0.303,255,255
8,0.349,6.321,15.397,0,6.085,15.161,0,0.334,0.320,255,255
8,0.338,5.377,14.374,0,5.561,14.111,0,0.320,0.282,255,255
8,0.284,4.433,16.472,0,4.433,16.734,0,0.262,0.221,255,255
8,0.280,3.384,18.072,0,3.620,17.967,0,0.258,0.262,255,255
8,0.273,7.633,11.357,0,7.659,11.095,0,0.264,0.210,255,255
8,0.258,6.321,15.108,0,6.085,15.161,0,0.242,0.243,255,255
8,0.238,7.056,12.459,0,6.872,12.328,0,0.226,0.217,255,255
8,0.212,6.190,14.111,0,6.033,13.980,0,0.205,0.191,255,255
8,0.142,5.561,14.111,0,5.692,14.085,0,0.134,0.094,255,255
8,0.100,7.528,9.600,0,7.607,9.652,0,0.095,0.087,255,255
8,0.100,7.659,9.574,0,7.607,9.652,0,0.095,0.104,255,255
8,0.063,3.646,18.020,0,3.620,17.967,0,0.059,0.063,255,255
9,1.070,5.298,19.961,0,5.561,19.043,0,0.955,0.996,255,255
9,0.952,6.426,18.938,0,5.561,19.043,0,0.872,0.870,255,255
9,0.950,5.744,18.098,0,5.403,18.885,0,0.858,0.896,255,255
9,0.910,4.800,19.541,0,5.456,18.964,0,0.873,0.877,255,255
9,0.677,4.748,18.938,0,5.403,18.885,0,0.658,0.675,255,255
9,0.138,5.456,18.964,0,5.561,19.043,0,0.131,0.037,255,255
9,0.100,5.403,18.885,0,5.456,18.964,0,0.095,0.026,255,255
10,1.212,4.852,0.341,0,5.902,0.262,0,1.052,1.123,255,255
11,1.177,6.321,6.426,0,6.872,7.344,0,1.071,1.045,255,255
11,1.116,5.561,6.951,0,6.321,6.426,0,0.924,0.987,255,255
11,1.033,7.607,8.997,0,6.715,8.656,0,0.955,0.976,255,255
11,0.979,6.846,9.652,0,5.954,9.757,0,0.898,0.922,255,255
11,0.935,6.662,7.764,0,6.715,8.656,0,0.893,0.853,255,255
11,0.712,5.062,10.177,0,5.666,9.967,0,0.639,0.679,255,255
11,0.679,5.797,10.570,0,5.666,9.967,0,0.617,0.602,255,255
11,0.583,6.111,7.239,0,6.479,7.633,0,0.538,0.561,255,255
11,0.583,6.295,9.049,0,6.715,8.656,0,0.575,0.519,255,255
11,0.562,5.928,7.659,0,6.479,7.633,0,0.551,0.568,255,255
11,0.546,6.374,5.902,0,6.321,6.426,0,0.527,0.538,255,255
11,0.533,6.059,9.469,0,6.295,9.049,0,0.482,0.484,255,255
11,0.522,6.662,7.764,0,6.872,7.344,0,0.469,0.436,255,255
11,0.476,5.797,9.102,0,6.059,9.469,0,0.451,0.441,255,255
11,0.450,5.902,7.213,0,5.561,6.951,0,0.430,0.428,255,255
11,0.391,5.666,9.967,0,5.954,9.757,0,0.357,0.331,255,255
11,0.365,5.351,7.213,0,5.561,6.951,0,0.336,0.261,255,255
11,0.354,5.954,9.757,0,6.059,9.469,0,0.307,0.282,255,255
11,0.349,6.059,8.813,0,6.295,9.049,0,0.334,0.328,255,255
11,0.238,6.479,7.633,0,6.662,7.764,0,0.226,0.178,255,255
11,0.190,5.482,7.318,0,5.351,7.213,0,0.168,0.172,255,255
11,0.063,6.925,7.318,0,6.872,7.344,0,0.059,0.063,255,255
11,0.026,5.325,7.213,0,5.351,7.213,0,0.026,0.026,255,255
12,1.332,7.318,22.400,0,6.138,22.767,0,1.236,1.229,255,255
12,1.075,5.246,23.082,0,6.138,22.767,0,0.946,1.009,255,255
12,0.546,6.505,23.161,0,6.138,22.767,0,0.538,0.487,255,255
13,1.275,6.636,5.062,0,7.633,4.538,0,1.126,1.142,255,255
13,1.179,5.875,4.275,0,6.636,5.062,0,1.094,1.022,255,255
13,0.782,6.216,5.639,0,6.636,5.062,0,0.714,0.733,255,255
13,0.768,7.213,5.482,0,6.636,5.062,0,0.714,0.731,255,255
13,0.738,5.298,4.590,0,5.875,4.275,0,0.657,0.684,255,255
13,0.727,6.059,3.646,0,5.875,4.275,0,0.656,0.689,255,255
13,0.468,7.633,4.538,0,8.079,4.485,0,0.449,0.413,255,255
13,0.315,8.367,4.407,0,8.079,4.485,0,0.299,0.299,255,255
13,0.205,8.131,4.302,0,8.079,4.485,0,0.191,0.205,255,255
13,0.148,7.528,4.433,0,7.633,4.538,0,0.148,0.148,255,255
13,0.090,8.105,4.564,0,8.079,4.485,0,0.083,0.090,255,255
14,1.813,8.551,16.236,0,9.469,15.003,0,1.537,1.658,255,255
14,1.478,9.574,17.023,0,8.551,16.236,0,1.291,1.383,255,255
