Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.515,1.757,13.954,0,2.361,15.161,0,1.349,1.440,255,255
1,1.116,2.282,16.184,0,2.361,15.161,0,1.026,1.035,255,255
1,0.880,3.279,15.974,0,2.833,15.370,0,0.750,0.802,255,255
1,0.791,1.679,15.056,0,2.361,15.161,0,0.690,0.738,255,255
1,0.554,2.361,15.161,0,2.833,15.370,0,0.517,0.425,255,255
1,0.411,3.200,15.475,0,2.833,15.370,0,0.382,0.395,255,255
1,0.352,1.941,16.210,0,2.282,16.184,0,0.342,0.342,255,255
1,0.153,2.413,16.131,0,2.282,16.184,0,0.141,0.127,255,255
2,0.926,3.725,23.921,0,3.148,23.554,0,0.684,0.868,255,255
2,0.590,2.990,24.079,0,3.148,23.554,0,0.548,0.562,255,255
2,0.513,2.859,23.161,0,3.148,23.554,0,0.488,0.405,255,255
2,0.494,2.387,23.108,0,2.859,23.161,0,0.475,0.398,255,255
2,0.478,2.413,22.662,0,2.387,23.108,0,0.447,0.475,255,255
2,0.432,2.885,22.820,0,2.859,23.161,0,0.342,0.396,255,255
2,0.153,2.256,23.161,0,2.387,23.108,0,0.141,0.138,255,255
3,1.463,4.905,13.167,0,4.118,12.092,0,1.333,1.343,255,255
3,1.400,3.357,13.089,0,3.934,12.066,0,1.174,1.258,255,255
3,1.217,4.039,14.400,0,3.541,13.587,0,0.954,1.159,255,255
3,0.876,2.623,12.748,0,3.357,13.089,0,0.810,0.838,255,255
3,0.574,3.357,13.089,0,3.541,13.587,0,0.531,0.466,255,255
3,0.286,4.328,11.908,0,4.118,12.092,0,0.279,0.272,255,255
3,0.194,3.934,12.066,0,4.118,12.092,0,0.185,0.079,255,255
3,0.164,3.462,13.718,0,3.541,13.587,0,0.153,0.157,255,255
3,0.153,3.987,11.934,0,3.934,12.066,0,0.141,0.158,255,255
4,1.354,3.646,19.121,0,4.066,17.941,0,1.253,1.281,255,255
4,1.059,4.931,18.544,0,4.144,17.941,0,0.992,1.032,255,255
4,1.048,4.800,17.180,0,4.144,17.941,0,1.004,1.018,255,255
4,0.852,3.803,16.813,0,3.646,17.600,0,0.802,0.819,255,255
4,0.649,2.754,17.836,0,3.252,17.757,0,0.505,0.606,255,255
4,0.621,3.252,17.757,0,3.830,17.862,0,0.587,0.567,255,255
