Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2.136,1.810,12.957,0,3.357,11.908,0,1.870,2.016,255,255
1,0.806,3.541,11.200,0,3.357,11.908,0,0.732,0.763,255,255
1,0.791,4.039,12.118,0,3.357,11.908,0,0.714,0.740,255,255
2,0.913,2.361,16.289,0,2.675,16.997,0,0.775,0.842,255,255
2,0.754,1.889,17.679,0,2.544,17.443,0,0.697,0.707,255,255
2,0.572,2.230,17.862,0,2.544,17.443,0,0.525,0.552,255,255
2,0.483,2.754,18.098,0,2.780,17.626,0,0.473,0.475,255,255
2,0.469,3.174,17.810,0,2.780,17.626,0,0.434,0.437,255,255
2,0.423,2.990,16.734,0,2.675,16.997,0,0.410,0.402,255,255
2,0.393,2.597,17.259,0,2.990,17.259,0,0.393,0.289,255,255
2,0.312,2.544,17.443,0,2.780,17.626,0,0.299,0.223,255,255
2,0.312,3.226,17.443,0,2.990,17.259,0,0.299,0.248,255,255
2,0.295,2.597,17.259,0,2.675,16.997,0,0.274,0.216,255,255
2,0.216,2.544,17.443,0,2.597,17.259,0,0.191,0.131,255,255
2,0.212,3.148,17.128,0,2.990,17.259,0,0.205,0.198,255,255
3,1.906,4.170,7.764,0,5.325,8.341,0,1.290,1.828,255,255
3,1.699,4.643,9.757,0,5.325,8.341,0,1.572,1.551,255,255
3,1.435,4.643,9.757,0,5.193,10.964,0,1.326,1.336,255,255
3,1.165,2.623,10.544,0,3.410,9.705,0,1.151,1.159,255,255
3,1.061,6.610,8.603,0,5.770,8.525,0,0.843,1.014,255,255
3,1.030,3.515,10.780,0,4.013,9.993,0,0.931,1.006,255,255
3,0.963,3.095,8.341,0,2.885,9.180,0,0.865,0.910,255,255
3,0.951,4.039,10.911,0,4.013,9.993,0,0.918,0.935,255,255
3,0.945,5.849,11.672,0,5.167,11.148,0,0.860,0.879,255,255
3,0.884,2.439,10.125,0,3.095,9.626,0,0.824,0.790,255,255
3,0.871,5.902,10.570,0,5.193,10.964,0,0.810,0.833,255,255
3,0.783,5.770,8.525,0,6.321,9.049,0,0.761,0.734,255,255
3,0.756,3.410,9.705,0,4.144,9.757,0,0.736,0.682,255,255
3,0.631,2.308,9.049,0,2.885,9.180,0,0.592,0.602,255,255
3,0.570,2.151,10.544,0,2.439,10.125,0,0.509,0.514,255,255
3,0.555,2.885,9.180,0,3.095,9.626,0,0.493,0.457,255,255
3,0.522,5.325,8.341,0,5.770,8.525,0,0.482,0.390,255,255
3,0.498,4.144,9.757,0,4.643,9.757,0,0.498,0.472,255,255
3,0.437,6.269,9.443,0,6.321,9.049,0,0.397,0.354,255,255
3,0.415,4.590,11.331,0,4.984,11.384,0,0.397,0.402,255,255
3,0.375,5.220,11.803,0,4.984,11.541,0,0.353,0.348,255,255
3,0.365,4.800,11.830,0,4.984,11.541,0,0.342,0.338,255,255
3,0.347,3.095,9.626,0,3.410,9.705,0,0.324,0.243,255,255
3,0.312,4.984,11.384,0,5.167,11.148,0,0.299,0.210,255,255
3,0.295,2.177,10.046,0,2.439,10.125,0,0.274,0.213,255,255
3,0.290,4.013,9.993,0,4.144,9.757,0,0.270,0.165,255,255
3,0.247,6.557,9.023,0,6.321,9.049,0,0.238,0.242,255,255
3,0.201,2.046,10.177,0,2.177,10.046,0,0.185,0.180,255,255
3,0.194,5.167,11.148,0,5.193,10.964,0,0.185,0.131,255,255
3,0.190,6.374,9.574,0,6.269,9.443,0,0.168,0.169,255,255
3,0.179,4.984,11.384,0,4.984,11.541,0,0.157,0.116,255,255
3,0.164,2.098,9.915,0,2.177,10.046,0,0.153,0.140,255,255
3,0.063,6.216,9.469,0,6.269,9.443,0,0.059,0.066,255,255
4,0.891,2.885,5.246,0,3.148,6.007,0,0.805,0.805,255,255
4,0.644,3.410,6.584,0,3.148,6.138,0,0.517,0.621,255,255
4,0.616,3.043,4.695,0,2.885,5.246,0,0.573,0.608,255,255
4,0.491,2.859,6.479,0,3.148,6.138,0,0.447,0.451,255,255
4,0.404,2.754,6.033,0,3.148,6.007,0,0.394,0.396,255,255
4,0.168,2.728,5.220,0,2.885,5.246,0,0.160,0.164,255,255
4,0.153,3.148,6.007,0,3.148,6.138,0,0.131,0.090,255,255
5,1.260,4.852,18.675,0,5.534,19.515,0,1.081,1.132,255,255
5,1.131,4.197,20.774,0,5.089,21.193,0,0.986,1.021,255,255
5,1.053,2.728,20.774,0,3.489,20.433,0,0.834,0.982,255,255
5,1.016,3.593,20.407,0,3.830,19.541,0,0.897,0.875,255,255
5,0.947,4.748,20.433,0,5.220,21.141,0,0.851,0.922,255,255
5,0.939,4.511,22.557,0,4.774,21.770,0,0.829,0.900,255,255
5,0.917,6.820,19.803,0,6.033,20.118,0,0.848,0.869,255,255
5,0.897,5.561,20.774,0,6.033,20.118,0,0.808,0.822,255,255
5,0.808,3.436,21.849,0,3.646,21.246,0,0.639,0.770,255,255
5,0.794,4.984,20.249,0,5.561,20.774,0,0.780,0.767,255,255
5,0.755,3.593,20.407,0,4.197,20.774,0,0.706,0.635,255,255
5,0.736,5.534,19.515,0,6.007,20.039,0,0.706,0.648,255,255
5,0.707,4.774,21.770,0,5.089,21.193,0,0.657,0.603,255,255
5,0.655,3.331,20.957,0,3.489,20.433,0,0.548,0.615,255,255
5,0.590,4.774,17.941,0,4.879,18.466,0,0.535,0.530,255,255
5,0.585,5.220,21.141,0,5.561,20.774,0,0.501,0.463,255,255
5,0.542,3.567,20.774,0,3.646,21.246,0,0.479,0.489,255,255
5,0.485,3.882,19.121,0,3.830,19.541,0,0.423,0.456,255,255
5,0.454,4.223,19.751,0,3.934,19.462,0,0.408,0.435,255,255
5,0.411,4.407,21.875,0,4.774,21.770,0,0.382,0.390,255,255
5,0.402,6.007,20.039,0,6.164,19.725,0,0.352,0.379,255,255
5,0.400,4.013,21.325,0,3.646,21.246,0,0.376,0.374,255,255
5,0.400,3.567,20.774,0,3.593,20.407,0,0.368,0.329,255,255
5,0.365,6.033,19.436,0,6.164,19.725,0,0.317,0.324,255,255
5,0.358,6.295,19.436,0,6.164,19.725,0,0.317,0.338,255,255
5,0.286,4.669,18.282,0,4.879,18.466,0,0.279,0.265,255,255
5,0.264,3.436,20.984,0,3.567,20.774,0,0.247,0.245,255,255
5,0.262,4.590,18.675,0,4.852,18.675,0,0.262,0.262,255,255
5,0.242,4.852,18.675,0,4.879,18.466,0,0.211,0.145,255,255
5,0.221,4.223,20.984,0,4.197,20.774,0,0.211,0.216,255,255
5,0.212,5.666,19.357,0,5.534,19.515,0,0.205,0.201,255,255
5,0.168,5.089,21.193,0,5.220,21.141,0,0.141,0.106,255,255
5,0.153,3.830,19.541,0,3.934,19.462,0,0.131,0.063,255,255
5,0.131,3.934,19.331,0,3.934,19.462,0,0.131,0.131,255,255
5,0.116,3.489,20.433,0,3.593,20.407,0,0.108,0.037,255,255
5,0.090,6.007,20.039,0,6.033,20.118,0,0.083,0.056,255,255
6,1.581,7.082,23.266,0,5.718,23.685,0,1.427,1.474,255,255
6,0.612,4.800,23.738,0,5.325,23.948,0,0.565,0.581,255,255
6,0.502,5.325,23.948,0,5.718,23.685,0,0.473,0.459,255,255
6,0.375,5.954,23.948,0,5.718,23.685,0,0.353,0.348,255,255
