Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.259,1.915,5.167,0,1.128,4.249,0,1.209,1.202,255,255
1,1.126,2.020,3.541,0,1.154,4.170,0,1.070,1.071,255,255
1,0.952,0.236,3.121,0,0.944,3.672,0,0.897,0.902,255,255
1,0.905,0.656,5.298,0,0.761,4.459,0,0.846,0.895,255,255
1,0.858,1.102,2.938,0,0.944,3.672,0,0.751,0.804,255,255
1,0.723,0.157,4.223,0,0.761,4.459,0,0.648,0.703,255,255
1,0.585,0.944,3.672,0,1.154,4.170,0,0.541,0.475,255,255
1,0.454,0.761,4.459,0,1.128,4.249,0,0.423,0.326,255,255
1,0.090,1.128,4.249,0,1.154,4.170,0,0.083,0.052,255,255
2,1.083,0.656,7.974,0,1.495,8.525,0,1.004,0.962,255,255
2,0.854,1.731,9.259,0,1.495,8.525,0,0.771,0.799,255,255
2,0.487,0.315,8.289,0,0.656,7.974,0,0.464,0.467,255,255
2,0.365,0.367,7.790,0,0.656,7.974,0,0.342,0.330,255,255
2,0.327,1.757,8.367,0,1.495,8.525,0,0.306,0.300,255,255
3,0.775,0.761,22.426,0,0.997,23.082,0,0.697,0.730,255,255
3,0.380,1.311,23.239,0,0.997,23.082,0,0.352,0.348,255,255
3,0.258,0.944,23.318,0,0.997,23.082,0,0.242,0.258,255,255
4,0.826,1.993,1.521,0,1.889,2.282,0,0.768,0.786,255,255
4,0.815,1.993,3.016,0,1.889,2.282,0,0.742,0.777,255,255
4,0.572,1.469,2.649,0,1.889,2.282,0,0.558,0.552,255,255
5,1.066,2.990,17.469,0,3.593,16.761,0,0.930,1.023,255,255
5,0.893,3.593,16.761,0,4.197,16.210,0,0.817,0.812,255,255
5,0.849,4.590,16.472,0,4.197,17.128,0,0.765,0.782,255,255
5,0.755,3.593,16.761,0,4.197,17.128,0,0.706,0.664,255,255
5,0.642,4.197,16.210,0,4.354,15.633,0,0.598,0.558,255,255
5,0.448,4.590,15.344,0,4.354,15.633,0,0.373,0.409,255,255
5,0.432,3.830,15.370,0,4.144,15.318,0,0.319,0.381,255,255
5,0.417,4.407,16.525,0,4.197,16.210,0,0.378,0.377,255,255
