Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.063,0.052,16.866,0,0.079,16.813,0,0.059,0.056,255,255
2,0.116,0.131,15.974,0,0.236,16.000,0,0.108,0.107,255,255
3,0.026,0.184,17.023,0,0.210,17.023,0,0.026,0.026,255,255
4,0.100,0.472,20.066,0,0.551,20.013,0,0.095,0.087,255,255
4,0.063,0.525,19.961,0,0.551,20.013,0,0.059,0.026,255,255
4,0.052,0.577,20.013,0,0.551,20.013,0,0.026,0.000,0,0
5,0.675,0.682,17.023,0,1.102,16.892,0,0.440,0.623,255,255
6,0.138,0.708,20.013,0,0.787,20.066,0,0.095,0.111,255,255
7,0.295,0.944,19.908,0,1.154,19.987,0,0.224,0.250,255,255
9,0.074,0.997,26.020,0,1.049,25.967,0,0.074,0.074,255,255
10,0.105,1.049,24.944,0,1.049,25.049,0,0.105,0.105,255,255
11,0.052,1.180,20.249,0,1.233,20.249,0,0.052,0.052,255,255
12,0.269,1.311,6.898,0,1.548,6.820,0,0.249,0.265,255,255
13,0.216,1.311,7.292,0,1.495,7.213,0,0.200,0.197,255,255
14,0.052,1.338,17.207,0,1.390,17.207,0,0.052,0.052,255,255
15,0.828,1.364,10.702,0,1.889,10.544,0,0.548,0.774,255,255
15,0.629,1.416,10.885,0,1.889,10.544,0,0.582,0.582,255,255
15,0.520,1.889,10.544,0,2.387,10.597,0,0.501,0.425,255,255
15,0.476,2.282,10.964,0,2.387,10.597,0,0.382,0.445,255,255
15,0.395,2.938,10.649,0,2.597,10.518,0,0.365,0.364,255,255
15,0.286,2.780,10.308,0,2.597,10.518,0,0.279,0.272,255,255
15,0.242,2.387,10.597,0,2.597,10.518,0,0.224,0.190,255,255
16,0.555,1.390,6.269,0,1.836,6.321,0,0.449,0.519,255,255
16,0.406,1.836,6.321,0,2.177,6.479,0,0.376,0.345,255,255
16,0.374,1.784,6.007,0,1.836,6.321,0,0.319,0.327,255,255
16,0.216,2.256,6.295,0,2.177,6.479,0,0.200,0.210,255,255
16,0.205,2.177,6.662,0,2.177,6.479,0,0.184,0.211,255,255
17,0.037,1.574,26.780,0,1.600,26.754,0,0.037,0.037,255,255
18,0.832,2.675,7.108,0,1.993,7.292,0,0.706,0.814,255,255
18,0.555,1.600,7.554,0,1.993,7.292,0,0.473,0.502,255,255
18,0.175,1.915,7.187,0,1.993,7.292,0,0.131,0.157,255,255
19,0.052,1.731,5.849,0,1.784,5.849,0,0.052,0.052,255,255
20,0.026,1.915,25.967,0,1.915,25.993,0,0.026,0.026,255,255
21,1.398,3.672,9.757,0,3.357,8.577,0,1.222,1.324,255,255
21,1.291,3.226,8.472,0,3.252,7.344,0,1.128,1.182,255,255
21,0.830,3.357,8.577,0,4.144,8.682,0,0.794,0.759,255,255
21,0.780,1.993,8.498,0,2.675,8.734,0,0.722,0.737,255,255
21,0.675,2.675,8.734,0,3.226,8.472,0,0.610,0.596,255,255
21,0.524,2.361,9.128,0,2.675,8.734,0,0.504,0.456,255,255
21,0.406,4.485,8.525,0,4.144,8.682,0,0.376,0.380,255,255
21,0.286,4.328,8.892,0,4.144,8.682,0,0.279,0.265,255,255
21,0.253,3.148,7.134,0,3.252,7.344,0,0.235,0.165,255,255
21,0.190,3.410,7.266,0,3.252,7.344,0,0.176,0.201,255,255
21,0.175,3.226,8.472,0,3.357,8.577,0,0.168,0.111,255,255
21,0.168,3.305,7.108,0,3.148,7.134,0,0.160,0.160,255,255
21,0.127,3.069,7.056,0,3.148,7.134,0,0.111,0.115,255,255
22,0.384,2.597,22.164,0,2.308,22.321,0,0.329,0.367,255,255
22,0.327,2.282,22.793,0,2.466,22.557,0,0.299,0.298,255,255
22,0.317,2.702,22.400,0,2.466,22.557,0,0.284,0.313,255,255
22,0.317,2.308,22.321,0,2.466,22.557,0,0.284,0.228,255,255
22,0.131,2.177,22.321,0,2.308,22.321,0,0.131,0.131,255,255
23,0.317,2.675,12.590,0,2.466,12.774,0,0.279,0.267,255,255
23,0.127,2.570,12.826,0,2.466,12.774,0,0.117,0.094,255,255
23,0.090,2.387,12.800,0,2.466,12.774,0,0.083,0.080,255,255
24,0.100,2.387,21.770,0,2.466,21.718,0,0.095,0.087,255,255
25,0.026,2.728,0.603,0,2.728,0.630,0,0.026,0.026,255,255
26,0.063,2.885,6.636,0,2.833,6.662,0,0.059,0.063,255,255
26,0.026,2.833,6.689,0,2.833,6.662,0,0.026,0.026,255,255
26,0.026,2.833,6.662,0,2.833,6.662,0,0.000,0.000,0,0
27,0.317,3.095,11.121,0,2.964,11.384,0,0.293,0.297,255,255
27,0.153,2.911,11.515,0,2.964,11.384,0,0.141,0.145,255,255
27,0.026,2.964,11.384,0,2.964,11.384,0,0.000,0.000,0,0
29,1.417,3.541,12.328,0,3.777,11.121,0,1.229,1.259,255,255
29,1.332,4.092,10.597,0,5.272,10.387,0,1.199,1.198,255,255
29,0.922,4.616,13.246,0,3.803,12.984,0,0.854,0.861,255,255
29,0.863,3.830,14.085,0,3.593,13.351,0,0.771,0.831,255,255
29,0.799,4.354,11.908,0,3.803,12.433,0,0.761,0.767,255,255
29,0.703,2.990,12.695,0,3.541,12.328,0,0.662,0.674,255,255
29,0.694,2.964,11.751,0,3.384,12.249,0,0.652,0.684,255,255
29,0.655,3.777,11.121,0,4.092,10.597,0,0.612,0.559,255,255
29,0.573,3.803,12.433,0,3.803,12.984,0,0.551,0.509,255,255
29,0.517,3.174,13.587,0,3.593,13.351,0,0.482,0.470,255,255
29,0.517,5.692,10.570,0,5.272,10.387,0,0.458,0.483,255,255
29,0.454,3.593,13.351,0,3.803,12.984,0,0.423,0.362,255,255
29,0.301,3.541,12.328,0,3.803,12.433,0,0.283,0.187,255,255
29,0.205,3.200,12.302,0,3.384,12.249,0,0.191,0.193,255,255
29,0.190,3.620,11.200,0,3.777,11.121,0,0.176,0.171,255,255
29,0.190,3.384,12.249,0,3.541,12.328,0,0.176,0.074,255,255
29,0.138,5.351,10.282,0,5.272,10.387,0,0.131,0.124,255,255
29,0.116,4.118,10.492,0,4.092,10.597,0,0.108,0.121,255,255
30,0.194,3.095,9.574,0,3.121,9.757,0,0.185,0.184,255,255
31,0.269,3.095,10.938,0,3.279,10.807,0,0.226,0.245,255,255
32,0.052,3.148,3.226,0,3.200,3.226,0,0.052,0.052,255,255
33,0.968,3.357,5.508,0,3.541,4.616,0,0.911,0.942,255,255
33,0.459,3.934,4.459,0,3.541,4.616,0,0.424,0.416,255,255
33,0.164,3.436,4.511,0,3.541,4.616,0,0.148,0.115,255,255
34,0.924,5.561,6.479,0,4.826,6.059,0,0.846,0.812,255,255
34,0.716,4.197,6.269,0,4.826,6.059,0,0.664,0.614,255,255
34,0.555,5.089,5.613,0,4.826,6.059,0,0.517,0.521,255,255
34,0.517,3.777,6.505,0,4.197,6.269,0,0.482,0.412,255,255
34,0.434,3.882,5.980,0,4.197,6.269,0,0.427,0.413,255,255
34,0.216,3.593,6.426,0,3.777,6.505,0,0.200,0.193,255,255
34,0.201,3.672,6.662,0,3.777,6.505,0,0.189,0.154,255,255
35,0.116,3.698,7.318,0,3.803,7.292,0,0.108,0.107,255,255
36,0.079,3.777,23.187,0,3.856,23.187,0,0.079,0.079,255,255
37,0.037,3.830,22.846,0,3.856,22.872,0,0.037,0.037,255,255
38,1.118,6.007,22.610,0,5.089,22.164,0,1.021,1.044,255,255
38,0.963,5.167,20.879,0,4.590,21.587,0,0.914,0.934,255,255
38,0.863,4.957,22.951,0,5.089,22.164,0,0.798,0.831,255,255
38,0.720,4.223,22.321,0,4.721,21.823,0,0.705,0.699,255,255
38,0.661,3.934,22.059,0,4.328,21.561,0,0.635,0.590,255,255
38,0.555,4.721,21.823,0,5.089,22.164,0,0.501,0.449,255,255
38,0.544,3.882,21.325,0,4.328,21.561,0,0.505,0.504,255,255
38,0.524,4.197,21.167,0,4.459,21.561,0,0.473,0.493,255,255
38,0.290,4.590,21.587,0,4.721,21.823,0,0.270,0.218,255,255
38,0.142,4.459,21.561,0,4.590,21.587,0,0.134,0.056,255,255
38,0.131,4.328,21.561,0,4.459,21.561,0,0.131,0.105,255,255
39,0.168,4.039,26.439,0,4.066,26.282,0,0.160,0.158,255,255
40,0.326,4.407,23.082,0,4.380,23.397,0,0.316,0.331,255,255
40,0.247,4.354,23.633,0,4.380,23.397,0,0.238,0.237,255,255
40,0.063,4.433,23.423,0,4.380,23.397,0,0.059,0.063,255,255
41,0.026,4.669,13.561,0,4.695,13.561,0,0.026,0.026,255,255
42,0.227,4.721,9.784,0,4.826,9.600,0,0.211,0.204,255,255
43,0.052,4.774,19.331,0,4.774,19.384,0,0.052,0.052,255,255
44,0.168,4.826,18.807,0,4.984,18.833,0,0.160,0.158,255,255
45,0.517,4.879,19.777,0,5.141,19.384,0,0.473,0.467,255,255
47,0.747,5.010,11.672,0,5.692,11.567,0,0.690,0.701,255,255
47,0.422,6.059,11.436,0,5.692,11.567,0,0.390,0.403,255,255
47,0.131,5.692,11.698,0,5.692,11.567,0,0.131,0.131,255,255
48,0.380,5.062,14.295,0,5.298,14.059,0,0.334,0.334,255,255
49,0.574,5.141,20.197,0,5.534,20.433,0,0.459,0.550,255,255
50,0.063,5.167,5.010,0,5.220,5.036,0,0.059,0.066,255,255
51,0.052,5.167,14.636,0,5.220,14.636,0,0.052,0.052,255,255
52,0.260,5.246,7.423,0,5.430,7.239,0,0.260,0.260,255,255
53,0.391,5.298,24.052,0,5.325,23.738,0,0.316,0.366,255,255
54,0.026,5.351,19.121,0,5.351,19.148,0,0.026,0.026,255,255
55,0.026,5.430,19.016,0,5.456,19.016,0,0.026,0.026,255,255
56,0.026,5.456,8.262,0,5.482,8.262,0,0.026,0.026,255,255
57,0.063,5.797,18.492,0,5.849,18.466,0,0.059,0.066,255,255
58,1.183,5.980,5.587,0,6.505,4.643,0,1.080,1.093,255,255
58,1.120,5.954,3.856,0,6.505,4.643,0,0.961,1.067,255,255
58,1.074,7.449,5.325,0,6.767,4.564,0,1.022,1.034,255,255
58,0.940,6.662,5.561,0,6.610,4.643,0,0.920,0.935,255,255
58,0.677,6.584,3.436,0,6.584,4.092,0,0.656,0.614,255,255
58,0.579,6.584,4.092,0,6.767,4.564,0,0.507,0.498,255,255
58,0.572,7.580,3.987,0,7.161,4.354,0,0.558,0.551,255,255
58,0.546,7.554,4.721,0,7.161,4.354,0,0.538,0.524,255,255
58,0.524,6.269,3.698,0,6.584,4.092,0,0.504,0.495,255,255
58,0.480,6.767,4.564,0,7.161,4.354,0,0.446,0.384,255,255
58,0.411,6.977,2.780,0,7.082,3.148,0,0.382,0.385,255,255
58,0.406,7.082,3.148,0,7.423,3.305,0,0.376,0.272,255,255
58,0.310,6.689,3.331,0,6.977,3.331,0,0.289,0.236,255,255
58,0.227,6.977,3.331,0,7.082,3.148,0,0.211,0.139,255,255
58,0.190,6.610,3.174,0,6.689,3.331,0,0.176,0.181,255,255
58,0.190,6.610,4.643,0,6.767,4.564,0,0.176,0.111,255,255
58,0.179,6.426,3.384,0,6.584,3.436,0,0.166,0.165,255,255
58,0.164,7.056,3.462,0,6.977,3.331,0,0.153,0.150,255,255
58,0.164,6.584,3.436,0,6.689,3.331,0,0.148,0.100,255,255
58,0.142,7.449,3.436,0,7.423,3.305,0,0.134,0.134,255,255
58,0.127,7.528,3.305,0,7.423,3.305,0,0.105,0.083,255,255
58,0.105,6.505,4.643,0,6.610,4.643,0,0.105,0.079,255,255
59,0.079,6.033,23.921,0,6.111,23.921,0,0.079,0.079,255,255
60,0.090,6.295,6.636,0,6.374,6.610,0,0.083,0.083,255,255
61,0.347,6.295,7.056,0,6.584,7.161,0,0.307,0.315,255,255
62,0.063,6.479,16.000,0,6.505,15.948,0,0.059,0.056,255,255
63,0.981,6.951,2.125,0,7.738,2.518,0,0.880,0.913,255,255
63,0.891,8.393,1.731,0,8.052,2.466,0,0.810,0.845,255,255
63,0.703,7.554,1.915,0,7.921,2.466,0,0.662,0.669,255,255
63,0.624,8.052,2.466,0,8.420,2.911,0,0.578,0.534,255,255
63,0.500,8.131,2.938,0,8.052,2.466,0,0.479,0.504,255,255
63,0.485,7.738,2.938,0,7.738,2.518,0,0.420,0.413,255,255
63,0.205,7.738,2.518,0,7.921,2.466,0,0.191,0.132,255,255
63,0.157,8.577,2.911,0,8.420,2.911,0,0.157,0.157,255,255
63,0.131,7.921,2.466,0,8.052,2.466,0,0.131,0.105,255,255
63,0.090,8.446,2.990,0,8.420,2.911,0,0.083,0.082,255,255
64,2.417,7.187,9.049,0,9.128,9.443,0,1.980,2.245,255,255
65,0.264,7.423,5.849,0,7.397,6.059,0,0.211,0.194,255,255
65,0.090,7.318,6.033,0,7.397,6.059,0,0.083,0.080,255,255
65,0.063,7.370,6.111,0,7.397,6.059,0,0.059,0.026,255,255
66,1.133,7.318,14.951,0,7.869,14.138,0,0.982,1.079,255,255
66,1.107,7.869,14.138,0,8.551,14.531,0,0.787,0.986,255,255
66,0.906,9.285,14.820,0,8.551,14.531,0,0.789,0.879,255,255
66,0.561,8.262,14.505,0,7.869,14.138,0,0.538,0.533,255,255
66,0.190,8.472,14.689,0,8.551,14.531,0,0.176,0.180,255,255
67,0.026,7.344,24.892,0,7.344,24.918,0,0.026,0.026,255,255
68,0.026,7.423,23.292,0,7.449,23.292,0,0.026,0.026,255,255
69,1.435,7.711,6.374,0,8.210,5.849,0,0.724,1.342,255,255
69,0.848,7.554,6.007,0,8.210,5.849,0,0.674,0.780,255,255
69,0.332,8.210,5.561,0,8.210,5.849,0,0.289,0.308,255,255
70,0.026,7.607,13.325,0,7.633,13.325,0,0.026,0.026,255,255
71,1.432,10.203,4.511,0,11.331,5.246,0,1.346,1.298,255,255
71,1.365,15.003,5.089,0,14.505,6.164,0,1.185,1.278,255,255
71,1.266,15.711,6.190,0,14.662,6.610,0,1.130,1.217,255,255
71,1.184,14.269,7.843,0,14.531,8.918,0,1.107,1.041,255,255
71,1.157,9.600,5.744,0,9.652,4.826,0,0.920,1.106,255,255
71,1.156,11.856,5.193,0,12.957,5.325,0,1.109,0.979,255,255
71,1.094,9.915,5.561,0,9.652,4.826,0,0.780,1.024,255,255
71,1.083,14.872,4.433,0,14.111,5.062,0,0.987,1.019,255,255
71,1.079,14.269,7.843,0,14.505,6.898,0,0.973,0.980,255,255
71,1.013,13.666,5.744,0,14.505,6.164,0,0.938,0.886,255,255
71,0.979,9.390,3.882,0,9.626,4.669,0,0.822,0.950,255,255
71,0.954,15.030,10.072,0,15.003,9.364,0,0.709,0.890,255,255
71,0.939,13.718,6.689,0,14.505,6.898,0,0.814,0.894,255,255
71,0.926,11.803,6.033,0,11.856,5.193,0,0.841,0.891,255,255
71,0.895,8.997,5.325,0,9.574,4.669,0,0.873,0.864,255,255
71,0.878,14.531,8.918,0,15.003,9.364,0,0.649,0.807,255,255
71,0.867,12.564,6.007,0,12.957,5.325,0,0.787,0.766,255,255
71,0.851,11.856,5.193,0,12.013,4.511,0,0.700,0.629,255,255
71,0.795,7.816,4.564,0,8.498,4.380,0,0.706,0.749,255,255
71,0.795,13.456,4.249,0,13.613,4.957,0,0.725,0.766,255,255
71,0.775,11.069,4.092,0,10.413,4.170,0,0.660,0.756,255,255
71,0.740,8.630,5.167,0,8.866,4.590,0,0.623,0.699,255,255
71,0.704,9.102,3.908,0,9.102,4.590,0,0.682,0.710,255,255
71,0.668,11.751,4.013,0,12.013,4.511,0,0.563,0.620,255,255
71,0.650,14.505,9.521,0,15.003,9.364,0,0.523,0.614,255,255
71,0.636,9.626,4.669,0,10.203,4.511,0,0.598,0.496,255,255
71,0.572,13.351,5.325,0,13.666,5.744,0,0.525,0.506,255,255
71,0.546,11.331,5.246,0,11.856,5.193,0,0.527,0.503,255,255
71,0.542,13.613,4.957,0,14.111,5.062,0,0.509,0.458,255,255
71,0.511,14.505,6.164,0,14.662,6.610,0,0.473,0.412,255,255
71,0.505,9.102,4.590,0,9.574,4.669,0,0.479,0.371,255,255
71,0.494,10.361,3.698,0,10.413,4.170,0,0.475,0.481,255,255
71,0.487,8.184,4.039,0,8.498,4.380,0,0.464,0.457,255,255
71,0.480,12.223,4.118,0,12.013,4.511,0,0.446,0.410,255,255
71,0.476,13.351,5.325,0,13.613,4.957,0,0.451,0.395,255,255
71,0.460,14.243,9.259,0,14.531,8.918,0,0.447,0.359,255,255
71,0.459,10.649,5.325,0,11.043,5.430,0,0.407,0.415,255,255
71,0.454,8.498,4.380,0,8.866,4.590,0,0.423,0.324,255,255
71,0.428,10.203,4.511,0,10.413,4.170,0,0.400,0.364,255,255
71,0.422,13.875,9.390,0,14.243,9.259,0,0.390,0.403,255,255
71,0.417,10.964,5.770,0,11.043,5.430,0,0.350,0.369,255,255
71,0.402,14.400,5.298,0,14.111,5.062,0,0.373,0.359,255,255
71,0.393,12.957,5.325,0,13.351,5.325,0,0.393,0.315,255,255
71,0.386,11.043,5.430,0,11.331,5.246,0,0.342,0.272,255,255
71,0.369,14.505,6.898,0,14.662,6.610,0,0.329,0.292,255,255
71,0.236,8.866,4.590,0,9.102,4.590,0,0.236,0.210,255,255
