 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2,0.415,0.236,11.961,0,0.289,11.567,0,0.397,0.398,255,255
2,3,0.138,0.734,24.026,0,0.813,24.131,0,0.131,0.120,255,255
3,4,0.238,1.128,10.938,0,0.970,11.095,0,0.223,0.237,255,255
4,4,0.138,1.049,11.200,0,0.970,11.095,0,0.131,0.135,255,255
5,4,0.063,0.918,11.069,0,0.970,11.095,0,0.059,0.056,255,255
6,5,0.653,1.049,9.233,0,1.311,8.787,0,0.517,0.552,255,255
7,5,0.590,1.207,9.757,0,1.049,9.233,0,0.548,0.559,255,255
8,5,0.317,1.469,9.023,0,1.311,8.787,0,0.284,0.283,255,255
9,5,0.090,0.970,9.207,0,1.049,9.233,0,0.083,0.083,255,255
10,5,0.074,1.364,8.734,0,1.311,8.787,0,0.074,0.074,255,255
11,6,0.526,1.469,11.357,0,1.600,10.938,0,0.440,0.479,255,255
12,7,0.205,1.548,16.079,0,1.600,15.895,0,0.191,0.188,255,255
13,8,0.111,1.574,1.075,0,1.652,1.154,0,0.111,0.111,255,255
14,8,0.090,1.731,1.128,0,1.652,1.154,0,0.083,0.093,255,255
15,8,0.052,1.652,1.207,0,1.652,1.154,0,0.052,0.052,255,255
16,9,1.420,2.203,3.305,0,2.098,1.993,0,1.316,1.328,255,255
17,9,0.585,2.544,2.282,0,2.177,1.941,0,0.501,0.531,255,255
18,9,0.500,1.652,1.967,0,2.098,1.993,0,0.447,0.469,255,255
19,9,0.253,2.177,1.941,0,2.282,1.731,0,0.235,0.167,255,255
20,9,0.227,2.177,1.548,0,2.282,1.731,0,0.211,0.200,255,255
21,9,0.116,2.387,1.757,0,2.282,1.731,0,0.108,0.120,255,255
22,9,0.100,2.098,1.993,0,2.177,1.941,0,0.095,0.056,255,255
23,10,1.116,1.705,6.531,0,2.466,6.059,0,0.895,1.057,255,255
24,10,1.068,1.679,5.403,0,2.518,5.954,0,1.004,1.023,255,255
25,10,1.063,3.908,4.879,0,3.305,5.692,0,1.012,1.016,255,255
26,10,1.002,2.702,4.826,0,3.095,5.666,0,0.927,0.897,255,255
27,10,0.991,2.387,4.092,0,2.702,4.826,0,0.799,0.869,255,255
28,10,0.797,2.990,6.531,0,2.466,6.059,0,0.706,0.750,255,255
29,10,0.777,4.066,5.141,0,3.698,5.744,0,0.706,0.748,255,255
30,10,0.712,2.518,5.954,0,3.095,5.666,0,0.645,0.593,255,255
31,10,0.712,4.302,5.849,0,3.698,5.744,0,0.612,0.681,255,255
32,10,0.664,2.387,4.092,0,2.885,4.380,0,0.576,0.592,255,255
33,10,0.537,3.515,6.269,0,3.515,5.797,0,0.472,0.497,255,255
34,10,0.365,3.174,4.564,0,2.885,4.380,0,0.342,0.340,255,255
35,10,0.349,2.911,4.564,0,2.702,4.826,0,0.336,0.330,255,255
36,10,0.253,3.305,5.692,0,3.515,5.797,0,0.235,0.161,255,255
