 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,1.327,2.020,1.469,0,1.075,2.125,0,1.150,1.241,255,255
2,1,1.064,0.970,3.541,0,0.734,2.597,0,0.973,0.960,255,255
3,1,1.063,0.262,1.574,0,1.075,2.125,0,0.982,1.021,255,255
4,1,1.063,1.810,3.043,0,1.259,2.230,0,0.982,1.040,255,255
5,1,0.848,1.259,2.230,0,2.020,2.387,0,0.777,0.717,255,255
6,1,0.627,2.570,2.413,0,2.020,2.387,0,0.551,0.586,255,255
7,1,0.576,0.734,2.597,0,1.075,2.177,0,0.541,0.539,255,255
8,1,0.480,2.230,2.780,0,2.020,2.387,0,0.446,0.440,255,255
9,1,0.205,1.075,2.177,0,1.259,2.230,0,0.191,0.148,255,255
10,1,0.063,0.682,2.623,0,0.734,2.597,0,0.059,0.056,255,255
11,1,0.052,1.075,2.125,0,1.075,2.177,0,0.052,0.026,255,255
12,2,0.079,0.262,3.777,0,0.341,3.777,0,0.079,0.079,255,255
13,3,0.301,0.262,12.092,0,0.472,12.223,0,0.247,0.274,255,255
14,3,0.284,0.472,12.485,0,0.472,12.223,0,0.262,0.269,255,255
15,3,0.090,0.551,12.197,0,0.472,12.223,0,0.083,0.082,255,255
16,4,0.026,0.367,12.564,0,0.367,12.590,0,0.026,0.026,255,255
17,5,0.037,0.734,1.049,0,0.761,1.075,0,0.037,0.037,255,255
18,6,0.026,0.734,23.449,0,0.734,23.475,0,0.026,0.026,255,255
19,7,0.153,0.787,25.390,0,0.813,25.285,0,0.108,0.131,255,255
20,8,0.026,0.892,15.344,0,0.918,15.344,0,0.026,0.026,255,255
21,9,0.116,1.154,26.125,0,1.049,26.098,0,0.108,0.116,255,255
22,9,0.090,1.023,26.177,0,1.049,26.098,0,0.083,0.090,255,255
23,9,0.037,1.023,26.072,0,1.049,26.098,0,0.037,0.037,255,255
24,10,2.094,2.203,14.400,0,2.334,16.157,0,1.762,1.968,255,255
25,10,1.362,4.643,12.590,0,5.430,13.534,0,1.229,1.215,255,255
26,10,1.264,6.033,12.564,0,5.430,13.534,0,1.143,1.221,255,255
27,10,1.197,6.374,12.957,0,5.430,13.534,0,1.107,1.171,255,255
28,10,1.190,1.128,16.236,0,2.177,16.210,0,1.050,1.119,255,255
29,10,1.149,5.639,14.793,0,6.636,15.161,0,1.062,1.042,255,255
30,10,1.123,3.279,16.236,0,4.223,15.843,0,1.023,1.047,255,255
31,10,1.009,6.741,14.426,0,5.928,13.954,0,0.940,0.943,255,255
32,10,0.987,6.741,13.744,0,5.928,13.954,0,0.840,0.939,255,255
33,10,0.987,2.439,17.180,0,2.072,16.367,0,0.892,0.946,255,255
34,10,0.987,5.220,15.607,0,5.639,14.793,0,0.915,0.859,255,255
35,10,0.961,4.957,11.803,0,4.643,12.590,0,0.848,0.898,255,255
36,10,0.862,2.544,16.236,0,2.990,16.892,0,0.793,0.799,255,255
37,10,0.821,2.544,16.236,0,3.279,16.236,0,0.734,0.687,255,255
38,10,0.798,5.639,14.793,0,5.666,14.007,0,0.787,0.734,255,255
39,10,0.757,5.770,16.105,0,5.220,15.607,0,0.743,0.743,255,255
40,10,0.690,4.039,12.380,0,4.643,12.590,0,0.639,0.582,255,255
41,10,0.636,4.407,16.472,0,4.433,15.869,0,0.604,0.564,255,255
42,10,0.603,3.672,16.630,0,3.279,16.236,0,0.556,0.553,255,255
43,10,0.601,3.515,12.459,0,4.039,12.380,0,0.530,0.566,255,255
44,10,0.598,3.620,12.774,0,4.039,12.380,0,0.575,0.571,255,255
45,10,0.579,5.430,13.534,0,5.666,14.007,0,0.528,0.429,255,255
46,10,0.539,4.774,16.761,0,4.407,16.472,0,0.467,0.511,255,255
47,10,0.472,4.433,15.869,0,4.905,15.869,0,0.472,0.393,255,255
48,10,0.454,4.905,15.869,0,5.220,15.607,0,0.410,0.354,255,255
49,10,0.432,3.121,17.233,0,2.990,16.892,0,0.365,0.387,255,255
50,10,0.417,4.905,15.869,0,5.036,16.210,0,0.365,0.329,255,255
51,10,0.343,6.925,15.030,0,6.636,15.161,0,0.317,0.277,255,255
52,10,0.338,2.728,17.075,0,2.990,16.892,0,0.320,0.309,255,255
53,10,0.338,6.767,15.423,0,6.636,15.161,0,0.293,0.314,255,255
54,10,0.284,5.666,14.007,0,5.928,13.954,0,0.267,0.227,255,255
55,10,0.275,5.220,16.393,0,5.036,16.210,0,0.260,0.271,255,255
56,10,0.264,4.092,15.633,0,4.223,15.843,0,0.247,0.235,255,255
57,10,0.253,4.931,16.420,0,5.036,16.210,0,0.235,0.224,255,255
58,10,0.242,2.334,16.157,0,2.544,16.236,0,0.224,0.161,255,255
59,10,0.221,4.223,15.843,0,4.433,15.869,0,0.211,0.157,255,255
60,10,0.216,4.223,16.393,0,4.407,16.472,0,0.200,0.221,255,255
61,10,0.216,2.177,16.210,0,2.334,16.157,0,0.166,0.150,255,255
62,10,0.201,2.072,16.367,0,2.177,16.210,0,0.189,0.138,255,255
63,10,0.026,2.046,16.367,0,2.072,16.367,0,0.026,0.026,255,255
64,11,0.037,1.311,26.728,0,1.338,26.702,0,0.037,0.037,255,255
65,12,0.522,1.521,15.344,0,1.548,14.898,0,0.447,0.471,255,255
66,13,1.455,2.046,18.990,0,3.305,19.462,0,1.345,1.315,255,255
67,13,0.640,3.305,19.462,0,3.751,19.803,0,0.561,0.537,255,255
68,13,0.622,1.784,18.492,0,2.046,18.990,0,0.563,0.532,255,255
69,13,0.522,3.672,20.249,0,3.751,19.803,0,0.453,0.471,255,255
70,13,0.432,1.705,19.016,0,2.046,18.990,0,0.342,0.406,255,255
71,13,0.428,1.574,18.833,0,1.784,18.492,0,0.400,0.403,255,255
72,13,0.148,3.410,19.357,0,3.305,19.462,0,0.148,0.148,255,255
73,13,0.116,1.757,18.387,0,1.784,18.492,0,0.108,0.110,255,255
74,13,0.105,3.856,19.803,0,3.751,19.803,0,0.105,0.105,255,255
75,15,0.164,1.731,12.879,0,1.862,12.957,0,0.153,0.161,255,255
76,16,0.306,2.439,3.803,0,2.203,3.934,0,0.270,0.276,255,255
77,16,0.227,2.020,3.830,0,2.203,3.934,0,0.211,0.204,255,255
78,16,0.179,2.151,4.092,0,2.203,3.934,0,0.166,0.132,255,255
79,17,0.216,2.020,20.800,0,2.203,20.879,0,0.200,0.206,255,255
80,18,0.730,2.151,24.787,0,2.203,24.079,0,0.710,0.713,255,255
81,18,0.496,2.597,23.869,0,2.203,24.079,0,0.446,0.471,255,255
82,18,0.393,2.151,23.213,0,2.151,23.607,0,0.393,0.393,255,255
83,18,0.338,2.361,23.633,0,2.098,23.816,0,0.320,0.317,255,255
84,18,0.306,2.098,23.816,0,2.203,24.079,0,0.283,0.212,255,255
85,18,0.253,2.098,23.816,0,2.151,23.607,0,0.216,0.192,255,255
86,18,0.063,2.203,23.633,0,2.151,23.607,0,0.059,0.063,255,255
87,19,0.142,2.230,11.751,0,2.361,11.777,0,0.134,0.132,255,255
88,20,0.332,2.308,13.010,0,2.492,13.220,0,0.279,0.304,255,255
89,21,0.627,2.466,21.875,0,2.885,21.561,0,0.525,0.530,255,255
90,21,0.380,2.780,22.033,0,2.466,21.875,0,0.352,0.351,255,255
91,21,0.338,2.649,22.164,0,2.413,21.954,0,0.316,0.317,255,255
92,21,0.317,3.043,21.325,0,2.885,21.561,0,0.284,0.318,255,255
93,21,0.216,2.387,22.138,0,2.413,21.954,0,0.185,0.191,255,255
94,21,0.138,2.964,21.666,0,2.885,21.561,0,0.131,0.124,255,255
95,21,0.100,2.413,21.954,0,2.466,21.875,0,0.095,0.037,255,255
96,22,0.026,2.413,11.121,0,2.413,11.148,0,0.026,0.026,255,255
97,23,0.052,2.466,23.397,0,2.466,23.449,0,0.052,0.052,255,255
98,24,0.063,2.492,12.249,0,2.544,12.223,0,0.059,0.066,255,255
99,25,0.116,2.544,24.289,0,2.649,24.315,0,0.108,0.106,255,255
100,26,0.037,2.649,11.489,0,2.675,11.462,0,0.037,0.037,255,255
101,27,0.380,2.702,11.961,0,2.885,11.672,0,0.342,0.344,255,255
102,28,0.116,2.702,24.918,0,2.807,24.944,0,0.108,0.121,255,255
103,29,0.026,2.728,24.210,0,2.754,24.210,0,0.026,0.026,255,255
104,30,0.343,2.728,25.259,0,2.807,25.548,0,0.299,0.322,255,255
105,31,0.100,2.859,11.384,0,2.911,11.462,0,0.095,0.098,255,255
106,32,0.380,2.964,21.010,0,3.279,20.852,0,0.352,0.363,255,255
107,33,0.664,3.095,4.931,0,3.541,4.695,0,0.505,0.603,255,255
