 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.365,0.393,15.921,0,0.420,15.633,0,0.290,0.300,255,255
2,1,0.153,0.420,15.502,0,0.420,15.633,0,0.131,0.158,255,255
3,1,0.153,0.498,15.738,0,0.420,15.633,0,0.131,0.136,255,255
4,2,0.406,0.551,23.580,0,0.734,23.266,0,0.364,0.372,255,255
5,2,0.358,0.551,22.793,0,0.603,23.108,0,0.319,0.352,255,255
6,2,0.301,0.420,23.318,0,0.603,23.108,0,0.279,0.285,255,255
7,2,0.264,0.603,23.108,0,0.734,23.266,0,0.205,0.181,255,255
8,2,0.253,0.734,23.266,0,0.944,23.370,0,0.235,0.143,255,255
9,2,0.190,1.102,23.449,0,0.944,23.370,0,0.176,0.178,255,255
10,2,0.116,0.918,23.475,0,0.944,23.370,0,0.108,0.119,255,255
11,3,0.354,0.498,1.521,0,0.603,1.810,0,0.307,0.341,255,255
12,4,0.037,0.525,25.941,0,0.551,25.967,0,0.037,0.037,255,255
13,5,0.052,0.551,16.079,0,0.603,16.079,0,0.052,0.052,255,255
14,6,0.939,2.544,23.948,0,2.098,24.656,0,0.837,0.892,255,255
15,6,0.712,2.702,24.603,0,2.098,24.656,0,0.606,0.657,255,255
16,6,0.478,1.652,24.577,0,2.098,24.656,0,0.453,0.383,255,255
17,6,0.354,1.495,24.079,0,1.600,24.367,0,0.307,0.313,255,255
18,6,0.273,1.390,24.603,0,1.652,24.577,0,0.264,0.279,255,255
19,6,0.253,1.600,24.367,0,1.652,24.577,0,0.216,0.203,255,255
20,6,0.148,1.705,24.262,0,1.600,24.367,0,0.148,0.111,255,255
21,7,1.498,1.495,0.446,0,2.282,1.338,0,1.189,1.417,255,255
22,7,1.256,2.282,1.338,0,3.121,2.046,0,1.098,1.101,255,255
23,7,1.072,1.469,0.787,0,2.282,1.338,0,0.982,1.027,255,255
24,7,0.887,4.118,3.751,0,3.751,3.121,0,0.729,0.848,255,255
25,7,0.858,3.121,2.046,0,3.357,2.807,0,0.796,0.751,255,255
26,7,0.773,3.121,2.046,0,3.672,1.548,0,0.743,0.683,255,255
27,7,0.762,2.833,3.252,0,3.357,2.807,0,0.688,0.717,255,255
28,7,0.601,3.357,2.807,0,3.751,3.121,0,0.504,0.500,255,255
29,7,0.546,3.751,3.646,0,3.751,3.121,0,0.525,0.538,255,255
30,7,0.380,3.725,1.128,0,3.672,1.443,0,0.319,0.316,255,255
31,7,0.232,3.882,1.548,0,3.672,1.548,0,0.210,0.227,255,255
32,7,0.190,3.593,1.285,0,3.672,1.443,0,0.176,0.169,255,255
33,7,0.105,3.672,1.443,0,3.672,1.548,0,0.105,0.079,255,255
34,8,0.280,1.626,12.144,0,1.862,12.249,0,0.258,0.258,255,255
35,9,0.201,1.836,24.000,0,1.993,23.895,0,0.189,0.192,255,255
36,10,0.063,1.967,11.987,0,2.020,12.013,0,0.059,0.066,255,255
37,11,0.026,1.967,19.515,0,1.993,19.515,0,0.026,0.026,255,255
38,12,0.190,2.072,3.882,0,2.203,3.987,0,0.168,0.170,255,255
39,13,0.116,2.072,6.269,0,2.098,6.164,0,0.108,0.106,255,255
40,14,0.669,2.413,8.315,0,2.466,7.764,0,0.553,0.632,255,255
41,14,0.502,2.125,7.449,0,2.466,7.764,0,0.464,0.463,255,255
42,14,0.384,2.466,7.764,0,2.754,7.607,0,0.329,0.248,255,255
43,14,0.221,2.780,7.397,0,2.754,7.607,0,0.211,0.216,255,255
