Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.063,0.289,8.656,0,0.315,8.708,0,0.059,0.066,255,255
4,0.111,0.734,19.830,0,0.813,19.908,0,0.111,0.111,255,255
5,1.033,1.652,23.607,0,2.020,22.741,0,0.940,0.920,255,255
5,0.766,3.043,22.400,0,2.413,22.636,0,0.672,0.724,255,255
5,0.734,2.413,22.636,0,3.016,22.846,0,0.639,0.666,255,255
5,0.684,2.334,22.007,0,2.413,22.636,0,0.634,0.653,255,255
5,0.616,1.495,24.157,0,1.652,23.607,0,0.573,0.561,255,255
5,0.476,1.311,23.318,0,1.652,23.607,0,0.447,0.443,255,255
5,0.437,2.020,22.741,0,2.413,22.636,0,0.407,0.365,255,255
5,0.391,3.200,22.531,0,3.016,22.846,0,0.364,0.364,255,255
5,0.380,1.180,24.315,0,1.495,24.157,0,0.352,0.373,255,255
5,0.258,3.252,22.846,0,3.016,22.846,0,0.236,0.253,255,255
5,0.201,1.862,22.636,0,2.020,22.741,0,0.189,0.177,255,255
5,0.138,1.495,24.157,0,1.574,24.262,0,0.131,0.106,255,255
5,0.063,1.548,24.315,0,1.574,24.262,0,0.059,0.063,255,255
5,0.063,1.626,24.289,0,1.574,24.262,0,0.059,0.063,255,255
6,0.063,1.311,0.708,0,1.338,0.656,0,0.059,0.066,255,255
7,0.052,1.311,21.062,0,1.311,21.115,0,0.052,0.052,255,255
8,0.607,1.679,10.177,0,2.046,10.570,0,0.538,0.554,255,255
9,0.026,2.177,18.597,0,2.177,18.623,0,0.026,0.026,255,255
10,1.253,2.885,15.869,0,3.803,16.603,0,1.176,1.128,255,255
10,1.144,3.961,17.889,0,3.934,16.944,0,0.945,1.072,255,255
10,1.114,4.197,14.557,0,4.197,15.607,0,1.049,1.037,255,255
10,1.100,4.800,16.708,0,4.118,15.921,0,1.041,1.084,255,255
10,0.906,4.721,17.128,0,3.934,16.944,0,0.808,0.857,255,255
10,0.869,3.567,15.030,0,4.197,15.607,0,0.854,0.841,255,255
10,0.836,3.174,17.311,0,3.803,16.813,0,0.803,0.729,255,255
10,0.828,3.803,16.603,0,4.118,15.921,0,0.751,0.730,255,255
10,0.629,2.334,16.892,0,2.728,17.311,0,0.575,0.588,255,255
10,0.446,2.728,17.311,0,3.174,17.311,0,0.446,0.393,255,255
10,0.428,2.439,17.574,0,2.728,17.311,0,0.390,0.407,255,255
10,0.365,3.043,17.600,0,3.174,17.311,0,0.317,0.341,255,255
10,0.347,4.118,15.921,0,4.197,15.607,0,0.324,0.244,255,255
10,0.242,2.675,15.895,0,2.885,15.869,0,0.211,0.215,255,255
10,0.232,3.803,16.603,0,3.803,16.813,0,0.210,0.168,255,255
10,0.201,3.803,16.813,0,3.934,16.944,0,0.185,0.144,255,255
10,0.111,2.964,15.790,0,2.885,15.869,0,0.111,0.111,255,255
11,0.052,2.702,20.564,0,2.702,20.616,0,0.052,0.052,255,255
12,0.164,3.016,1.416,0,3.148,1.495,0,0.153,0.158,255,255
13,0.227,3.200,26.308,0,3.305,26.492,0,0.211,0.213,255,255
14,0.522,3.279,13.718,0,3.462,13.272,0,0.482,0.490,255,255
15,0.063,3.279,14.636,0,3.305,14.689,0,0.059,0.056,255,255
16,0.627,3.830,2.649,0,3.541,3.095,0,0.531,0.564,255,255
16,0.201,3.384,3.200,0,3.541,3.095,0,0.189,0.181,255,255
16,0.201,3.593,3.279,0,3.541,3.095,0,0.191,0.193,255,255
16,0.159,3.672,3.174,0,3.541,3.095,0,0.153,0.146,255,255
18,0.880,4.170,7.344,0,4.485,8.079,0,0.799,0.789,255,255
18,0.828,4.669,9.207,0,4.957,8.498,0,0.765,0.770,255,255
