Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.026,0.026,1.915,0,0.052,1.915,0,0.026,0.026,255,255
2,0.164,0.079,23.344,0,0.210,23.266,0,0.153,0.154,255,255
3,0.074,0.105,12.984,0,0.157,13.036,0,0.074,0.074,255,255
4,0.037,0.105,22.767,0,0.131,22.793,0,0.037,0.037,255,255
5,0.784,0.131,2.439,0,0.315,3.148,0,0.732,0.737,255,255
6,0.037,0.131,19.961,0,0.157,19.987,0,0.037,0.037,255,255
7,0.100,0.157,16.184,0,0.236,16.184,0,0.079,0.082,255,255
8,0.026,0.157,25.416,0,0.184,25.416,0,0.026,0.026,255,255
9,0.127,0.210,8.289,0,0.289,8.210,0,0.111,0.126,255,255
10,0.817,0.866,3.987,0,0.315,3.672,0,0.634,0.768,255,255
10,0.236,0.393,3.830,0,0.315,3.672,0,0.176,0.219,255,255
10,0.205,0.315,3.489,0,0.315,3.672,0,0.184,0.195,255,255
10,0.100,0.236,3.725,0,0.315,3.672,0,0.095,0.087,255,255
11,0.026,0.262,7.030,0,0.289,7.030,0,0.026,0.026,255,255
12,0.063,0.367,17.600,0,0.420,17.626,0,0.059,0.056,255,255
13,0.063,0.393,10.597,0,0.420,10.544,0,0.059,0.066,255,255
14,0.301,0.420,0.761,0,0.525,0.997,0,0.258,0.304,255,255
15,0.090,0.420,10.466,0,0.446,10.387,0,0.083,0.094,255,255
16,0.327,0.420,13.220,0,0.682,13.325,0,0.283,0.308,255,255
17,0.026,0.420,17.023,0,0.420,17.049,0,0.026,0.026,255,255
18,0.074,0.420,22.636,0,0.472,22.584,0,0.074,0.074,255,255
19,0.026,0.446,1.967,0,0.446,1.993,0,0.026,0.026,255,255
21,0.111,0.498,4.905,0,0.577,4.984,0,0.111,0.111,255,255
22,0.238,0.498,11.803,0,0.630,11.620,0,0.226,0.228,255,255
23,0.590,0.577,21.849,0,0.525,22.374,0,0.527,0.574,255,255
23,0.090,0.577,22.426,0,0.525,22.374,0,0.074,0.082,255,255
23,0.026,0.498,22.374,0,0.525,22.374,0,0.026,0.026,255,255
24,0.317,0.525,9.757,0,0.630,9.993,0,0.258,0.297,255,255
25,0.052,0.577,11.961,0,0.577,12.013,0,0.052,0.052,255,255
26,0.439,0.944,6.164,0,0.630,5.902,0,0.410,0.397,255,255
26,0.253,0.734,5.692,0,0.630,5.902,0,0.235,0.232,255,255
26,0.026,0.603,5.902,0,0.630,5.902,0,0.026,0.026,255,255
27,0.063,0.603,16.393,0,0.656,16.420,0,0.059,0.066,255,255
28,0.063,0.603,18.649,0,0.630,18.702,0,0.059,0.056,255,255
29,0.026,0.630,8.525,0,0.656,8.525,0,0.026,0.026,255,255
30,0.179,0.630,10.177,0,0.787,10.125,0,0.166,0.164,255,255
31,0.052,0.630,19.121,0,0.630,19.174,0,0.052,0.052,255,255
32,0.596,0.656,6.846,0,1.154,6.610,0,0.551,0.573,255,255
33,0.037,0.656,22.610,0,0.682,22.636,0,0.037,0.037,255,255
34,0.258,0.682,10.754,0,0.918,10.754,0,0.236,0.237,255,255
36,0.037,0.734,12.407,0,0.761,12.380,0,0.037,0.037,255,255
38,0.485,0.761,9.443,0,0.918,9.023,0,0.448,0.456,255,255
38,0.185,0.787,8.892,0,0.918,9.023,0,0.185,0.148,255,255
38,0.100,0.970,8.944,0,0.918,9.023,0,0.095,0.056,255,255
39,0.343,0.761,20.485,0,1.049,20.407,0,0.299,0.310,255,255
40,0.052,0.761,23.239,0,0.813,23.239,0,0.052,0.052,255,255
41,0.063,0.787,1.626,0,0.813,1.679,0,0.059,0.066,255,255
42,0.037,0.787,11.279,0,0.813,11.305,0,0.037,0.037,255,255
44,0.026,0.813,0.525,0,0.813,0.551,0,0.026,0.026,255,255
45,0.284,0.866,22.741,0,0.918,22.479,0,0.267,0.288,255,255
46,0.127,0.892,20.852,0,0.997,20.905,0,0.117,0.135,255,255
47,0.063,0.918,8.656,0,0.970,8.682,0,0.059,0.066,255,255
48,0.138,0.918,18.728,0,0.997,18.833,0,0.131,0.138,255,255
49,0.422,0.944,7.344,0,1.285,7.502,0,0.376,0.393,255,255
50,0.238,0.970,11.515,0,1.128,11.672,0,0.223,0.212,255,255
51,0.179,0.970,15.790,0,1.128,15.790,0,0.157,0.163,255,255
52,0.037,0.970,21.744,0,0.997,21.718,0,0.037,0.037,255,255
53,0.090,0.970,24.105,0,1.049,24.131,0,0.083,0.080,255,255
54,0.327,1.049,9.626,0,1.207,9.889,0,0.306,0.295,255,255
55,0.074,1.154,2.780,0,1.102,2.833,0,0.074,0.074,255,255
55,0.037,1.075,2.859,0,1.102,2.833,0,0.037,0.037,255,255
55,0.026,1.102,2.833,0,1.102,2.833,0,0.000,0.000,0,0
56,0.127,1.075,20.170,0,1.154,20.092,0,0.111,0.124,255,255
56,0.074,1.207,20.039,0,1.154,20.092,0,0.074,0.074,255,255
58,0.026,1.102,11.016,0,1.128,11.016,0,0.026,0.026,255,255
59,0.037,1.102,23.318,0,1.128,23.344,0,0.037,0.037,255,255
60,0.280,1.102,25.626,0,1.311,25.757,0,0.247,0.253,255,255
61,0.037,1.128,1.967,0,1.154,1.993,0,0.037,0.037,255,255
