 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.127,0.105,3.672,0,0.105,3.777,0,0.105,0.119,255,255
2,2,0.127,0.105,12.039,0,0.157,12.144,0,0.117,0.127,255,255
3,3,0.568,0.551,15.580,0,0.498,15.056,0,0.527,0.543,255,255
4,3,0.374,0.157,15.134,0,0.498,15.056,0,0.350,0.366,255,255
5,3,0.321,0.498,15.056,0,0.787,14.977,0,0.299,0.222,255,255
6,3,0.280,0.892,14.741,0,0.787,14.977,0,0.258,0.274,255,255
7,3,0.090,0.866,15.003,0,0.787,14.977,0,0.083,0.082,255,255
8,4,0.138,0.289,21.430,0,0.367,21.325,0,0.131,0.138,255,255
9,5,0.406,0.525,17.521,0,0.734,17.233,0,0.357,0.382,255,255
10,6,0.037,0.577,16.892,0,0.603,16.866,0,0.037,0.037,255,255
11,7,0.374,0.761,20.564,0,0.839,20.905,0,0.350,0.354,255,255
12,8,0.459,1.600,25.102,0,1.233,25.023,0,0.376,0.427,255,255
13,8,0.253,1.023,25.128,0,1.233,25.023,0,0.235,0.233,255,255
14,8,0.164,1.311,24.892,0,1.233,25.023,0,0.153,0.160,255,255
15,9,0.395,1.102,25.705,0,1.285,25.416,0,0.342,0.388,255,255
16,10,0.026,1.233,16.131,0,1.233,16.157,0,0.026,0.026,255,255
17,11,0.212,1.364,12.249,0,1.521,12.380,0,0.205,0.219,255,255
18,12,0.100,1.469,26.387,0,1.548,26.439,0,0.095,0.098,255,255
19,13,0.063,1.600,16.262,0,1.652,16.236,0,0.059,0.066,255,255
20,14,1.254,2.151,10.623,0,1.967,11.698,0,1.091,1.176,255,255
21,14,0.876,1.652,12.905,0,2.072,12.302,0,0.735,0.819,255,255
22,14,0.668,1.967,11.698,0,2.072,12.302,0,0.612,0.572,255,255
23,14,0.538,2.413,11.462,0,1.967,11.698,0,0.505,0.527,255,255
24,14,0.168,1.810,11.725,0,1.967,11.698,0,0.160,0.158,255,255
25,14,0.090,2.151,12.328,0,2.072,12.302,0,0.083,0.082,255,255
26,15,0.585,1.652,25.705,0,1.652,26.151,0,0.446,0.524,255,255
27,16,0.063,1.941,7.843,0,1.993,7.816,0,0.059,0.056,255,255
28,17,0.153,2.098,24.918,0,1.967,24.866,0,0.141,0.147,255,255
29,17,0.063,1.941,24.918,0,1.967,24.866,0,0.059,0.063,255,255
30,17,0.052,1.967,24.813,0,1.967,24.866,0,0.052,0.052,255,255
31,18,0.037,1.967,18.308,0,1.993,18.334,0,0.037,0.037,255,255
32,19,0.496,2.544,16.734,0,2.151,16.525,0,0.446,0.455,255,255
33,19,0.347,2.125,16.210,0,2.151,16.525,0,0.316,0.332,255,255
34,19,0.153,2.020,16.577,0,2.151,16.525,0,0.141,0.138,255,255
35,20,1.891,6.007,6.321,0,7.187,5.272,0,1.579,1.759,255,255
36,20,1.754,7.239,4.616,0,8.787,5.115,0,1.626,1.538,255,255
37,20,1.543,4.511,9.102,0,5.325,7.895,0,1.455,1.432,255,255
38,20,1.489,3.672,10.754,0,4.407,11.908,0,1.368,1.322,255,255
39,20,1.343,6.452,12.695,0,7.607,12.275,0,1.228,1.207,255,255
40,20,1.313,6.059,11.567,0,6.452,12.695,0,1.195,1.195,255,255
41,20,1.263,8.498,13.482,0,8.367,12.354,0,1.135,1.215,255,255
42,20,1.245,10.518,14.374,0,10.230,13.403,0,1.012,1.173,255,255
43,20,1.238,9.600,5.770,0,8.997,5.062,0,0.930,1.163,255,255
44,20,1.192,5.010,7.292,0,5.508,6.321,0,1.091,1.079,255,255
45,20,1.141,7.764,3.646,0,6.898,4.275,0,1.070,1.101,255,255
46,20,1.127,5.770,9.731,0,6.085,8.734,0,1.045,0.997,255,255
47,20,1.124,8.105,5.508,0,7.187,5.272,0,0.948,1.088,255,255
48,20,1.124,8.761,11.489,0,8.210,12.302,0,0.982,1.066,255,255
49,20,1.106,6.138,7.082,0,5.430,7.895,0,1.078,1.074,255,255
50,20,1.085,6.007,6.321,0,6.767,7.030,0,1.039,1.012,255,255
51,20,1.075,8.866,13.403,0,9.784,13.272,0,0.927,1.008,255,255
52,20,1.043,7.974,3.777,0,7.239,4.485,0,1.020,1.010,255,255
53,20,1.026,5.561,14.007,0,6.138,13.220,0,0.976,0.989,255,255
