 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,2.552,0.236,8.944,0,1.548,7.502,0,1.950,2.414,255,255
2,2,0.164,0.498,20.564,0,0.393,20.459,0,0.148,0.146,255,255
3,2,0.138,0.289,20.538,0,0.393,20.459,0,0.131,0.144,255,255
4,2,0.063,0.420,20.407,0,0.393,20.459,0,0.059,0.063,255,255
5,3,0.201,0.420,21.508,0,0.525,21.351,0,0.189,0.188,255,255
6,4,0.063,0.498,20.118,0,0.551,20.092,0,0.059,0.056,255,255
7,5,1.959,1.207,12.957,0,0.446,14.111,0,1.382,1.819,255,255
8,5,0.896,0.577,14.872,0,0.446,14.111,0,0.772,0.822,255,255
9,5,0.640,0.918,14.479,0,0.446,14.111,0,0.598,0.616,255,255
10,6,0.295,0.761,9.574,0,1.023,9.600,0,0.264,0.273,255,255
11,7,0.026,0.813,18.125,0,0.839,18.125,0,0.026,0.026,255,255
12,8,0.037,0.892,22.505,0,0.918,22.531,0,0.037,0.037,255,255
13,9,0.469,1.259,6.426,0,1.128,6.820,0,0.415,0.443,255,255
14,9,0.227,0.944,6.925,0,1.128,6.820,0,0.211,0.212,255,255
15,9,0.127,1.207,6.898,0,1.128,6.820,0,0.111,0.113,255,255
16,10,1.033,1.075,20.380,0,1.810,20.879,0,0.888,0.979,255,255
17,11,0.516,1.311,15.082,0,1.364,15.554,0,0.475,0.486,255,255
18,12,0.422,1.364,10.518,0,1.495,10.885,0,0.390,0.393,255,255
19,13,0.806,1.548,13.875,0,1.731,14.584,0,0.732,0.799,255,255
20,13,0.321,1.443,14.505,0,1.731,14.584,0,0.299,0.303,255,255
21,13,0.212,1.889,14.715,0,1.731,14.584,0,0.205,0.209,255,255
22,14,1.011,1.784,22.872,0,2.675,23.161,0,0.937,0.946,255,255
23,14,0.797,1.443,24.105,0,2.046,23.711,0,0.720,0.736,255,255
24,14,0.594,2.570,23.711,0,2.675,23.161,0,0.561,0.507,255,255
25,14,0.525,2.046,23.711,0,2.570,23.711,0,0.525,0.446,255,255
26,14,0.358,2.990,23.213,0,2.675,23.161,0,0.319,0.325,255,255
27,14,0.310,2.570,24.000,0,2.570,23.711,0,0.289,0.300,255,255
28,14,0.164,2.125,23.580,0,2.046,23.711,0,0.153,0.164,255,255
29,15,0.845,2.334,16.420,0,2.859,15.869,0,0.761,0.667,255,255
30,15,0.764,3.489,16.157,0,2.859,15.869,0,0.692,0.722,255,255
31,15,0.749,1.600,16.682,0,2.230,16.446,0,0.672,0.706,255,255
32,15,0.723,2.649,16.997,0,2.334,16.420,0,0.657,0.664,255,255
33,15,0.609,1.836,16.892,0,2.230,16.446,0,0.595,0.560,255,255
34,15,0.603,2.544,15.397,0,2.859,15.869,0,0.567,0.573,255,255
35,15,0.553,2.780,15.370,0,2.859,15.869,0,0.505,0.537,255,255
36,15,0.116,2.230,16.446,0,2.334,16.420,0,0.108,0.083,255,255
37,16,0.869,1.626,25.154,0,2.361,24.970,0,0.757,0.763,255,255
38,16,0.760,3.331,25.416,0,2.833,25.023,0,0.635,0.723,255,255
39,16,0.642,1.731,24.577,0,1.626,25.154,0,0.587,0.599,255,255
40,16,0.592,3.489,24.997,0,3.016,24.708,0,0.553,0.528,255,255
41,16,0.526,1.626,25.154,0,1.705,25.626,0,0.479,0.445,255,255
42,16,0.516,2.361,24.970,0,2.833,25.023,0,0.475,0.425,255,255
43,16,0.411,1.600,25.993,0,1.705,25.626,0,0.382,0.394,255,255
44,16,0.406,2.833,25.023,0,3.016,24.708,0,0.364,0.277,255,255
45,16,0.395,2.046,25.548,0,1.705,25.626,0,0.350,0.399,255,255
46,16,0.365,2.072,24.787,0,2.361,24.970,0,0.342,0.331,255,255
47,16,0.269,3.095,24.472,0,3.016,24.708,0,0.249,0.256,255,255
48,17,0.312,2.177,18.282,0,1.967,18.492,0,0.297,0.291,255,255
49,17,0.286,1.757,18.308,0,1.967,18.492,0,0.279,0.265,255,255
50,17,0.179,1.967,18.492,0,2.020,18.649,0,0.166,0.106,255,255
51,17,0.100,2.098,18.702,0,2.020,18.649,0,0.095,0.093,255,255
52,17,0.090,1.993,18.728,0,2.020,18.649,0,0.083,0.090,255,255
53,18,0.317,2.256,6.269,0,2.020,6.111,0,0.284,0.300,255,255
54,18,0.116,1.915,6.138,0,2.020,6.111,0,0.108,0.110,255,255
55,18,0.063,2.046,6.059,0,2.020,6.111,0,0.059,0.063,255,255
56,19,0.548,1.915,13.220,0,2.308,12.957,0,0.473,0.527,255,255
57,19,0.384,2.256,12.616,0,2.308,12.957,0,0.345,0.369,255,255
58,19,0.253,2.492,13.089,0,2.308,12.957,0,0.226,0.231,255,255
59,20,0.936,2.570,9.338,0,3.148,10.020,0,0.893,0.836,255,255
60,20,0.743,2.466,9.993,0,3.121,10.151,0,0.674,0.692,255,255
61,20,0.369,3.279,10.439,0,3.121,10.151,0,0.329,0.337,255,255
62,20,0.363,2.230,9.285,0,2.570,9.338,0,0.345,0.352,255,255
63,20,0.142,3.200,9.915,0,3.148,10.020,0,0.117,0.132,255,255
64,20,0.142,3.121,10.151,0,3.148,10.020,0,0.134,0.079,255,255
65,20,0.074,2.623,9.285,0,2.570,9.338,0,0.074,0.074,255,255
66,21,0.565,2.439,19.961,0,2.807,20.328,0,0.519,0.529,255,255
67,21,0.443,2.623,20.695,0,2.807,20.328,0,0.411,0.382,255,255
