Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.090,0.367,4.459,0,0.393,4.538,0,0.083,0.080,255,255
2,0.922,1.128,14.793,0,0.787,14.059,0,0.810,0.871,255,255
2,0.480,0.393,14.269,0,0.787,14.059,0,0.446,0.474,255,255
2,0.100,0.787,13.980,0,0.787,14.059,0,0.079,0.093,255,255
3,0.332,0.630,0.603,0,0.734,0.315,0,0.307,0.272,255,255
3,0.306,0.472,0.210,0,0.734,0.315,0,0.283,0.273,255,255
3,0.138,0.708,0.708,0,0.630,0.603,0,0.131,0.106,255,255
3,0.105,0.839,0.315,0,0.734,0.315,0,0.105,0.105,255,255
3,0.090,0.551,0.630,0,0.630,0.603,0,0.083,0.094,255,255
4,1.256,0.472,3.357,0,1.652,3.174,0,1.195,1.208,255,255
5,1.144,2.020,5.193,0,1.207,4.616,0,0.997,1.077,255,255
5,0.849,0.656,4.275,0,1.207,4.616,0,0.648,0.793,255,255
5,0.443,0.997,4.905,0,1.207,4.616,0,0.357,0.398,255,255
6,0.116,0.761,9.757,0,0.787,9.652,0,0.108,0.106,255,255
7,0.496,1.469,20.459,0,1.049,20.328,0,0.440,0.476,255,255
7,0.321,0.787,20.433,0,1.049,20.328,0,0.283,0.298,255,255
7,0.306,1.154,20.066,0,1.049,20.328,0,0.283,0.300,255,255
8,0.138,0.839,23.397,0,0.918,23.502,0,0.131,0.120,255,255
9,0.363,0.970,5.456,0,0.970,5.797,0,0.341,0.359,255,255
9,0.142,0.944,5.928,0,0.970,5.797,0,0.134,0.136,255,255
9,0.100,1.049,5.797,0,0.970,5.797,0,0.079,0.104,255,255
10,0.216,0.944,8.289,0,1.102,8.184,0,0.189,0.196,255,255
11,1.654,1.023,19.200,0,2.492,18.859,0,1.508,1.576,255,255
11,0.363,2.833,18.911,0,2.492,18.859,0,0.345,0.350,255,255
11,0.306,2.570,18.361,0,2.439,18.597,0,0.270,0.276,255,255
11,0.306,2.439,18.597,0,2.492,18.859,0,0.267,0.226,255,255
11,0.286,2.230,18.413,0,2.439,18.597,0,0.279,0.265,255,255
12,1.013,1.128,25.285,0,1.784,24.682,0,0.891,0.966,255,255
13,0.469,1.757,1.364,0,1.626,1.757,0,0.415,0.433,255,255
13,0.426,1.233,1.836,0,1.626,1.757,0,0.401,0.403,255,255
13,0.321,1.731,2.020,0,1.626,1.757,0,0.283,0.297,255,255
14,0.216,1.233,11.069,0,1.338,11.174,0,0.148,0.187,255,255
