Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.037,0.289,0.918,0,0.315,0.892,0,0.037,0.037,255,255
2,0.258,0.525,17.311,0,0.446,17.521,0,0.224,0.243,255,255
2,0.201,0.341,17.731,0,0.472,17.600,0,0.185,0.191,255,255
2,0.168,0.289,17.548,0,0.446,17.521,0,0.160,0.174,255,255
2,0.164,0.551,17.731,0,0.472,17.600,0,0.153,0.150,255,255
2,0.090,0.446,17.521,0,0.472,17.600,0,0.083,0.026,255,255
3,0.026,0.420,3.882,0,0.446,3.882,0,0.026,0.026,255,255
4,0.391,0.577,9.679,0,0.866,9.889,0,0.357,0.371,255,255
5,0.105,0.682,20.197,0,0.682,20.302,0,0.105,0.105,255,255
6,0.026,0.761,22.243,0,0.787,22.243,0,0.026,0.026,255,255
7,1.256,0.918,3.279,0,1.390,2.256,0,1.127,1.203,255,255
8,0.063,0.970,1.364,0,0.997,1.311,0,0.059,0.066,255,255
9,0.963,1.102,4.354,0,1.941,4.459,0,0.846,0.885,255,255
9,0.574,2.439,4.643,0,1.941,4.459,0,0.531,0.536,255,255
9,0.448,2.072,4.066,0,1.941,4.459,0,0.415,0.416,255,255
9,0.074,1.075,4.380,0,1.102,4.354,0,0.037,0.000,0,0
9,0.063,1.049,4.328,0,1.102,4.354,0,0.059,0.056,255,255
10,0.037,1.049,9.548,0,1.075,9.574,0,0.037,0.037,255,255
11,0.564,1.102,24.105,0,1.154,23.711,0,0.397,0.524,255,255
12,0.564,1.128,12.302,0,1.600,12.275,0,0.473,0.524,255,255
12,0.389,1.967,12.275,0,1.600,12.275,0,0.367,0.380,255,255
12,0.142,1.626,12.144,0,1.600,12.275,0,0.134,0.132,255,255
13,0.411,1.128,14.111,0,1.495,14.216,0,0.382,0.409,255,255
14,1.805,2.570,20.039,0,2.833,21.692,0,1.673,1.712,255,255
14,1.382,1.390,22.479,0,2.518,21.902,0,1.267,1.211,255,255
14,1.016,3.069,21.928,0,3.987,22.164,0,0.948,0.890,255,255
14,0.677,3.384,22.452,0,3.069,21.928,0,0.612,0.653,255,255
14,0.557,1.469,23.003,0,1.390,22.479,0,0.530,0.568,255,255
14,0.402,2.518,21.902,0,2.833,21.692,0,0.378,0.295,255,255
