 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.074,0.341,14.531,0,0.393,14.584,0,0.074,0.074,255,255
2,2,0.052,0.420,17.626,0,0.472,17.626,0,0.052,0.052,255,255
3,4,0.574,0.603,17.679,0,0.813,18.151,0,0.517,0.546,255,255
4,5,2.232,4.984,7.554,0,4.170,5.849,0,1.889,2.097,255,255
5,5,1.688,0.970,6.584,0,2.334,5.875,0,1.537,1.586,255,255
6,5,1.670,2.308,4.879,0,3.593,5.666,0,1.507,1.596,255,255
7,5,1.120,2.492,6.846,0,3.095,6.007,0,1.034,1.059,255,255
8,5,0.976,3.777,6.662,0,4.170,5.849,0,0.903,0.871,255,255
9,5,0.969,3.515,4.774,0,4.144,5.482,0,0.948,0.940,255,255
10,5,0.815,2.334,5.875,0,3.095,6.007,0,0.772,0.722,255,255
11,5,0.677,3.095,6.007,0,3.593,5.666,0,0.604,0.590,255,255
12,5,0.650,4.511,4.984,0,4.144,5.482,0,0.619,0.584,255,255
13,5,0.520,3.593,5.666,0,4.092,5.666,0,0.498,0.446,255,255
14,5,0.389,2.387,5.508,0,2.334,5.875,0,0.371,0.381,255,255
15,5,0.238,4.092,5.666,0,4.170,5.849,0,0.200,0.164,255,255
16,5,0.205,4.092,5.666,0,4.144,5.482,0,0.191,0.121,255,255
17,5,0.179,3.777,6.820,0,3.777,6.662,0,0.157,0.185,255,255
18,5,0.026,3.751,6.662,0,3.777,6.662,0,0.026,0.026,255,255
19,6,0.026,0.970,13.298,0,0.970,13.325,0,0.026,0.026,255,255
20,7,1.494,1.128,13.089,0,1.784,12.066,0,1.215,1.422,255,255
21,7,0.491,2.098,11.751,0,1.784,12.066,0,0.445,0.466,255,255
22,7,0.290,1.652,11.830,0,1.784,12.066,0,0.270,0.261,255,255
23,8,1.704,3.882,3.095,0,5.089,2.020,0,1.616,1.667,255,255
24,8,1.449,5.613,0.367,0,4.695,1.390,0,1.374,1.400,255,255
25,8,1.336,6.164,1.390,0,5.089,2.020,0,1.246,1.298,255,255
26,8,1.284,5.167,3.462,0,5.167,2.492,0,0.970,1.244,255,255
