Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.426,0.157,20.275,0,0.236,19.882,0,0.401,0.411,255,255
2,0.286,0.289,2.256,0,0.498,2.072,0,0.279,0.278,255,255
3,0.037,0.446,17.102,0,0.472,17.075,0,0.037,0.037,255,255
4,0.692,0.525,4.066,0,1.075,3.725,0,0.648,0.671,255,255
5,0.063,0.551,11.541,0,0.603,11.515,0,0.059,0.066,255,255
6,0.448,0.577,5.115,0,0.918,4.931,0,0.387,0.436,255,255
7,0.063,0.603,8.761,0,0.656,8.734,0,0.059,0.066,255,255
8,0.138,0.603,10.964,0,0.682,11.069,0,0.131,0.138,255,255
9,0.153,0.656,11.489,0,0.787,11.489,0,0.131,0.147,255,255
10,0.332,1.075,19.646,0,0.970,19.934,0,0.307,0.324,255,255
10,0.194,0.944,20.118,0,0.970,19.934,0,0.185,0.184,255,255
10,0.116,1.075,19.961,0,0.970,19.934,0,0.108,0.108,255,255
11,0.063,0.970,21.456,0,1.023,21.482,0,0.059,0.056,255,255
12,0.528,1.075,17.233,0,1.469,16.944,0,0.488,0.505,255,255
12,0.463,1.521,16.525,0,1.469,16.944,0,0.423,0.438,255,255
12,0.432,1.626,17.259,0,1.469,16.944,0,0.352,0.413,255,255
13,0.063,1.128,3.095,0,1.154,3.043,0,0.059,0.066,255,255
14,0.605,1.207,6.715,0,1.757,6.584,0,0.566,0.576,255,255
14,0.295,2.020,6.898,0,1.941,6.636,0,0.274,0.276,255,255
14,0.205,1.757,6.584,0,1.941,6.636,0,0.191,0.110,255,255
14,0.179,2.098,6.584,0,1.941,6.636,0,0.166,0.165,255,255
14,0.127,1.757,6.479,0,1.757,6.584,0,0.105,0.131,255,255
15,0.867,2.125,7.580,0,1.521,8.105,0,0.799,0.853,255,255
15,0.175,1.469,8.236,0,1.521,8.105,0,0.141,0.176,255,255
15,0.127,1.443,8.026,0,1.521,8.105,0,0.111,0.108,255,255
16,0.037,1.469,8.341,0,1.495,8.315,0,0.037,0.037,255,255
17,0.686,1.652,8.393,0,1.810,8.761,0,0.400,0.644,255,255
