Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.253,0.105,12.039,0,0.210,12.249,0,0.235,0.233,255,255
3,0.343,0.289,20.092,0,0.341,19.830,0,0.267,0.295,255,255
4,1.118,0.315,7.108,0,0.787,6.216,0,1.009,1.048,255,255
5,0.074,0.367,24.997,0,0.420,25.049,0,0.074,0.074,255,255
6,0.037,0.393,0.944,0,0.420,0.970,0,0.037,0.037,255,255
7,0.636,0.630,8.236,0,0.708,8.734,0,0.505,0.605,255,255
8,0.459,0.682,0.341,0,1.075,0.236,0,0.407,0.442,255,255
9,0.684,0.787,13.430,0,1.049,13.875,0,0.517,0.658,255,255
9,0.649,1.049,13.875,0,1.285,14.426,0,0.599,0.543,255,255
9,0.565,1.495,13.587,0,1.049,13.875,0,0.531,0.531,255,255
9,0.264,1.154,14.636,0,1.285,14.426,0,0.247,0.255,255,255
9,0.100,1.364,14.479,0,1.285,14.426,0,0.095,0.093,255,255
10,0.358,0.918,5.613,0,1.128,5.403,0,0.297,0.335,255,255
11,0.332,0.970,24.105,0,1.259,24.000,0,0.307,0.307,255,255
12,0.201,0.997,19.882,0,1.154,19.777,0,0.189,0.185,255,255
13,0.650,1.023,7.869,0,1.521,8.236,0,0.619,0.638,255,255
13,0.323,1.757,8.446,0,1.521,8.236,0,0.316,0.302,255,255
13,0.299,1.810,8.262,0,1.521,8.236,0,0.290,0.295,255,255
14,0.662,1.233,17.967,0,1.259,17.338,0,0.630,0.582,255,255
14,0.500,1.075,16.944,0,1.259,17.338,0,0.434,0.460,255,255
14,0.321,1.548,17.311,0,1.259,17.338,0,0.290,0.310,255,255
14,0.127,1.128,17.915,0,1.233,17.967,0,0.117,0.113,255,255
14,0.063,1.259,18.020,0,1.233,17.967,0,0.059,0.063,255,255
15,0.142,1.128,5.010,0,1.154,4.879,0,0.134,0.132,255,255
16,0.190,1.128,22.610,0,1.285,22.689,0,0.176,0.169,255,255
17,0.542,1.207,3.961,0,1.705,4.066,0,0.509,0.518,255,255
18,0.232,1.652,26.308,0,1.862,26.256,0,0.216,0.227,255,255
19,0.792,1.784,26.623,0,2.334,26.151,0,0.725,0.764,255,255
19,0.649,2.885,25.967,0,2.334,26.151,0,0.581,0.629,255,255
19,0.568,2.334,25.626,0,2.334,26.151,0,0.525,0.549,255,255
20,0.063,2.072,7.764,0,2.098,7.711,0,0.059,0.056,255,255
21,0.026,2.177,7.502,0,2.203,7.502,0,0.026,0.026,255,255
22,0.474,2.177,20.039,0,2.597,20.013,0,0.420,0.464,255,255
23,1.501,2.492,17.416,0,2.702,18.570,0,1.173,1.395,255,255
23,0.714,2.413,19.095,0,2.885,18.623,0,0.668,0.668,255,255
23,0.579,2.203,18.623,0,2.702,18.570,0,0.501,0.546,255,255
23,0.533,3.620,18.754,0,3.174,18.649,0,0.458,0.502,255,255
23,0.528,3.593,18.492,0,3.174,18.649,0,0.448,0.485,255,255
23,0.247,2.938,18.911,0,2.964,18.675,0,0.238,0.253,255,255
23,0.221,2.964,18.675,0,3.174,18.649,0,0.211,0.159,255,255
23,0.205,2.702,18.570,0,2.885,18.623,0,0.191,0.132,255,255
23,0.100,2.885,18.623,0,2.964,18.675,0,0.095,0.037,255,255
24,0.269,2.256,3.200,0,2.256,3.410,0,0.210,0.235,255,255
25,0.190,2.282,8.682,0,2.413,8.787,0,0.168,0.175,255,255
26,1.068,3.069,12.748,0,2.439,13.508,0,0.987,1.022,255,255
26,0.769,2.675,14.164,0,2.439,13.508,0,0.697,0.736,255,255
26,0.168,2.282,13.534,0,2.439,13.508,0,0.160,0.158,255,255
27,0.116,2.308,3.751,0,2.334,3.856,0,0.108,0.121,255,255
28,0.786,2.492,11.777,0,3.148,11.830,0,0.658,0.750,255,255
28,0.332,3.148,11.830,0,3.357,11.646,0,0.279,0.243,255,255
28,0.332,3.357,11.646,0,3.593,11.489,0,0.284,0.269,255,255
28,0.221,3.174,12.039,0,3.148,11.830,0,0.211,0.221,255,255
28,0.179,3.305,11.489,0,3.357,11.646,0,0.166,0.160,255,255
28,0.100,3.672,11.541,0,3.593,11.489,0,0.095,0.093,255,255
28,0.090,3.620,11.410,0,3.593,11.489,0,0.083,0.083,255,255
29,0.365,3.095,20.748,0,2.859,20.984,0,0.334,0.330,255,255
29,0.343,2.780,21.272,0,2.859,20.984,0,0.299,0.326,255,255
29,0.321,2.570,21.010,0,2.859,20.984,0,0.290,0.297,255,255
29,0.301,3.252,20.905,0,3.016,21.062,0,0.284,0.244,255,255
29,0.212,3.148,21.220,0,3.016,21.062,0,0.205,0.191,255,255
29,0.190,2.859,20.984,0,3.016,21.062,0,0.176,0.094,255,255
30,0.290,2.623,21.849,0,2.780,21.639,0,0.262,0.261,255,255
31,0.343,2.938,10.072,0,3.226,9.941,0,0.317,0.320,255,255
32,0.201,3.016,1.075,0,3.174,1.128,0,0.166,0.176,255,255
33,0.273,3.069,6.636,0,3.200,6.793,0,0.205,0.254,255,255
33,0.242,3.410,6.767,0,3.200,6.793,0,0.211,0.228,255,255
33,0.074,3.200,6.846,0,3.200,6.793,0,0.052,0.074,255,255
34,0.592,3.226,2.046,0,3.698,1.757,0,0.553,0.453,255,255
34,0.185,3.095,1.915,0,3.226,2.046,0,0.185,0.185,255,255
34,0.116,3.252,2.151,0,3.226,2.046,0,0.108,0.116,255,255
34,0.063,3.751,1.784,0,3.698,1.757,0,0.059,0.026,255,255
34,0.037,3.725,1.731,0,3.698,1.757,0,0.037,0.037,255,255
35,0.164,3.095,10.911,0,3.121,11.043,0,0.134,0.147,255,255
35,0.142,3.148,11.174,0,3.121,11.043,0,0.134,0.133,255,255
35,0.090,3.200,11.016,0,3.121,11.043,0,0.083,0.093,255,255
36,1.077,3.279,5.666,0,3.856,4.905,0,0.955,1.013,255,255
37,0.517,3.436,3.777,0,3.620,3.357,0,0.458,0.515,255,255
38,0.801,3.567,5.928,0,4.197,5.797,0,0.643,0.742,255,255
39,0.897,3.567,26.151,0,4.302,25.757,0,0.833,0.839,255,255
40,0.891,3.672,10.072,0,4.066,9.443,0,0.742,0.846,255,255
40,0.695,4.066,8.813,0,4.066,9.443,0,0.630,0.659,255,255
40,0.216,4.249,9.521,0,4.066,9.443,0,0.200,0.195,255,255
41,0.026,3.698,13.902,0,3.725,13.902,0,0.026,0.026,255,255
42,0.105,3.725,7.030,0,3.725,7.134,0,0.105,0.105,255,255
43,0.979,4.511,12.066,0,4.380,12.931,0,0.875,0.901,255,255
43,0.812,3.751,12.564,0,4.380,12.931,0,0.729,0.760,255,255
43,0.100,4.328,13.010,0,4.380,12.931,0,0.095,0.066,255,255
44,1.044,3.751,17.233,0,4.616,17.626,0,0.951,0.998,255,255
44,1.020,3.934,18.387,0,4.590,17.731,0,0.927,0.955,255,255
44,0.581,4.879,17.154,0,4.616,17.626,0,0.540,0.495,255,255
44,0.450,4.931,17.941,0,4.590,17.731,0,0.400,0.419,255,255
44,0.116,4.590,17.731,0,4.616,17.626,0,0.108,0.026,255,255
45,0.585,3.751,20.092,0,4.249,20.302,0,0.541,0.544,255,255
46,0.026,4.013,15.134,0,4.039,15.134,0,0.026,0.026,255,255
47,0.079,4.223,26.675,0,4.302,26.675,0,0.079,0.079,255,255
48,0.026,4.328,14.111,0,4.354,14.111,0,0.026,0.026,255,255
49,0.232,4.459,14.138,0,4.459,14.348,0,0.210,0.223,255,255
49,0.116,4.354,14.321,0,4.459,14.348,0,0.108,0.106,255,255
49,0.100,4.511,14.426,0,4.459,14.348,0,0.095,0.093,255,255
50,0.026,4.380,6.741,0,4.407,6.741,0,0.026,0.026,255,255
51,1.232,4.511,4.879,0,5.115,5.639,0,0.971,1.180,255,255
52,0.280,4.538,15.423,0,4.748,15.292,0,0.247,0.250,255,255
53,0.443,4.643,24.393,0,4.826,24.026,0,0.411,0.423,255,255
54,0.037,4.800,23.843,0,4.826,23.816,0,0.037,0.037,255,255
55,0.601,4.852,26.177,0,5.089,25.810,0,0.437,0.546,255,255
56,0.153,4.984,6.348,0,5.089,6.426,0,0.131,0.134,255,255
57,1.288,5.036,2.125,0,5.980,2.807,0,1.165,1.197,255,255
58,0.310,5.089,5.823,0,5.089,6.111,0,0.289,0.303,255,255
58,0.127,5.167,6.190,0,5.089,6.111,0,0.111,0.124,255,255
58,0.026,5.062,6.111,0,5.089,6.111,0,0.026,0.026,255,255
59,1.402,5.062,22.767,0,5.666,21.744,0,1.188,1.283,255,255
60,0.849,6.531,24.761,0,5.823,25.102,0,0.786,0.772,255,255
60,0.821,5.089,25.154,0,5.823,25.102,0,0.736,0.767,255,255
60,0.253,5.928,25.311,0,5.823,25.102,0,0.235,0.193,255,255
61,0.216,5.272,25.443,0,5.193,25.626,0,0.200,0.204,255,255
61,0.090,5.115,25.652,0,5.193,25.626,0,0.083,0.094,255,255
61,0.090,5.246,25.679,0,5.193,25.626,0,0.074,0.082,255,255
62,0.205,5.167,17.967,0,5.351,17.967,0,0.184,0.189,255,255
63,0.422,5.325,3.410,0,5.508,3.095,0,0.364,0.377,255,255
64,0.063,5.456,19.436,0,5.482,19.489,0,0.059,0.056,255,255
65,0.516,5.508,8.184,0,5.613,8.656,0,0.484,0.493,255,255
66,0.542,6.164,19.987,0,5.692,19.856,0,0.490,0.515,255,255
66,0.216,5.508,19.934,0,5.692,19.856,0,0.200,0.211,255,255
66,0.153,5.744,19.725,0,5.692,19.856,0,0.141,0.158,255,255
67,0.052,5.770,3.725,0,5.770,3.777,0,0.052,0.052,255,255
68,0.190,5.875,7.764,0,5.954,7.921,0,0.176,0.181,255,255
69,0.131,6.033,21.036,0,6.164,21.036,0,0.131,0.131,255,255
70,0.111,6.085,14.085,0,6.164,14.164,0,0.111,0.111,255,255
71,0.564,6.741,5.193,0,6.243,5.089,0,0.509,0.541,255,255
71,0.201,6.111,5.220,0,6.243,5.089,0,0.185,0.180,255,255
71,0.127,6.190,4.984,0,6.243,5.089,0,0.117,0.113,255,255
72,1.243,6.164,6.557,0,6.426,7.580,0,1.056,1.192,255,255
73,0.354,6.243,8.997,0,6.531,9.154,0,0.329,0.339,255,255
74,0.026,6.243,13.062,0,6.269,13.062,0,0.026,0.026,255,255
75,1.033,6.269,25.521,0,7.161,25.600,0,0.895,0.952,255,255
76,0.633,6.295,10.177,0,6.584,10.675,0,0.576,0.571,255,255
77,0.384,6.400,3.384,0,6.531,3.698,0,0.341,0.367,255,255
78,0.321,6.400,16.184,0,6.662,16.289,0,0.283,0.295,255,255
79,0.037,6.557,9.495,0,6.584,9.469,0,0.037,0.037,255,255
80,0.037,6.557,11.934,0,6.584,11.961,0,0.037,0.037,255,255
81,0.528,7.239,21.666,0,6.898,22.007,0,0.482,0.519,255,255
81,0.258,6.662,22.059,0,6.898,22.007,0,0.242,0.254,255,255
81,0.100,6.951,22.085,0,6.898,22.007,0,0.095,0.093,255,255
83,0.116,6.793,10.046,0,6.846,9.967,0,0.095,0.104,255,255
84,0.090,6.793,23.003,0,6.872,23.030,0,0.083,0.080,255,255
85,0.100,6.951,11.200,0,7.003,11.279,0,0.095,0.098,255,255
86,1.219,6.951,18.098,0,7.974,18.570,0,1.127,1.143,255,255
87,0.127,7.003,16.184,0,7.108,16.236,0,0.117,0.109,255,255
88,0.227,7.108,5.377,0,7.213,5.193,0,0.211,0.234,255,255
88,0.194,7.397,5.220,0,7.213,5.193,0,0.185,0.194,255,255
88,0.100,7.161,5.115,0,7.213,5.193,0,0.095,0.087,255,255
89,0.930,8.498,12.407,0,7.790,11.908,0,0.866,0.842,255,255
89,0.679,7.790,11.908,0,7.974,11.305,0,0.631,0.604,255,255
89,0.616,7.239,11.803,0,7.790,11.908,0,0.561,0.579,255,255
89,0.459,7.738,10.492,0,7.738,10.885,0,0.393,0.434,255,255
89,0.332,8.262,11.200,0,7.974,11.305,0,0.307,0.320,255,255
