Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1.070,0.131,10.466,0,1.049,10.780,0,0.970,1.024,255,255
2,1.293,0.236,24.052,0,1.311,24.210,0,1.087,1.210,255,255
2,0.559,1.311,24.210,0,1.548,24.656,0,0.505,0.427,255,255
2,0.548,1.364,25.128,0,1.548,24.656,0,0.507,0.508,255,255
2,0.315,1.862,24.656,0,1.548,24.656,0,0.315,0.289,255,255
2,0.306,1.416,23.948,0,1.311,24.210,0,0.283,0.287,255,255
3,0.079,0.393,16.944,0,0.472,16.944,0,0.079,0.079,255,255
4,0.336,0.420,26.387,0,0.734,26.334,0,0.319,0.322,255,255
5,0.138,0.446,9.967,0,0.551,9.889,0,0.131,0.120,255,255
6,0.063,0.525,14.164,0,0.551,14.216,0,0.059,0.066,255,255
7,0.706,0.682,15.764,0,0.813,15.134,0,0.643,0.673,255,255
7,0.332,0.525,15.030,0,0.813,15.134,0,0.307,0.305,255,255
7,0.131,0.944,15.134,0,0.813,15.134,0,0.131,0.131,255,255
8,0.347,0.603,6.977,0,0.682,7.292,0,0.324,0.323,255,255
9,0.052,0.603,8.341,0,0.603,8.393,0,0.052,0.052,255,255
10,0.105,0.656,14.479,0,0.656,14.584,0,0.105,0.105,255,255
11,0.253,0.866,20.721,0,0.682,20.590,0,0.226,0.224,255,255
11,0.063,0.708,20.538,0,0.682,20.590,0,0.059,0.063,255,255
11,0.026,0.656,20.590,0,0.682,20.590,0,0.026,0.026,255,255
12,0.253,0.708,2.492,0,0.866,2.649,0,0.223,0.229,255,255
12,0.242,0.787,2.859,0,0.866,2.649,0,0.224,0.250,255,255
12,0.175,0.997,2.544,0,0.866,2.649,0,0.168,0.175,255,255
13,0.090,0.708,3.961,0,0.787,3.987,0,0.083,0.080,255,255
14,0.052,0.813,5.430,0,0.866,5.430,0,0.052,0.052,255,255
15,0.987,1.469,1.102,0,1.311,1.652,0,0.573,0.875,255,255
15,0.764,1.102,2.308,0,1.311,1.652,0,0.688,0.699,255,255
15,0.310,1.259,1.364,0,1.311,1.652,0,0.293,0.263,255,255
16,0.194,1.207,20.092,0,1.390,20.066,0,0.185,0.186,255,255
17,0.290,1.338,10.308,0,1.574,10.439,0,0.270,0.298,255,255
18,0.100,1.364,2.518,0,1.443,2.570,0,0.095,0.087,255,255
19,0.100,1.548,3.095,0,1.626,3.148,0,0.095,0.087,255,255
20,0.942,1.731,6.452,0,1.862,5.587,0,0.875,0.891,255,255
21,0.347,1.784,7.948,0,2.098,7.921,0,0.316,0.321,255,255
22,0.564,1.810,12.459,0,2.308,12.616,0,0.523,0.567,255,255
22,0.280,2.256,12.852,0,2.308,12.616,0,0.242,0.255,255,255
22,0.179,2.308,12.616,0,2.413,12.511,0,0.148,0.108,255,255
22,0.142,2.387,12.380,0,2.413,12.511,0,0.134,0.137,255,255
22,0.100,2.492,12.511,0,2.413,12.511,0,0.079,0.104,255,255
23,0.553,1.810,26.361,0,2.072,26.046,0,0.410,0.520,255,255
24,0.485,1.915,9.889,0,1.915,10.308,0,0.420,0.484,255,255
25,0.590,2.072,16.944,0,2.597,17.049,0,0.535,0.559,255,255
26,0.179,2.125,18.544,0,2.282,18.597,0,0.166,0.161,255,255
27,0.391,2.387,11.279,0,2.518,11.593,0,0.341,0.355,255,255
28,0.100,2.466,6.636,0,2.518,6.557,0,0.095,0.106,255,255
29,0.454,2.518,4.984,0,2.859,5.220,0,0.415,0.427,255,255
29,0.380,3.016,5.534,0,2.859,5.220,0,0.352,0.352,255,255
29,0.179,3.016,5.167,0,2.859,5.220,0,0.166,0.165,255,255
30,0.127,2.570,10.859,0,2.675,10.911,0,0.117,0.113,255,255
31,0.063,2.623,23.134,0,2.649,23.082,0,0.059,0.066,255,255
32,0.074,2.623,24.026,0,2.675,24.079,0,0.074,0.074,255,255
33,0.332,2.911,24.236,0,3.200,24.131,0,0.307,0.300,255,255
35,0.269,3.148,25.075,0,3.226,25.311,0,0.249,0.248,255,255
36,0.570,3.200,19.279,0,3.462,18.833,0,0.517,0.531,255,255
37,0.426,3.226,13.902,0,3.305,13.508,0,0.401,0.429,255,255
38,0.369,3.489,2.780,0,3.515,2.518,0,0.264,0.343,255,255
38,0.295,3.252,2.597,0,3.515,2.518,0,0.274,0.279,255,255
38,0.074,3.567,2.466,0,3.515,2.518,0,0.074,0.074,255,255
39,0.168,3.305,24.787,0,3.462,24.761,0,0.160,0.174,255,255
40,1.171,3.987,22.505,0,3.567,21.508,0,1.081,1.115,255,255
40,0.618,3.357,21.036,0,3.567,21.508,0,0.517,0.571,255,255
40,0.249,3.410,21.692,0,3.567,21.508,0,0.242,0.249,255,255
42,0.426,3.462,3.672,0,3.856,3.646,0,0.394,0.404,255,255
43,0.185,3.567,6.295,0,3.698,6.164,0,0.185,0.185,255,255
44,0.116,3.646,15.397,0,3.751,15.370,0,0.108,0.107,255,255
45,0.116,3.698,18.964,0,3.803,18.990,0,0.108,0.110,255,255
46,0.327,3.777,17.259,0,4.039,17.416,0,0.306,0.317,255,255
47,0.327,3.908,10.439,0,4.170,10.282,0,0.306,0.302,255,255
48,0.603,3.934,23.974,0,4.354,24.289,0,0.525,0.566,255,255
49,0.437,3.961,16.105,0,4.013,16.498,0,0.397,0.404,255,255
50,0.601,4.092,8.131,0,4.170,7.607,0,0.530,0.571,255,255
50,0.168,4.144,7.449,0,4.170,7.607,0,0.160,0.158,255,255
50,0.063,4.223,7.633,0,4.170,7.607,0,0.059,0.063,255,255
51,0.998,5.325,1.679,0,5.823,0.918,0,0.909,0.880,255,255
51,0.631,5.902,0.341,0,5.823,0.918,0,0.582,0.628,255,255
51,0.598,5.325,1.679,0,5.692,2.125,0,0.578,0.510,255,255
51,0.574,4.407,1.574,0,4.905,1.757,0,0.531,0.488,255,255
51,0.513,6.216,1.207,0,5.823,0.918,0,0.488,0.491,255,255
51,0.485,5.062,2.177,0,4.905,1.757,0,0.448,0.461,255,255
51,0.452,4.905,1.757,0,5.325,1.679,0,0.427,0.349,255,255
51,0.400,4.433,1.207,0,4.407,1.574,0,0.368,0.387,255,255
51,0.290,5.928,2.256,0,5.692,2.125,0,0.270,0.305,255,255
51,0.221,4.197,1.600,0,4.407,1.574,0,0.211,0.212,255,255
51,0.210,5.692,2.334,0,5.692,2.125,0,0.210,0.210,255,255
52,0.127,4.302,0.839,0,4.407,0.892,0,0.117,0.116,255,255
53,0.037,4.616,20.249,0,4.643,20.223,0,0.037,0.037,255,255
54,0.100,4.643,13.770,0,4.721,13.823,0,0.095,0.087,255,255
55,0.232,4.695,5.141,0,4.748,4.931,0,0.216,0.216,255,255
56,0.063,4.695,15.633,0,4.748,15.607,0,0.059,0.066,255,255
57,0.138,4.826,10.911,0,4.931,10.833,0,0.131,0.144,255,255
58,0.212,4.931,20.721,0,5.089,20.590,0,0.205,0.211,255,255
59,0.896,5.010,16.184,0,5.272,16.970,0,0.829,0.850,255,255
60,0.926,5.036,14.715,0,5.377,14.059,0,0.739,0.874,255,255
61,0.037,5.115,11.830,0,5.141,11.856,0,0.037,0.037,255,255
62,0.127,5.141,15.056,0,5.141,15.161,0,0.105,0.119,255,255
63,0.100,5.193,12.039,0,5.246,12.066,0,0.059,0.075,255,255
64,0.142,5.298,25.469,0,5.430,25.495,0,0.134,0.132,255,255
65,0.681,5.403,10.020,0,5.849,10.439,0,0.612,0.637,255,255
66,0.227,5.718,4.590,0,5.587,4.433,0,0.205,0.203,255,255
66,0.158,5.718,4.407,0,5.587,4.433,0,0.134,0.150,255,255
66,0.153,5.456,4.485,0,5.587,4.433,0,0.141,0.141,255,255
66,0.132,5.666,4.328,0,5.587,4.433,0,0.131,0.132,255,255
67,0.649,5.456,17.626,0,5.692,18.177,0,0.599,0.603,255,255
67,0.638,5.823,19.121,0,5.875,18.570,0,0.553,0.530,255,255
67,0.590,5.666,20.590,0,5.718,20.066,0,0.527,0.553,255,255
67,0.469,5.692,18.177,0,5.875,18.570,0,0.434,0.350,255,255
67,0.439,5.718,20.066,0,6.007,19.777,0,0.408,0.342,255,255
67,0.299,5.456,19.410,0,5.744,19.384,0,0.290,0.291,255,255
67,0.295,5.744,19.384,0,5.823,19.121,0,0.274,0.242,255,255
67,0.280,5.744,19.384,0,5.928,19.541,0,0.242,0.227,255,255
67,0.269,5.928,19.541,0,6.007,19.777,0,0.249,0.209,255,255
67,0.247,6.111,18.597,0,5.875,18.570,0,0.238,0.242,255,255
67,0.205,5.534,20.013,0,5.718,20.066,0,0.191,0.196,255,255
67,0.201,6.033,19.384,0,5.928,19.541,0,0.189,0.180,255,255
67,0.194,6.007,19.095,0,5.823,19.121,0,0.185,0.187,255,255
67,0.100,5.770,18.125,0,5.692,18.177,0,0.095,0.100,255,255
67,0.090,6.085,19.803,0,6.007,19.777,0,0.083,0.090,255,255
68,0.175,5.639,12.485,0,5.770,12.590,0,0.168,0.172,255,255
69,0.306,5.666,11.672,0,5.718,11.410,0,0.267,0.276,255,255
70,0.590,6.479,14.374,0,5.954,14.479,0,0.535,0.556,255,255
70,0.448,5.928,13.849,0,6.059,14.243,0,0.415,0.407,255,255
70,0.389,5.954,14.479,0,5.954,14.846,0,0.367,0.342,255,255
70,0.280,5.954,14.479,0,6.059,14.243,0,0.258,0.164,255,255
70,0.232,6.269,14.295,0,6.059,14.243,0,0.216,0.196,255,255
70,0.190,6.111,14.820,0,5.954,14.846,0,0.160,0.189,255,255
70,0.153,5.718,14.977,0,5.849,14.925,0,0.141,0.152,255,255
70,0.153,5.849,14.925,0,5.954,14.846,0,0.131,0.063,255,255
70,0.100,5.902,15.003,0,5.849,14.925,0,0.095,0.093,255,255
71,0.153,5.797,21.718,0,5.875,21.823,0,0.131,0.134,255,255
72,0.026,6.085,22.610,0,6.085,22.636,0,0.026,0.026,255,255
73,0.264,6.321,11.174,0,6.505,11.016,0,0.242,0.254,255,255
74,0.365,6.374,9.154,0,6.636,9.364,0,0.336,0.331,255,255
74,0.232,6.846,9.311,0,6.636,9.364,0,0.216,0.218,255,255
74,0.216,6.715,9.548,0,6.636,9.364,0,0.200,0.204,255,255
75,0.317,6.426,13.823,0,6.662,13.928,0,0.258,0.288,255,255
76,0.138,6.689,0.630,0,6.793,0.708,0,0.131,0.131,255,255
77,0.290,6.715,7.659,0,6.951,7.528,0,0.270,0.276,255,255
78,0.280,6.820,1.364,0,6.925,1.600,0,0.258,0.273,255,255
79,1.444,6.951,18.230,0,7.082,16.970,0,1.266,1.371,255,255
80,0.074,7.003,13.928,0,7.056,13.875,0,0.074,0.074,255,255
82,0.063,7.134,12.328,0,7.187,12.302,0,0.059,0.056,255,255
83,0.675,7.161,7.764,0,7.659,8.079,0,0.589,0.654,255,255
83,0.439,7.974,8.341,0,7.659,8.079,0,0.410,0.412,255,255
