 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.142,0.105,12.275,0,0.236,12.249,0,0.134,0.137,255,255
2,2,0.341,0.105,25.338,0,0.446,25.338,0,0.341,0.341,255,255
3,2,0.310,0.446,25.338,0,0.734,25.285,0,0.293,0.220,255,255
4,2,0.212,0.892,25.416,0,0.734,25.285,0,0.205,0.191,255,255
5,2,0.212,0.734,25.285,0,0.892,25.154,0,0.205,0.111,255,255
6,2,0.190,0.420,25.495,0,0.446,25.338,0,0.160,0.193,255,255
7,2,0.100,0.970,25.207,0,0.892,25.154,0,0.095,0.056,255,255
8,2,0.037,0.918,25.128,0,0.892,25.154,0,0.037,0.037,255,255
9,3,0.063,0.131,19.567,0,0.157,19.620,0,0.059,0.056,255,255
10,4,0.253,0.446,26.230,0,0.315,26.046,0,0.226,0.234,255,255
11,4,0.216,0.131,26.125,0,0.315,26.046,0,0.200,0.212,255,255
12,4,0.111,0.393,25.967,0,0.315,26.046,0,0.111,0.111,255,255
13,5,0.052,0.210,10.046,0,0.210,10.098,0,0.052,0.052,255,255
14,6,0.264,0.262,24.708,0,0.446,24.761,0,0.191,0.231,255,255
15,7,0.264,0.525,13.666,0,0.734,13.587,0,0.224,0.227,255,255
16,8,0.026,0.551,18.387,0,0.577,18.387,0,0.026,0.026,255,255
17,9,0.100,0.577,18.282,0,0.630,18.203,0,0.095,0.106,255,255
18,10,0.238,0.603,1.889,0,0.761,1.731,0,0.223,0.212,255,255
19,11,0.037,0.787,22.662,0,0.813,22.689,0,0.037,0.037,255,255
20,12,0.406,1.233,13.167,0,0.892,13.010,0,0.376,0.378,255,255
21,12,0.090,0.839,13.062,0,0.892,13.010,0,0.074,0.082,255,255
22,12,0.079,0.892,12.931,0,0.892,13.010,0,0.079,0.079,255,255
23,13,0.190,0.944,1.128,0,1.075,1.023,0,0.168,0.160,255,255
24,14,0.343,0.944,10.230,0,1.233,10.098,0,0.317,0.312,255,255
25,15,0.437,1.023,26.230,0,1.416,26.282,0,0.397,0.418,255,255
26,16,0.769,1.049,5.430,0,1.574,5.534,0,0.535,0.733,255,255
27,17,0.116,1.049,9.416,0,1.154,9.443,0,0.108,0.110,255,255
28,18,0.079,1.075,25.207,0,1.154,25.207,0,0.079,0.079,255,255
29,19,0.074,1.128,14.374,0,1.180,14.426,0,0.074,0.074,255,255
30,20,0.105,1.364,4.407,0,1.259,4.407,0,0.105,0.105,255,255
31,20,0.063,1.285,4.354,0,1.259,4.407,0,0.059,0.063,255,255
32,20,0.026,1.233,4.407,0,1.259,4.407,0,0.026,0.026,255,255
33,21,0.450,1.495,13.587,0,1.757,13.246,0,0.430,0.348,255,255
34,21,0.327,1.731,13.770,0,1.495,13.587,0,0.299,0.292,255,255
35,21,0.236,1.259,13.587,0,1.495,13.587,0,0.236,0.236,255,255
36,21,0.100,1.836,13.298,0,1.757,13.246,0,0.095,0.093,255,255
37,21,0.052,1.757,13.193,0,1.757,13.246,0,0.052,0.052,255,255
38,22,0.037,1.311,16.289,0,1.338,16.315,0,0.037,0.037,255,255
39,23,0.426,1.338,3.934,0,1.364,3.541,0,0.394,0.398,255,255
40,24,0.232,1.338,20.643,0,1.338,20.852,0,0.210,0.217,255,255
41,25,0.026,1.390,24.997,0,1.390,25.023,0,0.026,0.026,255,255
42,26,0.258,1.416,17.075,0,1.469,17.311,0,0.242,0.242,255,255
43,27,0.347,1.443,24.892,0,1.548,24.603,0,0.307,0.318,255,255
44,28,0.063,1.469,21.272,0,1.495,21.325,0,0.059,0.056,255,255
45,29,0.375,1.548,7.711,0,1.652,7.423,0,0.307,0.350,255,255
46,30,0.127,1.889,17.626,0,1.836,17.731,0,0.117,0.131,255,255
47,30,0.116,1.731,17.757,0,1.836,17.731,0,0.108,0.121,255,255
48,30,0.090,1.915,17.757,0,1.836,17.731,0,0.083,0.082,255,255
49,31,0.242,1.784,25.941,0,1.915,26.098,0,0.205,0.224,255,255
50,32,0.343,2.177,23.790,0,1.993,23.554,0,0.299,0.326,255,255
