Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.090,0.105,1.731,0,0.184,1.705,0,0.083,0.083,255,255
2,0.111,0.157,14.741,0,0.236,14.820,0,0.111,0.111,255,255
3,0.194,0.210,25.285,0,0.393,25.311,0,0.185,0.186,255,255
4,0.432,0.262,11.751,0,0.367,12.118,0,0.382,0.411,255,255
5,0.175,0.525,12.669,0,0.420,12.538,0,0.168,0.157,255,255
5,0.153,0.315,12.616,0,0.420,12.538,0,0.131,0.136,255,255
5,0.052,0.420,12.485,0,0.420,12.538,0,0.052,0.052,255,255
6,0.153,0.315,16.787,0,0.420,16.866,0,0.131,0.134,255,255
7,0.079,0.393,17.154,0,0.472,17.154,0,0.079,0.079,255,255
8,0.806,0.839,9.495,0,0.603,8.839,0,0.697,0.764,255,255
8,0.284,0.866,8.892,0,0.603,8.839,0,0.267,0.270,255,255
8,0.205,0.420,8.892,0,0.603,8.839,0,0.191,0.189,255,255
9,0.063,0.472,25.652,0,0.525,25.679,0,0.059,0.056,255,255
10,0.242,0.498,18.702,0,0.682,18.807,0,0.211,0.220,255,255
11,0.828,0.551,14.951,0,1.233,15.161,0,0.714,0.762,255,255
11,0.612,1.233,15.161,0,1.390,15.685,0,0.548,0.457,255,255
11,0.411,1.180,14.793,0,1.233,15.161,0,0.371,0.400,255,255
11,0.379,1.574,15.161,0,1.233,15.161,0,0.341,0.361,255,255
11,0.264,1.233,15.869,0,1.390,15.685,0,0.242,0.232,255,255
11,0.201,1.548,15.790,0,1.390,15.685,0,0.189,0.201,255,255
12,0.402,1.338,19.620,0,1.180,19.934,0,0.352,0.358,255,255
12,0.363,0.839,19.882,0,1.180,19.934,0,0.345,0.320,255,255
12,0.327,0.577,19.725,0,0.839,19.882,0,0.306,0.302,255,255
12,0.264,1.390,20.066,0,1.180,19.934,0,0.247,0.237,255,255
12,0.175,0.708,19.987,0,0.839,19.882,0,0.168,0.120,255,255
13,0.063,0.577,21.534,0,0.603,21.587,0,0.059,0.056,255,255
14,0.131,0.603,2.308,0,0.603,2.439,0,0.131,0.131,255,255
16,0.380,0.656,20.957,0,0.970,20.852,0,0.332,0.349,255,255
17,0.026,0.708,3.200,0,0.708,3.226,0,0.026,0.026,255,255
18,1.379,0.839,5.666,0,1.233,4.511,0,1.219,1.298,255,255
18,0.897,3.593,5.692,0,2.990,5.220,0,0.766,0.863,255,255
18,0.599,1.233,4.511,0,1.810,4.564,0,0.579,0.559,255,255
18,0.507,1.993,4.800,0,2.413,5.010,0,0.469,0.430,255,255
18,0.374,2.413,5.010,0,2.754,4.984,0,0.342,0.294,255,255
18,0.349,2.754,4.984,0,2.990,5.220,0,0.334,0.265,255,255
18,0.347,2.833,4.669,0,2.754,4.984,0,0.324,0.345,255,255
18,0.327,1.810,4.564,0,1.993,4.800,0,0.299,0.259,255,255
18,0.273,2.439,5.272,0,2.413,5.010,0,0.264,0.269,255,255
18,0.242,3.069,5.430,0,2.990,5.220,0,0.224,0.242,255,255
18,0.175,1.915,4.433,0,1.810,4.564,0,0.168,0.168,255,255
18,0.127,1.233,4.407,0,1.233,4.511,0,0.105,0.083,255,255
18,0.052,1.993,4.852,0,1.993,4.800,0,0.052,0.052,255,255
19,0.190,0.839,10.911,0,0.970,10.807,0,0.168,0.192,255,255
20,0.389,0.866,25.469,0,1.233,25.521,0,0.371,0.372,255,255
20,0.312,1.469,25.705,0,1.233,25.521,0,0.299,0.293,255,255
20,0.164,1.338,25.416,0,1.233,25.521,0,0.148,0.146,255,255
21,0.205,0.892,12.590,0,1.075,12.538,0,0.191,0.201,255,255
22,0.688,1.049,22.243,0,1.469,22.741,0,0.652,0.583,255,255
22,0.205,1.311,22.767,0,1.469,22.741,0,0.160,0.189,255,255
22,0.153,1.128,22.138,0,1.049,22.243,0,0.131,0.150,255,255
22,0.090,1.548,22.767,0,1.469,22.741,0,0.083,0.090,255,255
22,0.052,0.997,22.243,0,1.049,22.243,0,0.052,0.052,255,255
23,0.026,1.102,6.216,0,1.128,6.216,0,0.026,0.026,255,255
24,0.936,2.020,2.151,0,2.649,2.780,0,0.890,0.847,255,255
24,0.688,2.492,1.705,0,2.020,2.151,0,0.649,0.643,255,255
24,0.522,1.574,1.967,0,2.020,2.151,0,0.482,0.455,255,255
24,0.487,1.207,2.256,0,1.574,1.967,0,0.467,0.463,255,255
24,0.347,2.466,2.990,0,2.649,2.780,0,0.279,0.282,255,255
24,0.317,1.364,1.784,0,1.574,1.967,0,0.279,0.165,255,255
24,0.317,1.285,1.521,0,1.364,1.784,0,0.274,0.310,255,255
24,0.168,2.807,2.754,0,2.649,2.780,0,0.160,0.163,255,255
24,0.142,1.233,1.810,0,1.364,1.784,0,0.134,0.137,255,255
24,0.138,2.361,2.911,0,2.466,2.990,0,0.131,0.120,255,255
24,0.105,2.466,3.095,0,2.466,2.990,0,0.105,0.105,255,255
25,0.242,1.233,23.764,0,1.443,23.790,0,0.211,0.224,255,255
26,0.185,1.259,3.043,0,1.390,3.174,0,0.185,0.185,255,255
27,0.026,1.338,11.305,0,1.338,11.331,0,0.026,0.026,255,255
28,0.127,1.548,10.361,0,1.652,10.308,0,0.117,0.109,255,255
29,0.629,1.652,0.577,0,1.993,1.049,0,0.582,0.583,255,255
30,0.400,1.757,23.764,0,2.125,23.790,0,0.368,0.373,255,255
31,0.037,1.784,13.692,0,1.810,13.718,0,0.037,0.037,255,255
32,0.862,2.911,23.318,0,3.252,22.636,0,0.762,0.695,255,255
32,0.825,2.807,21.823,0,3.305,22.426,0,0.783,0.717,255,255
32,0.808,2.911,23.318,0,3.515,23.738,0,0.735,0.647,255,255
32,0.795,1.784,22.059,0,2.492,21.849,0,0.739,0.746,255,255
32,0.594,2.938,20.984,0,2.675,21.377,0,0.473,0.568,255,255
32,0.548,2.492,21.849,0,2.675,21.377,0,0.507,0.453,255,255
32,0.457,3.646,22.715,0,3.252,22.636,0,0.401,0.439,255,255
32,0.378,3.672,22.452,0,3.305,22.426,0,0.368,0.370,255,255
32,0.326,2.492,21.849,0,2.807,21.823,0,0.316,0.238,255,255
32,0.284,2.649,23.266,0,2.911,23.318,0,0.267,0.269,255,255
32,0.269,3.016,22.557,0,3.252,22.636,0,0.249,0.262,255,255
32,0.253,2.885,21.482,0,2.675,21.377,0,0.235,0.229,255,255
32,0.238,2.990,21.692,0,2.807,21.823,0,0.226,0.224,255,255
32,0.232,3.252,22.636,0,3.305,22.426,0,0.216,0.163,255,255
32,0.179,2.911,23.475,0,2.911,23.318,0,0.157,0.185,255,255
32,0.116,3.541,23.843,0,3.515,23.738,0,0.108,0.109,255,255
32,0.116,3.620,23.711,0,3.515,23.738,0,0.108,0.106,255,255
34,0.939,2.020,25.338,0,2.807,25.233,0,0.794,0.828,255,255
34,0.725,2.780,25.889,0,2.807,25.233,0,0.656,0.704,255,255
34,0.625,3.567,25.023,0,2.964,25.075,0,0.606,0.625,255,255
34,0.564,3.121,24.577,0,2.964,25.075,0,0.523,0.533,255,255
34,0.476,2.492,24.839,0,2.859,25.102,0,0.451,0.439,255,255
34,0.238,1.836,25.207,0,2.020,25.338,0,0.226,0.243,255,255
34,0.205,2.072,25.521,0,2.020,25.338,0,0.191,0.195,255,255
34,0.153,2.807,25.233,0,2.859,25.102,0,0.141,0.093,255,255
34,0.116,2.859,25.102,0,2.964,25.075,0,0.108,0.052,255,255
35,0.743,1.862,3.489,0,2.020,4.144,0,0.674,0.696,255,255
36,0.581,2.518,16.367,0,2.072,16.079,0,0.531,0.545,255,255
36,0.205,1.889,16.026,0,2.072,16.079,0,0.191,0.186,255,255
36,0.127,2.151,16.000,0,2.072,16.079,0,0.111,0.113,255,255
37,1.109,2.675,9.600,0,3.436,8.944,0,1.004,0.990,255,255
37,0.961,1.915,10.046,0,2.675,9.600,0,0.882,0.899,255,255
37,0.747,3.410,8.289,0,3.436,8.944,0,0.656,0.652,255,255
37,0.395,3.777,9.075,0,3.436,8.944,0,0.365,0.367,255,255
37,0.349,2.938,9.810,0,2.675,9.600,0,0.336,0.328,255,255
37,0.275,3.567,7.895,0,3.410,8.105,0,0.262,0.236,255,255
37,0.205,3.410,8.105,0,3.410,8.289,0,0.184,0.168,255,255
37,0.079,3.331,8.289,0,3.410,8.289,0,0.079,0.079,255,255
37,0.037,3.384,8.131,0,3.410,8.105,0,0.037,0.037,255,255
38,0.179,2.046,12.092,0,1.993,11.934,0,0.166,0.174,255,255
38,0.138,2.072,11.830,0,1.993,11.934,0,0.131,0.135,255,255
38,0.079,1.915,11.934,0,1.993,11.934,0,0.079,0.079,255,255
39,0.264,1.941,6.269,0,2.151,6.138,0,0.247,0.241,255,255
40,0.269,1.941,13.770,0,2.046,13.980,0,0.235,0.257,255,255
41,0.740,1.967,6.977,0,2.439,7.475,0,0.686,0.694,255,255
41,0.516,2.885,7.554,0,2.439,7.475,0,0.453,0.498,255,255
41,0.397,2.177,8.079,0,2.439,7.790,0,0.390,0.397,255,255
41,0.336,2.439,7.475,0,2.439,7.790,0,0.315,0.273,255,255
41,0.238,2.623,7.921,0,2.439,7.790,0,0.226,0.217,255,255
42,0.074,1.967,26.282,0,2.020,26.334,0,0.074,0.074,255,255
43,0.891,2.020,20.721,0,2.334,20.013,0,0.775,0.846,255,255
43,0.485,2.754,19.908,0,2.334,20.013,0,0.433,0.466,255,255
43,0.242,2.256,19.803,0,2.334,20.013,0,0.224,0.223,255,255
44,0.026,2.151,6.557,0,2.151,6.584,0,0.026,0.026,255,255
45,0.052,2.177,0.866,0,2.230,0.866,0,0.052,0.052,255,255
46,0.767,2.649,17.049,0,2.728,17.784,0,0.739,0.736,255,255
46,0.734,2.203,18.125,0,2.728,17.784,0,0.626,0.683,255,255
46,0.502,3.121,18.046,0,2.728,17.784,0,0.473,0.423,255,255
47,0.443,2.413,24.315,0,2.728,24.079,0,0.393,0.361,255,255
