 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.138,0.052,3.725,0,0.131,3.830,0,0.131,0.138,255,255
2,2,0.253,0.184,17.521,0,0.236,17.311,0,0.216,0.213,255,255
3,3,0.179,0.315,2.125,0,0.472,2.072,0,0.166,0.175,255,255
4,4,0.190,0.367,17.757,0,0.393,17.915,0,0.160,0.162,255,255
5,5,0.175,0.446,15.082,0,0.551,15.213,0,0.168,0.172,255,255
6,6,0.026,0.472,0.079,0,0.498,0.079,0,0.026,0.026,255,255
7,7,0.581,1.102,11.462,0,0.839,11.934,0,0.540,0.552,255,255
8,7,0.443,1.154,12.170,0,0.839,11.934,0,0.393,0.408,255,255
9,7,0.286,0.472,11.725,0,0.656,11.934,0,0.279,0.265,255,255
10,7,0.238,0.525,12.118,0,0.656,11.934,0,0.226,0.144,255,255
11,7,0.184,0.656,11.934,0,0.839,11.934,0,0.184,0.157,255,255
12,7,0.179,0.525,12.275,0,0.525,12.118,0,0.157,0.185,255,255
13,7,0.026,0.498,12.118,0,0.525,12.118,0,0.026,0.026,255,255
14,8,0.284,0.577,10.885,0,0.630,10.623,0,0.267,0.268,255,255
15,9,0.142,0.761,24.630,0,0.630,24.656,0,0.134,0.133,255,255
16,9,0.100,0.577,24.577,0,0.630,24.656,0,0.095,0.087,255,255
17,9,0.090,0.603,24.734,0,0.630,24.656,0,0.083,0.093,255,255
18,10,0.037,0.682,16.708,0,0.708,16.682,0,0.037,0.037,255,255
19,11,0.227,0.708,9.915,0,0.892,9.810,0,0.211,0.217,255,255
20,11,0.221,0.918,9.600,0,0.892,9.810,0,0.211,0.200,255,255
21,11,0.063,0.944,9.836,0,0.892,9.810,0,0.059,0.026,255,255
22,12,0.232,0.787,19.725,0,0.997,19.672,0,0.216,0.214,255,255
23,12,0.100,1.049,19.593,0,0.997,19.672,0,0.095,0.093,255,255
24,12,0.026,0.997,19.672,0,0.997,19.672,0,0.000,0.000,0,0
25,13,0.037,0.918,17.338,0,0.944,17.311,0,0.037,0.037,255,255
26,14,0.127,0.997,26.702,0,1.075,26.623,0,0.111,0.126,255,255
27,15,0.948,1.311,13.666,0,1.469,14.452,0,0.802,0.860,255,255
28,15,0.454,1.469,13.298,0,1.311,13.666,0,0.400,0.411,255,255
29,15,0.380,1.600,13.849,0,1.311,13.666,0,0.342,0.337,255,255
30,15,0.336,1.049,14.767,0,1.364,14.715,0,0.319,0.334,255,255
31,15,0.306,1.364,14.715,0,1.469,14.452,0,0.283,0.235,255,255
32,15,0.269,1.416,14.925,0,1.364,14.715,0,0.216,0.255,255,255
33,15,0.153,1.600,14.452,0,1.469,14.452,0,0.131,0.158,255,255
34,16,0.127,1.075,16.131,0,1.154,16.210,0,0.111,0.108,255,255
35,17,0.284,1.102,20.328,0,1.102,20.590,0,0.262,0.280,255,255
36,18,0.164,1.233,9.128,0,1.207,8.997,0,0.134,0.147,255,255
37,18,0.116,1.233,8.892,0,1.207,8.997,0,0.108,0.116,255,255
38,18,0.052,1.154,8.997,0,1.207,8.997,0,0.052,0.052,255,255
39,19,0.321,1.233,0.734,0,1.311,1.023,0,0.299,0.298,255,255
40,21,0.201,1.311,18.544,0,1.416,18.702,0,0.189,0.187,255,255
41,22,0.553,1.364,15.580,0,1.862,15.449,0,0.515,0.539,255,255
42,22,0.100,1.915,15.370,0,1.862,15.449,0,0.095,0.093,255,255
43,22,0.090,1.915,15.502,0,1.862,15.449,0,0.074,0.082,255,255
44,23,0.555,1.443,4.564,0,1.810,4.223,0,0.501,0.506,255,255
45,24,0.201,1.469,23.869,0,1.626,23.764,0,0.189,0.188,255,255
46,25,0.775,1.521,20.092,0,1.574,20.721,0,0.632,0.699,255,255
47,26,0.616,1.548,24.236,0,1.600,24.787,0,0.553,0.570,255,255
48,27,0.168,1.574,19.252,0,1.731,19.279,0,0.160,0.158,255,255
49,28,0.063,1.626,3.698,0,1.652,3.646,0,0.059,0.056,255,255
50,29,0.111,1.626,16.052,0,1.705,16.131,0,0.111,0.111,255,255
51,30,0.738,2.728,9.154,0,2.098,9.154,0,0.630,0.686,255,255
52,30,0.621,2.020,8.105,0,2.597,8.105,0,0.577,0.570,255,255
53,30,0.511,2.466,8.551,0,2.020,8.498,0,0.449,0.496,255,255
54,30,0.448,1.941,8.892,0,2.020,8.498,0,0.401,0.350,255,255
55,30,0.422,2.518,8.472,0,2.597,8.105,0,0.376,0.415,255,255
56,30,0.406,1.679,8.000,0,2.020,8.105,0,0.357,0.368,255,255
57,30,0.393,2.020,8.105,0,2.020,8.498,0,0.393,0.367,255,255
58,30,0.360,1.705,9.154,0,1.941,8.892,0,0.353,0.346,255,255
59,30,0.358,1.941,8.892,0,2.098,9.154,0,0.306,0.268,255,255
60,30,0.327,1.915,9.390,0,2.098,9.154,0,0.299,0.309,255,255
61,30,0.142,2.728,8.131,0,2.597,8.105,0,0.134,0.136,255,255
62,31,0.026,1.705,2.544,0,1.705,2.570,0,0.026,0.026,255,255
63,32,1.151,1.705,18.885,0,2.518,18.518,0,0.892,1.058,255,255
64,32,0.550,2.938,18.938,0,2.597,18.544,0,0.521,0.518,255,255
65,32,0.502,2.256,18.125,0,2.518,18.518,0,0.473,0.473,255,255
66,32,0.483,2.807,18.177,0,2.833,17.705,0,0.473,0.446,255,255
67,32,0.454,2.597,18.544,0,2.807,18.177,0,0.423,0.378,255,255
68,32,0.164,2.754,17.574,0,2.833,17.705,0,0.153,0.147,255,255
69,32,0.164,2.938,18.151,0,2.807,18.177,0,0.134,0.160,255,255
70,32,0.153,2.964,17.757,0,2.833,17.705,0,0.141,0.143,255,255
71,32,0.090,2.518,18.518,0,2.597,18.544,0,0.083,0.026,255,255
72,33,0.138,1.889,1.521,0,1.784,1.443,0,0.131,0.124,255,255
73,33,0.116,1.757,1.548,0,1.784,1.443,0,0.108,0.108,255,255
74,33,0.079,1.784,1.364,0,1.784,1.443,0,0.079,0.079,255,255
75,34,0.100,1.784,26.728,0,1.836,26.649,0,0.095,0.106,255,255
76,35,1.878,1.836,13.797,0,3.016,14.925,0,1.633,1.748,255,255
77,36,0.175,1.915,11.148,0,2.020,11.279,0,0.168,0.178,255,255
78,37,0.153,1.915,13.482,0,2.020,13.508,0,0.108,0.131,255,255
79,38,0.273,2.098,24.761,0,2.125,25.023,0,0.264,0.263,255,255
80,39,0.142,2.125,2.308,0,2.151,2.439,0,0.134,0.137,255,255
81,40,0.448,2.125,4.223,0,2.230,3.856,0,0.382,0.424,255,255
82,41,0.142,2.151,23.711,0,2.282,23.738,0,0.134,0.137,255,255
83,42,0.507,2.282,10.098,0,2.544,10.466,0,0.451,0.469,255,255
84,43,0.544,2.282,15.974,0,2.702,16.236,0,0.495,0.501,255,255
85,44,0.063,2.387,13.692,0,2.439,13.666,0,0.059,0.056,255,255
86,45,1.029,3.252,23.239,0,2.807,22.426,0,0.927,0.969,255,255
87,45,0.749,2.387,21.928,0,2.807,22.426,0,0.652,0.688,255,255
88,45,0.456,3.121,22.741,0,2.807,22.426,0,0.445,0.435,255,255
89,45,0.301,3.043,22.269,0,2.807,22.426,0,0.284,0.274,255,255
90,46,0.264,2.807,13.115,0,2.675,12.905,0,0.247,0.214,255,255
91,46,0.247,2.439,12.931,0,2.675,12.905,0,0.238,0.239,255,255
92,46,0.100,2.728,12.826,0,2.675,12.905,0,0.095,0.066,255,255
93,47,0.100,2.518,24.000,0,2.597,23.948,0,0.095,0.106,255,255
94,48,0.090,2.570,16.839,0,2.597,16.761,0,0.083,0.082,255,255
95,48,0.079,2.675,16.761,0,2.597,16.761,0,0.079,0.079,255,255
96,48,0.063,2.623,16.708,0,2.597,16.761,0,0.059,0.063,255,255
