Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.090,0.105,21.482,0,0.184,21.508,0,0.083,0.094,255,255
2,0.116,0.131,22.793,0,0.236,22.820,0,0.108,0.106,255,255
3,0.105,0.157,0.184,0,0.262,0.184,0,0.105,0.105,255,255
4,0.343,0.157,1.207,0,0.236,1.495,0,0.299,0.314,255,255
5,0.052,0.157,10.308,0,0.210,10.308,0,0.052,0.052,255,255
6,0.496,0.157,11.357,0,0.551,11.252,0,0.407,0.482,255,255
7,0.175,0.236,22.216,0,0.341,22.348,0,0.168,0.178,255,255
8,0.326,0.289,4.066,0,0.603,4.039,0,0.316,0.319,255,255
9,0.063,0.289,7.502,0,0.341,7.528,0,0.059,0.066,255,255
10,0.026,0.289,23.449,0,0.315,23.449,0,0.026,0.026,255,255
11,0.280,0.289,26.125,0,0.393,25.941,0,0.211,0.258,255,255
12,0.496,0.315,17.338,0,0.682,17.574,0,0.437,0.485,255,255
12,0.496,0.892,17.180,0,0.682,17.574,0,0.446,0.467,255,255
12,0.332,0.918,17.731,0,0.682,17.574,0,0.284,0.310,255,255
13,0.079,0.367,9.784,0,0.446,9.784,0,0.079,0.079,255,255
14,0.052,0.367,17.784,0,0.367,17.836,0,0.052,0.052,255,255
15,0.443,0.393,24.079,0,0.603,24.420,0,0.400,0.428,255,255
16,0.090,0.420,15.816,0,0.446,15.895,0,0.083,0.083,255,255
18,0.037,0.446,16.603,0,0.472,16.630,0,0.037,0.037,255,255
19,1.627,1.259,20.826,0,2.649,21.167,0,1.431,1.457,255,255
19,0.622,0.420,20.170,0,0.551,20.695,0,0.541,0.499,255,255
19,0.585,1.416,21.325,0,1.259,20.826,0,0.523,0.560,255,255
19,0.471,0.918,20.511,0,1.259,20.826,0,0.464,0.357,255,255
19,0.443,0.551,20.695,0,0.918,20.511,0,0.411,0.384,255,255
19,0.426,1.102,20.275,0,0.918,20.511,0,0.299,0.401,255,255
19,0.395,2.570,21.508,0,2.649,21.167,0,0.350,0.366,255,255
19,0.290,0.708,20.905,0,0.551,20.695,0,0.262,0.271,255,255
