 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.053,0.211,22.053,0,0.211,22.105,0,0.053,0.053,255,255
2,2,1.543,0.263,49.158,0,1.632,48.842,0,1.404,1.466,255,255
3,2,0.889,2.158,49.421,0,1.632,48.842,0,0.782,0.793,255,255
4,2,0.486,2.053,48.684,0,1.632,48.842,0,0.450,0.435,255,255
5,3,0.053,0.316,1.053,0,0.368,1.053,0,0.053,0.053,255,255
6,4,0.232,0.316,41.421,0,0.526,41.368,0,0.217,0.221,255,255
7,5,0.285,0.842,30.474,0,0.789,30.737,0,0.268,0.285,255,255
8,5,0.105,0.684,30.737,0,0.789,30.737,0,0.105,0.105,255,255
9,5,0.053,0.789,30.737,0,0.789,30.737,0,0.000,0.000,0,0
10,6,0.276,0.684,47.947,0,0.895,47.789,0,0.263,0.262,255,255
11,7,0.053,0.895,7.632,0,0.947,7.632,0,0.053,0.053,255,255
12,8,0.201,0.895,16.316,0,1.000,16.474,0,0.190,0.212,255,255
13,9,0.074,0.947,17.526,0,1.000,17.474,0,0.074,0.074,255,255
14,10,0.359,1.105,19.789,0,1.421,19.895,0,0.333,0.381,255,255
15,11,0.474,1.263,42.000,0,1.263,41.526,0,0.474,0.421,255,255
16,11,0.456,1.526,41.211,0,1.263,41.526,0,0.411,0.345,255,255
17,11,0.201,1.105,41.421,0,1.263,41.526,0,0.190,0.175,255,255
18,12,0.614,1.211,2.632,0,1.632,2.947,0,0.526,0.564,255,255
19,13,0.732,1.316,22.632,0,1.579,23.211,0,0.636,0.676,255,255
20,13,0.614,2.316,23.316,0,1.895,23.000,0,0.526,0.560,255,255
21,13,0.403,1.579,23.211,0,1.895,23.000,0,0.380,0.241,255,255
22,13,0.254,1.895,22.789,0,1.895,23.000,0,0.211,0.241,255,255
23,13,0.180,1.632,23.368,0,1.579,23.211,0,0.166,0.180,255,255
24,14,0.614,1.368,28.895,0,1.895,28.789,0,0.537,0.552,255,255
25,16,0.465,1.526,7.263,0,1.947,7.263,0,0.421,0.457,255,255
26,17,0.158,1.684,13.263,0,1.842,13.263,0,0.158,0.158,255,255
27,18,0.403,1.737,37.316,0,2.053,37.526,0,0.380,0.418,255,255
28,19,0.053,1.789,40.421,0,1.842,40.421,0,0.053,0.053,255,255
29,20,0.201,1.842,47.526,0,2.000,47.526,0,0.158,0.180,255,255
30,21,1.450,2.053,3.632,0,3.211,4.263,0,1.319,1.325,255,255
31,22,0.942,2.947,39.842,0,2.368,39.263,0,0.819,0.871,255,255
32,22,0.552,2.789,38.947,0,2.368,39.263,0,0.526,0.552,255,255
33,22,0.359,2.158,39.053,0,2.368,39.263,0,0.298,0.314,255,255
34,23,0.254,2.211,29.737,0,2.421,29.632,0,0.235,0.255,255,255
35,24,2.240,2.263,30.474,0,3.421,31.263,0,1.401,2.058,255,255
36,25,0.127,2.316,5.316,0,2.421,5.368,0,0.118,0.111,255,255
37,26,1.491,5.368,46.895,0,4.105,46.737,0,1.273,1.443,255,255
38,26,1.490,5.421,46.316,0,4.105,46.737,0,1.382,1.398,255,255
39,26,1.258,2.842,45.895,0,3.947,46.263,0,1.165,1.066,255,255
40,26,1.017,3.895,47.579,0,4.105,46.737,0,0.868,0.968,255,255
41,26,0.753,3.526,47.158,0,4.105,46.737,0,0.716,0.691,255,255
42,26,0.574,4.368,45.895,0,3.947,46.263,0,0.559,0.574,255,255
43,26,0.573,3.947,46.263,0,4.105,46.737,0,0.499,0.405,255,255
44,26,0.561,2.421,45.842,0,2.842,45.895,0,0.424,0.507,255,255
45,26,0.381,2.579,46.105,0,2.842,45.895,0,0.337,0.334,255,255
46,27,0.053,2.474,19.579,0,2.526,19.579,0,0.053,0.053,255,255
47,28,0.105,2.632,42.211,0,2.737,42.211,0,0.105,0.105,255,255
48,29,0.127,2.684,12.263,0,2.789,12.316,0,0.118,0.133,255,255
49,30,0.105,2.895,15.421,0,3.000,15.421,0,0.105,0.105,255,255
50,31,1.087,4.579,14.421,0,3.579,14.526,0,1.006,1.042,255,255
51,31,0.793,3.632,13.632,0,3.474,14.316,0,0.702,0.662,255,255
52,31,0.648,3.000,13.895,0,3.474,14.316,0,0.634,0.606,255,255
53,31,0.486,3.737,14.947,0,3.579,14.526,0,0.450,0.449,255,255
54,31,0.254,3.474,14.316,0,3.579,14.526,0,0.235,0.175,255,255
55,32,1.893,4.421,43.579,0,3.105,43.368,0,1.333,1.739,255,255
56,32,1.060,3.684,44.158,0,3.105,43.368,0,0.979,0.965,255,255
57,32,0.105,3.000,43.368,0,3.105,43.368,0,0.105,0.105,255,255
58,33,0.403,3.053,17.368,0,3.368,17.579,0,0.380,0.348,255,255
59,34,0.530,3.158,37.000,0,3.421,36.579,0,0.497,0.477,255,255
60,34,0.508,3.211,36.158,0,3.421,36.579,0,0.471,0.391,255,255
61,34,0.381,3.737,36.421,0,3.421,36.579,0,0.353,0.276,255,255
62,35,0.201,3.211,10.105,0,3.368,10.000,0,0.190,0.175,255,255
63,36,0.614,3.263,20.526,0,3.684,20.211,0,0.526,0.571,255,255
64,36,0.285,3.947,20.158,0,3.684,20.211,0,0.268,0.296,255,255
65,36,0.127,3.632,20.105,0,3.684,20.211,0,0.118,0.111,255,255
66,38,1.732,3.316,41.158,0,4.895,41.000,0,1.587,1.630,255,255
67,38,1.205,5.895,41.421,0,4.895,41.000,0,1.085,1.167,255,255
68,38,1.165,4.789,40.053,0,4.895,41.000,0,0.953,1.091,255,255
69,39,0.508,3.368,10.737,0,3.368,11.158,0,0.421,0.488,255,255
70,41,1.503,3.474,37.947,0,4.737,38.000,0,1.264,1.413,255,255
71,42,0.232,3.526,4.368,0,3.579,4.579,0,0.217,0.212,255,255
72,43,0.793,3.526,5.368,0,4.211,5.105,0,0.733,0.755,255,255
73,43,0.771,4.211,4.421,0,4.211,5.105,0,0.684,0.746,255,255
74,43,0.359,4.526,5.211,0,4.211,5.105,0,0.333,0.339,255,255
75,43,0.307,4.211,5.368,0,4.211,5.105,0,0.263,0.317,255,255
76,44,0.338,3.737,16.789,0,4.053,16.842,0,0.320,0.349,255,255
77,45,0.053,3.737,35.000,0,3.789,35.000,0,0.053,0.053,255,255
78,46,0.359,3.842,49.316,0,4.000,49.579,0,0.307,0.340,255,255
79,47,0.053,3.895,3.158,0,3.947,3.158,0,0.053,0.053,255,255
80,48,0.350,3.947,32.789,0,4.158,33.053,0,0.337,0.308,255,255
81,49,0.053,4.053,48.895,0,4.105,48.895,0,0.053,0.053,255,255
82,50,0.732,5.158,11.263,0,4.789,10.684,0,0.686,0.677,255,255
83,50,0.623,4.211,10.684,0,4.789,10.684,0,0.579,0.583,255,255
84,50,0.127,4.895,10.632,0,4.789,10.684,0,0.118,0.127,255,255
85,51,0.201,4.263,21.579,0,4.421,21.579,0,0.158,0.186,255,255
86,52,1.029,4.316,34.789,0,4.842,35.526,0,0.906,0.922,255,255
87,52,0.232,4.789,35.737,0,4.842,35.526,0,0.217,0.161,255,255
88,52,0.149,4.895,35.474,0,4.842,35.526,0,0.074,0.000,0,0
89,53,0.074,4.368,16.684,0,4.421,16.737,0,0.074,0.074,255,255
90,54,0.710,4.895,33.684,0,5.421,33.316,0,0.642,0.571,255,255
91,54,0.623,5.000,34.263,0,4.895,33.684,0,0.588,0.614,255,255
