Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,0.026,0.105,25.075,0,0.131,25.075,0,0.026,0.026,255,255
2,0.688,0.446,5.639,0,0.944,6.059,0,0.652,0.565,255,255
2,0.629,0.734,6.557,0,0.944,6.059,0,0.541,0.593,255,255
2,0.369,1.102,5.770,0,0.944,6.059,0,0.329,0.348,255,255
2,0.280,0.367,5.430,0,0.446,5.639,0,0.224,0.272,255,255
2,0.138,0.341,5.718,0,0.446,5.639,0,0.131,0.131,255,255
3,1.297,2.439,22.557,0,1.311,22.190,0,1.186,1.254,255,255
3,1.087,0.630,23.056,0,1.259,22.321,0,0.967,0.994,255,255
3,1.000,1.889,23.030,0,1.259,22.321,0,0.948,0.953,255,255
3,0.956,1.731,21.430,0,1.311,22.190,0,0.869,0.912,255,255
3,0.476,0.734,21.534,0,0.997,21.902,0,0.451,0.444,255,255
3,0.434,0.997,21.902,0,1.311,22.190,0,0.427,0.371,255,255
3,0.374,1.075,21.561,0,0.997,21.902,0,0.350,0.374,255,255
3,0.306,0.367,22.951,0,0.630,23.056,0,0.283,0.276,255,255
3,0.264,0.761,23.266,0,0.630,23.056,0,0.247,0.237,255,255
3,0.175,1.259,22.321,0,1.311,22.190,0,0.141,0.111,255,255
4,0.090,0.446,16.289,0,0.472,16.210,0,0.083,0.080,255,255
5,0.574,0.918,1.390,0,0.813,0.918,0,0.484,0.516,255,255
5,0.221,0.603,0.944,0,0.813,0.918,0,0.211,0.227,255,255
5,0.216,0.918,0.761,0,0.813,0.918,0,0.189,0.206,255,255
6,0.232,0.734,0.498,0,0.787,0.289,0,0.216,0.209,255,255
6,0.164,0.656,0.210,0,0.787,0.289,0,0.153,0.143,255,255
6,0.063,0.839,0.262,0,0.787,0.289,0,0.059,0.026,255,255
7,0.026,0.656,23.528,0,0.656,23.554,0,0.026,0.026,255,255
8,0.100,0.708,18.780,0,0.787,18.728,0,0.095,0.106,255,255
9,0.063,0.997,1.836,0,1.049,1.810,0,0.059,0.056,255,255
10,0.026,0.997,17.679,0,1.023,17.679,0,0.026,0.026,255,255
11,0.760,2.046,25.049,0,2.649,24.708,0,0.693,0.661,255,255
11,0.679,1.705,25.443,0,2.046,25.049,0,0.521,0.569,255,255
11,0.561,1.626,24.761,0,2.046,25.049,0,0.509,0.532,255,255
11,0.500,1.259,25.364,0,1.705,25.443,0,0.453,0.472,255,255
11,0.369,1.574,25.757,0,1.705,25.443,0,0.341,0.280,255,255
11,0.264,1.364,25.889,0,1.574,25.757,0,0.247,0.244,255,255
11,0.258,1.652,25.967,0,1.574,25.757,0,0.224,0.240,255,255
11,0.221,2.675,24.498,0,2.649,24.708,0,0.211,0.216,255,255
11,0.164,2.780,24.682,0,2.649,24.708,0,0.134,0.150,255,255
12,0.037,1.311,23.266,0,1.338,23.292,0,0.037,0.037,255,255
13,0.675,1.889,2.570,0,1.862,3.148,0,0.578,0.646,255,255
13,0.627,2.518,3.121,0,1.967,3.252,0,0.566,0.588,255,255
13,0.620,2.439,3.620,0,1.967,3.252,0,0.598,0.589,255,255
13,0.607,1.390,3.646,0,1.889,3.384,0,0.563,0.583,255,255
13,0.528,1.443,2.885,0,1.862,3.148,0,0.495,0.502,255,255
13,0.441,1.889,3.803,0,1.889,3.384,0,0.420,0.447,255,255
13,0.164,1.889,3.384,0,1.967,3.252,0,0.153,0.100,255,255
13,0.148,1.862,3.148,0,1.967,3.252,0,0.148,0.074,255,255
14,0.063,1.390,5.377,0,1.443,5.403,0,0.059,0.066,255,255
15,0.275,1.495,5.456,0,1.679,5.639,0,0.260,0.250,255,255
16,0.111,2.413,4.852,0,2.492,4.931,0,0.111,0.111,255,255
17,0.153,2.518,7.344,0,2.466,7.213,0,0.141,0.144,255,255
17,0.100,2.544,7.161,0,2.466,7.213,0,0.095,0.100,255,255
17,0.026,2.439,7.213,0,2.466,7.213,0,0.026,0.026,255,255
18,0.618,3.095,16.918,0,2.597,16.630,0,0.576,0.567,255,255
18,0.548,3.016,16.393,0,2.597,16.630,0,0.482,0.539,255,255
18,0.116,2.492,16.656,0,2.597,16.630,0,0.108,0.110,255,255
19,0.968,3.357,21.036,0,4.249,21.220,0,0.911,0.865,255,255
19,0.843,2.885,19.567,0,2.885,20.302,0,0.734,0.798,255,255
19,0.766,4.852,21.141,0,4.249,21.220,0,0.608,0.706,255,255
19,0.697,2.885,20.302,0,3.174,20.826,0,0.599,0.618,255,255
19,0.694,2.675,21.298,0,3.174,20.826,0,0.686,0.673,255,255
19,0.535,3.016,21.430,0,3.357,21.036,0,0.521,0.515,255,255
19,0.508,4.590,20.852,0,4.249,21.220,0,0.501,0.487,255,255
19,0.434,2.492,19.934,0,2.780,20.249,0,0.427,0.413,255,255
19,0.369,3.174,20.826,0,3.357,21.036,0,0.279,0.274,255,255
19,0.127,2.780,20.249,0,2.885,20.302,0,0.117,0.052,255,255
19,0.090,2.728,20.302,0,2.780,20.249,0,0.074,0.082,255,255
20,0.138,2.544,26.439,0,2.649,26.361,0,0.131,0.138,255,255
21,0.317,2.859,4.774,0,2.702,5.010,0,0.284,0.303,255,255
21,0.153,2.570,5.062,0,2.702,5.010,0,0.141,0.134,255,255
21,0.090,2.780,5.036,0,2.702,5.010,0,0.083,0.082,255,255
22,0.411,2.702,0.472,0,2.990,0.656,0,0.342,0.373,255,255
23,0.037,2.780,11.436,0,2.807,11.410,0,0.037,0.037,255,255
24,0.253,2.938,24.026,0,3.043,23.869,0,0.189,0.225,255,255
25,0.026,2.964,24.315,0,2.964,24.341,0,0.026,0.026,255,255
26,0.937,3.279,9.784,0,4.118,9.810,0,0.840,0.740,255,255
26,0.725,4.564,10.334,0,4.118,9.810,0,0.688,0.641,255,255
26,0.258,3.331,10.020,0,3.279,9.784,0,0.242,0.253,255,255
26,0.240,3.357,9.600,0,3.279,9.784,0,0.200,0.240,255,255
26,0.179,3.121,9.731,0,3.279,9.784,0,0.166,0.169,255,255
26,0.105,4.118,9.705,0,4.118,9.810,0,0.105,0.105,255,255
27,0.581,3.226,11.725,0,3.436,12.197,0,0.517,0.524,255,255
28,1.699,5.351,2.072,0,6.741,2.780,0,1.560,1.547,255,255
28,1.125,7.082,2.544,0,8.105,2.334,0,1.044,1.045,255,255
28,1.114,3.751,3.489,0,4.170,2.570,0,1.009,0.977,255,255
28,1.081,8.131,1.338,0,8.079,2.230,0,0.893,1.011,255,255
28,0.891,8.000,3.384,0,8.315,2.623,0,0.823,0.837,255,255
28,0.867,5.561,3.121,0,5.115,2.439,0,0.815,0.831,255,255
28,0.817,5.141,1.364,0,5.351,2.072,0,0.739,0.790,255,255
28,0.808,4.144,4.118,0,3.751,3.489,0,0.742,0.781,255,255
28,0.771,8.918,2.728,0,8.289,2.387,0,0.716,0.731,255,255
28,0.688,6.689,2.020,0,7.082,2.544,0,0.656,0.654,255,255
28,0.681,7.764,1.679,0,8.079,2.230,0,0.634,0.652,255,255
28,0.666,7.161,3.672,0,6.767,3.200,0,0.615,0.637,255,255
28,0.605,4.564,2.570,0,5.115,2.439,0,0.566,0.530,255,255
28,0.553,6.689,3.698,0,6.767,3.200,0,0.505,0.529,255,255
28,0.535,8.708,2.964,0,8.315,2.623,0,0.521,0.514,255,255
28,0.524,4.564,2.570,0,4.879,2.964,0,0.504,0.456,255,255
28,0.498,3.541,2.885,0,3.908,2.570,0,0.484,0.433,255,255
28,0.480,5.115,2.439,0,5.351,2.072,0,0.437,0.441,255,255
28,0.476,3.541,2.361,0,3.908,2.570,0,0.423,0.453,255,255
28,0.452,6.741,2.780,0,6.767,3.200,0,0.420,0.378,255,255
28,0.439,6.741,2.780,0,7.082,2.544,0,0.415,0.308,255,255
28,0.393,4.170,2.570,0,4.564,2.570,0,0.393,0.315,255,255
28,0.391,4.249,2.256,0,4.170,2.570,0,0.324,0.373,255,255
28,0.326,4.905,3.279,0,4.879,2.964,0,0.316,0.321,255,255
28,0.323,5.115,3.174,0,4.879,2.964,0,0.316,0.302,255,255
28,0.269,8.289,2.387,0,8.315,2.623,0,0.238,0.196,255,255
28,0.262,3.908,2.570,0,4.170,2.570,0,0.262,0.236,255,255
28,0.205,8.105,2.334,0,8.289,2.387,0,0.191,0.131,255,255
28,0.194,3.567,3.515,0,3.751,3.489,0,0.185,0.190,255,255
28,0.116,8.079,2.230,0,8.105,2.334,0,0.108,0.052,255,255
