 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.312,0.184,13.954,0,0.420,14.138,0,0.299,0.307,255,255
2,2,0.290,0.236,19.856,0,0.472,19.987,0,0.270,0.268,255,255
3,4,0.491,0.813,14.557,0,1.102,14.898,0,0.447,0.394,255,255
4,4,0.317,1.233,14.636,0,1.102,14.898,0,0.293,0.300,255,255
5,4,0.284,0.813,14.295,0,0.813,14.557,0,0.262,0.221,255,255
6,4,0.269,0.577,14.269,0,0.813,14.295,0,0.238,0.256,255,255
7,4,0.168,0.656,14.584,0,0.813,14.557,0,0.160,0.158,255,255
8,4,0.138,0.918,14.216,0,0.813,14.295,0,0.131,0.138,255,255
9,4,0.026,1.102,14.898,0,1.102,14.898,0,0.000,0.000,0,0
10,5,1.275,0.603,2.098,0,1.443,1.574,0,0.990,1.180,255,255
11,5,0.227,1.233,1.311,0,1.390,1.443,0,0.205,0.206,255,255
12,5,0.216,1.626,1.495,0,1.443,1.574,0,0.200,0.186,255,255
13,5,0.153,1.469,1.338,0,1.390,1.443,0,0.131,0.150,255,255
14,5,0.153,1.390,1.443,0,1.443,1.574,0,0.141,0.052,255,255
15,6,1.577,0.787,19.725,0,2.125,19.148,0,1.457,1.435,255,255
16,6,1.505,3.305,22.348,0,3.489,20.984,0,1.376,1.443,255,255
17,6,1.451,5.010,21.089,0,3.646,20.984,0,1.368,1.393,255,255
18,6,1.111,3.489,19.357,0,2.938,18.518,0,1.004,1.082,255,255
19,6,1.084,3.934,18.570,0,2.938,18.518,0,0.998,1.030,255,255
20,6,1.081,3.357,19.908,0,3.698,20.826,0,0.979,1.031,255,255
21,6,1.077,2.439,20.511,0,3.331,20.957,0,0.997,0.942,255,255
22,6,0.952,0.813,17.757,0,1.679,17.600,0,0.880,0.923,255,255
23,6,0.936,2.623,21.508,0,3.331,20.957,0,0.897,0.839,255,255
24,6,0.928,2.020,17.652,0,2.361,18.439,0,0.858,0.825,255,255
25,6,0.894,2.361,19.672,0,2.439,20.511,0,0.843,0.809,255,255
26,6,0.806,2.125,19.148,0,2.361,18.439,0,0.747,0.709,255,255
27,6,0.771,1.390,16.970,0,1.679,17.600,0,0.692,0.734,255,255
28,6,0.746,1.705,20.066,0,2.256,19.593,0,0.725,0.724,255,255
29,6,0.610,2.361,18.439,0,2.938,18.518,0,0.582,0.531,255,255
30,6,0.579,2.230,21.561,0,2.623,21.508,0,0.397,0.528,255,255
31,6,0.568,1.915,20.459,0,2.439,20.511,0,0.527,0.537,255,255
32,6,0.553,2.125,19.148,0,2.256,19.593,0,0.465,0.472,255,255
33,6,0.548,2.177,17.207,0,2.020,17.652,0,0.473,0.514,255,255
34,6,0.524,3.698,20.826,0,4.039,20.459,0,0.501,0.460,255,255
35,6,0.431,2.780,19.646,0,2.361,19.672,0,0.420,0.436,255,255
36,6,0.363,1.679,17.600,0,2.020,17.652,0,0.345,0.268,255,255
37,6,0.363,0.787,19.725,0,0.787,20.066,0,0.341,0.299,255,255
38,6,0.317,2.492,21.770,0,2.623,21.508,0,0.293,0.252,255,255
39,6,0.315,4.039,20.144,0,4.039,20.459,0,0.315,0.236,255,255
40,6,0.201,0.944,20.170,0,0.787,20.066,0,0.189,0.180,255,255
41,6,0.201,3.646,20.984,0,3.698,20.826,0,0.166,0.131,255,255
42,6,0.168,4.066,19.987,0,4.039,20.144,0,0.160,0.174,255,255
43,6,0.168,3.331,20.957,0,3.489,20.984,0,0.160,0.132,255,255
44,6,0.157,3.489,20.984,0,3.646,20.984,0,0.157,0.079,255,255
45,6,0.142,0.656,20.092,0,0.787,20.066,0,0.134,0.132,255,255
46,6,0.138,2.256,19.593,0,2.361,19.672,0,0.131,0.074,255,255
47,6,0.063,0.734,19.751,0,0.787,19.725,0,0.059,0.066,255,255
48,6,0.063,4.092,20.170,0,4.039,20.144,0,0.059,0.063,255,255
49,6,0.063,4.092,20.485,0,4.039,20.459,0,0.059,0.063,255,255
50,7,0.190,0.682,13.587,0,0.761,13.744,0,0.176,0.194,255,255
51,8,0.380,1.102,25.285,0,0.787,25.443,0,0.352,0.328,255,255
52,8,0.063,0.734,25.416,0,0.787,25.443,0,0.059,0.056,255,255
53,8,0.063,0.761,25.495,0,0.787,25.443,0,0.059,0.026,255,255
54,9,0.026,0.761,25.993,0,0.761,26.020,0,0.026,0.026,255,255
55,10,0.887,1.652,6.793,0,1.207,6.138,0,0.793,0.832,255,255
56,10,0.771,0.866,5.508,0,1.207,6.138,0,0.716,0.720,255,255
57,10,0.338,1.023,6.400,0,1.207,6.138,0,0.320,0.319,255,255
58,11,0.063,0.997,20.616,0,1.023,20.669,0,0.059,0.066,255,255
59,13,1.022,1.862,15.423,0,2.361,14.767,0,0.824,0.947,255,255
60,13,1.002,3.384,13.325,0,2.990,14.164,0,0.927,0.960,255,255
61,13,0.896,1.574,16.079,0,1.862,15.423,0,0.716,0.826,255,255
62,13,0.698,2.203,13.770,0,2.728,14.190,0,0.672,0.612,255,255
63,13,0.498,2.911,14.820,0,2.597,14.452,0,0.484,0.470,255,255
64,13,0.469,3.279,14.374,0,3.672,14.557,0,0.434,0.369,255,255
65,13,0.459,2.361,14.767,0,2.597,14.452,0,0.393,0.328,255,255
66,13,0.437,2.020,14.033,0,2.203,13.770,0,0.320,0.396,255,255
67,13,0.391,2.990,14.164,0,3.279,14.374,0,0.357,0.311,255,255
68,13,0.389,3.226,14.741,0,3.279,14.374,0,0.371,0.387,255,255
69,13,0.317,2.597,14.452,0,2.728,14.190,0,0.293,0.223,255,255
70,13,0.280,2.439,14.977,0,2.361,14.767,0,0.224,0.260,255,255
71,13,0.273,2.728,14.190,0,2.990,14.164,0,0.264,0.237,255,255
72,13,0.227,3.777,14.741,0,3.672,14.557,0,0.211,0.206,255,255
73,13,0.179,2.020,15.423,0,1.862,15.423,0,0.157,0.185,255,255
74,13,0.164,2.125,13.639,0,2.203,13.770,0,0.153,0.161,255,255
75,13,0.090,3.751,14.531,0,3.672,14.557,0,0.083,0.082,255,255
76,14,0.063,1.731,1.049,0,1.757,0.997,0,0.059,0.056,255,255
77,15,0.037,1.862,11.672,0,1.889,11.646,0,0.037,0.037,255,255
78,16,0.168,1.915,1.207,0,2.072,1.233,0,0.160,0.164,255,255
79,16,0.079,2.151,1.233,0,2.072,1.233,0,0.079,0.079,255,255
80,16,0.063,2.098,1.180,0,2.072,1.233,0,0.059,0.063,255,255
81,17,0.839,3.226,11.095,0,3.436,10.387,0,0.739,0.765,255,255
82,17,0.755,4.957,12.170,0,4.459,12.328,0,0.523,0.696,255,255
83,17,0.716,3.069,12.328,0,3.698,12.118,0,0.664,0.679,255,255
84,17,0.703,2.938,11.908,0,3.489,11.593,0,0.634,0.659,255,255
85,17,0.684,2.597,10.964,0,3.226,11.095,0,0.643,0.586,255,255
86,17,0.658,3.777,12.826,0,3.908,12.223,0,0.617,0.629,255,255
87,17,0.649,3.489,11.593,0,3.698,12.118,0,0.565,0.547,255,255
88,17,0.639,3.226,11.095,0,3.489,11.593,0,0.563,0.553,255,255
89,17,0.609,4.380,11.882,0,3.908,12.223,0,0.582,0.579,255,255
90,17,0.598,2.230,11.410,0,2.597,10.964,0,0.578,0.574,255,255
91,17,0.596,1.941,9.967,0,2.177,10.466,0,0.551,0.555,255,255
92,17,0.594,3.908,12.223,0,4.459,12.328,0,0.561,0.536,255,255
93,17,0.594,4.039,11.489,0,3.489,11.593,0,0.561,0.581,255,255
94,17,0.511,2.413,10.597,0,2.597,10.964,0,0.411,0.461,255,255
95,17,0.471,2.072,10.911,0,2.413,10.597,0,0.464,0.450,255,255
96,17,0.365,1.915,10.675,0,2.177,10.466,0,0.336,0.336,255,255
97,17,0.290,2.177,10.466,0,2.413,10.597,0,0.270,0.166,255,255
98,17,0.275,4.616,12.538,0,4.459,12.328,0,0.262,0.247,255,255
99,17,0.253,3.698,12.118,0,3.908,12.223,0,0.235,0.156,255,255
100,17,0.175,3.305,10.282,0,3.436,10.387,0,0.168,0.153,255,255
101,17,0.100,3.515,10.334,0,3.436,10.387,0,0.095,0.100,255,255
102,18,0.037,1.967,12.564,0,1.993,12.538,0,0.037,0.037,255,255
103,19,0.026,1.993,11.279,0,1.993,11.305,0,0.026,0.026,255,255
104,20,0.522,2.413,1.180,0,2.177,0.839,0,0.415,0.485,255,255
105,20,0.157,2.020,0.839,0,2.177,0.839,0,0.157,0.157,255,255
106,20,0.153,2.177,0.708,0,2.177,0.839,0,0.131,0.147,255,255
107,21,0.463,2.439,4.328,0,2.387,3.908,0,0.423,0.402,255,255
108,21,0.375,2.675,3.698,0,2.387,3.908,0,0.357,0.341,255,255
109,21,0.343,2.151,3.725,0,2.387,3.908,0,0.299,0.308,255,255
110,22,0.655,2.177,13.010,0,2.702,13.325,0,0.612,0.618,255,255
111,23,0.280,2.230,12.170,0,2.334,12.407,0,0.258,0.290,255,255
112,24,0.622,2.439,3.043,0,2.911,2.754,0,0.553,0.581,255,255
113,25,1.266,2.649,3.357,0,3.515,4.066,0,1.118,1.181,255,255
114,25,0.365,3.515,4.066,0,3.777,3.856,0,0.336,0.285,255,255
115,25,0.242,3.541,4.275,0,3.515,4.066,0,0.211,0.227,255,255
116,25,0.168,3.751,3.698,0,3.777,3.856,0,0.160,0.164,255,255
117,25,0.063,3.830,3.882,0,3.777,3.856,0,0.059,0.063,255,255
118,26,0.732,2.649,25.128,0,3.305,25.154,0,0.656,0.692,255,255
119,26,0.528,3.593,25.416,0,3.934,25.757,0,0.482,0.439,255,255
120,26,0.496,3.489,24.734,0,3.305,25.154,0,0.458,0.468,255,255
121,26,0.459,3.305,25.154,0,3.593,25.416,0,0.390,0.370,255,255
122,26,0.374,4.013,26.098,0,3.934,25.757,0,0.350,0.350,255,255
123,26,0.275,3.777,25.233,0,3.593,25.416,0,0.260,0.261,255,255
124,26,0.201,4.092,25.705,0,3.934,25.757,0,0.166,0.163,255,255
125,27,0.153,2.728,15.056,0,2.859,15.108,0,0.141,0.138,255,255
126,28,1.323,3.620,8.026,0,3.148,7.056,0,1.079,1.251,255,255
127,28,0.544,2.754,6.767,0,3.148,7.056,0,0.488,0.504,255,255
128,28,0.338,3.410,6.872,0,3.148,7.056,0,0.320,0.325,255,255
129,29,0.358,2.990,23.213,0,2.859,22.925,0,0.317,0.326,255,255
130,29,0.179,2.911,22.767,0,2.859,22.925,0,0.166,0.185,255,255
131,29,0.037,2.833,22.951,0,2.859,22.925,0,0.037,0.037,255,255
132,30,0.079,2.990,23.344,0,2.990,23.423,0,0.079,0.079,255,255
133,31,0.079,3.043,15.187,0,3.043,15.108,0,0.079,0.079,255,255
134,31,0.063,3.016,15.056,0,3.043,15.108,0,0.059,0.056,255,255
135,31,0.052,3.095,15.108,0,3.043,15.108,0,0.052,0.052,255,255
136,32,0.079,3.174,15.318,0,3.252,15.318,0,0.079,0.079,255,255
137,33,0.601,3.410,15.370,0,3.541,15.895,0,0.541,0.571,255,255
138,33,0.312,3.908,15.685,0,3.698,15.895,0,0.297,0.298,255,255
139,33,0.269,3.672,16.131,0,3.698,15.895,0,0.238,0.265,255,255
140,33,0.157,3.541,15.895,0,3.698,15.895,0,0.157,0.079,255,255
141,33,0.037,3.515,15.921,0,3.541,15.895,0,0.037,0.037,255,255
142,34,0.063,3.436,15.239,0,3.489,15.213,0,0.059,0.056,255,255
143,35,0.354,3.672,2.754,0,3.934,2.570,0,0.320,0.325,255,255
