 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,2,0.074,0.105,7.579,0,0.158,7.632,0,0.074,0.074,255,255
2,3,0.784,0.158,33.895,0,0.579,33.316,0,0.716,0.721,255,255
3,4,0.837,0.368,24.579,0,0.947,24.632,0,0.581,0.744,255,255
4,5,0.180,0.421,49.526,0,0.474,49.684,0,0.166,0.189,255,255
5,6,1.354,0.579,40.263,0,1.684,39.737,0,1.224,1.278,255,255
6,6,0.626,2.105,40.158,0,1.684,39.737,0,0.595,0.517,255,255
7,6,0.499,2.053,39.421,0,1.684,39.737,0,0.485,0.413,255,255
8,7,0.412,0.632,17.947,0,1.000,17.842,0,0.383,0.379,255,255
9,8,0.338,0.684,35.211,0,1.000,35.263,0,0.320,0.318,255,255
10,10,0.127,1.105,13.895,0,1.158,13.789,0,0.118,0.133,255,255
11,11,0.053,1.263,50.421,0,1.316,50.421,0,0.053,0.053,255,255
12,12,0.741,2.421,19.053,0,1.895,18.684,0,0.642,0.670,255,255
13,12,0.675,1.895,18.053,0,1.895,18.684,0,0.632,0.638,255,255
14,12,0.583,1.632,19.158,0,1.895,18.684,0,0.542,0.530,255,255
15,13,0.403,1.632,32.895,0,1.842,33.000,0,0.235,0.345,255,255
16,13,0.180,1.789,33.158,0,1.842,33.000,0,0.166,0.186,255,255
17,14,0.053,2.263,18.263,0,2.316,18.263,0,0.053,0.053,255,255
18,15,1.547,2.526,29.842,0,3.158,28.632,0,1.365,1.441,255,255
19,16,1.565,2.526,42.526,0,3.632,41.789,0,1.328,1.471,255,255
20,16,0.964,4.263,41.211,0,3.632,41.789,0,0.857,0.822,255,255
21,16,0.797,3.105,41.211,0,3.632,41.789,0,0.782,0.680,255,255
22,17,0.074,2.632,27.526,0,2.684,27.579,0,0.074,0.074,255,255
23,18,0.149,2.632,49.632,0,2.737,49.526,0,0.149,0.149,255,255
24,19,1.336,4.895,48.421,0,4.421,49.474,0,1.154,1.238,255,255
25,19,1.113,2.947,48.947,0,3.474,49.842,0,1.038,1.035,255,255
26,19,1.104,5.263,50.105,0,4.421,49.474,0,1.053,0.958,255,255
27,19,0.771,2.684,50.000,0,3.211,49.947,0,0.529,0.718,255,255
28,19,0.583,4.053,49.842,0,4.421,49.474,0,0.521,0.397,255,255
29,19,0.579,3.474,49.842,0,4.053,49.842,0,0.579,0.526,255,255
30,19,0.517,4.053,50.316,0,4.053,49.842,0,0.474,0.529,255,255
31,19,0.425,2.895,49.684,0,3.211,49.947,0,0.411,0.382,255,255
32,19,0.307,3.211,49.947,0,3.474,49.842,0,0.283,0.133,255,255
33,20,0.762,2.737,1.895,0,3.368,2.000,0,0.640,0.715,255,255
34,21,0.149,2.737,49.263,0,2.842,49.368,0,0.149,0.149,255,255
35,22,0.053,2.789,0.789,0,2.842,0.789,0,0.053,0.053,255,255
36,23,1.104,3.474,19.368,0,2.895,20.158,0,0.979,1.002,255,255
37,23,0.254,2.895,20.368,0,2.895,20.158,0,0.211,0.241,255,255
38,23,0.105,2.789,20.158,0,2.895,20.158,0,0.105,0.105,255,255
39,24,1.038,3.526,21.000,0,3.368,21.842,0,0.857,0.957,255,255
40,24,0.644,2.789,22.000,0,3.368,21.842,0,0.600,0.600,255,255
41,24,0.053,3.368,21.842,0,3.368,21.842,0,0.000,0.000,0,0
42,25,1.280,3.842,33.368,0,3.368,32.316,0,1.154,1.174,255,255
