 ,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,1,0.327,0.184,3.567,0,0.393,3.777,0,0.297,0.296,255,255
2,2,1.987,0.866,16.026,0,2.256,14.846,0,1.824,1.817,255,255
3,2,1.327,2.072,13.954,0,2.256,14.846,0,0.911,1.262,255,255
4,2,1.260,2.256,14.846,0,2.728,14.111,0,0.873,1.121,255,255
5,2,1.101,2.780,13.141,0,2.728,14.111,0,0.972,1.069,255,255
6,2,1.083,1.889,13.561,0,2.728,14.111,0,1.004,1.027,255,255
7,2,0.338,0.866,16.026,0,1.023,16.262,0,0.284,0.287,255,255
8,2,0.301,0.630,16.184,0,0.866,16.026,0,0.284,0.272,255,255
9,2,0.127,0.944,16.341,0,1.023,16.262,0,0.111,0.113,255,255
10,2,0.090,1.102,16.289,0,1.023,16.262,0,0.083,0.082,255,255
11,3,0.548,1.915,6.767,0,1.548,6.479,0,0.467,0.499,255,255
12,3,0.374,1.207,6.557,0,1.548,6.479,0,0.350,0.360,255,255
13,3,0.090,1.574,6.400,0,1.548,6.479,0,0.083,0.090,255,255
14,5,1.746,3.620,23.685,0,3.593,22.059,0,1.626,1.676,255,255
15,5,1.502,4.984,23.370,0,4.092,22.321,0,1.377,1.395,255,255
16,5,1.215,2.466,22.059,0,3.593,22.059,0,1.128,1.159,255,255
17,5,0.751,4.669,21.902,0,4.092,22.321,0,0.714,0.712,255,255
18,5,0.602,3.593,22.059,0,4.092,22.321,0,0.563,0.459,255,255
19,5,0.531,3.672,21.561,0,3.593,22.059,0,0.505,0.516,255,255
20,6,0.090,3.462,12.433,0,3.541,12.459,0,0.083,0.080,255,255
21,7,0.037,3.489,10.570,0,3.515,10.544,0,0.037,0.037,255,255
22,8,1.016,4.092,9.259,0,4.249,10.151,0,0.906,0.920,255,255
23,8,0.974,3.882,8.393,0,4.092,9.259,0,0.891,0.856,255,255
24,8,0.562,3.541,9.285,0,4.092,9.259,0,0.551,0.568,255,255
25,8,0.522,3.751,7.948,0,3.882,8.393,0,0.465,0.499,255,255
26,8,0.402,3.934,10.361,0,4.249,10.151,0,0.378,0.366,255,255
27,8,0.374,3.541,8.367,0,3.882,8.393,0,0.342,0.351,255,255
28,8,0.090,4.302,10.203,0,4.249,10.151,0,0.074,0.082,255,255
29,9,0.439,3.567,26.361,0,3.908,26.125,0,0.415,0.423,255,255
30,10,0.448,3.593,10.754,0,3.987,10.885,0,0.415,0.414,255,255
31,11,0.052,3.646,10.518,0,3.646,10.570,0,0.052,0.052,255,255
32,12,0.063,3.961,16.787,0,4.013,16.813,0,0.059,0.066,255,255
33,13,0.406,4.223,2.964,0,4.328,2.623,0,0.357,0.380,255,255
34,14,0.280,4.328,11.174,0,4.564,11.279,0,0.258,0.281,255,255
35,15,2.362,5.456,5.639,0,6.951,4.066,0,2.171,2.200,255,255
36,15,2.147,8.761,3.672,0,6.951,4.066,0,1.852,2.009,255,255
37,15,1.819,8.551,2.675,0,7.003,2.125,0,1.643,1.706,255,255
38,15,1.729,6.767,2.413,0,6.951,4.066,0,1.663,1.619,255,255
39,15,1.196,5.902,1.364,0,6.531,2.256,0,1.092,1.173,255,255
40,15,1.175,5.508,1.889,0,6.531,2.256,0,1.087,1.120,255,255
